,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,160,4.31,-0.01,-0.0023,4.32,4.3,4.33,-51720.0,5.98,3.71,4.3,4.17,4.38,4.56,4.36,4.47,4.45,4.74,4.37,4.43,4.5,4.59,SIDEWAYS,SIDEWAYS,SIDEWAYS,39.0069,-0.0413,0.0126,LOW,-133.8272,53.3333,-60.0,423200.0,390600.0,575050.0,1830120.0,1693470.0,2510783.0,Spinning Top,None,None,0.0775,-0.0182,-0.0115,-3761090.0,-15267000.0,-29019470.0,-213967080.0,-472005603.0,0.83,-0.0119,5.19,0.0,0.26,0.0,2019-10-22
1,164,4.04,0.0,0.0,4.1,4.04,4.1,-1208090.0,5.98,3.9,3.98,3.78,4.08,4.34,4.1,4.25,4.4,4.62,4.1,4.23,4.35,4.48,DOWNTREND,DOWNTREND,SIDEWAYS,34.9016,-0.0764,0.0122,LOW,-41.067,30.4348,-69.5652,2033200.0,1587933.33,1336950.0,8193621.0,6408424.0,5420611.5,Black Marubozu,Bearish Engulfing,None,0.01,0.0,0.0,-3584450.0,-78799960.0,-91533300.0,-120400690.0,-429823003.0,0.82,0.1081,4.93,0.0,0.24,0.0,2019-12-03
2,162,3.99,0.02,0.005,4.06,3.97,4.06,-243259.9999,5.98,3.75,3.97,3.75,4.18,4.38,4.23,4.34,4.41,4.67,4.2,4.31,4.41,4.52,DOWNTREND,SIDEWAYS,SIDEWAYS,21.9405,-0.0585,0.0145,LOW,-174.9811,0.0,-95.12200000000001,619700.0,1000133.33,820750.0,2554616.0,4238128.67,3482892.0,Black Long Day,Bearish Harami,None,-0.0025,-0.0742,-0.0386,-7337540.0,-19455130.0,-30665320.0,-170774570.0,-380547783.0,0.82,0.1081,4.87,0.0,0.23,0.0,2019-11-20
3,164,3.76,0.01,0.0027,3.85,3.76,3.85,-1356540.0,5.98,3.75,3.75,3.56,4.07,4.37,4.02,4.2,4.37,4.59,4.01,4.17,4.31,4.45,DOWNTREND,DOWNTREND,SIDEWAYS,19.4455,-0.0884,0.0167,LOW,-209.607,0.0,-97.1429,676900.0,1748533.33,1400050.0,2681333.0,7013059.33,5628085.0,Black Marubozu,Bearish Harami,Three Black Crows,-0.06,-0.0693,0.0027,-10702540.0,-86971110.0,-100284940.0,-129585980.0,-435955983.0,0.82,0.1081,4.59,0.0,0.22,0.0,2019-12-09
4,158,4.59,-0.01,-0.0022,4.6,4.56,4.6,-588470.0,5.98,3.71,4.55,4.35,4.63,4.82,4.56,4.47,4.57,4.67,4.57,4.54,4.59,4.65,UPTREND,SIDEWAYS,SIDEWAYS,53.1063,0.036000000000000004,0.0193,LOW,26.2794,53.2222,-58.3333,3610100.0,3253600.0,2805700.0,16595228.0,14969771.33,12839090.5,Hanging Man,Tweezer Tops,None,0.1475,-0.0108,-0.0108,-79812200.0,-122274590.0,-164800490.0,-213232090.0,-415460905.0,0.83,-0.0119,5.53,0.0,0.28,0.0,2019-09-06
5,158,4.34,-0.03,-0.0069,4.38,4.34,4.38,-112730.0,5.98,3.71,4.32,4.0,4.4,4.6,4.47,4.52,4.48,4.72,4.45,4.49,4.54,4.62,DOWNTREND,SIDEWAYS,SIDEWAYS,33.032,-0.0344,0.012,LOW,-111.6427,0.0,-100.0,729100.0,638266.67,858450.0,3204111.0,2824272.0,3832450.0,Black Marubozu,None,None,0.085,-0.0114,-0.0114,-5934170.0,-17708010.0,-155639360.0,-220936690.0,-461823113.0,0.83,-0.0119,5.23,0.0,0.26,0.0,2019-10-03
6,164,4.04,0.0,0.0,4.04,4.04,4.04,-323200.0,5.98,3.9,4.02,3.77,4.07,4.37,4.12,4.26,4.4,4.62,4.11,4.23,4.35,4.48,DOWNTREND,DOWNTREND,SIDEWAYS,34.9016,-0.0778,0.012,LOW,-61.082,31.0041,-69.5652,2041500.0,1479200.0,1536000.0,8224629.0,5974140.0,6312583.5,White Marubozu,Bullish Harami,None,0.01,0.0,0.0,-2376360.0,-77637540.0,-91199430.0,-149391680.0,-448750203.0,0.82,0.1081,4.93,0.0,0.24,0.0,2019-12-02
7,162,4.04,0.05,0.0125,3.99,3.99,4.06,0.0,5.98,3.75,3.97,3.76,4.17,4.38,4.22,4.33,4.41,4.67,4.19,4.3,4.4,4.52,DOWNTREND,SIDEWAYS,SIDEWAYS,29.9465,-0.0639,0.0145,LOW,-134.0686,0.0,-82.9268,614900.0,948066.67,819200.0,2533038.0,4012314.0,3475730.0,White Long Day,Bullish Harami,None,0.01,-0.0626,-0.0265,-7279420.0,-16685600.0,-27405660.0,-162333700.0,-376733633.0,0.82,0.1081,4.93,0.0,0.24,0.0,2019-11-21
8,164,3.7,-0.03,-0.008,3.72,3.7,3.75,-1493790.0,5.98,3.7,3.56,3.54,3.76,4.08,3.85,4.08,4.29,4.51,3.84,4.03,4.2,4.39,DOWNTREND,DOWNTREND,DOWNTREND,20.0175,-0.1104,0.0141,LOW,-82.8221,0.0,-100.0,349700.0,620666.67,513300.0,1316511.0,2407647.33,1998922.0,Spinning Top,None,None,-0.075,-0.0842,-0.008,-2464780.0,-16191160.0,-93828700.0,-123080830.0,-450646333.0,0.82,0.1081,4.51,0.0,0.22,0.0,2019-12-23
9,158,4.43,0.01,0.0023,4.41,4.41,4.44,-75280.0,5.98,3.71,4.41,4.17,4.56,4.72,4.55,4.54,4.5,4.71,4.52,4.53,4.57,4.64,DOWNTREND,SIDEWAYS,SIDEWAYS,40.8001,-0.0048,0.0163,LOW,-177.4972,16.5079,-85.0,283200.0,2381666.67,2001150.0,1276971.0,10880439.33,9152699.0,White Long Day,None,None,0.1075,-0.0453,-0.0089,-830630.0,-109007460.0,-154504630.0,-226876960.0,-449127546.0,0.83,-0.0119,5.34,0.0,0.27,0.0,2019-09-24
