,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,161,3.01,0.01,0.0033,3.0,3.0,3.05,3000.0,4.86,2.48,2.97,2.8,3.03,3.23,3.01,3.13,3.53,3.56,3.04,3.18,3.37,3.53,DOWNTREND,DOWNTREND,DOWNTREND,43.099,-0.0609,0.0212,LOW,9.5167,33.3333,-61.9048,297700.0,262466.67,261450.0,890456.0,786168.0,787416.0,Inverted Hammer,Bullish Engulfing,None,-0.0767,0.0,0.0067,62530.0,424180.0,4417560.0,-2538340.0,-39091740.0,0.13,-0.4348,23.15,0.0,0.54,0.0,2019-10-22
1,165,2.69,-0.03,-0.011000000000000001,2.7,2.69,2.7,56700.0,4.86,2.69,2.64,2.48,2.84,3.24,2.94,2.99,3.2,3.51,2.88,3.01,3.18,3.39,DOWNTREND,SIDEWAYS,DOWNTREND,27.3341,-0.0634,0.0258,LOW,-122.9665,0.0,-100.0,439100.0,412666.67,461350.0,1240643.0,1191695.33,1375123.5,Black Marubozu,None,None,-0.1748,-0.0218,-0.0218,-284520.0,199060.0,-742780.0,3709130.0,-31035670.0,0.04,-0.8667,67.25,0.0,0.49,0.0,2019-12-03
2,163,2.93,-0.03,-0.0101,2.94,2.93,2.94,8820.0,4.86,2.69,2.8,2.48,3.05,3.24,3.05,3.08,3.29,3.53,3.04,3.11,3.26,3.45,SIDEWAYS,SIDEWAYS,DOWNTREND,38.175,-0.0078,0.0272,LOW,-134.879,0.0,-100.0,395900.0,410800.0,366800.0,1228797.0,1275497.33,1132510.0,Black Marubozu,None,None,-0.1012,-0.0425,-0.0298,4030.0,-970470.0,-642350.0,-2876300.0,-38453510.0,0.04,-0.8667,73.25,0.0,0.53,0.0,2019-11-20
3,165,2.7,-0.01,-0.0037,2.76,2.7,2.76,262080.0,4.86,2.69,2.69,2.58,2.77,3.14,2.85,2.96,3.16,3.49,2.83,2.97,3.15,3.36,DOWNTREND,DOWNTREND,DOWNTREND,30.7738,-0.079,0.0247,LOW,-78.5885,4.9802,-96.7742,315800.0,365866.67,370900.0,871488.0,1029778.67,1067296.5,Black Marubozu,Bearish Engulfing,None,-0.1718,-0.0182,-0.0037,1308050.0,1292470.0,469560.0,1820150.0,-30125280.0,0.04,-0.8667,67.5,0.0,0.49,0.0,2019-12-09
4,159,3.19,0.14,0.0459,3.05,3.0,3.21,9420.0,4.86,2.48,2.98,2.75,3.2,3.61,3.21,3.54,3.82,3.57,3.23,3.48,3.62,3.7,DOWNTREND,DOWNTREND,DOWNTREND,42.4643,-0.1558,0.0351,NEUTRAL,-51.9035,33.9475,-26.6667,955700.0,731600.0,705250.0,2948684.0,2269397.33,2237606.5,White Long Day,Bullish Engulfing,None,-0.0215,0.0127,0.0127,-6174190.0,-6490860.0,-9884690.0,-8612530.0,61560670.0,0.13,-0.4348,24.54,0.0,0.57,0.0,2019-09-06
5,159,3.0,0.0,0.0,3.0,2.98,3.04,0.0,4.86,2.48,2.99,2.75,3.06,3.41,3.18,3.29,3.7,3.59,3.13,3.3,3.48,3.61,DOWNTREND,DOWNTREND,DOWNTREND,34.1146,-0.0725,0.0259,LOW,-103.0485,0.0,-94.2857,220600.0,284333.33,483500.0,676221.0,895872.0,1554782.5,Doji,None,None,-0.0798,-0.0033,-0.0164,877500.0,863270.0,-2354430.0,-10680790.0,-12550371.0,0.13,-0.4348,23.08,0.0,0.54,0.0,2019-10-03
6,165,2.72,-0.03,-0.0109,2.75,2.7,2.75,0.0,4.86,2.7,2.71,2.58,2.84,3.24,2.96,3.0,3.21,3.51,2.9,3.02,3.19,3.4,DOWNTREND,SIDEWAYS,DOWNTREND,28.9448,-0.0573,0.0266,LOW,-125.9822,0.0,-95.6522,454600.0,431733.33,478450.0,1287884.0,1251872.67,1427968.5,None,None,None,-0.1656,-0.0109,-0.0109,-341220.0,203560.0,-826480.0,3632730.0,-31997390.0,0.04,-0.8667,68.0,0.0,0.49,0.0,2019-12-02
7,163,2.9,-0.03,-0.0102,2.98,2.9,3.0,461620.0,4.86,2.71,2.87,2.74,3.05,3.24,3.04,3.07,3.28,3.53,3.02,3.1,3.26,3.44,DOWNTREND,SIDEWAYS,DOWNTREND,35.9809,-0.0125,0.027999999999999997,LOW,-124.5191,0.0,-100.0,379200.0,463133.33,400450.0,1142504.0,1424992.67,1228769.0,Black Long Day,None,None,-0.1104,-0.0523,-0.0397,317000.0,-505790.0,-189760.0,-2306580.0,-37970810.0,0.04,-0.8667,72.5,0.0,0.52,0.0,2019-11-21
8,165,2.44,0.02,0.0083,2.44,2.42,2.44,2440.0,4.86,2.37,2.4,2.4,2.62,2.84,2.67,2.88,3.04,3.46,2.65,2.84,3.04,3.29,DOWNTREND,DOWNTREND,DOWNTREND,22.7608,-0.1005,0.0297,LOW,-170.4532,10.7169,-84.0909,401300.0,330333.33,358550.0,1027682.0,856310.67,949585.0,Dragonfly Doji,None,None,-0.2515,-0.1127,0.0083,-23070.0,3117100.0,3320660.0,2784240.0,-31669830.0,0.04,-0.8667,61.0,0.0,0.44,0.0,2019-12-23
9,159,3.11,-0.03,-0.0096,3.14,3.11,3.14,0.0,4.86,2.48,2.98,2.8,3.23,3.41,3.2,3.4,3.76,3.6,3.23,3.39,3.54,3.65,UPTREND,DOWNTREND,DOWNTREND,39.5839,-0.0568,0.0309,NEUTRAL,-58.7345,37.619,-73.8095,402500.0,724466.67,674300.0,1312315.0,2311540.67,2143481.0,Black Marubozu,None,Three Black Crows,-0.046,-0.0127,-0.0251,36730.0,-1810350.0,-3512650.0,-8306260.0,8375444.0,0.13,-0.4348,23.92,0.0,0.56,0.0,2019-09-24
