,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,163,1.6,0.04,0.0256,1.54,1.5,1.6,0.0,2.46,1.5,1.52,1.51,1.64,1.7,1.57,1.61,1.77,1.86,1.58,1.63,1.72,1.87,UPTREND,SIDEWAYS,DOWNTREND,50.8797,-0.0193,0.0292,LOW,3.5427,54.7009,-33.3333,16800.0,16600.0,28350.0,26056.0,25585.33,44277.0,None,None,None,-0.1795,0.0526,0.0256,0.0,0.0,-80710.0,-59920.0,-1238430.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-22
1,167,1.47,-0.08,-0.0516,1.48,1.47,1.48,0.0,2.39,1.33,1.33,1.33,1.55,1.66,1.51,1.55,1.64,1.8,1.49,1.55,1.64,1.79,DOWNTREND,SIDEWAYS,DOWNTREND,47.3326,-0.0355,0.042,NEUTRAL,-43.29,0.0,-48.1481,48900.0,49466.67,49200.0,69748.0,72440.0,73865.0,Black Marubozu,None,None,-0.2462,-0.0516,-0.0516,0.0,-83540.0,-83540.0,-164250.0,-1322100.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-03
2,165,1.45,-0.05,-0.0333,1.56,1.45,1.56,0.0,2.39,1.45,1.45,1.45,1.55,1.66,1.55,1.59,1.67,1.82,1.55,1.59,1.67,1.81,DOWNTREND,SIDEWAYS,DOWNTREND,38.1717,-0.0121,0.0358,NEUTRAL,-141.9689,0.0,-100.0,40200.0,44733.33,43850.0,62380.0,69847.33,68186.0,Black Marubozu,None,None,-0.2564,-0.0523,-0.0461,-43500.0,-83540.0,-83540.0,-164250.0,-1322100.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-20
3,167,1.47,-0.08,-0.0516,1.48,1.47,1.48,0.0,2.39,1.33,1.33,1.33,1.55,1.66,1.51,1.55,1.64,1.8,1.49,1.55,1.64,1.79,DOWNTREND,SIDEWAYS,DOWNTREND,47.3326,-0.0355,0.042,NEUTRAL,-43.29,0.0,-48.1481,48900.0,49466.67,49200.0,69748.0,72440.0,73865.0,Black Marubozu,None,None,-0.2462,-0.0516,-0.0516,0.0,-83540.0,-83540.0,-164250.0,-1322100.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-09
4,161,1.65,0.05,0.0312,1.67,1.59,1.68,0.0,2.8,1.5,1.56,1.52,1.66,1.73,1.62,1.76,1.87,1.91,1.64,1.74,1.83,1.96,DOWNTREND,DOWNTREND,DOWNTREND,48.3637,-0.057999999999999996,0.0445,NEUTRAL,42.9043,61.4035,-21.0526,64600.0,65533.33,101650.0,102437.0,103794.67,165639.0,None,Tweezer Tops,None,-0.1538,0.0312,0.0312,0.0,0.0,20790.0,-92610.0,1006570.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-06
5,161,1.52,0.0,0.0,1.52,1.52,1.52,0.0,2.51,1.5,1.51,1.51,1.54,1.78,1.62,1.66,1.82,1.89,1.59,1.67,1.76,1.9,DOWNTREND,SIDEWAYS,DOWNTREND,36.5153,-0.0317,0.0313,NEUTRAL,-113.12899999999999,9.0909,-90.9091,45200.0,41733.33,95200.0,71177.0,66492.67,159563.0,White Marubozu,Bullish Harami,Three White Soldiers,-0.2205,0.0,0.0,0.0,-80710.0,-80710.0,-41720.0,-1113800.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-03
6,167,1.47,-0.08,-0.0516,1.48,1.47,1.48,0.0,2.39,1.33,1.33,1.33,1.55,1.66,1.51,1.55,1.64,1.8,1.49,1.55,1.64,1.79,DOWNTREND,SIDEWAYS,DOWNTREND,47.3326,-0.0355,0.042,NEUTRAL,-43.29,0.0,-48.1481,48900.0,49466.67,49200.0,69748.0,72440.0,73865.0,Black Marubozu,None,None,-0.2462,-0.0516,-0.0516,0.0,-83540.0,-83540.0,-164250.0,-1322100.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-02
7,165,1.4,-0.05,-0.0345,1.45,1.4,1.45,0.0,2.39,1.4,1.4,1.4,1.54,1.66,1.54,1.58,1.67,1.81,1.53,1.58,1.66,1.81,DOWNTREND,SIDEWAYS,DOWNTREND,34.3298,-0.0161,0.037000000000000005,NEUTRAL,-227.8261,0.0,-100.0,46700.0,52200.0,46150.0,70299.0,80364.0,71093.5,Black Marubozu,None,None,-0.2821,-0.085,-0.0789,-43500.0,-83540.0,-83540.0,-164250.0,-1322100.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-21
8,167,1.2,0.0,0.0,1.2,1.2,1.2,0.0,2.34,1.2,1.2,1.2,1.27,1.6,1.42,1.51,1.61,1.78,1.38,1.49,1.6,1.76,DOWNTREND,DOWNTREND,DOWNTREND,32.9537,-0.0612,0.051,HIGH,-136.4838,0.0,-100.0,28200.0,37600.0,40850.0,38180.0,52568.67,58882.5,White Marubozu,Bullish Harami,Three White Soldiers,-0.3846,-0.2258,0.0,0.0,-43500.0,-83540.0,-164250.0,-1339050.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-23
9,161,1.6,-0.03,-0.0184,1.61,1.6,1.65,-48050.0,2.55,1.5,1.56,1.52,1.69,1.78,1.64,1.7,1.84,1.89,1.65,1.71,1.79,1.93,UPTREND,DOWNTREND,DOWNTREND,43.373000000000005,-0.0153,0.0441,NEUTRAL,-38.41,34.5238,-71.4286,58100.0,121000.0,100950.0,94920.0,204317.33,169492.0,Shooting Star,None,None,-0.1795,0.0,-0.0123,-83910.0,-83910.0,-75520.0,-176520.0,1377650.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-24
10,167,1.55,0.22,0.1654,1.55,1.55,1.55,0.0,2.39,1.33,1.33,1.33,1.56,1.66,1.51,1.55,1.64,1.8,1.49,1.55,1.64,1.79,DOWNTREND,SIDEWAYS,DOWNTREND,53.4998,-0.035,0.0389,NEUTRAL,34.6924,0.0,-18.5185,53300.0,49933.33,53250.0,76470.0,73239.33,80053.0,White Marubozu,None,None,-0.2051,0.0131,0.1071,0.0,-83540.0,-83540.0,-164250.0,-1322100.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-29
11,161,1.65,-0.07,-0.0407,1.72,1.65,1.72,0.0,2.55,1.5,1.62,1.52,1.74,1.87,1.63,1.73,1.86,1.9,1.66,1.73,1.81,1.94,UPTREND,DOWNTREND,DOWNTREND,47.6671,-0.0263,0.0492,NEUTRAL,72.2611,55.7061,-53.5714,147300.0,116266.67,105250.0,250804.0,195578.67,174907.5,Black Marubozu,Tweezer Tops,None,-0.1538,0.0312,-0.0407,0.0,0.0,20790.0,-92610.0,816160.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-16
12,163,1.54,-0.05,-0.0314,1.54,1.54,1.54,0.0,2.51,1.5,1.52,1.51,1.64,1.69,1.58,1.62,1.79,1.87,1.58,1.64,1.73,1.87,DOWNTREND,SIDEWAYS,DOWNTREND,42.2087,-0.0247,0.027000000000000003,LOW,-53.5758,51.1111,-73.3333,10100.0,20866.67,32350.0,15700.0,32256.67,51329.0,White Marubozu,None,None,-0.2103,0.0132,-0.061,0.0,3200.0,-80710.0,-41720.0,-1238430.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-16
13,161,1.55,0.01,0.0065,1.54,1.54,1.55,0.0,2.8,1.5,1.52,1.52,1.68,1.87,1.68,1.81,1.9,1.93,1.67,1.78,1.86,1.98,DOWNTREND,DOWNTREND,DOWNTREND,37.0362,-0.0669,0.0494,NEUTRAL,-109.59100000000001,14.2611,-81.4815,97200.0,143800.0,185700.0,155316.0,238830.0,319279.0,White Marubozu,None,Three White Soldiers,-0.2051,-0.1576,0.0,0.0,10120.0,38990.0,-92610.0,1836070.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-08-28
14,161,1.52,0.0,0.0,1.52,1.52,1.52,0.0,2.51,1.5,1.51,1.51,1.62,1.78,1.63,1.68,1.83,1.89,1.61,1.68,1.77,1.91,DOWNTREND,SIDEWAYS,DOWNTREND,36.5153,-0.0234,0.0391,NEUTRAL,-161.0787,0.0,-90.9091,54500.0,58266.67,100900.0,87057.0,94662.0,168930.5,White Marubozu,Bullish Harami,None,-0.2205,-0.05,0.0,-44850.0,-80710.0,-80710.0,-41720.0,-1204140.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-30
