,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,164,0.91,-0.03,-0.0319,0.94,0.91,0.94,0.0,1.45,0.62,0.9,0.87,0.94,1.0,0.92,0.92,0.89,0.88,0.92,0.91,0.9,0.9,SIDEWAYS,SIDEWAYS,SIDEWAYS,47.8476,0.0011,0.0359,NEUTRAL,17.5439,55.5556,-80.0,164000.0,262866.67,229500.0,149487.0,239079.33,209241.5,Black Marubozu,Tweezer Tops,None,0.1375,-0.0319,-0.0319,360.0,-136440.0,13510.0,13510.0,-510210.0,-0.31,-3.4286,-2.94,0.0,1.3,0.0,2019-10-22
1,168,0.9,0.0,0.0,0.9,0.9,0.9,0.0,1.45,0.71,0.88,0.85,0.91,0.94,0.91,0.91,0.91,0.89,0.91,0.91,0.9,0.9,DOWNTREND,SIDEWAYS,SIDEWAYS,43.6307,-0.0034,0.012,LOW,-95.2381,50.0,-50.0,76200.0,99666.67,99700.0,68864.0,90378.0,90819.5,White Marubozu,Bullish Harami,Three White Soldiers,0.125,0.0,0.0,0.0,-5460.0,-13560.0,8050.0,-511670.0,-0.31,0.0882,-2.9,0.0,1.25,0.0,2019-12-03
2,166,0.91,0.0,0.0,0.91,0.91,0.91,0.0,1.45,0.62,0.9,0.85,0.94,0.98,0.91,0.92,0.9,0.89,0.91,0.91,0.9,0.9,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.0773,-0.0011,0.0194,LOW,-57.6923,0.0,-100.0,135300.0,141333.33,385100.0,123731.0,129282.67,364277.5,White Marubozu,Bullish Harami,Three White Soldiers,0.1375,0.0,0.0,-5460.0,-5460.0,-141900.0,8050.0,-515670.0,-0.31,0.0882,-2.94,0.0,1.26,0.0,2019-11-20
3,168,0.9,0.0,0.0,0.9,0.9,0.9,0.0,1.45,0.71,0.89,0.85,0.91,0.94,0.91,0.91,0.91,0.89,0.91,0.91,0.9,0.9,DOWNTREND,SIDEWAYS,SIDEWAYS,43.6307,-0.0037,0.0111,LOW,-70.0809,50.0,-50.0,57700.0,102666.67,96500.0,51924.0,93038.0,87827.5,White Marubozu,Bullish Harami,Three White Soldiers,0.125,0.0,0.0,0.0,-5460.0,-13560.0,8050.0,-610670.0,-0.31,0.0882,-2.9,0.0,1.25,0.0,2019-12-09
4,162,0.92,0.0,0.0,0.9,0.9,0.93,0.0,1.45,0.62,0.9,0.85,1.0,1.24,0.92,0.9,0.87,0.85,0.92,0.9,0.89,0.9,SIDEWAYS,SIDEWAYS,SIDEWAYS,51.1562,0.0061,0.0495,NEUTRAL,8.4926,33.3333,-66.6667,2353400.0,1660533.33,1258200.0,2268519.0,1592995.33,1206486.5,White Long Day,None,None,0.15,-0.0213,-0.0213,149030.0,149030.0,149030.0,-255010.0,-926920.0,-0.31,-3.4286,-2.97,0.0,1.31,0.0,2019-09-06
5,162,0.9,-0.01,-0.011000000000000001,0.9,0.9,0.9,0.0,1.45,0.62,0.89,0.85,0.94,1.0,0.92,0.92,0.88,0.87,0.91,0.91,0.9,0.9,DOWNTREND,SIDEWAYS,SIDEWAYS,46.1834,-0.0008,0.0301,NEUTRAL,-119.40299999999999,0.0,-100.0,251500.0,248066.67,254000.0,228535.0,227087.33,232790.5,White Marubozu,None,None,0.125,-0.0426,0.0,-136800.0,-136800.0,13150.0,-67570.0,-437440.0,-0.31,-3.4286,-2.9,0.0,1.29,0.0,2019-10-03
6,168,0.9,0.0,0.0,0.9,0.9,0.9,0.0,1.45,0.71,0.88,0.85,0.91,0.94,0.91,0.91,0.91,0.89,0.91,0.91,0.9,0.9,DOWNTREND,SIDEWAYS,SIDEWAYS,43.6307,-0.0034,0.012,LOW,-95.2381,50.0,-50.0,76200.0,99666.67,99700.0,68864.0,90378.0,90819.5,White Marubozu,Bullish Harami,Three White Soldiers,0.125,0.0,0.0,0.0,-5460.0,-13560.0,8050.0,-511670.0,-0.31,0.0882,-2.9,0.0,1.25,0.0,2019-12-02
7,166,0.91,0.0,0.0,0.91,0.91,0.91,0.0,1.45,0.64,0.9,0.85,0.94,0.98,0.91,0.92,0.9,0.89,0.91,0.91,0.9,0.9,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.0773,-0.0013,0.018000000000000002,LOW,-53.3333,0.0,-100.0,110900.0,112200.0,379200.0,100919.0,102553.33,358956.5,White Marubozu,Bullish Harami,Three White Soldiers,0.1375,0.0,0.0,-5460.0,-5460.0,-141900.0,8050.0,-515670.0,-0.31,0.0882,-2.94,0.0,1.26,0.0,2019-11-21
8,168,0.85,0.01,0.0119,0.89,0.83,0.9,0.0,1.45,0.72,0.84,0.81,0.9,0.94,0.89,0.91,0.91,0.89,0.89,0.9,0.9,0.9,DOWNTREND,SIDEWAYS,SIDEWAYS,29.6818,-0.0082,0.0191,LOW,-179.2494,0.0,-71.4286,157500.0,121200.0,116400.0,139810.0,107765.33,103985.0,None,None,None,0.0625,-0.0556,0.0119,-890.0,-890.0,-6350.0,-141870.0,-624280.0,-0.31,0.0882,-2.74,0.0,1.18,0.0,2019-12-23
9,162,0.91,0.0,0.0,0.91,0.91,0.91,0.0,1.45,0.62,0.9,0.85,0.94,1.02,0.93,0.92,0.88,0.87,0.92,0.91,0.9,0.9,DOWNTREND,SIDEWAYS,UPTREND,47.7732,0.0026,0.0329,NEUTRAL,-77.2105,16.6667,-83.3333,196200.0,278733.33,1292400.0,181555.0,255422.67,1242356.0,White Marubozu,Tweezer Bottoms,None,0.1375,-0.0319,0.0,0.0,920.0,149950.0,-81970.0,-958240.0,-0.31,-3.4286,-2.94,0.0,1.3,0.0,2019-09-24
