,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,165,13.6,-0.06,-0.0044,13.66,13.58,13.8,-1226952.0,17.6,13.22,13.59,13.16,14.13,14.76,13.83,14.12,14.64,15.27,13.84,14.16,14.58,15.18,DOWNTREND,SIDEWAYS,SIDEWAYS,42.1628,-0.1941,0.024,LOW,-52.0733,43.2023,-59.5745,1088750.0,1340546.67,1464110.0,14775804.6,18375615.87,20312276.2,Shooting Star,None,None,-0.1807,-0.0244,-0.0087,13542226.0,12271350.0,87562028.0,-19767542.0,-2206088403.0,1.45,0.0507,9.38,0.0,0.81,0.0,2019-10-22
1,169,11.0,-0.5,-0.0435,11.5,11.0,11.7,-11792902.0,17.6,11.0,11.0,11.0,12.24,13.43,12.28,13.12,13.85,14.84,12.2,12.95,13.66,14.52,DOWNTREND,DOWNTREND,DOWNTREND,32.757,-0.3988,0.0443,NEUTRAL,-151.3767,0.0,-100.0,2414310.0,3314560.0,3355735.0,28977799.0,40146071.73,41308812.1,Black Long Day,Bearish Engulfing,None,-0.3373,-0.0054,-0.0054,1126140.0,-36112562.0,-31074880.0,57702884.0,-1693846217.0,1.7,0.1111,6.47,0.0,0.67,0.0,2019-12-03
2,167,13.06,0.64,0.0515,12.44,12.44,13.1,4167084.0,17.6,11.5,11.57,11.57,13.08,13.66,12.89,13.59,14.18,15.0,12.83,13.41,14.01,14.76,DOWNTREND,DOWNTREND,DOWNTREND,50.9067,-0.3542,0.0323,NEUTRAL,-12.3148,42.3948,-24.2718,4139300.0,3640206.67,5879775.0,51278637.2,45908605.47,76732079.8,White Long Day,None,None,-0.2133,-0.021,0.0902,603998.0,-16652916.0,12084044.0,81916696.0,-2012179265.0,1.7,0.1111,7.68,0.0,0.79,0.0,2019-11-20
3,169,11.74,0.24,0.0209,11.5,11.4,11.8,-382346.0,17.6,11.0,11.0,11.0,11.77,13.08,11.98,12.88,13.68,14.77,11.98,12.73,13.5,14.4,DOWNTREND,DOWNTREND,DOWNTREND,43.8614,-0.4481,0.0383,NEUTRAL,-50.0953,26.0317,-64.7619,2880510.0,3082013.33,3456895.0,32956289.2,36356927.6,41423739.5,None,None,None,-0.2928,0.0615,0.0209,-12269048.0,-23401996.0,-28705164.0,33694588.0,-1567289197.0,1.7,0.1111,6.91,0.0,0.71,0.0,2019-12-09
4,163,15.0,-0.24,-0.0157,15.26,14.94,15.26,-1142974.0,17.6,12.78,14.57,13.45,15.35,16.06,14.19,14.79,15.33,15.62,14.44,14.69,15.08,15.61,UPTREND,DOWNTREND,SIDEWAYS,59.4924,-0.1327,0.0255,LOW,139.0661,86.2941,-22.3301,2391480.0,2183373.33,1970305.0,34725323.8,31171330.27,28122700.3,Black Long Day,None,None,-0.0964,0.0149,0.0149,-10261288.0,-35066196.0,-147093394.0,-466093706.0,-2529753325.0,1.45,0.0507,10.34,0.0,0.9,0.0,2019-09-06
5,163,13.88,-0.06,-0.0043,14.1,13.8,14.1,-3325870.0,17.6,12.78,13.84,13.38,14.6,15.13,14.43,14.35,14.98,15.48,14.33,14.52,14.86,15.4,DOWNTREND,SIDEWAYS,DOWNTREND,39.3214,-0.0319,0.0253,LOW,-161.3781,4.5525,-92.5926,2106420.0,1815353.33,1849005.0,30033533.2,25940997.2,26510214.6,Black Long Day,None,Three Black Crows,-0.1639,-0.0043,-0.0428,-2562796.0,57468326.0,40948158.0,-255613856.0,-2256187657.0,1.45,0.0507,9.57,0.0,0.83,0.0,2019-10-03
6,169,11.5,0.44,0.0398,11.3,11.26,11.5,828560.0,17.6,11.06,11.06,11.06,12.39,13.44,12.4,13.2,13.9,14.87,12.33,13.02,13.71,14.55,DOWNTREND,DOWNTREND,DOWNTREND,36.9128,-0.3711,0.040999999999999995,NEUTRAL,-146.043,0.0,-78.4314,2830850.0,3414413.33,3252425.0,34173195.0,41656855.07,40288899.0,White Long Day,Bullish Harami,None,-0.3072,0.0398,0.0398,15550432.0,-41342440.0,-18600098.0,68859932.0,-1703895453.0,1.7,0.1111,6.76,0.0,0.7,0.0,2019-12-02
7,167,12.8,-0.26,-0.0199,13.0,12.7,13.0,-29279242.0,17.6,11.5,11.57,11.57,13.08,13.57,12.85,13.56,14.15,14.99,12.83,13.39,13.98,14.74,DOWNTREND,DOWNTREND,DOWNTREND,47.2896,-0.3473,0.0326,NEUTRAL,-12.1062,61.165,-36.8932,4502850.0,3809246.67,6051150.0,55919321.8,48033189.33,78905598.2,Black Long Day,Bearish Harami,None,-0.2289,-0.0405,0.0684,-29729288.0,-59424032.0,-14489468.0,54222710.0,-2037457812.0,1.7,0.1111,7.53,0.0,0.77,0.0,2019-11-21
8,169,11.5,-0.5,-0.0417,12.0,11.5,12.0,-17322866.0,17.6,11.0,11.48,11.0,12.0,12.39,11.66,12.51,13.35,14.59,11.85,12.42,13.19,14.15,UPTREND,DOWNTREND,DOWNTREND,42.5821,-0.264,0.0355,NEUTRAL,-6.7783,80.1282,-51.9231,2699580.0,2994500.0,2790045.0,31816347.6,34785696.0,32386318.4,Black Marubozu,Bearish Engulfing,None,-0.3072,0.0398,-0.0417,-15230994.0,-56266356.0,-97608796.0,-72933628.0,-1362759183.0,1.7,0.1111,6.76,0.0,0.7,0.0,2019-12-23
9,163,14.46,-0.24,-0.0163,14.7,14.46,14.7,17359178.0,17.6,12.78,14.33,13.66,14.84,15.35,14.56,14.55,15.14,15.54,14.51,14.63,14.96,15.48,DOWNTREND,SIDEWAYS,DOWNTREND,49.098,0.0223,0.0237,LOW,-2.5925,41.3146,-70.4225,1882680.0,1997580.0,1930695.0,27208690.8,29253213.07,28162442.5,Black Marubozu,None,None,-0.1289,-0.0217,-0.0177,22014104.0,32139928.0,11077410.0,-329608118.0,-2512212475.0,1.45,0.0507,9.97,0.0,0.87,0.0,2019-09-24
