,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,167,0.0094,-0.0016,-0.1455,0.01,0.0094,0.01,0.0,0.013999999999999999,0.006,0.0093,0.0083,0.011000000000000001,0.013999999999999999,0.0112,0.0105,0.0094,0.009000000000000001,0.0108,0.0104,0.0098,0.0097,DOWNTREND,UPTREND,UPTREND,37.8655,0.0,0.1088,HIGH,-103.3697,36.3095,-92.8571,27940000.0,30540000.0,32820000.0,278351.0,320334.0,360095.5,Black Marubozu,None,None,0.4462,-0.06,-0.1455,100000.0,100000.0,101100.0,-583000.0,-1805719.9999,0.0,0.0,0.0,0.0,0.94,0.0,2019-10-22
1,171,0.0086,-0.0011,-0.1134,0.0086,0.0086,0.0086,0.0,0.013999999999999999,0.0063,0.0083,0.0073,0.0097,0.011000000000000001,0.0097,0.0108,0.0095,0.009000000000000001,0.0098,0.01,0.0097,0.0096,DOWNTREND,DOWNTREND,UPTREND,37.6867,-0.0004,0.0841,HIGH,-141.8919,0.0,-100.0,4900000.0,7160000.0,16420000.0,44700.0,69707.3333,161525.5,White Marubozu,None,None,0.3231,-0.1134,-0.1134,0.0,35000.0,36100.0,-19000.0,-1450719.9999,0.0,0.0,0.0,0.0,0.86,0.0,2019-12-03
2,169,0.009000000000000001,-0.0001,-0.011000000000000001,0.0091,0.009000000000000001,0.0091,0.0,0.013999999999999999,0.006,0.0074,0.006999999999999999,0.0099,0.012,0.01,0.0107,0.0095,0.009000000000000001,0.0099,0.0101,0.0097,0.0097,DOWNTREND,DOWNTREND,UPTREND,37.9143,-0.0004,0.0745,HIGH,-93.626,0.0,-100.0,6270000.0,9006666.6667,23665000.0,60652.0,87420.6667,245110.5,Black Marubozu,Bearish Engulfing,None,0.3846,-0.0217,-0.0217,-9200.0,35000.0,36100.0,-648000.0,-1450719.9999,0.0,0.0,0.0,0.0,0.9,0.0,2019-11-20
3,171,0.0084,-0.0002,-0.0233,0.0084,0.0084,0.0084,0.0,0.013999999999999999,0.0063,0.0073,0.0065,0.0097,0.011000000000000001,0.0096,0.0108,0.0095,0.009000000000000001,0.0096,0.01,0.0097,0.0096,DOWNTREND,DOWNTREND,UPTREND,36.3664,-0.0004,0.0816,HIGH,-160.0,0.0,-100.0,4800000.0,6893333.3333,16610000.0,43320.0,66534.0,162965.5,White Marubozu,None,Three White Soldiers,0.2923,-0.134,-0.0233,0.0,35000.0,36100.0,-19000.0,-1450719.9999,0.0,0.0,0.0,0.0,0.84,0.0,2019-12-09
4,165,0.012,0.0,0.0,0.01,0.01,0.012,0.0,0.013000000000000001,0.006,0.0105,0.0074,0.0125,0.013000000000000001,0.0107,0.009000000000000001,0.0084,0.009000000000000001,0.0106,0.0095,0.0091,0.0093,UPTREND,UPTREND,UPTREND,70.9822,0.0008,0.0923,HIGH,79.1317,77.7778,0.0,27570000.0,29806666.6667,39465000.0,288450.0,315920.0,402110.0,White Marubozu,Bullish Harami,Three White Soldiers,0.8462,0.0909,0.0909,0.0,-11000.0,-684100.0,-802500.0,-3031019.9999,0.0,0.0,0.0,0.0,1.2,0.0,2019-09-06
5,165,0.0097,-0.0003,-0.03,0.0096,0.0092,0.0097,0.0,0.013999999999999999,0.006,0.0094,0.0074,0.012,0.013999999999999999,0.0117,0.0102,0.0092,0.0091,0.0112,0.0105,0.0098,0.0097,DOWNTREND,UPTREND,UPTREND,35.9647,0.0004,0.1181,HIGH,-196.2071,0.0,-89.5833,43920000.0,39813333.3333,36395000.0,471790.0,441206.6667,401325.0,Hammer,None,None,0.4923,-0.03,-0.1182,0.0,1100.0,-9900.0,-683000.0,-1905719.9999,0.0,0.0,0.0,0.0,0.97,0.0,2019-10-03
6,171,0.0097,0.0007,0.0778,0.0087,0.0087,0.0097,0.0,0.013999999999999999,0.0063,0.0088,0.0074,0.0099,0.012,0.0099,0.0108,0.0095,0.009000000000000001,0.0099,0.0101,0.0097,0.0097,DOWNTREND,DOWNTREND,UPTREND,46.2649,-0.0004,0.0716,HIGH,-52.2641,0.0,-56.5217,4600000.0,7760000.0,23950000.0,42352.0,75467.3333,247210.5,White Marubozu,Bullish Engulfing,None,0.4923,0.0543,0.0778,0.0,35000.0,36100.0,-648000.0,-1450719.9999,0.0,0.0,0.0,0.0,0.97,0.0,2019-12-02
7,169,0.009000000000000001,-0.0001,-0.011000000000000001,0.0091,0.009000000000000001,0.0091,0.0,0.013999999999999999,0.006,0.0074,0.006999999999999999,0.0099,0.012,0.01,0.0107,0.0095,0.009000000000000001,0.0099,0.0101,0.0097,0.0097,DOWNTREND,DOWNTREND,UPTREND,37.9143,-0.0004,0.0745,HIGH,-93.626,0.0,-100.0,6270000.0,9006666.6667,23665000.0,60652.0,87420.6667,245110.5,Black Marubozu,Bearish Engulfing,None,0.3846,-0.0217,-0.0217,-9200.0,35000.0,36100.0,-648000.0,-1450719.9999,0.0,0.0,0.0,0.0,0.9,0.0,2019-11-21
8,171,0.008,0.0005,0.0667,0.008,0.008,0.008,0.0,0.013999999999999999,0.0063,0.0075,0.006999999999999999,0.0097,0.011000000000000001,0.0094,0.0107,0.0094,0.0089,0.0093,0.0098,0.0096,0.0096,DOWNTREND,DOWNTREND,UPTREND,36.5941,-0.0005,0.0867,HIGH,-161.0889,0.0,-80.0,6000000.0,6713333.3333,8655000.0,51940.0,61661.3333,81485.5,White Marubozu,Bullish Harami,None,0.2308,-0.1753,-0.0476,0.0,35000.0,36100.0,40500.0,-1450719.9999,0.0,0.0,0.0,0.0,0.8,0.0,2019-12-23
9,165,0.012,0.0,0.0,0.011000000000000001,0.011000000000000001,0.012,0.0,0.013999999999999999,0.006,0.0115,0.0105,0.013999999999999999,0.0145,0.0119,0.01,0.0091,0.0091,0.0117,0.0106,0.0097,0.0096,UPTREND,UPTREND,UPTREND,56.8079,0.0007,0.1086,HIGH,31.1111,50.0,-50.0,37700000.0,32353333.3333,31920000.0,441840.0,373120.0,358855.0,White Marubozu,Bullish Harami,Three White Soldiers,0.8462,0.0909,0.0,0.0,1100.0,5500.0,-729400.0,-1905719.9999,0.0,0.0,0.0,0.0,1.2,0.0,2019-09-24
10,171,0.0097,0.0007,0.0778,0.0087,0.0087,0.0097,0.0,0.013999999999999999,0.0063,0.0088,0.0074,0.0099,0.012,0.0099,0.0108,0.0095,0.009000000000000001,0.0099,0.0101,0.0097,0.0097,DOWNTREND,DOWNTREND,UPTREND,46.2649,-0.0004,0.0716,HIGH,-52.2641,0.0,-56.5217,4600000.0,7760000.0,23950000.0,42352.0,75467.3333,247210.5,White Marubozu,Bullish Engulfing,None,0.4923,0.0543,0.0778,0.0,35000.0,36100.0,-648000.0,-1450719.9999,0.0,0.0,0.0,0.0,0.97,0.0,2019-11-29
11,165,0.013999999999999999,0.002,0.1667,0.011000000000000001,0.011000000000000001,0.013999999999999999,1100.0,0.013999999999999999,0.006,0.011000000000000001,0.01,0.0145,0.017,0.0115,0.0095,0.0087,0.0091,0.0114,0.0101,0.0094,0.0095,UPTREND,UPTREND,UPTREND,82.8996,0.0008,0.0947,HIGH,248.36599999999999,100.0,0.0,28870000.0,28520000.0,27760000.0,330860.0,315733.3333,304710.0,White Marubozu,None,Three White Soldiers,1.1538,0.2727,0.1667,1100.0,1100.0,5500.0,-801400.0,-3029919.9999,0.0,0.0,0.0,0.0,1.4,0.0,2019-09-16
12,167,0.011000000000000001,0.0,0.0,0.01,0.01,0.011000000000000001,100000.0,0.013999999999999999,0.006,0.0095,0.0074,0.012,0.013999999999999999,0.0114,0.0105,0.0094,0.0091,0.0109,0.0105,0.0098,0.0097,DOWNTREND,UPTREND,UPTREND,51.3004,0.0,0.0889,HIGH,-33.2076,39.4841,-35.7143,43300000.0,33973333.3333,33380000.0,452069.0,361759.3333,366329.5,White Marubozu,Bullish Harami,Three White Soldiers,0.6923,0.1,0.0,100000.0,100000.0,101100.0,-583000.0,-1805719.9999,0.0,0.0,0.0,0.0,1.1,0.0,2019-10-16
