,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,169,10.08,-0.3,-0.0289,10.0,9.51,10.18,0.0,22.8,6.75,8.36,7.79,11.49,12.15,8.72,8.64,9.06,9.86,8.97,8.83,9.24,11.1,UPTREND,SIDEWAYS,DOWNTREND,63.8264,0.1099,0.0701,HIGH,135.0518,60.181000000000004,-47.5113,109130.0,74186.67,55980.0,1189193.1,805027.67,606617.1,None,None,None,0.0413,0.2203,-0.0667,0.0,2328.0,2328.0,-655.0,348675750.0,0.3,-0.7087,33.6,0.0,1.36,0.0,2019-10-22
1,173,8.1,-0.05,-0.0061,8.14,8.1,8.14,0.0,22.8,7.75,7.86,7.28,8.7,9.32,8.75,8.86,8.87,9.77,8.65,8.83,9.09,10.55,DOWNTREND,SIDEWAYS,SIDEWAYS,39.5273,-0.145,0.0601,HIGH,-112.7257,27.7059,-75.6944,12010.0,16793.33,15470.0,97062.6,139205.47,130486.85,Black Marubozu,None,None,-0.1632,-0.0122,-0.0122,96580.0,96580.0,105860.0,108188.0,348835475.0,0.29,-0.5735,27.93,0.0,1.1,0.0,2019-12-03
2,171,8.46,0.25,0.0305,8.0,8.0,8.48,0.0,22.8,7.76,8.08,7.79,9.19,10.24,9.18,8.85,8.94,9.86,9.0,8.99,9.21,10.75,DOWNTREND,UPTREND,SIDEWAYS,42.1065,0.0357,0.0619,HIGH,-229.2336,0.0,-64.3357,18600.0,20713.33,23335.0,160562.1,186359.67,212002.65,White Long Day,None,None,-0.126,-0.0844,-0.0734,0.0,9280.0,11608.0,11328.0,348582955.0,0.29,-0.5735,29.17,0.0,1.15,0.0,2019-11-20
3,173,8.14,0.14,0.0175,8.14,8.14,8.14,0.0,22.8,7.75,7.9,7.28,8.15,9.22,8.59,8.84,8.83,9.74,8.51,8.74,9.03,10.48,DOWNTREND,SIDEWAYS,SIDEWAYS,41.4043,-0.1999,0.0521,HIGH,-74.4734,25.5936,-68.8,10240.0,16113.33,15000.0,82266.5,132650.87,125785.9,White Marubozu,None,Three White Soldiers,-0.1591,-0.0073,-0.0073,0.0,96580.0,105860.0,108188.0,348816440.0,0.29,-0.5735,28.07,0.0,1.1,0.0,2019-12-09
4,167,8.36,0.0,0.0,8.36,8.36,8.36,0.0,22.8,6.75,8.28,7.48,8.74,9.26,8.58,8.94,9.48,10.46,8.59,8.93,9.58,11.79,DOWNTREND,DOWNTREND,DOWNTREND,42.6178,-0.1631,0.0368,NEUTRAL,-76.7227,22.0833,-80.0,8040.0,6726.67,6040.0,69311.8,57774.6,52023.3,White Marubozu,Tweezer Bottoms,None,-0.1364,-0.038,-0.038,0.0,-280.0,-2078.0,81612.0,348970037.0,0.3,-0.7087,27.87,0.0,1.13,0.0,2019-09-06
5,167,8.25,-0.01,-0.0012,8.25,8.25,8.25,0.0,22.8,6.75,8.23,7.48,8.63,9.34,8.41,8.64,9.14,10.04,8.42,8.67,9.26,11.29,SIDEWAYS,SIDEWAYS,DOWNTREND,44.0505,-0.0856,0.0297,LOW,-85.226,3.5639,-96.8553,3100.0,3553.33,3745.0,26258.7,29900.53,31477.6,White Marubozu,None,Three White Soldiers,-0.1477,-0.0012,-0.0155,0.0,0.0,-280.0,-1783.0,348693682.0,0.3,-0.7087,27.5,0.0,1.12,0.0,2019-10-03
6,173,8.15,-0.05,-0.0061,8.15,8.15,8.15,0.0,22.8,7.75,7.86,7.28,8.81,9.38,8.82,8.86,8.88,9.78,8.71,8.86,9.11,10.58,DOWNTREND,SIDEWAYS,SIDEWAYS,40.1504,-0.1221,0.0638,HIGH,-120.0868,20.3674,-72.2222,20200.0,17360.0,15740.0,164935.9,144377.4,132973.15,White Marubozu,Bullish Harami,None,-0.1581,-0.0061,-0.0061,96580.0,96580.0,105860.0,116408.0,348835475.0,0.29,-0.5735,28.1,0.0,1.11,0.0,2019-12-02
7,171,8.92,0.46,0.0544,8.22,8.0,8.92,0.0,22.8,7.76,8.08,7.79,9.15,10.24,9.13,8.85,8.94,9.86,8.99,8.98,9.2,10.73,DOWNTREND,UPTREND,SIDEWAYS,48.8627,0.0106,0.0619,HIGH,-133.8645,37.9244,-32.1678,19940.0,17260.0,23545.0,171212.3,150567.33,212661.55,White Long Day,None,None,-0.0785,-0.0346,-0.023,0.0,9280.0,11608.0,11328.0,348582955.0,0.29,-0.5735,30.76,0.0,1.21,0.0,2019-11-21
8,173,6.29,-0.46,-0.0681,6.21,6.13,6.29,0.0,22.8,6.11,6.11,6.11,7.2,8.92,7.7,8.57,8.6,9.59,7.48,8.17,8.68,10.17,DOWNTREND,DOWNTREND,SIDEWAYS,34.681,-0.4872,0.0853,HIGH,-140.7393,15.079,-91.1765,23120.0,17073.33,16860.0,156721.5,117620.47,121057.3,None,None,None,-0.3502,-0.2329,-0.0681,12240.0,10057.0,105857.0,117465.0,348825717.0,0.29,-0.5735,21.69,0.0,0.85,0.0,2019-12-23
9,167,8.6,0.0,0.0,8.6,8.6,8.6,0.0,22.8,6.75,8.26,7.48,8.9,9.38,8.45,8.79,9.28,10.2,8.51,8.78,9.39,11.5,SIDEWAYS,DOWNTREND,DOWNTREND,51.6236,-0.1202,0.0217,LOW,106.7058,55.456,-32.2034,3420.0,4300.0,5565.0,28598.1,36095.53,47575.15,White Marubozu,Bullish Harami,Three White Soldiers,-0.1116,-0.0104,0.0,0.0,0.0,-2078.0,76907.0,348607862.0,0.3,-0.7087,28.67,0.0,1.16,0.0,2019-09-24
