,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,171,1.07,-0.09,-0.0776,1.15,1.06,1.15,0.0,2.7,1.02,1.06,0.66,1.22,1.52,1.27,1.47,1.79,1.97,1.28,1.46,1.61,1.67,DOWNTREND,DOWNTREND,DOWNTREND,36.3195,-0.0909,0.0767,HIGH,-168.5016,23.2704,-90.566,34000.0,32400.0,26300.0,38876.0,38373.33,31448.5,Black Long Day,None,None,-0.5286,-0.1083,-0.1083,0.0,1550.0,1550.0,-43920.0,0.0,0.02,0.0,53.5,0.0,2.38,0.0,2019-10-22
1,175,1.02,-0.01,-0.0097,1.02,1.02,1.02,0.0,2.7,1.02,0.67,0.56,1.14,1.52,1.19,1.4,1.71,1.95,1.18,1.37,1.54,1.63,DOWNTREND,DOWNTREND,DOWNTREND,36.9855,-0.0991,0.0681,HIGH,-122.4395,8.4244,-100.0,62400.0,46533.33,42300.0,67409.0,50978.67,47765.0,White Marubozu,None,Three White Soldiers,-0.5507,-0.0097,-0.0097,-346560.0,-346560.0,-345010.0,-395640.0,0.0,0.05,0.25,20.4,0.0,2.04,0.0,2019-12-03
2,173,1.14,0.09,0.0857,1.14,1.14,1.14,0.0,2.7,1.02,1.05,0.64,1.24,1.52,1.21,1.42,1.74,1.97,1.22,1.4,1.57,1.64,DOWNTREND,DOWNTREND,DOWNTREND,42.4,-0.0969,0.0625,HIGH,-66.0872,13.8365,-77.3585,61600.0,45800.0,41900.0,66838.0,50459.33,47502.0,White Marubozu,None,None,-0.4978,0.0654,0.0459,-346560.0,-345010.0,-345010.0,-390480.0,0.0,0.05,0.25,22.8,0.0,2.28,0.0,2019-11-20
3,175,1.03,0.01,0.0098,1.03,1.03,1.03,0.0,2.7,1.02,1.02,0.7,1.14,1.52,1.18,1.38,1.7,1.94,1.17,1.36,1.53,1.62,DOWNTREND,DOWNTREND,DOWNTREND,37.7489,-0.0999,0.0633,HIGH,-102.4009,0.0,-95.4545,60900.0,44466.67,41000.0,65503.0,48634.67,46051.0,White Marubozu,None,Three White Soldiers,-0.5463,0.0,0.0,-346560.0,-346560.0,-345010.0,-406060.0,0.0,0.05,0.25,20.6,0.0,2.06,0.0,2019-12-09
4,169,1.28,0.0,0.0,1.27,1.27,1.28,0.0,2.7,1.05,1.27,1.16,1.46,1.62,1.44,1.6,1.85,1.94,1.41,1.58,1.7,1.72,DOWNTREND,DOWNTREND,DOWNTREND,27.2958,-0.0929,0.0339,NEUTRAL,-94.4295,3.41,-96.5517,19200.0,19333.33,25800.0,24969.0,26610.0,37998.0,White Marubozu,None,Three White Soldiers,-0.4361,0.0,0.0,0.0,0.0,-61050.0,-393820.0,0.0,0.02,0.0,64.0,0.0,2.84,0.0,2019-09-06
5,169,1.2,-0.02,-0.0164,1.2,1.2,1.2,0.0,2.7,1.02,1.04,0.7,1.24,1.52,1.31,1.5,1.81,1.96,1.32,1.48,1.63,1.68,DOWNTREND,DOWNTREND,DOWNTREND,41.5954,-0.0896,0.0698,HIGH,-81.7988,36.478,-66.0377,11300.0,17333.33,17450.0,14039.0,21895.33,22916.5,White Marubozu,None,None,-0.4714,-0.0625,-0.0323,0.0,1550.0,1550.0,-43920.0,0.0,0.02,0.0,60.0,0.0,2.67,0.0,2019-10-03
6,175,1.02,-0.01,-0.0097,1.02,1.02,1.02,0.0,2.7,1.02,0.67,0.56,1.14,1.52,1.19,1.4,1.71,1.95,1.18,1.37,1.54,1.63,DOWNTREND,DOWNTREND,DOWNTREND,36.9855,-0.0991,0.0681,HIGH,-122.4395,8.4244,-100.0,62400.0,46533.33,42300.0,67409.0,50978.67,47765.0,White Marubozu,None,Three White Soldiers,-0.5507,-0.0097,-0.0097,-346560.0,-346560.0,-345010.0,-395640.0,0.0,0.05,0.25,20.4,0.0,2.04,0.0,2019-12-02
7,173,1.14,0.09,0.0857,1.14,1.14,1.14,0.0,2.7,1.02,1.05,0.64,1.24,1.52,1.21,1.42,1.74,1.97,1.22,1.4,1.57,1.64,DOWNTREND,DOWNTREND,DOWNTREND,42.4,-0.0969,0.0625,HIGH,-66.0872,13.8365,-77.3585,61600.0,45800.0,41900.0,66838.0,50459.33,47502.0,White Marubozu,None,None,-0.4978,0.0654,0.0459,-346560.0,-345010.0,-345010.0,-390480.0,0.0,0.05,0.25,22.8,0.0,2.28,0.0,2019-11-21
8,175,1.0,-0.03,-0.0291,1.03,1.0,1.03,-21530.0,2.7,1.0,0.64,0.52,1.03,1.52,1.15,1.36,1.67,1.92,1.14,1.33,1.51,1.61,DOWNTREND,DOWNTREND,DOWNTREND,36.2221,-0.1007,0.0583,HIGH,-96.6787,3.0303,-100.0,63900.0,48600.0,40000.0,67658.0,52204.67,43579.0,Black Marubozu,Bearish Engulfing,None,-0.5595,-0.0291,-0.0291,-21530.0,-368090.0,-366540.0,-427590.0,0.0,0.05,0.25,20.0,0.0,2.0,0.0,2019-12-23
9,169,1.22,-0.02,-0.0161,1.23,1.22,1.23,0.0,2.7,1.02,1.04,0.67,1.4,1.54,1.34,1.52,1.82,1.96,1.34,1.51,1.64,1.69,DOWNTREND,DOWNTREND,DOWNTREND,42.4314,-0.091,0.0783,HIGH,-72.7887,39.6226,-62.2642,22200.0,17333.33,17650.0,28121.0,22076.0,23562.5,Black Marubozu,None,Evening Star,-0.4626,-0.0469,-0.0161,0.0,1550.0,1550.0,-122070.0,0.0,0.02,0.0,61.0,0.0,2.71,0.0,2019-09-24
