,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,172,1.15,-0.02,-0.0171,1.17,1.12,1.17,39200.0,1.54,0.99,1.12,1.02,1.17,1.21,1.14,1.14,1.12,1.12,1.15,1.14,1.13,1.16,SIDEWAYS,SIDEWAYS,SIDEWAYS,50.5173,-0.0017,0.040999999999999995,NEUTRAL,69.1928,70.8333,-37.5,79900.0,137066.67,146600.0,90385.0,154324.0,165376.5,None,Tweezer Tops,None,-0.0254,0.0088,0.0,76600.0,191000.0,45820.0,36570.0,74793350.0,-0.13,-7.5,-8.85,0.0,0.94,0.0,2019-10-22
1,176,0.98,0.0,0.0,0.95,0.94,0.98,42750.0,1.54,0.94,0.96,0.96,1.02,1.14,1.04,1.11,1.12,1.1,1.04,1.08,1.1,1.14,DOWNTREND,DOWNTREND,SIDEWAYS,31.4875,-0.0342,0.0365,NEUTRAL,-144.1618,25.6566,-63.6364,450200.0,372533.33,388050.0,452776.0,377558.67,401410.0,White Long Day,None,None,-0.1695,0.0103,0.0103,474000.0,605590.0,917190.0,911710.0,75957390.0,-0.2,-5.6667,-4.9,0.0,0.78,0.0,2019-12-03
2,174,1.02,-0.01,-0.0097,1.03,1.02,1.05,51000.0,1.54,0.99,1.01,1.0,1.05,1.21,1.11,1.14,1.13,1.11,1.09,1.12,1.12,1.15,DOWNTREND,SIDEWAYS,SIDEWAYS,29.3591,-0.0209,0.0375,NEUTRAL,-112.1389,5.0,-100.0,311200.0,289933.33,279450.0,331502.0,315825.33,310064.5,Shooting Star,None,None,-0.1356,-0.1356,-0.0286,51000.0,344400.0,425400.0,221720.0,75140670.0,-0.2,-5.6667,-5.1,0.0,0.82,0.0,2019-11-20
3,176,0.95,0.01,0.0106,0.94,0.94,0.95,0.0,1.54,0.9,0.92,0.92,0.98,1.08,1.01,1.09,1.11,1.1,1.01,1.06,1.09,1.13,DOWNTREND,DOWNTREND,SIDEWAYS,31.5871,-0.0397,0.0345,NEUTRAL,-111.1111,26.6667,-66.6667,344900.0,390800.0,381950.0,332547.0,386086.67,383268.5,White Marubozu,None,None,-0.1949,-0.0206,0.0106,162050.0,703890.0,997290.0,1187110.0,76076690.0,-0.2,-5.6667,-4.75,0.0,0.76,0.0,2019-12-09
4,170,1.21,0.02,0.0168,1.19,1.18,1.23,0.0,1.54,0.99,1.17,1.01,1.38,1.47,1.1,1.12,1.08,1.11,1.13,1.11,1.11,1.16,UPTREND,SIDEWAYS,SIDEWAYS,56.9058,0.0101,0.0656,HIGH,103.2605,52.381,-50.0,4741900.0,3285933.33,2488750.0,6015064.0,4142551.33,3132167.0,None,Tweezer Bottoms,None,0.0254,0.1,0.1,-354300.0,-35260.0,220500.0,77616110.0,74784370.0,-0.13,-7.5,-9.31,0.0,0.99,0.0,2019-09-06
5,170,1.1,-0.02,-0.0179,1.11,1.1,1.11,50600.0,1.54,0.99,1.07,1.02,1.15,1.23,1.17,1.13,1.1,1.12,1.15,1.14,1.13,1.16,DOWNTREND,UPTREND,SIDEWAYS,43.5564,0.0063,0.0438,NEUTRAL,-159.9843,12.1212,-100.0,222500.0,185533.33,258900.0,252631.0,212610.67,301795.5,Black Marubozu,None,None,-0.0678,-0.0351,-0.009000000000000001,50600.0,49420.0,-142950.0,76206850.0,74664360.0,-0.13,-7.5,-8.46,0.0,0.9,0.0,2019-10-03
6,176,0.98,0.01,0.0103,0.95,0.95,0.98,23750.0,1.54,0.95,0.96,0.96,1.03,1.18,1.05,1.11,1.12,1.1,1.04,1.09,1.11,1.14,DOWNTREND,DOWNTREND,SIDEWAYS,31.4875,-0.0332,0.0362,NEUTRAL,-140.1349,16.0995,-72.7273,452300.0,420000.0,405600.0,456011.0,428945.33,422584.0,White Marubozu,Tweezer Bottoms,None,-0.1695,0.0103,0.0103,431250.0,690540.0,874440.0,868960.0,75914640.0,-0.2,-5.6667,-4.9,0.0,0.78,0.0,2019-12-02
7,174,1.02,0.0,0.0,1.02,1.0,1.03,59590.0,1.54,0.99,1.01,1.0,1.05,1.21,1.11,1.14,1.13,1.1,1.09,1.12,1.12,1.15,DOWNTREND,SIDEWAYS,SIDEWAYS,29.3591,-0.0235,0.0369,NEUTRAL,-114.2551,0.0,-90.9091,392800.0,339333.33,331550.0,411316.0,361986.0,362526.0,Doji,None,None,-0.1356,-0.1356,-0.0286,110590.0,403990.0,484990.0,81310.0,75200260.0,-0.2,-5.6667,-5.1,0.0,0.82,0.0,2019-11-21
8,176,0.89,0.04,0.0471,0.87,0.84,0.89,0.0,1.44,0.8,0.8,0.8,0.92,1.03,0.93,1.04,1.08,1.08,0.93,1.01,1.05,1.11,DOWNTREND,DOWNTREND,DOWNTREND,39.6243,-0.0494,0.0432,NEUTRAL,-91.5835,33.3333,-50.0,456100.0,393333.33,400500.0,406627.0,353164.0,369587.0,None,None,None,-0.2458,-0.0825,0.0471,-300.0,161750.0,852290.0,1187990.0,76076390.0,-0.2,-5.6667,-4.45,0.0,0.71,0.0,2019-12-23
9,170,1.16,0.0,0.0,1.16,1.16,1.16,0.0,1.54,0.99,1.02,1.0,1.21,1.38,1.18,1.13,1.1,1.12,1.17,1.14,1.13,1.16,UPTREND,UPTREND,SIDEWAYS,49.8079,0.0245,0.0464,NEUTRAL,-32.1101,0.0,-100.0,169600.0,453400.0,2509150.0,201344.0,543807.33,3174339.5,White Marubozu,Tweezer Bottoms,None,-0.0169,0.0545,-0.0085,0.0,-367200.0,-192540.0,76622010.0,74614560.0,-0.13,-7.5,-8.92,0.0,0.95,0.0,2019-09-24
