,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,173,13.2,0.0,0.0,13.6,13.18,13.6,54120.0,16.2,9.29,13.08,12.55,13.62,14.03,13.18,13.59,13.67,13.34,13.28,13.5,13.55,13.45,SIDEWAYS,DOWNTREND,SIDEWAYS,45.9195,-0.1606,0.0235,LOW,50.218999999999994,63.2119,-52.8302,218800.0,169900.0,230485.0,2881230.4,2231833.47,3030104.1,Black Long Day,None,None,0.2865,0.0015,-0.0208,506578.0,3786608.0,-19307126.0,42347964.0,224236881.0,0.85,0.0625,15.53,0.0,1.8,0.0,2019-10-22
1,177,12.48,-0.08,-0.0064,12.58,12.1,12.58,-53964.0,16.2,9.9,12.08,11.09,12.73,13.38,12.66,12.99,13.47,13.5,12.61,12.96,13.21,13.29,DOWNTREND,SIDEWAYS,SIDEWAYS,41.916000000000004,-0.2286,0.0266,LOW,-58.3434,46.8376,-52.0,109150.0,130480.0,237335.0,1336791.4,1625776.53,3055248.5,Hanging Man,None,None,0.2164,-0.0016,-0.0016,-87962.0,3126188.0,35569518.0,17225318.0,257130295.0,0.87,0.0357,14.34,0.0,1.66,0.0,2019-12-03
2,175,12.54,0.04,0.0032,12.5,12.5,12.94,-36308.0,16.2,9.29,12.44,11.9,12.9,13.38,13.06,13.31,13.63,13.5,12.96,13.23,13.38,13.37,DOWNTREND,SIDEWAYS,SIDEWAYS,29.2805,-0.1275,0.0208,LOW,-126.7057,10.5688,-84.3137,365830.0,255220.0,213075.0,4776538.4,3334466.13,2787155.3,Inverted Hammer,None,None,0.2222,-0.0529,-0.011000000000000001,-421386.0,32883360.0,39469696.0,22446696.0,261237701.0,0.87,0.0357,14.41,0.0,1.67,0.0,2019-11-20
3,177,12.1,0.0,0.0,12.1,12.0,12.4,0.0,16.2,9.95,12.03,11.56,12.53,13.17,12.43,12.88,13.39,13.48,12.46,12.84,13.13,13.24,DOWNTREND,DOWNTREND,SIDEWAYS,33.6793,-0.2252,0.0266,LOW,-81.9858,8.9883,-89.3617,59020.0,93500.0,233455.0,723310.2,1145339.73,2993335.7,Doji,None,None,0.1793,-0.032,0.0,-170916.0,-544004.0,33578284.0,23940102.0,255893207.0,0.87,0.0357,13.91,0.0,1.61,0.0,2019-12-09
4,171,13.9,0.2,0.0146,13.8,13.7,14.0,0.0,16.2,9.29,13.41,12.64,13.98,14.44,13.72,13.95,13.97,12.81,13.76,13.81,13.65,13.43,SIDEWAYS,SIDEWAYS,SIDEWAYS,52.3225,-0.0614,0.0256,LOW,50.5506,35.6001,-47.9167,113970.0,205260.0,282925.0,1551885.4,2830832.67,3873729.5,None,None,None,0.3548,0.0014,0.0014,1129312.0,9927846.0,71413988.0,192869754.0,237388617.0,0.85,0.0625,16.35,0.0,1.89,0.0,2019-09-06
5,171,12.8,-0.06,-0.0047,12.84,12.7,12.84,393032.0,16.2,9.29,12.55,11.9,13.49,14.59,13.75,13.8,13.72,13.15,13.53,13.72,13.67,13.48,DOWNTREND,SIDEWAYS,SIDEWAYS,31.1546,-0.1184,0.0263,LOW,-161.5841,0.0,-77.2727,270310.0,334053.33,395515.0,3574196.0,4564758.93,5502287.4,Hanging Man,None,None,0.2476,-0.0288,-0.0433,-6354902.0,-14427798.0,-11514472.0,110923722.0,218997817.0,0.85,0.0625,15.06,0.0,1.74,0.0,2019-10-03
6,177,12.56,0.06,0.0048,12.5,12.2,12.86,-31194.0,16.2,9.9,12.06,11.56,12.73,13.38,12.7,13.02,13.48,13.5,12.63,12.98,13.23,13.29,DOWNTREND,SIDEWAYS,SIDEWAYS,44.1885,-0.2339,0.0256,LOW,-34.31,45.1233,-47.1698,119570.0,297486.67,237705.0,1466888.4,3823700.13,3061890.3,None,None,None,0.2242,0.0048,0.0048,-68930.0,30888798.0,35622028.0,21143106.0,257778023.0,0.87,0.0357,14.44,0.0,1.67,0.0,2019-12-02
7,175,12.48,-0.06,-0.0048,12.54,12.4,12.56,-94886.0,16.2,9.29,12.43,11.9,12.83,13.38,13.02,13.27,13.61,13.5,12.92,13.2,13.36,13.36,DOWNTREND,SIDEWAYS,SIDEWAYS,27.8983,-0.1441,0.0203,LOW,-146.3041,12.4183,-90.1961,362590.0,260000.0,213585.0,4725175.2,3392963.47,2790472.4,Hanging Man,Bearish Engulfing,None,0.2164,-0.0574,-0.0158,-461262.0,32656494.0,35941940.0,22351810.0,260870667.0,0.87,0.0357,14.34,0.0,1.66,0.0,2019-11-21
8,177,12.12,0.02,0.0017,12.16,11.7,12.36,-1665642.0,16.2,10.06,11.65,11.3,12.25,12.73,12.1,12.65,13.16,13.45,12.13,12.54,12.91,13.11,DOWNTREND,DOWNTREND,DOWNTREND,46.8038,-0.2403,0.0365,NEUTRAL,-16.7571,61.0912,-30.5085,383490.0,269446.67,221255.0,4586043.4,3224776.4,2654676.8,None,None,None,0.1813,-0.0304,0.0017,-4385380.0,-834776.0,30054022.0,32341340.0,254327633.0,0.87,0.0357,13.93,0.0,1.61,0.0,2019-12-23
9,171,13.74,0.1,0.0073,13.64,13.6,13.76,-1052692.0,16.2,9.29,13.62,12.93,14.03,14.59,13.91,13.94,13.87,13.04,13.92,13.89,13.74,13.5,UPTREND,SIDEWAYS,SIDEWAYS,45.7049,0.0411,0.0237,LOW,-66.6158,25.0215,-78.3333,488490.0,391826.67,325920.0,6959900.2,5564057.87,4610022.8,None,None,None,0.3392,-0.0101,-0.0087,-4401368.0,-9950554.0,13906386.0,128890184.0,225167243.0,0.85,0.0625,16.16,0.0,1.87,0.0,2019-09-24
