,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,175,12.52,-0.48,-0.0369,12.52,12.52,12.52,0.0,19.8,8.32,12.04,9.91,14.26,15.18,14.1,14.92,15.58,16.79,14.08,14.8,15.52,16.4,DOWNTREND,DOWNTREND,DOWNTREND,42.648,-0.35200000000000004,0.0977,HIGH,-124.8559,68.7466,-42.9967,720.0,640.0,785.0,8432.4,7869.6,10263.4,White Marubozu,None,Three White Soldiers,-0.23,-0.1731,-0.0369,0.0,0.0,0.0,0.0,0.0,0.25,0.0417,50.08,0.0,4.33,0.0,2019-10-22
1,179,11.56,-0.44,-0.0367,11.56,11.56,11.56,0.0,19.48,9.02,9.91,8.72,14.22,15.16,13.17,14.19,15.29,16.52,13.0,14.02,14.97,16.03,DOWNTREND,DOWNTREND,DOWNTREND,41.8376,-0.5682,0.0841,HIGH,-91.2838,7.7442,-100.0,470.0,580.0,595.0,5870.0,7347.73,7151.2,White Marubozu,None,Three White Soldiers,-0.2891,-0.1437,-0.012,0.0,0.0,0.0,0.0,0.0,0.27,-0.069,42.81,0.0,3.87,0.0,2019-12-03
2,177,14.22,1.72,0.1376,14.22,14.22,14.22,0.0,19.8,8.32,12.5,9.91,14.26,15.16,13.68,14.55,15.42,16.65,13.61,14.41,15.23,16.2,DOWNTREND,DOWNTREND,DOWNTREND,51.7988,-0.483,0.0729,HIGH,42.4775,71.5363,-15.0327,480.0,640.0,595.0,6214.6,7642.93,7353.8,White Marubozu,None,Three White Soldiers,-0.1255,0.0533,0.0533,0.0,0.0,0.0,0.0,0.0,0.27,-0.069,52.67,0.0,4.76,0.0,2019-11-20
3,179,11.56,-0.44,-0.0367,11.56,11.56,11.56,0.0,19.48,9.02,9.91,8.72,14.22,15.16,13.17,14.19,15.29,16.52,13.0,14.02,14.97,16.03,DOWNTREND,DOWNTREND,DOWNTREND,41.8376,-0.5682,0.0841,HIGH,-91.2838,7.7442,-100.0,470.0,580.0,595.0,5870.0,7347.73,7151.2,White Marubozu,None,Three White Soldiers,-0.2891,-0.1437,-0.012,0.0,0.0,0.0,0.0,0.0,0.27,-0.069,42.81,0.0,3.87,0.0,2019-12-09
4,173,15.14,4.34,0.4019,15.14,15.14,15.14,0.0,19.8,8.32,9.91,8.72,15.16,15.94,14.52,15.23,15.78,16.94,14.47,15.1,15.75,16.57,DOWNTREND,DOWNTREND,SIDEWAYS,51.9065,-0.3417,0.0793,HIGH,66.8616,68.2238,-0.6494,570.0,1246.67,1335.0,6806.2,17071.2,18592.8,White Marubozu,None,Three White Soldiers,-0.0689,-0.0013,-0.0013,0.0,0.0,0.0,0.0,0.0,0.25,0.0417,60.56,0.0,5.24,0.0,2019-09-06
5,173,13.28,-1.74,-0.1158,11.56,11.56,13.3,0.0,19.8,8.32,9.91,8.72,15.16,15.94,14.39,15.16,15.71,16.89,14.4,15.03,15.69,16.52,DOWNTREND,DOWNTREND,SIDEWAYS,45.066,-0.3297,0.0972,HIGH,-147.4537,88.6364,-30.8442,710.0,733.33,1410.0,8493.0,9363.6,19501.3,White Long Day,None,Three White Soldiers,-0.1833,-0.1229,-0.1229,0.0,0.0,0.0,0.0,0.0,0.25,0.0417,53.12,0.0,4.6,0.0,2019-10-03
6,179,11.56,-0.44,-0.0367,11.56,11.56,11.56,0.0,19.48,9.02,9.91,8.72,14.22,15.16,13.17,14.19,15.29,16.52,13.0,14.02,14.97,16.03,DOWNTREND,DOWNTREND,DOWNTREND,41.8376,-0.5682,0.0841,HIGH,-91.2838,7.7442,-100.0,470.0,580.0,595.0,5870.0,7347.73,7151.2,White Marubozu,None,Three White Soldiers,-0.2891,-0.1437,-0.012,0.0,0.0,0.0,0.0,0.0,0.27,-0.069,42.81,0.0,3.87,0.0,2019-12-02
7,177,14.22,1.72,0.1376,14.22,14.22,14.22,0.0,19.8,8.32,12.5,9.91,14.26,15.16,13.68,14.55,15.42,16.65,13.61,14.41,15.23,16.2,DOWNTREND,DOWNTREND,DOWNTREND,51.7988,-0.483,0.0729,HIGH,42.4775,71.5363,-15.0327,480.0,640.0,595.0,6214.6,7642.93,7353.8,White Marubozu,None,Three White Soldiers,-0.1255,0.0533,0.0533,0.0,0.0,0.0,0.0,0.0,0.27,-0.069,52.67,0.0,4.76,0.0,2019-11-21
8,179,11.5,-0.06,-0.0052,11.5,11.5,11.5,0.0,19.0,9.02,9.91,8.72,12.25,15.16,12.99,14.1,15.31,16.48,12.86,13.92,14.9,15.98,DOWNTREND,DOWNTREND,DOWNTREND,41.6031,-0.5979,0.0789,HIGH,-89.4914,0.0,-100.0,420.0,520.0,630.0,5161.8,6547.33,7535.4,White Marubozu,None,Three White Soldiers,-0.2927,-0.0052,-0.0052,0.0,0.0,0.0,0.0,0.0,0.27,-0.069,42.59,0.0,3.85,0.0,2019-12-23
9,173,15.14,4.34,0.4019,15.14,15.14,15.14,0.0,19.8,8.32,9.91,8.72,15.16,15.94,14.52,15.23,15.78,16.94,14.47,15.1,15.75,16.57,DOWNTREND,DOWNTREND,SIDEWAYS,51.9065,-0.3417,0.0793,HIGH,66.8616,68.2238,-0.6494,570.0,1246.67,1335.0,6806.2,17071.2,18592.8,White Marubozu,None,Three White Soldiers,-0.0689,-0.0013,-0.0013,0.0,0.0,0.0,0.0,0.0,0.25,0.0417,60.56,0.0,5.24,0.0,2019-09-24
