,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,176,71.9,1.1,0.0155,70.8,70.7,71.9,2091094.5,84.8,64.0,67.95,65.72,72.32,75.38,68.13,69.24,71.27,75.02,68.89,69.54,71.08,73.17,UPTREND,SIDEWAYS,SIDEWAYS,65.1226,-0.2217,0.0195,LOW,240.1489,97.0238,0.0,3283240.0,2840005.33,2825089.0,227117948.2,195098883.73,193333097.98,White Long Day,Bullish Engulfing,None,-0.1118,0.0512,0.0141,-221669464.5,-642375314.0,-1602381665.0,-3258777067.5,-10774846808.5,6.04,0.0922,11.9,0.0,0.96,0.0,2019-10-22
1,180,67.2,-0.3,-0.0044,67.0,66.5,68.05,-4151482.0,75.04,57.96,66.25,62.7,68.48,70.77,67.71,64.21,64.01,65.53,67.13,65.49,64.79,65.35,SIDEWAYS,UPTREND,SIDEWAYS,52.949,1.0414,0.0199,LOW,-66.6667,39.0303,-52.0,2765771.0,2437784.67,2358717.5,186477856.35,164543505.7,159331507.43,None,None,None,-0.0618,0.0143,0.0143,176160489.0,589915489.5,1356004336.04,-656858646.14,-8494644250.29,6.74,0.1482,9.97,0.0,0.88,0.0,2019-12-03
2,178,67.5,-0.4,-0.0059,67.9,67.05,68.1,36729726.0,75.04,57.96,67.0,62.83,68.08,70.77,66.81,62.98,63.64,65.82,66.51,64.59,64.24,65.14,UPTREND,UPTREND,SIDEWAYS,60.8959,1.5935,0.0164,LOW,42.3908,58.6491,-48.0769,2066435.0,2713966.0,2840644.9,139958892.9,183082263.83,192747793.98,None,None,None,-0.0577,-0.0015,-0.0059,228956075.5,923447284.5,565050141.79,-1577832064.76,-10399538015.01,6.74,0.1482,10.01,0.0,0.88,0.0,2019-11-20
3,180,68.2,0.25,0.0037,67.95,67.5,68.3,80409567.5,75.04,57.96,66.85,64.68,68.25,70.77,67.77,64.9,64.08,65.44,67.44,65.88,65.04,65.46,SIDEWAYS,UPTREND,SIDEWAYS,57.2159,0.8365,0.0181,LOW,79.0902,82.0,-12.0,2537004.0,2438775.33,2298050.0,171281064.4,164679134.1,155348998.05,Hammer,None,None,-0.0479,0.0294,0.0037,222172628.0,654533696.5,1689682574.5,277356539.13,-7924661550.88,6.74,0.1482,10.12,0.0,0.89,0.0,2019-12-09
4,174,70.1,0.1,0.0014,70.5,70.1,70.55,-72803336.0,84.8,64.0,69.9,64.4,71.0,76.28,70.86,72.74,73.29,76.12,71.17,72.32,73.47,74.97,SIDEWAYS,SIDEWAYS,SIDEWAYS,41.0006,-0.7829,0.0183,LOW,-106.6714,21.2666,-86.8852,2711139.0,2759494.0,2831144.5,192002182.05,195163169.8,200624912.65,Black Long Day,None,None,-0.134,-0.0113,-0.0113,-366726505.0,-690284326.5,-1461361850.0,-1754341489.0,-9363758298.5,6.04,0.0922,11.61,0.0,0.94,0.0,2019-09-06
5,174,65.95,-1.15,-0.0171,67.0,65.95,67.5,-87563390.5,84.8,64.0,64.4,64.0,68.8,71.82,68.32,70.69,71.78,75.78,68.22,70.02,71.78,73.79,DOWNTREND,DOWNTREND,SIDEWAYS,33.1343,-1.0455,0.0201,LOW,-129.7303,21.2851,-100.0,2608692.0,2410084.0,2720102.5,176170450.0,163695749.67,186524925.93,Black Long Day,None,None,-0.1853,-0.0358,-0.0142,-93937316.0,-647250667.0,-1765883374.0,-2590133400.0,-9892651058.0,6.04,0.0922,10.92,0.0,0.89,0.0,2019-10-03
6,180,67.5,1.25,0.0189,67.6,66.25,67.95,71741654.5,75.04,57.96,66.2,62.4,68.48,70.77,67.75,64.05,63.97,65.57,67.12,65.43,64.74,65.33,SIDEWAYS,UPTREND,SIDEWAYS,54.5499,1.1196,0.0195,LOW,-74.4268,49.696999999999996,-40.0,2681153.0,2412726.67,2546540.0,180834644.95,163009293.27,171894925.38,Spinning Top,None,None,-0.0577,0.0189,0.0189,240586614.5,684807095.5,1325690810.13,-711443440.36,-9040537746.57,6.74,0.1482,10.01,0.0,0.88,0.0,2019-12-02
7,178,66.95,-0.55,-0.0081,67.05,66.0,67.7,-6045659.5,75.04,57.96,66.48,62.83,68.02,70.77,66.99,63.08,63.68,65.78,66.55,64.68,64.29,65.16,UPTREND,UPTREND,SIDEWAYS,56.9645,1.5323,0.0172,LOW,-3.6443,51.2587,-65.4545,1850126.0,2437900.0,2834297.14,125177512.7,164408897.37,191880245.12,None,None,None,-0.0653,-0.0096,-0.013999999999999999,174068933.5,813024645.5,701107333.97,-1453996427.69,-10296959083.66,6.74,0.1482,9.93,0.0,0.87,0.0,2019-11-21
8,180,66.6,-1.4,-0.0206,67.9,66.2,67.9,-37899759.5,75.04,57.96,63.28,60.12,68.0,70.77,67.03,66.22,63.97,65.24,66.67,66.01,65.27,65.54,DOWNTREND,SIDEWAYS,SIDEWAYS,49.9779,0.0537,0.0263,LOW,0.5206,66.6667,-29.3103,3159763.0,2757848.67,2848383.5,207877190.8,182707498.0,189579127.6,Black Long Day,Bearish Harami,None,-0.0702,0.0053,-0.0206,-376061980.5,-151942395.5,532864700.0,457802238.32,-7954880434.67,6.74,0.1482,9.88,0.0,0.87,0.0,2019-12-23
9,174,67.75,0.5,0.0074,67.45,67.45,67.95,-69797152.0,84.8,64.0,67.25,64.4,68.55,72.28,69.52,72.03,72.28,76.12,69.3,70.93,72.47,74.27,DOWNTREND,DOWNTREND,SIDEWAYS,35.2501,-0.9607,0.0157,LOW,-133.9632,0.0,-85.0746,2942775.0,2900356.67,2866541.0,202470933.2,200827656.73,199772999.98,None,None,None,-0.1631,-0.0444,0.0037,-329770316.0,-1329932048.5,-2074600637.0,-2577012825.0,-9920130575.0,6.04,0.0922,11.22,0.0,0.91,0.0,2019-09-24
