,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,177,0.4,0.0,0.0,0.415,0.4,0.42,0.0,0.6,0.395,0.4,0.4,0.41,0.45,0.41,0.43,0.46,0.47,0.41,0.43,0.45,0.47,DOWNTREND,DOWNTREND,DOWNTREND,37.5617,-0.0113,0.0215,LOW,-35.8974,18.0952,-80.0,91000.0,220000.0,258500.0,36705.0,88890.0,105995.0,Black Long Day,Bearish Engulfing,None,-0.1398,-0.0476,0.0,0.0,-243000.0,-112500.0,21600.0,-747690.0,0.0,-1.0,0.0,0.0,20.0,0.0,2019-10-22
1,181,0.4,0.02,0.0526,0.38,0.38,0.4,0.0,0.6,0.38,0.38,0.38,0.42,0.44,0.4,0.41,0.44,0.46,0.4,0.41,0.43,0.45,DOWNTREND,DOWNTREND,DOWNTREND,49.6491,-0.0066,0.0245,LOW,-41.0774,0.0,-42.8571,118000.0,158000.0,162000.0,46270.0,62216.67,64307.5,White Marubozu,None,Three White Soldiers,-0.1398,0.0526,0.0526,11400.0,9850.0,9850.0,-13550.0,-494640.0,0.0,0.0,0.0,0.0,20.0,0.0,2019-12-03
2,179,0.39,0.0,0.0,0.39,0.39,0.39,0.0,0.6,0.38,0.39,0.39,0.42,0.44,0.4,0.42,0.45,0.46,0.4,0.42,0.44,0.46,DOWNTREND,DOWNTREND,DOWNTREND,40.4814,-0.0071,0.0245,LOW,-139.4558,19.4444,-83.3333,222000.0,180666.67,146500.0,87975.0,72163.33,58550.0,White Marubozu,Tweezer Bottoms,None,-0.1613,-0.0488,0.0,-1550.0,-1550.0,-118550.0,20050.0,-701220.0,0.0,0.0,0.0,0.0,19.5,0.0,2019-11-20
3,181,0.37,-0.01,-0.0263,0.375,0.37,0.375,59700.0,0.6,0.37,0.37,0.37,0.4,0.42,0.39,0.41,0.44,0.46,0.39,0.41,0.43,0.45,DOWNTREND,DOWNTREND,DOWNTREND,38.2274,-0.0068,0.0265,LOW,-176.1404,0.0,-100.0,118000.0,184000.0,178000.0,45460.0,71710.0,69835.0,Black Marubozu,None,None,-0.2043,-0.0263,-0.0263,112900.0,111350.0,111350.0,-1150.0,-393140.0,0.0,0.0,0.0,0.0,18.5,0.0,2019-12-09
4,175,0.46,0.015,0.0337,0.46,0.46,0.46,0.0,0.6,0.42,0.44,0.43,0.47,0.48,0.45,0.47,0.48,0.47,0.45,0.46,0.47,0.48,DOWNTREND,DOWNTREND,SIDEWAYS,51.3054,-0.0068,0.0315,NEUTRAL,56.2319,64.8148,-11.1111,136000.0,320666.67,291500.0,60930.0,141620.0,129805.0,White Marubozu,None,None,-0.0108,0.0,0.0,0.0,134100.0,134100.0,118100.0,-598340.0,0.0,-1.0,0.0,0.0,23.0,0.0,2019-09-06
5,175,0.405,-0.005,-0.0122,0.42,0.405,0.42,-243000.0,0.6,0.405,0.405,0.405,0.435,0.46,0.4373,0.4498,0.4694,0.4685,0.4333,0.4484,0.4603,0.4759,DOWNTREND,SIDEWAYS,DOWNTREND,33.1308,-0.0076,0.0261,LOW,-171.3251,0.0,-100.0,319000.0,244000.0,203000.0,133260.0,102670.0,85942.5,Black Marubozu,Bearish Engulfing,None,-0.129,-0.0357,-0.069,-117000.0,-112500.0,-23400.0,-17650.0,-747690.0001,0.0,-1.0,0.0,0.0,20.25,0.0,2019-10-03
6,181,0.4,0.02,0.0526,0.38,0.38,0.4,0.0,0.6,0.38,0.38,0.38,0.42,0.44,0.4,0.41,0.44,0.46,0.4,0.41,0.43,0.45,DOWNTREND,DOWNTREND,DOWNTREND,49.6491,-0.0066,0.0245,LOW,-41.0774,0.0,-42.8571,118000.0,158000.0,162000.0,46270.0,62216.67,64307.5,White Marubozu,None,Three White Soldiers,-0.1398,0.0526,0.0526,11400.0,9850.0,9850.0,-13550.0,-494640.0,0.0,0.0,0.0,0.0,20.0,0.0,2019-12-02
7,179,0.39,0.0,0.0,0.39,0.39,0.395,0.0,0.6,0.38,0.39,0.39,0.4,0.44,0.4,0.42,0.45,0.46,0.4,0.42,0.44,0.46,DOWNTREND,DOWNTREND,DOWNTREND,40.4814,-0.0072,0.0237,LOW,-111.7813,16.6667,-83.3333,238000.0,191333.33,151500.0,94210.0,76326.67,60472.5,Gravestone Doji,None,None,-0.1613,-0.0488,0.0,-1550.0,-1550.0,-118550.0,20050.0,-701220.0,0.0,0.0,0.0,0.0,19.5,0.0,2019-11-21
8,181,0.37,0.0,0.0,0.38,0.37,0.38,0.0,0.6,0.37,0.37,0.37,0.4,0.42,0.39,0.4,0.43,0.45,0.39,0.4,0.42,0.45,DOWNTREND,DOWNTREND,DOWNTREND,43.2727,-0.0072,0.0387,NEUTRAL,-103.4696,0.0,-100.0,172000.0,145333.33,188000.0,65435.0,55770.0,72880.0,Black Marubozu,None,None,-0.2043,-0.0263,-0.075,48100.0,161000.0,159450.0,46950.0,-374140.0,0.0,0.0,0.0,0.0,18.5,0.0,2019-12-23
9,175,0.435,0.0,0.0,0.435,0.43,0.435,0.0,0.6,0.42,0.4325,0.42,0.455,0.47,0.4463,0.4588,0.4748,0.4694,0.4463,0.457,0.466,0.4798,DOWNTREND,SIDEWAYS,SIDEWAYS,42.1729,-0.005,0.024,LOW,-139.8728,0.0,-83.3333,106000.0,88000.0,123500.0,46705.0,38943.3333,54945.0,Dragonfly Doji,None,None,-0.0645,-0.0543,-0.0114,4500.0,4500.0,138600.0,122600.0,-636360.0001,0.0,-1.0,0.0,0.0,21.75,0.0,2019-09-24
