,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,179,364.0,-1.0,-0.0027,364.6,362.6,366.6,669668.0,398.0,346.8,360.4,349.4,369.1,384.2,364.89,364.52,372.52,374.13,365.02,366.56,369.37,369.43,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.5903,-0.4006,0.0165,LOW,-3.8095,49.0972,-43.3333,140733.0,125958.67,146063.5,51109800.2,45682692.27,53253922.7,Spinning Top,None,None,-0.0421,-0.0162,0.0094,53274864.0,5389466.0,110304964.0,-10828748.0,3464694568.0,20.57,0.057,17.7,0.0,4.9,0.0,2019-10-22
1,183,322.4,0.4,0.0012,321.0,321.0,324.8,-3568184.0,398.0,313.2,315.0,293.6,323.7,349.9,331.08,349.0,358.91,368.1,329.9,343.61,354.34,361.09,DOWNTREND,DOWNTREND,SIDEWAYS,39.3159,-8.9945,0.0221,LOW,-57.4166,24.6046,-69.1275,229779.0,202042.67,184734.5,73555526.6,65538792.0,60612946.3,Inverted Hammer,None,None,-0.1516,0.0107,0.0107,-59754768.0,-227596784.0,-435925206.0,-319832576.0,2047161074.0,20.64,0.0228,15.62,0.0,4.33,0.0,2019-12-03
2,181,323.6,-6.6,-0.02,330.6,322.2,331.2,-21575618.0,398.0,322.2,322.9,293.6,340.5,364.4,344.95,357.7,364.72,370.3,343.68,353.61,361.0,364.9,DOWNTREND,DOWNTREND,SIDEWAYS,30.2735,-6.0891,0.0207,LOW,-193.245,0.0,-95.0355,138897.0,162393.33,184795.0,47111403.8,55624375.2,64095823.7,Black Long Day,None,Three Black Crows,-0.1484,-0.0437,-0.0426,-79190228.0,-142684662.0,-241041590.0,-112246206.0,2767505096.0,20.64,0.0228,15.68,0.0,4.34,0.0,2019-11-20
3,183,326.0,0.0,0.0,326.4,321.2,327.0,5200626.0,398.0,313.2,319.0,293.6,326.5,347.1,326.74,345.47,356.48,367.36,327.81,340.62,351.96,359.61,DOWNTREND,DOWNTREND,SIDEWAYS,44.3905,-8.1555,0.0203,LOW,-19.7526,52.72,-28.8889,204769.0,197710.67,185848.5,65475511.8,63417353.33,60311016.6,Hanging Man,None,None,-0.1421,0.0219,0.0,-36433038.0,-208826780.0,-398967256.0,-384976888.0,1920523982.0,20.64,0.0228,15.79,0.0,4.37,0.0,2019-12-09
4,177,358.0,-2.0,-0.0056,363.0,358.0,363.0,-19636728.0,398.0,329.4,357.5,344.2,364.0,384.2,362.48,372.74,375.83,377.0,363.83,369.37,372.72,370.83,SIDEWAYS,SIDEWAYS,SIDEWAYS,43.9039,-3.148,0.0198,LOW,-92.4574,37.3016,-70.2381,211606.0,196181.33,193310.5,76927777.2,71140068.53,70070256.9,Black Marubozu,Bearish Engulfing,None,-0.0579,-0.0192,-0.0192,-15312184.0,145924824.0,-142918974.0,-157885620.0,3548980618.0,20.57,0.057,17.4,0.0,4.82,0.0,2019-09-06
5,177,360.0,3.0,0.0084,365.0,357.2,365.0,-16726274.0,398.0,341.4,357.0,344.2,370.4,384.2,366.13,366.16,372.97,375.33,365.84,367.86,370.77,370.09,SIDEWAYS,SIDEWAYS,SIDEWAYS,44.3057,0.1676,0.0188,LOW,-84.0203,0.0,-82.3529,219209.0,197247.33,181421.0,80629819.8,72578436.93,66491032.6,None,Bearish Harami,None,-0.0526,-0.027000000000000003,-0.0083,13076638.0,67417312.0,212646136.0,-76844098.0,3533056192.0,20.57,0.057,17.5,0.0,4.85,0.0,2019-10-03
6,183,322.0,3.0,0.0094,321.8,320.0,322.0,5610364.0,398.0,313.2,314.1,293.6,323.5,350.1,332.41,349.92,359.52,368.32,330.69,344.48,354.99,361.48,DOWNTREND,DOWNTREND,SIDEWAYS,38.8992,-8.9968,0.0229,LOW,-72.4306,15.9442,-74.1176,230874.0,204003.33,203675.5,73975096.6,66314066.53,67319931.2,Hammer,None,None,-0.1526,0.0094,0.0094,-79220030.0,-226673316.0,-422065484.0,-323768438.0,2274509064.0,20.64,0.0228,15.6,0.0,4.32,0.0,2019-12-02
7,181,319.0,-4.6,-0.0142,327.0,316.0,327.0,-14310096.0,398.0,316.0,317.5,293.6,339.0,362.4,342.7,356.81,364.04,370.02,341.33,352.26,360.17,364.45,DOWNTREND,DOWNTREND,SIDEWAYS,28.084,-6.6258,0.0219,LOW,-204.4342,0.0,-91.2791,147854.0,168246.67,190949.0,49596356.2,57223682.8,65824756.4,Black Long Day,None,Three Black Crows,-0.1605,-0.0573,-0.0562,-60270700.0,-150610370.0,-245665530.0,-164300658.0,2695848706.0,20.64,0.0228,15.46,0.0,4.28,0.0,2019-11-21
8,183,299.8,13.6,0.0475,290.4,290.4,300.0,8473688.0,398.0,286.2,286.2,286.2,320.0,332.6,316.01,334.92,349.75,364.5,315.85,330.59,344.47,354.97,DOWNTREND,DOWNTREND,DOWNTREND,40.0708,-7.4426,0.0367,NEUTRAL,-207.6642,0.0,-66.6667,304877.0,247046.0,254823.0,92257848.2,75605854.4,78866680.0,White Long Day,Bullish Harami,None,-0.2111,-0.0602,0.0475,-114649698.0,-136039158.0,-362712474.0,-503347234.0,1173390538.0,20.64,0.0228,14.53,0.0,4.02,0.0,2019-12-23
9,177,368.0,0.0,0.0,368.0,367.0,370.0,-12853222.0,398.0,329.4,367.5,356.1,374.0,390.0,365.31,368.48,374.24,376.09,366.96,368.73,371.6,370.44,UPTREND,SIDEWAYS,SIDEWAYS,51.0698,0.0093,0.0163,LOW,57.441,70.2381,-35.7143,186638.0,175702.0,183032.5,68721406.0,64280734.67,66869529.5,Doji,None,None,-0.0316,0.0082,-0.0081,-23792322.0,-11270960.0,81194208.0,-15506288.0,3554408218.0,20.57,0.057,17.89,0.0,4.96,0.0,2019-09-24
