,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,180,765.0,5.0,0.0066,765.0,765.0,765.0,0.0,835.0,710.0,750.0,720.0,770.0,795.0,763.3,757.11,774.45,800.85,761.99,762.82,774.53,796.43,UPTREND,SIDEWAYS,SIDEWAYS,51.9516,2.9254,0.0119,LOW,6.86,38.8889,-50.0,179.0,173.33,261.0,135730.0,131313.33,197945.0,White Marubozu,Bullish Harami,None,0.02,0.02,0.0066,-255150.0,-255150.0,-255150.0,-671950.0,-2648615.0,2.87,1.899,266.55,0.0,33.42,0.0,2019-10-22
1,184,805.0,0.0,0.0,805.5,805.0,805.5,0.0,850.0,710.0,803.0,740.0,821.25,850.0,795.9,770.28,775.18,794.51,801.46,784.09,783.04,797.46,UPTREND,UPTREND,SIDEWAYS,54.2591,15.279000000000002,0.0191,LOW,27.7628,54.4346,-54.878,537.0,457.33,408.5,434134.0,365816.0,324189.0,Black Marubozu,Bearish Engulfing,None,0.0733,0.0,0.0,0.0,0.0,-255150.0,-255150.0,-2760765.0,2.45,1.0082,328.57,0.0,34.24,0.0,2019-12-03
2,182,834.5,-14.5,-0.0171,806.5,806.0,839.5,0.0,850.0,710.0,815.0,740.0,850.0,879.5,785.05,764.48,774.46,796.23,796.11,778.32,780.17,796.8,UPTREND,SIDEWAYS,SIDEWAYS,66.9472,12.7397,0.0202,LOW,108.7496,94.8485,-14.0909,405.0,357.33,317.0,322797.0,281634.0,248198.5,White Long Day,None,None,0.1127,0.0866,-0.0171,0.0,0.0,-255150.0,-515950.0,-2760765.0,2.45,1.0082,340.61,0.0,35.5,0.0,2019-11-20
3,184,800.0,-5.0,-0.0062,800.0,800.0,800.0,-80000.0,850.0,710.0,768.0,740.0,814.5,850.0,797.9,772.08,775.18,794.04,801.32,784.71,783.37,797.48,UPTREND,UPTREND,SIDEWAYS,52.0063,14.6446,0.0183,LOW,11.3491,45.873999999999995,-62.5,559.0,450.0,422.0,451164.0,362382.67,335689.0,White Marubozu,None,None,0.0667,-0.0062,-0.0062,-80000.0,-80000.0,-335150.0,-335150.0,-2840765.0,2.45,1.0082,326.53,0.0,34.03,0.0,2019-12-09
4,178,750.0,0.0,0.0,750.0,750.0,750.0,0.0,849.0,710.0,710.0,650.0,751.5,790.0,752.4,769.18,784.58,814.52,751.87,765.79,783.51,806.47,DOWNTREND,SIDEWAYS,SIDEWAYS,48.3041,-8.3594,0.0191,LOW,-17.8446,65.5556,-20.0,164.0,222.67,221.0,122433.0,166815.33,166310.5,White Marubozu,Bullish Harami,None,0.0,0.0,0.0,0.0,0.0,-401200.0,-851900.0,-2653415.0,2.87,1.899,261.32,0.0,32.77,0.0,2019-09-06
5,178,780.0,30.0,0.04,780.0,780.0,780.0,0.0,835.0,710.0,750.0,710.0,790.0,821.0,749.05,757.51,777.69,805.85,754.56,760.72,776.4,799.84,UPTREND,SIDEWAYS,SIDEWAYS,59.324,-1.6713,0.0168,LOW,200.513,69.4444,0.0,369.0,298.67,256.0,279773.5,225818.33,193227.25,White Marubozu,None,None,0.04,0.04,0.0331,0.0,0.0,0.0,-971900.0,-2281715.0,2.87,1.899,271.78,0.0,34.08,0.0,2019-10-03
6,184,805.0,-4.5,-0.0056,805.0,805.0,805.0,0.0,850.0,710.0,803.0,740.0,837.0,879.5,793.15,769.22,775.28,794.74,801.09,783.23,782.59,797.38,UPTREND,UPTREND,SIDEWAYS,54.2591,15.6167,0.0205,LOW,32.1085,61.9697,-45.0,496.0,422.67,402.5,400636.5,336634.33,317192.75,White Marubozu,Bullish Harami,Three White Soldiers,0.0733,0.0482,-0.0117,0.0,0.0,-255150.0,-370150.0,-2760765.0,2.45,1.0082,328.57,0.0,34.24,0.0,2019-12-02
7,182,818.0,-16.5,-0.0198,802.0,802.0,824.5,0.0,850.0,710.0,810.0,740.0,850.0,879.5,787.45,765.64,774.64,795.82,798.19,779.88,780.92,797.01,UPTREND,SIDEWAYS,SIDEWAYS,59.6804,14.2507,0.0219,LOW,69.3994,85.303,-29.0909,426.0,396.67,361.5,343513.5,314211.67,284006.75,White Long Day,None,None,0.0907,0.0651,-0.0365,0.0,0.0,-255150.0,-515950.0,-2760765.0,2.45,1.0082,333.88,0.0,34.79,0.0,2019-11-21
8,184,849.0,14.0,0.0168,835.0,835.0,849.0,159770.0,850.0,710.0,800.0,750.0,850.0,879.5,814.33,780.05,776.67,794.2,814.08,792.85,787.7,799.14,UPTREND,UPTREND,SIDEWAYS,66.3041,14.8372,0.017,LOW,102.3882,82.1905,-2.0,440.0,464.0,422.5,356406.0,376408.67,339601.5,White Marubozu,None,Three White Soldiers,0.132,0.0547,0.0113,313350.0,313350.0,58200.0,58200.0,-2447415.0,2.45,1.0082,346.53,0.0,36.11,0.0,2019-12-23
9,178,760.0,0.0,0.0,760.0,760.0,760.0,0.0,849.0,710.0,750.25,710.0,770.0,795.0,744.9,759.41,778.09,807.85,750.91,760.58,777.65,801.41,SIDEWAYS,SIDEWAYS,SIDEWAYS,52.8058,-4.6295,0.0177,LOW,77.5236,65.3175,-33.3333,367.0,286.67,244.5,277512.5,216326.33,184222.75,White Marubozu,Bullish Harami,None,0.0133,0.0133,0.0066,0.0,0.0,-260800.0,-971900.0,-2219465.0,2.87,1.899,264.81,0.0,33.2,0.0,2019-09-24
10,184,805.0,-4.5,-0.0056,805.0,805.0,805.0,0.0,850.0,710.0,803.0,740.0,837.0,879.5,793.15,769.22,775.28,794.74,801.09,783.23,782.59,797.38,UPTREND,UPTREND,SIDEWAYS,54.2591,15.6167,0.0205,LOW,32.1085,61.9697,-45.0,496.0,422.67,402.5,400636.5,336634.33,317192.75,White Marubozu,Bullish Harami,Three White Soldiers,0.0733,0.0482,-0.0117,0.0,0.0,-255150.0,-370150.0,-2760765.0,2.45,1.0082,328.57,0.0,34.24,0.0,2019-11-29
11,178,755.0,0.0,0.0,755.0,755.0,765.0,0.0,849.0,710.0,720.0,650.0,760.0,790.0,745.1,762.29,780.33,810.52,748.01,761.27,779.41,803.24,SIDEWAYS,SIDEWAYS,SIDEWAYS,51.1926,-7.6792,0.0191,LOW,71.2317,89.8694,-18.1818,193.0,167.33,210.5,144938.5,125243.67,157827.75,Gravestone Doji,None,None,0.0067,0.0067,0.0,0.0,0.0,-260800.0,-971900.0,-2571715.0,2.87,1.899,263.07,0.0,32.98,0.0,2019-09-16
12,180,770.0,-5.0,-0.0065,770.0,770.0,770.0,0.0,835.0,710.0,750.0,720.0,775.0,804.0,758.8,758.81,775.44,802.75,763.32,763.49,775.84,797.96,UPTREND,SIDEWAYS,SIDEWAYS,54.275,3.4278,0.0117,LOW,61.346000000000004,72.2222,-33.3333,103.0,222.67,210.5,78251.0,169060.67,159511.75,White Marubozu,None,Three White Soldiers,0.0267,0.0267,0.0,0.0,0.0,0.0,-604250.0,-2352515.0,2.87,1.899,268.29,0.0,33.64,0.0,2019-10-16
13,178,710.0,-40.0,-0.0533,710.0,710.0,711.0,0.0,849.0,710.0,700.0,650.0,753.5,790.0,756.9,773.98,788.63,818.62,753.08,769.29,787.03,809.37,DOWNTREND,SIDEWAYS,SIDEWAYS,37.66,-8.4815,0.0245,LOW,-214.4042,33.3333,-100.0,228.0,224.0,191.5,170717.0,168743.33,144578.25,Gravestone Doji,None,None,-0.0533,-0.0779,-0.0533,0.0,-115000.0,-416800.0,-851900.0,-2359415.0,2.87,1.899,247.39,0.0,31.02,0.0,2019-08-28
14,178,750.0,-5.0,-0.0066,760.0,750.0,760.0,0.0,835.0,710.0,720.0,670.0,760.0,790.0,747.55,757.51,777.64,806.1,751.88,759.93,776.33,800.04,UPTREND,SIDEWAYS,SIDEWAYS,48.6825,-2.5435,0.0157,LOW,33.7079,58.3333,-50.0,386.0,332.67,256.0,292493.5,251302.33,193212.25,Black Marubozu,Bearish Engulfing,None,0.0,0.0,-0.0066,0.0,0.0,0.0,-971900.0,-2281715.0,2.87,1.899,261.32,0.0,32.77,0.0,2019-09-30
15,184,800.0,-5.0,-0.0062,800.0,800.0,800.0,-80000.0,850.0,710.0,768.0,740.0,814.5,850.0,797.9,772.08,775.18,794.04,801.32,784.71,783.37,797.48,UPTREND,UPTREND,SIDEWAYS,52.0063,14.6446,0.0183,LOW,11.3491,45.873999999999995,-62.5,559.0,450.0,422.0,451164.0,362382.67,335689.0,White Marubozu,None,None,0.0667,-0.0062,-0.0062,-80000.0,-80000.0,-335150.0,-335150.0,-2840765.0,2.45,1.0082,326.53,0.0,34.03,0.0,2019-12-10
16,178,750.0,40.0,0.0563,750.0,750.0,750.0,0.0,849.0,710.0,710.0,650.0,760.0,790.0,755.15,773.28,787.83,817.7,752.78,768.53,786.3,808.78,DOWNTREND,SIDEWAYS,SIDEWAYS,48.3041,-8.916,0.0253,LOW,-29.2914,0.0,-50.0,220.0,214.67,191.5,164517.0,161550.33,144543.25,White Marubozu,None,None,0.0,-0.026000000000000002,0.0,0.0,0.0,-416800.0,-851900.0,-2611415.0,2.87,1.899,261.32,0.0,32.77,0.0,2019-08-29
17,181,805.0,30.0,0.0387,780.0,780.0,810.0,0.0,835.0,710.0,750.0,720.0,807.5,835.0,767.15,757.34,772.38,797.07,766.38,764.28,773.7,794.5,SIDEWAYS,SIDEWAYS,SIDEWAYS,65.6677,2.1491,0.0139,LOW,238.3803,92.8571,-7.1429,280.0,252.0,206.0,214244.0,192126.67,157005.0,White Long Day,None,Three White Soldiers,0.0733,0.0482,0.0482,0.0,-255150.0,-255150.0,-656350.0,-2760765.0,2.87,1.899,280.49,0.0,35.17,0.0,2019-11-06
18,184,800.0,-5.0,-0.0062,800.0,800.0,800.0,-80000.0,850.0,710.0,768.0,740.0,814.5,850.0,797.9,772.08,775.18,794.04,801.32,784.71,783.37,797.48,UPTREND,UPTREND,SIDEWAYS,52.0063,14.6446,0.0183,LOW,11.3491,45.873999999999995,-62.5,559.0,450.0,422.0,451164.0,362382.67,335689.0,White Marubozu,None,None,0.0667,-0.0062,-0.0062,-80000.0,-80000.0,-335150.0,-335150.0,-2840765.0,2.45,1.0082,326.53,0.0,34.03,0.0,2019-12-12
