,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,182,0.187,0.0,0.0,0.187,0.187,0.187,3740.0,0.27,0.16,0.183,0.17,0.2,0.209,0.1922,0.1912,0.1915,0.1889,0.1916,0.1917,0.1914,0.1916,DOWNTREND,SIDEWAYS,SIDEWAYS,47.7787,-0.0002,0.0501,HIGH,-58.1854,36.1111,-79.1667,108000.0,124666.6667,148500.0,20219.0,23768.0,28378.0,White Marubozu,Bullish Harami,Three White Soldiers,0.0625,-0.0788,0.0,3740.0,3740.0,47460.0,24730.0,4176399.9999,0.0,0.0,0.0,0.0,1.1,0.0,2019-10-22
1,186,0.18100000000000002,-0.001,-0.0055,0.18100000000000002,0.18100000000000002,0.18100000000000002,0.0,0.27,0.162,0.171,0.165,0.182,0.201,0.187,0.1902,0.1898,0.1895,0.1862,0.1888,0.1899,0.1908,DOWNTREND,SIDEWAYS,SIDEWAYS,44.9328,-0.0021,0.0287,LOW,-88.5661,0.0,-100.0,206000.0,158666.6667,157000.0,37724.0,29150.0,28978.0,White Marubozu,None,Three White Soldiers,0.0284,-0.0055,-0.0055,0.0,16790.0,18890.0,15320.0,3953340.0,0.0,0.0,0.0,0.0,1.06,0.0,2019-12-03
2,184,0.182,0.0,0.0,0.182,0.182,0.182,0.0,0.27,0.162,0.17,0.165,0.19,0.201,0.188,0.1906,0.1905,0.1893,0.1877,0.1898,0.1904,0.191,DOWNTREND,SIDEWAYS,SIDEWAYS,45.6267,-0.0017,0.0351,NEUTRAL,-99.4264,0.0,-100.0,76000.0,74666.6667,100000.0,14195.0,14011.3333,18721.0,White Marubozu,Bullish Harami,Three White Soldiers,0.0341,-0.0055,-0.0421,0.0,16790.0,34170.0,34020.0,3953340.0,0.0,0.0,0.0,0.0,1.07,0.0,2019-11-20
3,186,0.16399999999999998,-0.015,-0.0838,0.179,0.161,0.179,0.0,0.27,0.161,0.1625,0.16,0.182,0.2,0.1846,0.1893,0.1892,0.1897,0.1829,0.1872,0.18899999999999997,0.1903,DOWNTREND,SIDEWAYS,SIDEWAYS,34.0664,-0.0028,0.034,NEUTRAL,-251.2821,0.0,-89.6552,493000.0,342000.0,275000.0,86909.0,60437.3333,48835.0,Black Long Day,None,Three Black Crows,-0.0682,-0.0989,-0.0838,-81000.0,-67950.0,-64210.0,-32460.0,3822170.0,0.0,0.0,0.0,0.0,0.96,0.0,2019-12-09
4,180,0.20800000000000002,0.001,0.0048,0.195,0.195,0.20800000000000002,11830.0,0.27,0.16,0.1855,0.1765,0.2095,0.22,0.1904,0.1892,0.1923,0.1884,0.1928,0.1909,0.1908,0.1913,UPTREND,SIDEWAYS,SIDEWAYS,63.2095,0.001,0.0405,NEUTRAL,167.2698,85.0,-10.7143,451000.0,423333.3333,359500.0,87817.0,81272.0,68884.0,White Marubozu,None,None,0.1818,0.0246,0.0246,26340.0,8700.0,-150.0,3610.0,4383749.9999,0.0,0.0,0.0,0.0,1.22,0.0,2019-09-06
5,180,0.18899999999999997,0.0,0.0,0.18899999999999997,0.18899999999999997,0.18899999999999997,0.0,0.27,0.16,0.187,0.17,0.20600000000000002,0.214,0.1949,0.1908,0.1919,0.1886,0.1941,0.1924,0.1917,0.1917,SIDEWAYS,SIDEWAYS,SIDEWAYS,47.3242,0.0017,0.0438,NEUTRAL,-47.4334,28.2051,-100.0,189000.0,228666.6667,305500.0,36537.0,44835.3333,59254.0,White Marubozu,Bullish Harami,None,0.0739,-0.069,-0.0825,0.0,39660.0,26080.0,20990.0,4259709.9999,0.0,0.0,0.0,0.0,1.11,0.0,2019-10-03
6,186,0.18100000000000002,-0.001,-0.0055,0.18100000000000002,0.18100000000000002,0.18100000000000002,0.0,0.27,0.162,0.171,0.165,0.182,0.201,0.187,0.1902,0.1898,0.1895,0.1862,0.1888,0.1899,0.1908,DOWNTREND,SIDEWAYS,SIDEWAYS,44.9328,-0.0021,0.0287,LOW,-88.5661,0.0,-100.0,206000.0,158666.6667,157000.0,37724.0,29150.0,28978.0,White Marubozu,None,Three White Soldiers,0.0284,-0.0055,-0.0055,0.0,16790.0,18890.0,15320.0,3953340.0,0.0,0.0,0.0,0.0,1.06,0.0,2019-12-02
7,184,0.182,0.0,0.0,0.182,0.182,0.182,0.0,0.27,0.162,0.17,0.165,0.19,0.201,0.1877,0.1905,0.1902,0.1893,0.1872,0.1895,0.1903,0.1909,DOWNTREND,SIDEWAYS,SIDEWAYS,45.6267,-0.0018,0.0326,NEUTRAL,-89.4009,0.0,-100.0,170000.0,138000.0,139000.0,31293.0,25538.0,25756.0,White Marubozu,Bullish Harami,Three White Soldiers,0.0341,-0.0055,-0.0421,0.0,16790.0,34170.0,34020.0,3953340.0,0.0,0.0,0.0,0.0,1.07,0.0,2019-11-21
8,186,0.153,0.0,0.0,0.153,0.153,0.153,0.0,0.27,0.153,0.153,0.153,0.155,0.19,0.1725,0.1851,0.1867,0.1891,0.1689,0.1794,0.1846,0.1879,DOWNTREND,DOWNTREND,SIDEWAYS,29.8274,-0.0073,0.0281,LOW,-108.0315,0.0,-100.0,678000.0,553333.3333,442000.0,111356.0,92666.6667,74540.0,White Marubozu,Tweezer Bottoms,None,-0.1307,-0.1593,-0.0129,-1530.0,-402530.0,-385740.0,-359660.0,3332490.0,0.0,0.0,0.0,0.0,0.9,0.0,2019-12-23
9,180,0.20800000000000002,0.019,0.1005,0.18899999999999997,0.18899999999999997,0.21,2100.0,0.27,0.16,0.18899999999999997,0.183,0.209,0.22,0.1923,0.1899,0.192,0.1884,0.1941,0.1919,0.1914,0.1916,UPTREND,SIDEWAYS,SIDEWAYS,60.3652,0.002,0.0394,NEUTRAL,103.0332,44.0476,-10.7143,236000.0,387333.3333,365500.0,46526.0,75200.0,70269.5,White Long Day,None,None,0.1818,0.0246,0.1005,17380.0,26080.0,4290.0,20990.0,4373869.9999,0.0,0.0,0.0,0.0,1.22,0.0,2019-09-24
