,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,183,0.6,-0.01,-0.0164,0.61,0.6,0.61,0.0,0.82,0.5,0.58,0.56,0.61,0.66,0.6,0.62,0.63,0.6,0.6,0.62,0.62,0.61,SIDEWAYS,DOWNTREND,SIDEWAYS,46.751999999999995,-0.0108,0.0454,NEUTRAL,134.7905,82.2222,-20.0,199800.0,319533.33,380850.0,118362.0,186137.33,222078.0,Black Marubozu,Tweezer Tops,None,0.0169,0.0169,0.0169,0.0,1010480.0,1017030.0,3810030.0,-12565850.0,-0.58,-10.6667,-1.03,0.0,1.13,0.0,2019-10-22
1,187,0.57,0.01,0.0179,0.55,0.55,0.57,0.0,0.82,0.51,0.55,0.52,0.58,0.6,0.57,0.59,0.62,0.6,0.57,0.59,0.6,0.6,DOWNTREND,DOWNTREND,DOWNTREND,47.1985,-0.009000000000000001,0.0493,NEUTRAL,-46.595,46.6667,-40.0,171200.0,184333.33,225050.0,95239.0,101946.0,124598.0,White Marubozu,None,None,-0.0339,0.0179,0.0179,28560.0,50860.0,194410.0,1211440.0,-12957620.0,-0.8,-4.3333,-0.71,0.0,0.92,0.0,2019-12-03
2,185,0.55,-0.02,-0.0351,0.56,0.55,0.59,0.0,0.82,0.51,0.54,0.52,0.58,0.61,0.59,0.6,0.63,0.6,0.58,0.6,0.61,0.6,DOWNTREND,DOWNTREND,SIDEWAYS,33.3832,-0.0094,0.0532,HIGH,-72.5926,33.3333,-83.3333,188000.0,302866.67,246400.0,103899.0,169929.33,138932.0,Shooting Star,None,None,-0.0678,-0.0678,-0.0351,16800.0,160350.0,818930.0,1144380.0,-12709530.0,-0.8,-4.3333,-0.69,0.0,0.89,0.0,2019-11-20
3,187,0.57,0.01,0.0179,0.56,0.56,0.57,0.0,0.82,0.51,0.56,0.54,0.58,0.6,0.57,0.58,0.62,0.6,0.57,0.59,0.6,0.6,DOWNTREND,SIDEWAYS,DOWNTREND,47.8734,-0.0077,0.0433,NEUTRAL,4.1667,53.3333,-40.0,123500.0,155733.33,146500.0,68283.0,86163.33,81075.0,White Marubozu,None,Three White Soldiers,-0.0339,0.0179,0.0179,0.0,50860.0,194410.0,1211440.0,-12879200.0,-0.8,-4.3333,-0.71,0.0,0.92,0.0,2019-12-09
4,181,0.66,0.01,0.0154,0.65,0.62,0.66,0.0,0.82,0.5,0.64,0.57,0.67,0.77,0.64,0.65,0.61,0.6,0.65,0.64,0.62,0.61,UPTREND,SIDEWAYS,UPTREND,53.778999999999996,-0.0027,0.0649,HIGH,50.9554,68.8889,-26.6667,1053200.0,1437666.67,1579500.0,665868.0,875881.33,980765.0,Hammer,None,None,0.1186,0.0,0.0,0.0,98500.0,2793000.0,-5317710.0,26030330.0,-0.58,-10.6667,-1.14,0.0,1.25,0.0,2019-09-06
5,181,0.59,0.0,0.0,0.58,0.58,0.6,0.0,0.82,0.5,0.57,0.52,0.6,0.66,0.63,0.65,0.62,0.6,0.62,0.63,0.62,0.61,DOWNTREND,SIDEWAYS,SIDEWAYS,30.1935,-0.0095,0.0582,HIGH,-89.1448,34.2424,-63.6364,547500.0,415333.33,364550.0,321751.0,246684.67,218303.0,None,None,None,0.0,0.0,0.0,134200.0,140750.0,107750.0,2216270.0,-5397020.0,-0.58,-10.6667,-1.02,0.0,1.11,0.0,2019-10-03
6,187,0.57,0.01,0.0179,0.55,0.55,0.57,0.0,0.82,0.51,0.55,0.52,0.58,0.6,0.57,0.59,0.62,0.6,0.57,0.59,0.6,0.6,DOWNTREND,DOWNTREND,DOWNTREND,47.1985,-0.009000000000000001,0.0493,NEUTRAL,-46.595,46.6667,-40.0,171200.0,184333.33,225050.0,95239.0,101946.0,124598.0,White Marubozu,None,None,-0.0339,0.0179,0.0179,28560.0,50860.0,194410.0,1211440.0,-12957620.0,-0.8,-4.3333,-0.71,0.0,0.92,0.0,2019-12-02
7,185,0.58,0.03,0.0545,0.55,0.54,0.58,0.0,0.82,0.51,0.54,0.52,0.59,0.61,0.58,0.6,0.63,0.6,0.58,0.6,0.61,0.6,DOWNTREND,DOWNTREND,DOWNTREND,47.8753,-0.0096,0.0518,HIGH,-52.1198,44.4444,-33.3333,199400.0,224200.0,243950.0,110265.0,124176.0,137135.5,White Long Day,None,None,-0.0169,-0.0169,0.0175,16800.0,101640.0,639570.0,1144380.0,-12709530.0,-0.8,-4.3333,-0.73,0.0,0.94,0.0,2019-11-21
8,187,0.57,0.01,0.0179,0.55,0.54,0.57,0.0,0.82,0.51,0.55,0.52,0.58,0.6,0.57,0.58,0.61,0.6,0.57,0.58,0.6,0.6,SIDEWAYS,SIDEWAYS,DOWNTREND,48.4103,-0.0038,0.039,NEUTRAL,-87.3269,75.0,-25.0,100600.0,114000.0,118850.0,56578.0,63606.67,66265.5,White Long Day,None,Three White Soldiers,-0.0339,0.0179,0.0179,-29060.0,-500.0,70520.0,1182380.0,-13296360.0,-0.8,-4.3333,-0.71,0.0,0.92,0.0,2019-12-23
9,181,0.65,0.0,0.0,0.63,0.59,0.66,0.0,0.82,0.5,0.62,0.57,0.66,0.68,0.65,0.65,0.62,0.6,0.65,0.64,0.63,0.61,SIDEWAYS,SIDEWAYS,UPTREND,50.213,0.0014,0.057,HIGH,-153.5226,84.12700000000001,-14.2857,289300.0,233200.0,559000.0,181103.0,146340.67,357334.0,None,None,None,0.1017,-0.0152,0.0,650.0,650.0,114650.0,812460.0,5615360.0,-0.58,-10.6667,-1.12,0.0,1.23,0.0,2019-09-24
