,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,185,3.4,-0.02,-0.0058,3.4,3.4,3.4,0.0,4.2,2.85,3.33,3.2,3.42,3.55,3.41,3.3,3.37,3.42,3.39,3.36,3.36,3.35,DOWNTREND,UPTREND,SIDEWAYS,52.1958,0.0207,0.0191,LOW,3.1299,51.2464,-43.4783,37000.0,30600.0,42000.0,124879.0,103713.33,142771.5,White Marubozu,Bullish Harami,None,-0.0634,-0.0145,0.021,-51000.0,-51000.0,-47540.0,4660.0,-95505698.5,-0.03,0.7273,-113.33,0.0,1.33,0.0,2019-10-22
1,189,3.38,0.0,0.0,3.38,3.38,3.38,-20280.0,4.2,2.85,3.34,3.16,3.4,3.55,3.41,3.4,3.33,3.39,3.4,3.38,3.38,3.36,SIDEWAYS,SIDEWAYS,SIDEWAYS,46.3761,0.0057,0.0087,LOW,-92.7803,0.0,-100.0,45800.0,46266.67,48600.0,155503.0,157815.33,165469.0,White Marubozu,Bullish Harami,Three White Soldiers,-0.0689,-0.0029,-0.0029,-20280.0,-20280.0,-71280.0,-67820.0,-81433423.0,0.04,1.2857,84.5,0.0,1.31,0.0,2019-12-03
2,187,3.4,-0.04,-0.0116,3.4,3.4,3.4,0.0,4.2,2.85,3.34,3.1,3.44,3.56,3.4,3.36,3.33,3.4,3.41,3.38,3.38,3.36,UPTREND,SIDEWAYS,SIDEWAYS,49.7626,0.0134,0.0128,LOW,1.996,58.7302,-47.619,52200.0,58866.67,53750.0,178464.0,200546.0,182658.5,White Marubozu,None,Three White Soldiers,-0.0634,-0.0145,-0.0116,0.0,-51000.0,-51000.0,-47540.0,-96000760.0,0.04,1.2857,85.0,0.0,1.32,0.0,2019-11-20
3,189,3.35,-0.02,-0.0059,3.39,3.35,3.4,0.0,4.2,2.85,3.31,3.1,3.39,3.5,3.4,3.41,3.34,3.39,3.39,3.38,3.38,3.36,DOWNTREND,SIDEWAYS,SIDEWAYS,40.5405,0.0008,0.0083,LOW,-121.9373,0.0,-100.0,55700.0,52800.0,53550.0,188671.0,179386.67,182165.0,Black Long Day,None,None,-0.0771,-0.0118,-0.0059,-20280.0,-20280.0,-71280.0,-67820.0,-73634437.0,0.04,1.2857,83.75,0.0,1.3,0.0,2019-12-09
4,183,3.25,0.05,0.0156,3.24,3.24,3.3,0.0,4.2,2.85,3.1,2.92,3.28,3.42,3.15,3.28,3.36,3.46,3.19,3.27,3.33,3.34,DOWNTREND,DOWNTREND,SIDEWAYS,52.082,-0.06,0.04,NEUTRAL,113.3183,85.1852,-11.1111,29100.0,31000.0,37800.0,91626.0,96450.67,118000.5,Inverted Hammer,None,None,-0.1047,0.0156,0.0156,0.0,0.0,17050.0,-51226520.0,-112898918.0,-0.03,0.7273,-108.33,0.0,1.27,0.0,2019-09-06
5,183,3.49,0.0,0.0,3.49,3.49,3.49,0.0,4.2,2.85,3.35,3.16,3.5,3.86,3.4,3.33,3.4,3.43,3.39,3.35,3.36,3.35,UPTREND,SIDEWAYS,SIDEWAYS,61.6758,0.0502,0.0238,LOW,105.0455,93.1667,-4.0,53500.0,53866.67,50600.0,183001.0,184451.33,171723.5,White Marubozu,Bullish Harami,Three White Soldiers,-0.0386,0.0116,0.0116,0.0,3460.0,3460.0,87610.0,-113214538.0,-0.03,0.7273,-116.33,0.0,1.37,0.0,2019-10-03
6,189,3.38,-0.01,-0.0029,3.38,3.38,3.38,0.0,4.2,2.85,3.34,3.1,3.4,3.56,3.41,3.39,3.33,3.39,3.4,3.38,3.38,3.36,SIDEWAYS,SIDEWAYS,SIDEWAYS,46.3761,0.0073,0.0094,LOW,-101.3384,0.0,-100.0,46900.0,48933.33,54750.0,159322.0,166904.67,186356.0,White Marubozu,None,Three White Soldiers,-0.0689,-0.0029,-0.0029,0.0,0.0,-51000.0,-47540.0,-82073248.0,0.04,1.2857,84.5,0.0,1.31,0.0,2019-12-02
7,187,3.4,0.0,0.0,3.39,3.39,3.4,0.0,4.2,2.85,3.34,3.16,3.44,3.55,3.4,3.37,3.33,3.4,3.41,3.38,3.38,3.36,UPTREND,SIDEWAYS,SIDEWAYS,49.7626,0.0124,0.0121,LOW,-7.4349,58.7302,-47.619,55500.0,55533.33,57850.0,189603.0,189212.0,196558.0,White Marubozu,None,Three White Soldiers,-0.0634,-0.0145,-0.0116,0.0,0.0,-51000.0,-47540.0,-95985379.0,0.04,1.2857,85.0,0.0,1.32,0.0,2019-11-21
8,189,3.4,0.05,0.0149,3.35,3.35,3.4,0.0,4.2,2.85,3.35,3.1,3.45,3.56,3.38,3.4,3.36,3.38,3.38,3.38,3.38,3.36,SIDEWAYS,SIDEWAYS,SIDEWAYS,53.4032,-0.0044,0.0076,LOW,8.3333,0.0,0.0,31900.0,36866.67,43800.0,107662.0,124462.67,148166.5,White Marubozu,None,None,-0.0634,0.0029,0.0149,0.0,-33680.0,-33680.0,-81220.0,-73244122.5,0.04,1.2857,85.0,0.0,1.32,0.0,2019-12-23
9,183,3.4,-0.05,-0.0145,3.4,3.4,3.4,0.0,4.2,2.85,3.38,3.0,3.48,4.04,3.27,3.32,3.39,3.43,3.33,3.32,3.35,3.34,UPTREND,SIDEWAYS,SIDEWAYS,55.6286,0.0324,0.0291,LOW,66.0407,85.5556,-23.0769,52500.0,45066.67,40800.0,179417.0,152276.67,135521.5,White Marubozu,None,None,-0.0634,0.0625,-0.0145,0.0,3460.0,3460.0,87610.0,-112916008.0,-0.03,0.7273,-113.33,0.0,1.33,0.0,2019-09-24
