,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,186,2.89,0.28,0.1073,2.89,2.89,2.89,2890.0,3.5,2.56,2.61,2.3,3.39,3.5,2.8,3.07,3.26,3.29,2.8,2.99,3.15,3.26,DOWNTREND,DOWNTREND,DOWNTREND,51.0064,-0.1088,0.0624,HIGH,49.4823,0.0,-64.1026,27000.0,19733.33,17300.0,73329.0,53978.67,47723.5,White Marubozu,None,Three White Soldiers,0.1289,0.1073,0.1073,2890.0,2890.0,-44520.0,-44520.0,87380.0,-0.21,0.125,-13.76,0.0,12.04,0.0,2019-10-22
1,190,2.89,0.28,0.1073,2.89,2.89,2.89,2890.0,3.5,2.56,2.61,2.3,3.39,3.5,2.8,3.07,3.26,3.29,2.8,2.99,3.15,3.26,DOWNTREND,DOWNTREND,DOWNTREND,51.0064,-0.1088,0.0624,HIGH,49.4823,0.0,-64.1026,27000.0,19733.33,17300.0,73329.0,53978.67,47723.5,White Marubozu,None,Three White Soldiers,0.1289,0.1073,0.1073,2890.0,2890.0,-44520.0,-44520.0,87380.0,-0.19,0.24,-15.21,0.0,14.45,0.0,2019-12-03
2,188,2.89,0.28,0.1073,2.89,2.89,2.89,2890.0,3.5,2.56,2.61,2.3,3.39,3.5,2.8,3.07,3.26,3.29,2.8,2.99,3.15,3.26,DOWNTREND,DOWNTREND,DOWNTREND,51.0064,-0.1088,0.0624,HIGH,49.4823,0.0,-64.1026,27000.0,19733.33,17300.0,73329.0,53978.67,47723.5,White Marubozu,None,Three White Soldiers,0.1289,0.1073,0.1073,2890.0,2890.0,-44520.0,-44520.0,87380.0,-0.19,0.24,-15.21,0.0,14.45,0.0,2019-11-20
3,190,2.89,0.28,0.1073,2.89,2.89,2.89,2890.0,3.5,2.56,2.61,2.3,3.39,3.5,2.8,3.07,3.26,3.29,2.8,2.99,3.15,3.26,DOWNTREND,DOWNTREND,DOWNTREND,51.0064,-0.1088,0.0624,HIGH,49.4823,0.0,-64.1026,27000.0,19733.33,17300.0,73329.0,53978.67,47723.5,White Marubozu,None,Three White Soldiers,0.1289,0.1073,0.1073,2890.0,2890.0,-44520.0,-44520.0,87380.0,-0.19,0.24,-15.21,0.0,14.45,0.0,2019-12-09
4,184,2.61,0.0,0.0,2.61,2.61,2.61,0.0,3.73,2.56,2.57,2.3,2.89,3.39,2.78,3.08,3.26,3.29,2.79,3.0,3.15,3.26,DOWNTREND,DOWNTREND,DOWNTREND,42.5974,-0.1116,0.0661,HIGH,-103.5682,0.0,-100.0,27000.0,20733.33,17500.0,73316.0,56777.33,48221.5,White Marubozu,Bullish Harami,None,0.0195,-0.0404,0.0,0.0,0.0,-47410.0,-47410.0,84490.0,-0.21,0.125,-12.43,0.0,10.88,0.0,2019-09-06
5,184,2.89,0.28,0.1073,2.89,2.89,2.89,2890.0,3.5,2.56,2.61,2.3,3.39,3.5,2.8,3.07,3.26,3.29,2.8,2.99,3.15,3.26,DOWNTREND,DOWNTREND,DOWNTREND,51.0064,-0.1088,0.0624,HIGH,49.4823,0.0,-64.1026,27000.0,19733.33,17300.0,73329.0,53978.67,47723.5,White Marubozu,None,Three White Soldiers,0.1289,0.1073,0.1073,2890.0,2890.0,-44520.0,-44520.0,87380.0,-0.21,0.125,-13.76,0.0,12.04,0.0,2019-10-03
6,190,2.89,0.28,0.1073,2.89,2.89,2.89,2890.0,3.5,2.56,2.61,2.3,3.39,3.5,2.8,3.07,3.26,3.29,2.8,2.99,3.15,3.26,DOWNTREND,DOWNTREND,DOWNTREND,51.0064,-0.1088,0.0624,HIGH,49.4823,0.0,-64.1026,27000.0,19733.33,17300.0,73329.0,53978.67,47723.5,White Marubozu,None,Three White Soldiers,0.1289,0.1073,0.1073,2890.0,2890.0,-44520.0,-44520.0,87380.0,-0.19,0.24,-15.21,0.0,14.45,0.0,2019-12-02
7,188,2.89,0.28,0.1073,2.89,2.89,2.89,2890.0,3.5,2.56,2.61,2.3,3.39,3.5,2.8,3.07,3.26,3.29,2.8,2.99,3.15,3.26,DOWNTREND,DOWNTREND,DOWNTREND,51.0064,-0.1088,0.0624,HIGH,49.4823,0.0,-64.1026,27000.0,19733.33,17300.0,73329.0,53978.67,47723.5,White Marubozu,None,Three White Soldiers,0.1289,0.1073,0.1073,2890.0,2890.0,-44520.0,-44520.0,87380.0,-0.19,0.24,-15.21,0.0,14.45,0.0,2019-11-21
8,190,2.6,0.0,0.0,2.6,2.6,2.6,0.0,3.39,2.56,2.57,2.3,2.89,3.39,2.78,3.04,3.24,3.28,2.77,2.96,3.12,3.25,DOWNTREND,DOWNTREND,DOWNTREND,43.8428,-0.1069,0.0672,HIGH,-102.2003,0.0,-100.0,4600.0,19666.67,16450.0,12265.0,53678.67,45000.5,White Marubozu,Bullish Harami,Three White Soldiers,0.0156,-0.1003,-0.1003,290.0,290.0,-47120.0,-47120.0,84780.0,-0.19,0.24,-13.68,0.0,13.0,0.0,2019-12-23
9,184,2.89,0.28,0.1073,2.89,2.89,2.89,2890.0,3.5,2.56,2.61,2.3,3.39,3.5,2.8,3.07,3.26,3.29,2.8,2.99,3.15,3.26,DOWNTREND,DOWNTREND,DOWNTREND,51.0064,-0.1088,0.0624,HIGH,49.4823,0.0,-64.1026,27000.0,19733.33,17300.0,73329.0,53978.67,47723.5,White Marubozu,None,Three White Soldiers,0.1289,0.1073,0.1073,2890.0,2890.0,-44520.0,-44520.0,87380.0,-0.21,0.125,-13.76,0.0,12.04,0.0,2019-09-24
