,Unnamed: 0,Last,Change,%Change,Open,Low,High,Previous Close,Volume,Value,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),RSI(14).1,"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,188,3.52,-0.19,-0.0512,3.5,3.45,3.81,3.71,129428000.0,469351750.0,9631210.0,4.5,1.28,2.58,1.39,4.1,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,0.0,OVERSOLD,0.0,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,None,None,2.52,2.52,0.1932,-20264110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-06-24
1,190,3.02,-0.07,-0.0227,3.09,3.01,3.09,3.09,46114000.0,140525360.0,3018440.0,4.5,1.28,2.99,2.86,3.12,3.24,3.04,2.95,0.0,0.0,3.04,2.99,0.0,0.0,UPTREND,SIDEWAYS,NONE,50.6887,NEUTRAL,0.0234,0.040999999999999995,NEUTRAL,-6.6007,47.5308,-59.2593,41443500.0,33904666.67,30053850.0,129352597.0,104897193.33,92700024.5,Black Long Day,Bearish Engulfing,None,2.02,-0.0033,-0.0131,15118320.0,14503590.0,18787020.0,68291940.0,0.0,0.0,0.0,302.0,0.0,12.08,0.0,2020-10-06
2,191,5.46,0.12,0.0225,5.41,5.26,5.48,5.34,33237000.0,179135988.0,-6026226.0,5.49,1.28,4.58,3.2,5.48,5.48,4.07,3.48,3.18,0.0,4.28,3.7,3.32,0.0,UPTREND,UPTREND,UPTREND,86.8142,OVERBOUGHT,0.3677,0.0464,NEUTRAL,157.9193,96.2198,-1.4354,47153020.0,42836080.0,38567910.0,220281367.2,188654748.8,163384971.6,None,None,None,4.46,0.5826,0.2325,-865792.0,10844488.0,48318628.0,78619048.0,0.0,0.0,0.0,546.0,0.0,21.84,0.0,2020-11-20
3,190,3.03,0.0,0.0,3.04,3.02,3.06,3.03,7597000.0,23074740.0,428100.0,4.5,1.28,2.97,2.8,3.07,3.26,3.04,2.86,0.0,0.0,3.0,2.95,0.0,0.0,DOWNTREND,UPTREND,NONE,54.8552,NEUTRAL,0.0303,0.0455,NEUTRAL,-13.5577,65.3028,-30.7692,15477500.0,25770866.67,28208950.0,46657398.0,77268701.33,86241412.5,None,None,None,2.03,0.0306,0.0168,-7378910.0,4773910.0,45186880.0,80458490.0,0.0,0.0,0.0,303.0,0.0,12.12,0.0,2020-09-17
4,189,2.46,-0.03,-0.012,2.49,2.4,2.52,2.49,16854000.0,41504620.0,1569510.0,4.5,1.28,2.43,2.43,2.72,3.66,3.03,0.0,0.0,0.0,2.85,0.0,0.0,0.0,DOWNTREND,NONE,NONE,53.4477,NEUTRAL,0.0,0.1382,HIGH,-132.5569,8.2413,-94.1176,27156100.0,38576800.0,51930550.0,74798152.0,114936142.0,166797470.5,None,None,None,1.46,-0.2971,-0.0538,5252450.0,17368460.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,35.14,0.0,2020-07-21
5,191,6.2,0.35,0.0598,5.91,5.91,6.23,5.85,58785100.0,358781349.0,7099410.0,6.7,1.28,5.76,5.36,6.22,6.48,5.91,4.58,3.77,0.0,5.69,4.89,4.15,0.0,SIDEWAYS,UPTREND,UPTREND,70.6642,OVERBOUGHT,0.4554,0.0419,NEUTRAL,104.3257,48.4615,-15.3846,22677560.0,24329160.0,32507845.0,134761251.7,145430607.73,193560185.45,White Long Day,None,None,5.2,0.0316,0.0598,5429262.0,-97483077.0,-84802042.0,-30166222.0,0.0,0.0,0.0,620.0,0.0,24.8,0.0,2020-12-21
6,191,6.18,0.27,0.0457,5.92,5.92,6.47,5.91,69269200.0,432238340.0,-207354.0,6.7,1.28,5.86,5.28,6.34,6.48,5.96,4.82,3.91,0.0,5.8,5.06,4.29,0.0,SIDEWAYS,UPTREND,UPTREND,64.4028,NEUTRAL,0.3771,0.0481,NEUTRAL,151.1188,46.8254,-36.9048,33323520.0,29549533.33,31628270.0,202349201.6,178308696.8,190281227.15,None,None,None,5.18,0.0283,0.0232,8176477.0,-85009236.0,-94725625.0,-25842065.0,0.0,0.0,0.0,618.0,0.0,24.72,0.0,2020-12-29
7,188,3.37,1.12,0.4978,3.37,3.2,3.37,2.25,95564000.0,321719620.0,9313280.0,3.37,1.28,1.39,1.39,3.37,3.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,0.0,OVERSOLD,0.0,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dragonfly Doji,None,None,2.37,2.37,2.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-06-17
8,189,2.87,-0.16,-0.0528,3.06,2.87,3.09,3.03,39831000.0,118178600.0,-1125640.0,4.5,1.28,2.73,2.08,3.06,3.48,2.61,0.0,0.0,0.0,2.75,0.0,0.0,0.0,UPTREND,NONE,NONE,58.3115,NEUTRAL,-0.0993,0.0842,HIGH,129.4946,91.1604,-19.6429,42758700.0,48089000.0,42597250.0,117841671.0,124230892.67,109956092.0,Black Long Day,Bearish Engulfing,None,1.87,0.0709,0.006999999999999999,849780.0,107820.0,17476280.0,0.0,0.0,0.0,0.0,95.67,0.0,41.0,0.0,2020-08-12
9,190,2.99,-0.02,-0.0066,3.03,2.95,3.06,3.01,19821000.0,59490470.0,120250.0,4.5,1.28,2.87,2.08,3.06,3.56,2.66,0.0,0.0,0.0,2.81,0.0,0.0,0.0,UPTREND,NONE,NONE,60.6255,NEUTRAL,-0.0432,0.0722,HIGH,102.1021,87.5207,-13.5135,33127200.0,41470066.67,41037850.0,95201031.0,112772393.33,107065877.5,None,None,None,1.99,0.1157,-0.0066,-2166600.0,-269610.0,14923770.0,0.0,0.0,0.0,0.0,299.0,0.0,11.96,0.0,2020-08-17
10,190,3.03,0.0,0.0,3.04,3.01,3.11,3.03,29188000.0,89527540.0,-7615790.0,4.5,1.28,2.94,2.8,3.07,3.26,3.05,2.86,0.0,0.0,2.99,2.94,0.0,0.0,DOWNTREND,UPTREND,NONE,54.8552,NEUTRAL,0.0335,0.0498,NEUTRAL,-1.9052,51.8156,-42.5532,22890900.0,27541800.0,31864650.0,68691176.0,83041621.33,97436606.5,None,None,None,2.03,0.0306,0.0168,703040.0,4283430.0,42814740.0,85718900.0,0.0,0.0,0.0,303.0,0.0,12.12,0.0,2020-09-15
11,190,3.01,0.08,0.0273,3.0,2.96,3.03,2.93,21340000.0,64211680.0,-209200.0,4.5,1.28,2.86,2.08,3.06,3.23,2.65,0.0,0.0,0.0,2.79,0.0,0.0,0.0,UPTREND,NONE,NONE,61.3198,NEUTRAL,-0.0608,0.0745,HIGH,116.7222,85.4776,-9.6386,35492600.0,45572200.0,41043650.0,100352093.0,120391668.0,106689078.5,None,None,None,2.01,0.1231,0.0561,-4666090.0,-679380.0,18086720.0,0.0,0.0,0.0,0.0,100.33,0.0,43.0,0.0,2020-08-14
12,188,2.95,0.2,0.0727,2.55,2.42,3.1,2.75,283349000.0,808957800.0,-3895960.0,4.5,1.28,1.39,1.39,3.94,3.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,0.0,OVERSOLD,0.0,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,None,None,1.95,1.95,1.95,-18530370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-06-19
13,190,2.93,-0.06,-0.0201,3.01,2.92,3.01,2.99,25778000.0,75966650.0,1606470.0,4.5,1.28,2.84,2.48,3.08,3.26,3.04,2.9,0.0,0.0,2.98,2.93,0.0,0.0,DOWNTREND,UPTREND,NONE,51.1722,NEUTRAL,0.0513,0.0588,HIGH,-64.9652,42.0,-66.0,32062000.0,36319066.67,34868400.0,96508173.0,111212636.0,106076069.5,Black Long Day,None,None,1.93,-0.0034,-0.0201,2156670.0,43621450.0,42942070.0,0.0,0.0,0.0,0.0,293.0,0.0,11.72,0.0,2020-09-08
