,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,187,4.99,0.09,0.0184,4.9,4.89,5.0,49549440.0,5.28,4.11,4.83,4.44,5.01,5.18,4.91,4.94,4.82,4.76,4.93,4.91,4.85,4.84,SIDEWAYS,SIDEWAYS,SIDEWAYS,53.132,-0.0112,0.0315,NEUTRAL,67.9825,44.8718,-40.3846,32991330.0,26843686.67,24026735.0,164015125.4,132851063.6,118834690.65,White Long Day,None,None,0.0754,0.002,0.0289,-142104820.0,-275782516.0,-247851907.0,121430492.0,-4186861338.0,0.42,-0.0667,11.88,0.0,0.88,0.0,2019-10-22
1,191,4.39,0.02,0.0046,4.4,4.37,4.42,-13130370.0,5.28,4.11,4.26,4.14,4.4,4.9,4.53,4.75,4.81,4.73,4.5,4.67,4.74,4.78,DOWNTREND,DOWNTREND,SIDEWAYS,37.9219,-0.1261,0.025,LOW,-63.4791,20.9029,-70.4545,21425300.0,17972266.67,18860750.0,93481220.0,79499794.0,85181257.5,Spinning Top,Tweezer Tops,None,-0.0539,0.0209,0.0209,-47965140.0,-178690490.0,-176281010.0,-462711089.0,-4053050076.0,0.43,-0.0652,10.21,0.0,0.77,0.0,2019-12-03
2,189,4.64,-0.01,-0.0022,4.66,4.63,4.66,-7759170.0,5.28,4.11,4.62,4.44,4.68,4.98,4.77,4.88,4.86,4.75,4.74,4.82,4.82,4.82,DOWNTREND,SIDEWAYS,SIDEWAYS,41.228,-0.0631,0.0237,LOW,-92.1038,5.7143,-94.2857,13697400.0,17509066.67,19774600.0,64311673.0,83365656.67,94922424.0,Black Long Day,None,None,0.0,-0.0333,-0.0022,-52226050.0,-35381110.0,-292186896.0,-307355669.0,-3993475413.0,0.43,-0.0652,10.79,0.0,0.81,0.0,2019-11-20
3,191,3.54,-0.12,-0.0328,3.68,3.53,3.77,-122658040.0,5.28,3.53,3.54,3.54,4.4,4.72,4.33,4.65,4.77,4.7,4.24,4.53,4.66,4.74,DOWNTREND,DOWNTREND,SIDEWAYS,16.6101,-0.1828,0.0447,NEUTRAL,-214.4138,0.0,-99.1228,48251800.0,36663800.0,30571100.0,192629116.0,148601444.67,125786622.0,None,None,None,-0.2371,-0.1767,-0.0328,-564234300.0,-712857350.0,-773683390.0,-1044825943.0,-4415655086.0,0.43,-0.0652,8.23,0.0,0.62,0.0,2019-12-09
4,185,5.2,-0.03,-0.0057,5.26,5.15,5.28,30984899.0,5.35,4.11,4.88,4.44,5.26,5.55,4.87,4.82,4.64,4.71,4.93,4.82,4.75,4.79,UPTREND,SIDEWAYS,SIDEWAYS,64.34,0.0617,0.0298,LOW,136.7336,84.8341,-11.2676,35232310.0,40842173.33,34107780.0,176908489.0,203627658.93,168773431.2,None,Tweezer Tops,None,0.1207,0.0505,0.0505,108282949.0,404595760.0,417034150.0,1132841490.0,-4879979011.0,0.42,-0.0667,12.38,0.0,0.92,0.0,2019-09-06
5,185,4.72,-0.11,-0.0228,4.84,4.68,4.87,-29806000.0,5.28,4.11,4.7,4.44,5.04,5.24,5.02,4.9,4.74,4.75,4.95,4.91,4.83,4.83,DOWNTREND,SIDEWAYS,SIDEWAYS,35.5651,0.0129,0.03,LOW,-178.6872,15.4615,-91.4894,15996030.0,15709613.33,16299495.0,78934235.5,78350923.27,82059014.3,None,None,None,0.0172,-0.0522,-0.0348,-10381350.0,-24889027.0,119542459.0,583155118.0,-4454263887.0,0.42,-0.0667,11.24,0.0,0.84,0.0,2019-10-03
6,191,4.37,0.07,0.0163,4.3,4.3,4.42,11767070.0,5.28,4.11,4.26,4.14,4.4,4.96,4.55,4.76,4.82,4.73,4.51,4.69,4.75,4.79,DOWNTREND,DOWNTREND,SIDEWAYS,36.2555,-0.1238,0.0261,LOW,-83.6609,0.0,-75.0,20832200.0,17985800.0,18577250.0,91186776.0,79905235.33,84271910.0,None,None,None,-0.0582,0.0163,0.0163,-67076360.0,-148418470.0,-122110620.0,-449776998.0,-4070424366.0,0.43,-0.0652,10.16,0.0,0.76,0.0,2019-12-02
7,189,4.42,-0.22,-0.0474,4.67,4.42,4.67,-27772740.0,5.28,4.11,4.4,4.2,4.67,4.96,4.74,4.87,4.85,4.75,4.71,4.8,4.81,4.82,DOWNTREND,SIDEWAYS,SIDEWAYS,31.8652,-0.0685,0.0272,LOW,-162.3003,4.7619,-100.0,14205700.0,17359600.0,19569050.0,66141411.0,82277698.0,93509040.5,Black Marubozu,None,Three Black Crows,-0.0474,-0.0792,-0.0495,-61566970.0,-21404740.0,-315106416.0,-298107379.0,-3990603793.0,0.43,-0.0652,10.28,0.0,0.77,0.0,2019-11-21
8,191,3.42,0.16,0.0491,3.3,3.3,3.48,-51275190.0,5.28,2.69,3.06,2.69,3.5,4.4,3.66,4.32,4.62,4.63,3.62,4.11,4.4,4.6,DOWNTREND,DOWNTREND,DOWNTREND,41.3349,-0.348,0.0703,HIGH,-44.5445,39.3214,-56.0241,118104100.0,101511733.33,83177950.0,376196865.0,338608170.67,284412990.5,White Long Day,None,None,-0.2629,-0.2047,0.0491,-206968820.0,-1290015100.0,-1438433570.0,-1750027586.0,-4835697646.0,0.43,-0.0652,7.95,0.0,0.6,0.0,2019-12-23
9,185,5.0,0.01,0.002,4.99,4.93,5.01,-13355810.0,5.28,4.11,4.95,4.8,5.1,5.26,5.04,4.88,4.71,4.74,5.02,4.91,4.82,4.82,UPTREND,UPTREND,SIDEWAYS,50.4619,0.0683,0.0238,LOW,-45.01,31.3639,-75.6757,16486080.0,23172366.67,23860775.0,83705231.0,118793885.13,120801775.35,Hammer,None,None,0.0776,0.0101,-0.002,-35757414.0,72471005.0,381739996.0,873202596.0,-4755890082.0,0.42,-0.0667,11.9,0.0,0.89,0.0,2019-09-24
10,191,4.3,0.04,0.0094,4.28,4.28,4.35,2506980.0,5.28,4.11,4.26,4.14,4.39,4.96,4.58,4.78,4.82,4.73,4.53,4.7,4.75,4.79,DOWNTREND,DOWNTREND,SIDEWAYS,30.1626,-0.11900000000000001,0.0264,LOW,-116.9415,0.0,-91.8367,19351700.0,17085933.33,19126300.0,84892788.0,76142883.33,87511790.5,Inverted Hammer,None,None,-0.0733,-0.1042,-0.0205,-106614830.0,-154680830.0,-214587000.0,-430559169.0,-4134846052.0,0.43,-0.0652,10.0,0.0,0.75,0.0,2019-11-29
11,185,5.11,-0.03,-0.0058,5.13,5.05,5.15,11057403.0,5.33,4.11,5.08,4.68,5.18,5.44,5.02,4.85,4.67,4.73,5.02,4.88,4.79,4.81,UPTREND,UPTREND,SIDEWAYS,58.042,0.0891,0.0262,LOW,48.5574,71.2418,-33.3333,26085690.0,28539393.33,34493410.0,134516000.6,144145635.73,173245079.2,None,None,None,0.1013,0.0323,-0.0058,42068327.0,101930457.0,356018738.0,1085872948.0,-4681819380.0,0.42,-0.0667,12.17,0.0,0.91,0.0,2019-09-16
