,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,188,0.3,0.0,0.0,0.295,0.295,0.3,0.0,0.61,0.285,0.3,0.29,0.31,0.32,0.3,0.31,0.32,0.36,0.3,0.31,0.33,0.36,SIDEWAYS,SIDEWAYS,SIDEWAYS,39.7853,-0.0036,0.027999999999999997,LOW,-107.2261,61.1111,-33.3333,3210000.0,4498000.0,5374500.0,961655.0,1344310.0,1617507.5,White Marubozu,None,None,-0.3333,-0.0164,0.0,2950.0,86600.0,406600.0,88400.0,7885540.0,0.0,0.0,0.0,0.0,6.0,0.0,2019-10-22
1,192,0.214,0.0,0.0,0.213,0.213,0.21899999999999997,0.0,0.49,0.213,0.2135,0.2135,0.2345,0.295,0.2515,0.2815,0.3041,0.3324,0.2452,0.2729,0.2971,0.3361,DOWNTREND,DOWNTREND,DOWNTREND,22.7791,-0.0181,0.0496,NEUTRAL,-90.8494,2.6275,-98.6111,15184000.0,14791333.3333,12514500.0,3461186.0,3514150.6667,3042918.0,Inverted Hammer,None,None,-0.5244,-0.0138,-0.0138,-21630.0,66350.0,187500.0,594100.0,-966470.0013,0.0,0.0,0.0,0.0,3.57,0.0,2019-12-03
2,190,0.235,-0.008,-0.0329,0.239,0.235,0.24,-59000.0,0.49,0.231,0.233,0.233,0.28,0.3,0.2839,0.2983,0.3148,0.342,0.2784,0.2945,0.3116,0.3467,DOWNTREND,DOWNTREND,DOWNTREND,11.5958,-0.0082,0.0485,NEUTRAL,-235.5471,20.8333,-93.75,11873000.0,9069333.3333,8382500.0,3100225.0,2402343.3333,2264505.0,Black Long Day,None,None,-0.4778,-0.1897,-0.1296,-148100.0,-127800.0,-24000.0,468850.0,-1386160.0013,0.0,0.0,0.0,0.0,3.92,0.0,2019-11-20
3,192,0.187,-0.01,-0.0508,0.19699999999999998,0.18600000000000003,0.19699999999999998,0.0,0.49,0.18600000000000003,0.1865,0.1865,0.2165,0.29,0.2328,0.2726,0.2982,0.3277,0.2297,0.262,0.2895,0.3307,DOWNTREND,DOWNTREND,DOWNTREND,16.0351,-0.0205,0.0527,HIGH,-136.0922,1.6912,-98.1481,10529000.0,14243333.3333,13692500.0,2259818.0,3185662.6667,3194652.5,Black Long Day,None,Three Black Crows,-0.5844,-0.1382,-0.0508,-39180.0,-5230.0,195320.0,558070.0,-3257860.0013,0.0,0.0,0.0,0.0,3.12,0.0,2019-12-09
4,186,0.325,0.005,0.0156,0.315,0.315,0.325,0.0,0.78,0.285,0.3175,0.295,0.3275,0.3375,0.315,0.3324,0.332,0.3711,0.3198,0.3268,0.3429,0.3808,UPTREND,DOWNTREND,SIDEWAYS,52.3948,-0.0046,0.0384,NEUTRAL,81.2785,76.1905,-14.2857,15508000.0,13154666.6667,12563500.0,4886145.0,4114766.6667,3935160.0,White Marubozu,None,None,-0.2778,0.0,0.0,-28800.0,-592900.0,-43300.0,530449.9993,-8972340.0024,0.0,0.0,0.0,0.0,6.5,0.0,2019-09-06
5,186,0.305,0.0,0.0,0.3,0.3,0.305,0.0,0.64,0.285,0.2975,0.29,0.3075,0.325,0.3133,0.3187,0.3252,0.3662,0.3114,0.3187,0.3331,0.369,DOWNTREND,SIDEWAYS,SIDEWAYS,41.302,-0.0033,0.0318,NEUTRAL,-116.6399,33.3333,-60.0,6129000.0,5232000.0,5546000.0,1877940.0,1612556.6667,1718152.5,White Marubozu,Bullish Harami,None,-0.3222,0.0,0.0,305950.0,320100.0,-300000.0,764949.9995,-1767330.0019,0.0,0.0,0.0,0.0,6.1,0.0,2019-10-03
6,192,0.214,-0.003,-0.0138,0.218,0.214,0.21899999999999997,-86690.0,0.49,0.213,0.2135,0.2135,0.2345,0.295,0.2556,0.2835,0.3054,0.3335,0.2485,0.2753,0.2987,0.3373,DOWNTREND,DOWNTREND,DOWNTREND,22.7791,-0.0175,0.0513,HIGH,-97.9846,8.6686,-98.7013,16866000.0,15257333.3333,12531500.0,3875721.0,3657688.0,3057716.0,Black Long Day,None,Three Black Crows,-0.5244,-0.0138,-0.0138,-21630.0,66350.0,187500.0,603300.0,-978170.0013,0.0,0.0,0.0,0.0,3.57,0.0,2019-12-02
7,190,0.21600000000000003,-0.019,-0.0809,0.23399999999999999,0.213,0.23399999999999999,58780.0,0.49,0.213,0.2145,0.2145,0.275,0.3,0.2797,0.2962,0.3136,0.341,0.2725,0.2914,0.3097,0.3454,DOWNTREND,DOWNTREND,DOWNTREND,8.9177,-0.01,0.0563,HIGH,-227.7962,9.5528,-96.3415,14056000.0,10508666.6667,9624000.0,3546284.0,2694449.3333,2528982.0,Black Long Day,None,None,-0.52,-0.2552,-0.2,-116820.0,-86420.0,34780.0,527630.0,-1266620.0013,0.0,0.0,0.0,0.0,3.6,0.0,2019-11-21
8,192,0.192,0.002,0.0105,0.193,0.19,0.193,0.0,0.49,0.18,0.19,0.1805,0.2045,0.2345,0.2057,0.2517,0.2825,0.3159,0.2093,0.2408,0.2729,0.3181,DOWNTREND,DOWNTREND,DOWNTREND,34.9261,-0.018000000000000002,0.0548,HIGH,-77.3628,28.1481,-73.3333,13926000.0,12283333.3333,12227500.0,2820739.0,2482341.3333,2540278.5,Hanging Man,Bearish Harami,None,-0.5733,-0.1152,0.0105,36879.9997,380419.9997,446769.9997,963519.9997,-2936120.0016,0.0,0.0,0.0,0.0,3.2,0.0,2019-12-23
9,186,0.315,0.0,0.0,0.31,0.31,0.315,3150.0,0.78,0.285,0.3125,0.295,0.32,0.33,0.3183,0.326,0.3281,0.3691,0.3175,0.3229,0.3373,0.3735,DOWNTREND,SIDEWAYS,SIDEWAYS,46.7629,-0.0019,0.0326,NEUTRAL,-102.4033,66.6667,-40.0,3769000.0,5377333.3333,7003500.0,1186445.0,1694186.6667,2215085.0,White Marubozu,None,None,-0.3,-0.0308,-0.0156,70500.0,16250.0,-171950.0,-2456850.0008,-8087950.0019,0.0,0.0,0.0,0.0,6.3,0.0,2019-09-24
10,192,0.217,-0.012,-0.0524,0.225,0.217,0.225,44000.0,0.49,0.213,0.2145,0.2145,0.2365,0.295,0.2596,0.2856,0.3066,0.3347,0.2522,0.2778,0.3004,0.3386,DOWNTREND,DOWNTREND,DOWNTREND,23.61,-0.0168,0.0527,HIGH,-98.2734,16.7723,-94.8052,18245000.0,15129333.3333,12129500.0,4262785.0,3670456.6667,2980052.5,Black Marubozu,None,None,-0.5178,-0.2517,-0.0606,111360.0,153040.0,277140.0,689990.0,-924150.0013,0.0,0.0,0.0,0.0,3.62,0.0,2019-11-29
11,186,0.315,0.0,0.0,0.315,0.31,0.32,-31500.0,0.78,0.285,0.3125,0.295,0.3225,0.3325,0.3153,0.3289,0.3297,0.3703,0.3183,0.3246,0.3399,0.3771,UPTREND,DOWNTREND,SIDEWAYS,46.2407,-0.0026,0.0391,NEUTRAL,6.4725,54.7619,-50.0,6118000.0,11200666.6667,11242500.0,1931555.0,3551030.0,3520757.5,Doji,Tweezer Bottoms,None,-0.3,-0.0308,0.0,-34650.0,-325900.0,-665950.0,-1688750.0007,-3469180.002,0.0,0.0,0.0,0.0,6.3,0.0,2019-09-16
12,188,0.305,0.0,0.0,0.3,0.295,0.305,0.0,0.62,0.285,0.2975,0.29,0.3125,0.325,0.3065,0.312,0.3231,0.3614,0.3066,0.3139,0.3282,0.3633,DOWNTREND,SIDEWAYS,SIDEWAYS,45.5416,-0.004,0.0287,LOW,-52.5114,65.0,-25.0,5067000.0,5298000.0,5663000.0,1515475.0,1591100.0,1719595.0,None,None,None,-0.3222,0.0,0.0,0.0,392650.0,371250.0,490400.0,7517599.9987,0.0,0.0,0.0,0.0,6.1,0.0,2019-10-16
13,186,0.31,-0.01,-0.0312,0.325,0.31,0.325,0.0,0.78,0.285,0.3,0.29,0.33,0.35,0.32,0.33,0.34,0.38,0.32,0.33,0.35,0.39,DOWNTREND,DOWNTREND,SIDEWAYS,44.356,-0.0084,0.0433,NEUTRAL,-14.4404,0.0,-57.1429,15006000.0,14902000.0,14806500.0,4654085.0,4645426.67,4678285.0,Black Marubozu,None,None,-0.3111,-0.0606,0.0508,-669800.0,-459800.0,323150.0,988600.0,1577610.0,0.0,0.0,0.0,0.0,6.2,0.0,2019-08-28
14,186,0.305,0.0,0.0,0.3,0.295,0.305,0.0,0.64,0.285,0.3,0.29,0.315,0.325,0.316,0.3227,0.3268,0.3675,0.3141,0.3206,0.335,0.371,DOWNTREND,SIDEWAYS,SIDEWAYS,39.0519,-0.0024,0.0344,NEUTRAL,-228.3688,33.3333,-60.0,5792000.0,5164000.0,5955000.0,1792495.0,1606056.6667,1862025.0,None,None,None,-0.3222,-0.0615,0.0,-21700.0,11000.0,-572700.0,-223900.0006,-4567260.0019,0.0,0.0,0.0,0.0,6.1,0.0,2019-09-30
15,192,0.18100000000000002,-0.006,-0.0321,0.187,0.18,0.187,0.0,0.49,0.18,0.1805,0.1805,0.2115,0.285,0.2274,0.2701,0.2964,0.3264,0.225,0.2588,0.2874,0.3292,DOWNTREND,DOWNTREND,DOWNTREND,14.8845,-0.0212,0.0534,HIGH,-151.8239,1.7995,-98.3051,10559000.0,13508666.6667,13633000.0,2228501.0,2973698.0,3135293.5,Black Long Day,None,Three Black Crows,-0.5978,-0.1659,-0.0812,-39180.0,116270.0,47470.0,589570.0,-3416420.0011,0.0,0.0,0.0,0.0,3.02,0.0,2019-12-10
16,186,0.315,0.005,0.0161,0.31,0.305,0.32,6400.0,0.78,0.285,0.295,0.29,0.325,0.3425,0.3155,0.3323,0.3351,0.3767,0.317,0.3278,0.3454,0.3844,DOWNTREND,DOWNTREND,SIDEWAYS,47.1177,-0.0082,0.0429,NEUTRAL,-19.334,57.1429,-42.8571,15438000.0,15052000.0,15053000.0,4791580.0,4690426.6667,4746960.0,None,None,None,-0.3,-0.0455,0.0678,-699750.0,-443850.0,270399.9998,800499.9993,2783629.9976,0.0,0.0,0.0,0.0,6.3,0.0,2019-08-29
17,189,0.295,0.0,0.0,0.295,0.29,0.295,0.0,0.57,0.285,0.2875,0.2875,0.3,0.3125,0.2993,0.3078,0.3203,0.3504,0.2986,0.3065,0.3205,0.3546,DOWNTREND,SIDEWAYS,DOWNTREND,39.1288,-0.0039,0.0266,LOW,-68.9655,50.0,-50.0,4892000.0,4428000.0,4051000.0,1428785.0,1300426.6667,1195220.0,Dragonfly Doji,Bullish Harami,None,-0.3444,0.0172,0.0172,17400.0,121200.0,489000.0,317050.0,4671959.9987,0.0,0.0,0.0,0.0,5.9,0.0,2019-11-06
18,192,0.201,0.006,0.0308,0.196,0.196,0.20199999999999999,401050.0,0.49,0.18,0.1805,0.1805,0.2025,0.275,0.2194,0.266,0.293,0.324,0.2202,0.2541,0.2838,0.3266,DOWNTREND,DOWNTREND,DOWNTREND,32.6361,-0.0218,0.0515,HIGH,-79.5043,20.904,-64.4068,11314000.0,12339333.3333,14317000.0,2290093.0,2633634.6667,3194863.0,White Long Day,None,None,-0.5533,-0.0737,0.0203,471370.0,576040.0,489620.0,972320.0,-2994990.0012,0.0,0.0,0.0,0.0,3.35,0.0,2019-12-12
19,186,0.32,-0.005,-0.0154,0.325,0.315,0.325,12800.0,0.78,0.285,0.31,0.3,0.33,0.35,0.31,0.33,0.33,0.37,0.32,0.33,0.34,0.38,SIDEWAYS,DOWNTREND,SIDEWAYS,49.2544,-0.0058,0.0403,NEUTRAL,71.9145,80.9524,-28.5714,16698000.0,13214666.67,13584500.0,5231680.0,4129346.67,4254037.5,None,Bearish Engulfing,None,-0.2889,-0.0154,-0.0154,121600.0,-329700.0,119150.0,701700.0,667630.0,0.0,0.0,0.0,0.0,6.4,0.0,2019-09-04
20,186,0.315,-0.01,-0.0308,0.325,0.3,0.325,9200.0,0.78,0.285,0.3075,0.295,0.325,0.3525,0.3143,0.3319,0.3315,0.371,0.3193,0.3263,0.3423,0.3801,UPTREND,DOWNTREND,SIDEWAYS,46.2324,-0.0041,0.0425,NEUTRAL,-4.0161,71.4286,-42.8571,14847000.0,13687333.3333,13038000.0,4709955.0,4283283.3333,4077712.5,None,Bearish Engulfing,None,-0.3,-0.0308,-0.0308,-19600.0,-583700.0,-16100.0,542899.9993,-9617390.0024,0.0,0.0,0.0,0.0,6.3,0.0,2019-09-09
