,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,189,2.4,-0.01,-0.0041,2.41,2.37,2.41,-47670.0,3.54,1.91,2.37,2.16,2.44,2.52,2.4,2.45,2.54,2.75,2.42,2.47,2.55,2.65,UPTREND,SIDEWAYS,SIDEWAYS,45.6892,-0.0147,0.0245,LOW,-18.3228,33.3333,-66.6667,465900.0,4540200.0,3520050.0,1125401.0,10785214.0,8360858.0,Hanging Man,Tweezer Tops,None,-0.0361,0.0127,0.0042,-179110.0,-143416910.0,-144558400.0,-121871070.0,-87386150.0,0.34,0.3077,7.06,0.0,0.91,0.0,2019-10-22
1,193,2.2,-0.09,-0.0393,2.29,2.2,2.29,-2785670.0,3.54,2.15,2.16,1.99,2.3,2.59,2.36,2.39,2.48,2.71,2.33,2.39,2.47,2.58,DOWNTREND,SIDEWAYS,SIDEWAYS,32.4598,-0.0388,0.0292,LOW,-111.0647,18.3642,-100.0,740600.0,789466.67,805450.0,1673118.0,1817780.67,1895921.5,Black Marubozu,Bearish Engulfing,None,-0.1165,-0.0393,-0.0393,-3151920.0,-4758210.0,-1186400.0,-145697130.0,-87455640.0,0.34,0.3077,6.47,0.0,0.82,0.0,2019-12-03
2,191,2.35,0.0,0.0,2.35,2.34,2.36,-585160.0,3.54,1.99,2.34,2.16,2.4,2.59,2.43,2.43,2.51,2.73,2.41,2.45,2.51,2.61,DOWNTREND,SIDEWAYS,SIDEWAYS,39.5548,-0.0065,0.0246,LOW,-119.9853,0.0,-96.0,710600.0,724266.67,591900.0,1704638.0,1763005.33,1439232.5,Doji,None,None,-0.0562,-0.0329,0.0,-1733090.0,1636480.0,1173720.0,-143248800.0,-83502570.0,0.34,0.3077,6.91,0.0,0.88,0.0,2019-11-20
3,193,2.14,0.01,0.0047,2.12,2.12,2.16,208700.0,3.54,2.1,2.1,1.99,2.24,2.48,2.28,2.37,2.46,2.7,2.26,2.35,2.45,2.57,DOWNTREND,DOWNTREND,SIDEWAYS,32.0725,-0.0572,0.0284,LOW,-131.0658,12.2711,-84.6154,903600.0,786466.67,862750.0,1975344.0,1740780.0,1956103.0,None,None,None,-0.1406,-0.0655,0.0047,-5591120.0,-6283500.0,-3941810.0,-147893210.0,-90126060.0,0.34,0.3077,6.29,0.0,0.8,0.0,2019-12-09
4,187,2.45,0.0,0.0,2.49,2.44,2.49,0.0,3.54,1.91,2.4,2.16,2.51,2.68,2.49,2.58,2.76,2.71,2.48,2.57,2.66,2.74,DOWNTREND,DOWNTREND,DOWNTREND,45.6958,-0.0521,0.0333,NEUTRAL,-32.4125,48.1481,-51.8519,1219900.0,1058800.0,1389900.0,2933222.0,2567190.67,3477756.0,Black Long Day,Tweezer Tops,None,-0.0161,0.0,0.0,-96820.0,-863900.0,22568890.0,23864510.0,77455350.0,0.34,0.3077,7.21,0.0,0.93,0.0,2019-09-06
5,187,2.33,-0.04,-0.0169,2.36,2.33,2.39,-137670.0,3.54,1.91,2.32,2.16,2.4,2.58,2.45,2.5,2.58,2.74,2.42,2.5,2.59,2.69,DOWNTREND,SIDEWAYS,SIDEWAYS,35.7881,-0.0325,0.0248,LOW,-114.3984,6.4103,-100.0,494000.0,613333.33,576550.0,1182401.0,1510252.67,1419109.5,None,None,None,-0.0643,-0.0169,-0.0127,-267470.0,-1372640.0,-1909200.0,16778350.0,56748550.0,0.34,0.3077,6.85,0.0,0.88,0.0,2019-10-03
6,193,2.29,0.0,0.0,2.29,2.23,2.29,144580.0,3.54,2.15,2.23,2.16,2.32,2.59,2.37,2.4,2.48,2.71,2.34,2.4,2.48,2.59,DOWNTREND,SIDEWAYS,SIDEWAYS,40.4227,-0.036000000000000004,0.0272,LOW,-86.6228,20.7451,-70.8333,505800.0,701066.67,734850.0,1155840.0,1637917.33,1754366.0,Dragonfly Doji,None,None,-0.0803,0.0,0.0,-28680.0,-2088270.0,1546910.0,-142889700.0,-84725760.0,0.34,0.3077,6.74,0.0,0.86,0.0,2019-12-02
7,191,2.25,-0.1,-0.0426,2.36,2.25,2.36,57790.0,3.54,1.99,2.2,2.02,2.38,2.59,2.43,2.43,2.5,2.72,2.4,2.44,2.51,2.61,DOWNTREND,SIDEWAYS,SIDEWAYS,30.6656,-0.0117,0.0274,LOW,-184.4725,0.0,-100.0,835900.0,823000.0,672100.0,1980074.0,1987056.67,1622081.5,Black Marubozu,Bearish Engulfing,None,-0.0964,-0.0741,-0.0426,-1675300.0,1691870.0,1278310.0,-142908460.0,-83438800.0,0.34,0.3077,6.62,0.0,0.84,0.0,2019-11-21
8,193,2.13,0.05,0.024,2.15,2.05,2.15,0.0,3.54,2.05,2.06,1.99,2.18,2.32,2.16,2.31,2.4,2.65,2.17,2.27,2.39,2.52,DOWNTREND,DOWNTREND,SIDEWAYS,40.2352,-0.067,0.0316,NEUTRAL,-65.0452,17.2439,-61.9048,732700.0,937733.33,818150.0,1546215.0,2001030.0,1760779.5,Hanging Man,None,None,-0.1446,-0.0699,0.024,-54950.0,-5488450.0,-7576720.0,-147246520.0,-90212040.0,0.34,0.3077,6.26,0.0,0.8,0.0,2019-12-23
9,187,2.39,-0.06,-0.0245,2.45,2.39,2.45,-67560.0,3.54,1.91,2.34,2.16,2.53,2.64,2.47,2.56,2.64,2.74,2.48,2.54,2.62,2.71,UPTREND,DOWNTREND,SIDEWAYS,39.665,-0.0177,0.0281,LOW,-103.1492,26.9841,-100.0,728300.0,663933.33,915950.0,1822682.0,1650675.33,2238793.0,Black Marubozu,None,None,-0.0402,-0.0245,-0.044000000000000004,-199210.0,-1041840.0,-2578290.0,18579560.0,66475520.0,0.34,0.3077,7.03,0.0,0.91,0.0,2019-09-24
