,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,190,3.51,0.0,0.0,3.25,3.21,3.51,0.0,3.9,3.02,3.36,3.21,3.52,3.7,3.52,3.45,3.49,3.41,3.5,3.48,3.46,3.43,SIDEWAYS,SIDEWAYS,SIDEWAYS,52.9648,0.0209,0.039,NEUTRAL,-113.5842,88.9427,-9.0909,7500.0,7000.0,8950.0,25319.0,23811.33,30602.0,White Long Day,None,None,0.0636,-0.0085,-0.0028,0.0,3530.0,168960.0,322560.0,333790.0,0.64,0.6409999999999999,5.48,0.0,0.99,0.0,2019-10-22
1,194,3.45,-0.11,-0.0309,3.42,3.41,3.45,0.0,3.9,3.02,3.4,3.3,3.62,3.76,3.54,3.49,3.48,3.43,3.54,3.51,3.49,3.45,SIDEWAYS,SIDEWAYS,SIDEWAYS,43.5189,0.0177,0.0296,LOW,-109.4923,53.6232,-78.2609,10200.0,11066.67,9900.0,35639.0,38711.33,34349.5,White Long Day,None,None,0.0455,-0.0309,-0.0309,-18050.0,-10890.0,-7360.0,158070.0,322900.0,0.56,0.0769,6.16,0.0,0.94,0.0,2019-12-03
2,192,3.63,0.05,0.013999999999999999,3.59,3.59,3.63,0.0,3.9,3.02,3.48,3.33,3.7,3.86,3.54,3.48,3.49,3.43,3.55,3.51,3.48,3.44,UPTREND,SIDEWAYS,SIDEWAYS,64.4866,0.0236,0.0265,LOW,152.3272,97.3684,0.0,10600.0,9200.0,9050.0,37123.0,31836.67,31240.0,White Marubozu,None,None,0.1,0.0371,0.0168,0.0,7160.0,10690.0,155720.0,340950.0,0.56,0.0769,6.48,0.0,0.99,0.0,2019-11-20
3,194,3.15,-0.4,-0.1127,3.28,3.15,3.28,9480.0,3.9,3.02,3.12,3.02,3.58,3.7,3.52,3.49,3.48,3.44,3.49,3.5,3.48,3.45,DOWNTREND,SIDEWAYS,SIDEWAYS,31.6023,0.0032,0.0416,NEUTRAL,-354.9953,30.7032,-100.0,21000.0,16866.67,15850.0,69191.0,56146.67,53230.5,Black Marubozu,None,None,-0.0455,-0.1152,-0.1127,9480.0,-1410.0,-1410.0,167550.0,332380.0,0.56,0.0769,5.63,0.0,0.86,0.0,2019-12-09
4,188,3.4,0.0,0.0,3.4,3.4,3.4,0.0,3.9,3.02,3.21,3.1,3.42,3.57,3.4,3.44,3.52,3.38,3.4,3.43,3.44,3.41,DOWNTREND,SIDEWAYS,SIDEWAYS,49.2805,-0.0225,0.0236,LOW,34.141999999999996,77.2727,-9.0909,16800.0,13733.33,12300.0,56673.0,46348.67,41437.5,White Marubozu,Bullish Harami,None,0.0303,0.0241,0.0241,100880.0,158510.0,312110.0,286000.0,-297310.0,0.64,0.6409999999999999,5.31,0.0,0.96,0.0,2019-09-06
5,188,3.53,0.01,0.0028,3.4,3.31,3.53,0.0,3.9,3.02,3.4,3.21,3.54,3.7,3.48,3.44,3.49,3.4,3.49,3.47,3.46,3.43,UPTREND,SIDEWAYS,SIDEWAYS,57.4644,0.0269,0.0284,LOW,5.1665,90.1961,-8.8235,9000.0,10133.33,9800.0,31067.0,34897.33,33479.5,None,None,None,0.0697,-0.0028,-0.0028,0.0,10450.0,168960.0,322560.0,359040.0,0.64,0.6409999999999999,5.52,0.0,1.0,0.0,2019-10-03
6,194,3.56,0.0,0.0,3.59,3.56,3.59,0.0,3.9,3.02,3.4,3.3,3.63,3.74,3.55,3.49,3.49,3.43,3.54,3.51,3.49,3.45,UPTREND,SIDEWAYS,SIDEWAYS,52.235,0.0206,0.0276,LOW,67.1024,62.2498,-30.4348,9100.0,10200.0,9650.0,31947.0,35768.67,33430.5,Black Marubozu,None,None,0.0788,0.0171,-0.0193,-18050.0,-10890.0,-7360.0,158070.0,322900.0,0.56,0.0769,6.36,0.0,0.97,0.0,2019-12-02
7,192,3.63,0.05,0.013999999999999999,3.59,3.59,3.63,0.0,3.9,3.02,3.48,3.33,3.7,3.86,3.54,3.48,3.49,3.43,3.55,3.51,3.48,3.44,UPTREND,SIDEWAYS,SIDEWAYS,64.4866,0.0236,0.0265,LOW,152.3272,97.3684,0.0,10600.0,9200.0,9050.0,37123.0,31836.67,31240.0,White Marubozu,None,None,0.1,0.0371,0.0168,0.0,7160.0,10690.0,155720.0,340950.0,0.56,0.0769,6.48,0.0,0.99,0.0,2019-11-21
8,194,3.5,0.4,0.129,3.5,3.5,3.5,0.0,3.9,3.02,3.06,2.97,3.56,3.7,3.44,3.48,3.46,3.44,3.4,3.45,3.46,3.44,DOWNTREND,SIDEWAYS,SIDEWAYS,52.4409,-0.0455,0.0526,HIGH,34.155,54.218,-17.5439,17500.0,15666.67,13850.0,55906.0,51233.33,45772.5,White Marubozu,None,Three White Soldiers,0.0606,-0.0169,0.129,70.0,1250.0,8410.0,177370.0,281600.0,0.56,0.0769,6.25,0.0,0.96,0.0,2019-12-23
9,188,3.53,0.0,0.0,3.53,3.53,3.53,3530.0,3.9,3.02,3.37,3.2,3.56,3.7,3.44,3.44,3.51,3.39,3.47,3.46,3.45,3.42,UPTREND,SIDEWAYS,SIDEWAYS,59.8936,0.0164,0.0263,LOW,129.737,95.6522,-6.5217,11300.0,10400.0,13850.0,38705.0,35352.0,47021.5,White Marubozu,Bullish Harami,None,0.0697,0.0633,-0.0084,3530.0,60330.0,168960.0,374210.0,-767660.0,0.64,0.6409999999999999,5.52,0.0,1.0,0.0,2019-09-24
10,194,3.56,0.0,0.0,3.59,3.56,3.59,0.0,3.9,3.02,3.4,3.3,3.63,3.74,3.55,3.49,3.49,3.43,3.54,3.51,3.49,3.45,UPTREND,SIDEWAYS,SIDEWAYS,52.235,0.0206,0.0276,LOW,67.1024,62.2498,-30.4348,9100.0,10200.0,9650.0,31947.0,35768.67,33430.5,Black Marubozu,None,None,0.0788,0.0171,-0.0193,-18050.0,-10890.0,-7360.0,158070.0,322900.0,0.56,0.0769,6.36,0.0,0.97,0.0,2019-11-29
11,188,3.53,0.06,0.0173,3.47,3.47,3.54,0.0,3.9,3.02,3.34,3.2,3.54,3.7,3.4,3.44,3.51,3.38,3.42,3.44,3.44,3.41,UPTREND,SIDEWAYS,SIDEWAYS,62.3793,-0.0081,0.022000000000000002,LOW,212.8685,99.2424,-2.2727,9100.0,14133.33,12550.0,30774.0,47859.33,42465.0,White Long Day,None,Three White Soldiers,0.0697,0.0633,0.0173,6920.0,165430.0,145030.0,380910.0,-290390.0,0.64,0.6409999999999999,5.52,0.0,1.0,0.0,2019-09-16
12,190,3.51,-0.01,-0.0028,3.51,3.51,3.51,0.0,3.9,3.02,3.34,3.21,3.53,3.7,3.51,3.45,3.49,3.41,3.5,3.48,3.46,3.43,SIDEWAYS,SIDEWAYS,SIDEWAYS,52.9648,0.0231,0.0325,NEUTRAL,47.2175,87.2549,-14.7059,6000.0,7933.33,9050.0,20471.0,27233.33,31064.5,White Marubozu,Bullish Harami,None,0.0636,-0.0085,-0.0028,0.0,3530.0,168960.0,322560.0,323810.0,0.64,0.6409999999999999,5.48,0.0,0.99,0.0,2019-10-16
13,188,3.4,0.01,0.0029,3.42,3.4,3.42,51000.0,3.9,3.02,3.3,3.2,3.41,3.54,3.4,3.45,3.51,3.38,3.4,3.44,3.45,3.41,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.3131,-0.0255,0.0213,LOW,39.7209,80.9618,-13.6364,16000.0,13466.67,14900.0,54156.0,45471.33,50199.5,Black Marubozu,None,None,0.0303,-0.0087,0.0029,108630.0,108630.0,262230.0,234480.0,234910.0,0.64,0.6409999999999999,5.31,0.0,0.96,0.0,2019-08-28
14,188,3.54,0.05,0.0143,3.54,3.54,3.54,0.0,3.9,3.02,3.36,3.21,3.56,3.7,3.46,3.44,3.5,3.39,3.48,3.46,3.45,3.42,UPTREND,SIDEWAYS,SIDEWAYS,59.3463,0.0238,0.0244,LOW,107.3874,89.0026,-5.8824,10400.0,9600.0,10850.0,35885.0,32955.33,36977.5,White Marubozu,None,Three White Soldiers,0.0727,0.0663,-0.0056,3530.0,10450.0,168960.0,374210.0,-434750.0,0.64,0.6409999999999999,5.53,0.0,1.0,0.0,2019-09-30
15,194,3.1,-0.05,-0.0159,3.25,3.1,3.25,0.0,3.9,3.02,3.08,2.97,3.56,3.7,3.5,3.49,3.47,3.44,3.46,3.48,3.47,3.44,DOWNTREND,SIDEWAYS,SIDEWAYS,30.0187,-0.0087,0.0427,NEUTRAL,-307.1592,0.0,-100.0,22200.0,17533.33,16250.0,72873.0,58123.33,54445.5,Black Marubozu,None,None,-0.0606,-0.1292,-0.1268,9480.0,-8570.0,-1410.0,167550.0,332380.0,0.56,0.0769,5.54,0.0,0.85,0.0,2019-12-10
16,188,3.41,0.01,0.0029,3.41,3.39,3.41,10170.0,3.9,3.02,3.39,3.26,3.42,3.6,3.4,3.45,3.51,3.38,3.4,3.44,3.44,3.41,DOWNTREND,SIDEWAYS,SIDEWAYS,49.4335,-0.0243,0.0201,LOW,25.3165,85.1779,-9.0909,15900.0,13466.67,13100.0,53797.0,45457.33,44328.5,Dragonfly Doji,None,None,0.0333,-0.0058,0.0059,118800.0,118800.0,272400.0,244650.0,245080.0,0.64,0.6409999999999999,5.33,0.0,0.97,0.0,2019-08-29
17,191,3.55,-0.04,-0.0111,3.55,3.55,3.55,0.0,3.9,3.02,3.45,3.33,3.59,3.7,3.52,3.46,3.49,3.42,3.52,3.49,3.47,3.44,SIDEWAYS,SIDEWAYS,SIDEWAYS,55.6066,0.0188,0.0299,LOW,88.3878,96.4912,-10.5263,9600.0,9266.67,8150.0,33060.0,31856.67,28079.0,White Marubozu,None,Three White Soldiers,0.0758,0.0143,0.0143,7160.0,7160.0,17610.0,329720.0,340950.0,0.64,0.6409999999999999,5.55,0.0,1.01,0.0,2019-11-06
18,194,3.25,0.0,0.0,3.25,3.25,3.25,0.0,3.9,3.02,3.1,3.0,3.55,3.7,3.47,3.48,3.47,3.44,3.42,3.46,3.47,3.44,DOWNTREND,SIDEWAYS,SIDEWAYS,39.7699,-0.0303,0.0381,NEUTRAL,-130.9471,0.0,-71.6981,21600.0,16400.0,15100.0,70167.0,53939.33,50257.5,White Marubozu,Bullish Harami,None,-0.0152,-0.0871,-0.0845,19230.0,1180.0,8340.0,177300.0,342130.0,0.56,0.0769,5.8,0.0,0.89,0.0,2019-12-12
19,188,3.4,0.08,0.0241,3.4,3.1,3.4,29750.0,3.9,3.02,3.21,3.08,3.42,3.6,3.4,3.45,3.52,3.38,3.4,3.44,3.44,3.41,DOWNTREND,SIDEWAYS,SIDEWAYS,49.2805,-0.0236,0.0255,LOW,-180.0434,77.2727,-9.0909,17200.0,13266.67,12150.0,58045.0,44763.33,40914.0,Dragonfly Doji,None,None,0.0303,0.0241,0.0241,158510.0,158510.0,312110.0,286000.0,284790.0,0.64,0.6409999999999999,5.31,0.0,0.96,0.0,2019-09-04
20,188,3.39,-0.01,-0.0029,3.25,3.25,3.39,0.0,3.9,3.02,3.21,3.1,3.41,3.54,3.4,3.44,3.52,3.38,3.4,3.43,3.44,3.41,DOWNTREND,SIDEWAYS,SIDEWAYS,48.2829,-0.0213,0.0252,LOW,-77.4411,89.899,-12.1212,16400.0,13533.33,12250.0,55338.0,45652.67,41265.0,White Marubozu,None,None,0.0273,0.0211,-0.0029,49880.0,158510.0,312110.0,286000.0,-297310.0,0.64,0.6409999999999999,5.3,0.0,0.96,0.0,2019-09-09
21,190,3.51,0.0,0.0,3.25,3.21,3.51,0.0,3.9,3.02,3.36,3.21,3.52,3.7,3.52,3.45,3.49,3.41,3.5,3.48,3.46,3.43,SIDEWAYS,SIDEWAYS,SIDEWAYS,52.9648,0.0209,0.039,NEUTRAL,-113.5842,88.9427,-9.0909,7500.0,7000.0,8950.0,25319.0,23811.33,30602.0,White Long Day,None,None,0.0636,-0.0085,-0.0028,0.0,3530.0,168960.0,322560.0,333790.0,0.64,0.6409999999999999,5.48,0.0,0.99,0.0,2019-10-18
22,188,3.52,-0.01,-0.0028,3.41,3.4,3.52,0.0,3.9,3.02,3.4,3.2,3.54,3.7,3.41,3.44,3.51,3.39,3.43,3.44,3.44,3.41,UPTREND,SIDEWAYS,SIDEWAYS,60.9787,-0.0033,0.0231,LOW,143.85399999999998,97.7273,-4.5455,10600.0,15266.67,13250.0,35892.0,51744.0,44844.5,White Long Day,None,Three White Soldiers,0.0667,0.0602,0.0144,6920.0,165430.0,145030.0,380910.0,-290390.0,0.64,0.6409999999999999,5.5,0.0,1.0,0.0,2019-09-17
23,187,3.3,-0.11,-0.0323,3.37,3.3,3.37,0.0,3.9,3.02,3.26,3.1,3.43,3.54,3.42,3.47,3.5,3.38,3.42,3.46,3.45,3.41,SIDEWAYS,SIDEWAYS,SIDEWAYS,37.8149,-0.0227,0.0286,LOW,-149.9102,67.6282,-62.5,8100.0,11800.0,13900.0,27192.0,39589.33,47129.5,Black Marubozu,None,None,0.0,-0.0379,-0.0351,0.0,-20400.0,153600.0,125850.0,26690.0,0.64,0.6409999999999999,5.16,0.0,0.93,0.0,2019-08-15
24,191,3.57,-0.01,-0.0028,3.5,3.44,3.57,0.0,3.9,3.02,3.48,3.33,3.59,3.7,3.53,3.47,3.49,3.42,3.53,3.5,3.48,3.44,UPTREND,SIDEWAYS,SIDEWAYS,57.34,0.0214,0.0299,LOW,42.4886,96.4912,-5.2632,10700.0,9733.33,8850.0,37270.0,33487.33,30487.5,None,None,None,0.0818,0.02,-0.0028,7160.0,7160.0,17610.0,155720.0,340950.0,0.64,0.6409999999999999,5.58,0.0,1.01,0.0,2019-11-13
25,188,3.47,0.01,0.0029,3.4,3.4,3.47,0.0,3.9,3.02,3.32,3.2,3.49,3.7,3.4,3.44,3.51,3.38,3.41,3.43,3.44,3.41,SIDEWAYS,SIDEWAYS,SIDEWAYS,56.8585,-0.0125,0.0225,LOW,118.7343,100.0,0.0,9800.0,13666.67,12150.0,33015.0,46150.67,41038.0,White Marubozu,None,Three White Soldiers,0.0515,0.0452,0.0206,6920.0,165430.0,145030.0,380910.0,-290390.0,0.64,0.6409999999999999,5.42,0.0,0.98,0.0,2019-09-13
26,192,3.62,-0.01,-0.0028,3.62,3.61,3.62,-18050.0,3.9,3.02,3.5,3.33,3.63,3.76,3.54,3.48,3.49,3.43,3.55,3.51,3.49,3.45,UPTREND,SIDEWAYS,SIDEWAYS,62.5822,0.0252,0.0251,LOW,132.0513,98.3292,-2.381,8600.0,9600.0,9050.0,30348.0,33424.0,31302.5,Dragonfly Doji,Bullish Harami,None,0.09699999999999999,0.0343,-0.0028,-18050.0,-10890.0,-7360.0,137670.0,322900.0,0.56,0.0769,6.46,0.0,0.99,0.0,2019-11-26
