,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,191,20.0,0.0,0.0,20.0,20.0,20.25,-6864840.0,28.35,19.66,19.99,19.67,20.22,21.4,20.14,21.39,22.73,23.99,20.37,21.26,22.23,23.42,SIDEWAYS,DOWNTREND,DOWNTREND,37.0374,-0.485,0.0176,LOW,-34.8166,63.5417,-46.875,946070.0,1123286.67,1233260.0,19020758.1,22475908.33,24821189.25,Gravestone Doji,Bullish Harami,None,-0.292,-0.0099,-0.0099,-16378880.0,-112612525.0,-189076276.0,-269241841.0,59973929.0,2.38,-0.0951,8.4,0.0,0.77,0.0,2019-10-22
1,195,18.8,-0.18,-0.0095,18.96,18.52,18.96,-10079438.0,28.35,17.84,17.95,17.92,19.18,19.98,18.83,19.59,21.26,22.81,18.9,19.7,20.84,22.33,DOWNTREND,DOWNTREND,DOWNTREND,44.3736,-0.3936,0.0245,LOW,-25.8245,61.6667,-40.0,1314130.0,1282786.67,1304855.0,24272625.6,23925498.53,24475638.2,Hanging Man,None,None,-0.3345,0.0053,0.0053,-17861288.0,-20108180.0,-95509860.0,-279928931.0,-125001366.0,2.43,-0.027999999999999997,7.74,0.0,0.7,0.0,2019-12-03
2,193,18.94,-0.06,-0.0032,19.02,18.5,19.02,-1480608.0,28.35,18.5,18.72,18.71,19.35,20.25,19.43,20.21,21.87,23.2,19.38,20.2,21.29,22.69,DOWNTREND,DOWNTREND,DOWNTREND,32.6237,-0.3844,0.0182,LOW,-101.8667,18.158,-71.6129,1266500.0,1186073.33,1252765.0,24104799.8,22747798.67,24314595.85,Hanging Man,None,None,-0.3296,-0.0454,-0.0166,14829572.0,-20345550.0,-75693389.0,-236580057.0,-69043537.0,2.43,-0.027999999999999997,7.79,0.0,0.71,0.0,2019-11-20
3,195,15.3,-1.0,-0.0613,16.26,14.9,16.26,-14009128.0,28.25,14.9,15.1,15.1,18.88,19.48,18.33,19.26,20.92,22.6,18.11,19.24,20.51,22.11,DOWNTREND,DOWNTREND,DOWNTREND,17.2381,-0.5128,0.040999999999999995,NEUTRAL,-276.882,6.7612,-91.0714,2020490.0,1607313.33,1517905.0,35339537.8,28394799.87,27241095.0,Black Long Day,None,Three Black Crows,-0.4584,-0.1818,-0.0613,-54957288.0,-99543576.0,-129471838.0,-303543286.0,-165600946.0,2.43,-0.027999999999999997,6.3,0.0,0.57,0.0,2019-12-09
4,189,22.25,-0.2,-0.0089,22.45,22.15,22.5,58890.0,28.35,20.85,21.88,20.9,22.52,23.25,22.41,23.64,23.28,24.87,22.54,23.1,23.62,24.42,DOWNTREND,DOWNTREND,SIDEWAYS,43.4957,-0.3833,0.0232,LOW,-48.8459,33.8547,-74.1935,527030.0,892433.33,825665.0,11731314.5,19842619.67,18406078.5,None,None,None,-0.2124,-0.0111,-0.0111,-14167710.0,-51635755.0,-93353840.0,111749400.0,264231580.0,2.38,-0.0951,9.35,0.0,0.86,0.0,2019-09-06
5,189,19.68,-0.32,-0.016,20.0,19.68,20.0,-16707136.0,28.35,19.68,19.68,19.68,20.55,22.6,21.38,22.22,22.97,24.45,21.11,22.06,22.87,23.88,DOWNTREND,DOWNTREND,SIDEWAYS,24.7074,-0.5328,0.0279,LOW,-141.1995,1.5625,-100.0,1432240.0,1206673.33,1021955.0,29364039.1,25104090.4,21423796.55,Black Marubozu,Bearish Engulfing,None,-0.3034,-0.0257,-0.0209,-90758674.0,-96311669.0,-145357094.0,-213580074.0,184525311.0,2.38,-0.0951,8.27,0.0,0.76,0.0,2019-10-03
6,195,18.98,0.28,0.015,18.88,18.8,19.18,-5719872.0,28.35,17.84,17.92,17.92,19.18,20.08,18.85,19.64,21.33,22.85,18.91,19.74,20.88,22.37,DOWNTREND,DOWNTREND,DOWNTREND,47.5647,-0.4098,0.0243,LOW,23.0159,55.4167,-28.75,1189880.0,1209813.33,1292045.0,21957938.0,22565285.47,24275278.0,None,None,None,-0.3281,0.015,0.015,-29458780.0,-17515910.0,-83520797.0,-263660493.0,-121927278.0,2.43,-0.027999999999999997,7.81,0.0,0.71,0.0,2019-12-02
7,193,19.0,0.06,0.0032,19.0,18.5,19.0,-181434.0,28.35,18.5,18.72,18.71,19.3,20.25,19.38,20.14,21.81,23.16,19.35,20.15,21.25,22.65,DOWNTREND,DOWNTREND,DOWNTREND,34.7751,-0.37799999999999995,0.0188,LOW,-93.8618,23.1136,-67.7419,875770.0,1184040.0,1188925.0,16652609.0,22699482.53,23031080.6,Dragonfly Doji,Tweezer Bottoms,None,-0.3274,-0.0423,-0.0135,-5706674.0,-19523812.0,-76404593.0,-236146266.0,-72991776.0,2.43,-0.027999999999999997,7.82,0.0,0.71,0.0,2019-11-21
8,195,8.57,1.13,0.1519,7.5,7.46,8.73,-21812413.0,28.25,5.01,5.5,5.5,8.94,19.18,13.57,17.13,19.45,21.71,12.26,15.92,18.48,20.89,DOWNTREND,DOWNTREND,DOWNTREND,26.594,-2.4587,0.1377,HIGH,-85.8709,21.0486,-73.6101,42397400.0,29078993.33,22208945.0,311138685.0,221181964.53,173239111.4,White Long Day,None,None,-0.6966,-0.5417,0.1519,-791923543.0,-987260613.0,-1004776523.0,-1205014501.0,-1154489191.0,2.43,-0.027999999999999997,3.53,0.0,0.32,0.0,2019-12-23
9,189,21.3,0.1,0.0047,21.35,20.55,21.5,2193735.0,28.35,20.4,20.8,20.68,22.28,23.25,22.09,22.85,23.12,24.68,22.07,22.65,23.26,24.14,DOWNTREND,DOWNTREND,SIDEWAYS,36.7849,-0.2894,0.0285,LOW,-286.4019,36.6546,-62.5,809770.0,622906.67,637095.0,17638133.0,13609649.67,13986895.25,None,None,None,-0.24600000000000002,-0.0533,-0.0362,9689585.0,-8566475.0,-56086735.0,-92481365.0,278931930.0,2.38,-0.0951,8.95,0.0,0.82,0.0,2019-09-24
