,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,192,17.22,-0.44,-0.0249,17.66,17.2,17.66,-41388996.0,23.0,16.6,17.21,16.6,18.1,19.01,18.13,18.55,18.82,19.41,18.1,18.48,18.85,19.06,DOWNTREND,SIDEWAYS,SIDEWAYS,25.3023,-0.2264,0.0221,LOW,-229.0645,5.1838,-98.7342,1543990.0,1347613.33,1122475.0,27612133.2,24213215.33,20243693.8,Black Long Day,None,None,-0.0692,-0.0791,-0.038,-104535152.0,-184447748.0,-227935548.0,131997234.0,-534688073.0,0.62,-0.1143,27.77,0.0,3.29,0.0,2019-10-22
1,196,16.8,-0.18,-0.0106,17.24,16.72,17.24,-13406101.9999,23.0,16.5,16.76,14.49,17.23,17.8,17.1,17.64,18.22,19.31,17.17,17.6,18.14,18.61,SIDEWAYS,DOWNTREND,SIDEWAYS,36.7461,-0.2108,0.0221,LOW,-85.5098,50.4291,-72.2222,714260.0,849406.67,1012030.0,12174328.6,14473462.67,17264322.0,Black Long Day,Bearish Engulfing,None,-0.0919,-0.0164,-0.0164,-20240906.0,-95747058.0,-334301534.0,-521661910.0,-593507921.0,0.25,-0.6269,67.2,0.0,3.22,0.0,2019-12-03
2,194,17.14,0.14,0.0082,17.2,16.78,17.26,-9234374.0003,23.0,16.5,16.72,14.54,17.3,17.88,17.38,18.0,18.37,19.36,17.34,17.84,18.35,18.75,DOWNTREND,DOWNTREND,SIDEWAYS,43.3699,-0.2799,0.0243,LOW,-62.9671,37.6885,-50.7692,1278240.0,1214113.33,1405125.0,21753605.8,20881981.87,24357142.8,None,None,None,-0.0735,-0.0316,0.0082,-52391546.0,-208293636.0,-413635272.0,-365428324.0,-567264025.0,0.25,-0.6269,68.56,0.0,3.29,0.0,2019-11-20
3,196,16.96,0.26,0.0156,16.7,16.5,16.96,-3763198.0,23.0,16.5,16.6,14.32,17.11,17.8,17.02,17.51,18.14,19.28,17.07,17.49,18.04,18.54,SIDEWAYS,SIDEWAYS,SIDEWAYS,44.5765,-0.19699999999999998,0.0218,LOW,-109.0426,37.5427,-39.4737,746400.0,726946.67,873605.0,12642607.6,12339286.93,14817959.2,None,Bullish Engulfing,None,-0.0832,-0.006999999999999999,0.0156,-35954692.0,-75248156.0,-277855834.0,-545328806.0,-556655126.0,0.25,-0.6269,67.84,0.0,3.26,0.0,2019-12-09
4,190,19.16,0.18,0.0095,18.9,18.9,19.4,4895890.0,23.0,14.02,18.74,17.94,19.28,19.88,18.7,18.73,19.88,19.32,18.8,18.97,19.27,19.3,UPTREND,SIDEWAYS,DOWNTREND,59.9171,-0.0107,0.0171,LOW,166.8047,83.9683,-21.4286,2144600.0,2291900.0,1792450.0,40253567.4,42720909.87,33397112.6,None,None,None,0.0357,0.0084,0.0084,16363150.0,344200534.0,343116554.0,280117060.0,189723573.0,0.62,-0.1143,30.9,0.0,3.66,0.0,2019-09-06
5,190,18.04,-0.22,-0.012,18.28,18.04,18.28,-7877904.0,23.0,14.02,17.82,17.08,19.01,19.63,18.84,18.76,19.3,19.43,18.65,18.85,19.12,19.21,DOWNTREND,SIDEWAYS,SIDEWAYS,32.9283,-0.0737,0.0227,LOW,-149.6996,8.8889,-100.0,494600.0,573160.0,929675.0,9151974.6,10751005.07,17667137.2,Black Marubozu,Bearish Engulfing,None,-0.0249,-0.0353,-0.0238,-18314300.0,-55813464.0,144752008.0,276292156.0,-133869956.0,0.62,-0.1143,29.1,0.0,3.44,0.0,2019-10-03
6,196,16.98,-0.1,-0.0059,16.9,16.82,17.0,-919809.9997,23.0,16.5,16.9,16.2,17.23,17.8,17.14,17.68,18.25,19.32,17.2,17.63,18.17,18.63,SIDEWAYS,DOWNTREND,SIDEWAYS,40.5754,-0.2155,0.0212,LOW,-76.4246,65.5601,-47.2222,711840.0,912420.0,1017025.0,12151087.0,15518716.67,17391430.7,None,None,None,-0.0822,-0.0059,-0.0059,-4979722.0,-107817724.0,-334699326.0,-502364724.0,-581032684.0,0.25,-0.6269,67.92,0.0,3.26,0.0,2019-12-02
7,194,17.14,0.0,0.0,17.06,16.86,17.14,-6371413.9999,23.0,16.5,16.72,14.97,17.2,17.88,17.35,17.96,18.35,19.36,17.32,17.81,18.33,18.74,DOWNTREND,DOWNTREND,SIDEWAYS,43.3699,-0.2764,0.0237,LOW,-59.542,45.641000000000005,-50.7692,1112810.0,1250426.67,1414110.0,18903822.2,21490116.93,24496165.6,Hammer,None,None,-0.0735,-0.0316,0.0082,-57179312.0,-210522048.0,-411201466.0,-426222094.0,-573168594.0,0.25,-0.6269,68.56,0.0,3.29,0.0,2019-11-21
8,196,16.6,0.1,0.0061,16.5,16.38,16.72,-8478216.0,23.0,16.36,16.43,14.32,17.28,17.8,16.88,17.23,17.96,19.16,16.87,17.26,17.81,18.37,DOWNTREND,SIDEWAYS,DOWNTREND,42.3521,-0.1557,0.0235,LOW,-134.0942,18.0416,-73.913,612820.0,660933.33,679610.0,10247349.6,11070128.67,11444978.6,None,Bullish Engulfing,None,-0.1027,-0.0281,0.0061,-35892628.0,-95455788.0,-203273512.0,-564450842.0,-452080025.0,0.25,-0.6269,66.4,0.0,3.19,0.0,2019-12-23
9,190,18.5,0.04,0.0022,18.46,18.32,18.88,-4418658.0,23.0,14.02,18.39,17.8,19.33,20.42,19.01,18.8,19.58,19.42,18.92,18.99,19.22,19.27,SIDEWAYS,SIDEWAYS,DOWNTREND,39.5203,0.0662,0.0171,LOW,-141.2322,0.0,-85.0,571070.0,1013133.33,1423280.0,10850265.4,19380059.07,26971221.3,None,None,None,0.0,-0.0263,-0.0222,-17441940.0,-19887290.0,308068506.0,250603052.0,70806205.0,0.62,-0.1143,29.84,0.0,3.53,0.0,2019-09-24
