,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,193,101.0,0.0,0.0,101.0,100.7,101.0,0.0,103.0,96.0,100.85,97.85,101.2,104.25,101.14,101.25,101.26,101.2,101.12,101.16,101.25,101.97,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.5519,-0.0221,0.0045,LOW,-57.1749,61.5385,-38.4615,7118.0,5472.0,5232.5,719619.3,552788.27,529083.95,Dragonfly Doji,None,None,0.0306,-0.0049,0.0,0.0,0.0,0.0,-64881.0,305987.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-22
1,197,101.0,0.0,0.0,101.0,101.0,101.0,0.0,104.0,96.0,100.05,97.0,103.0,106.8,101.01,101.04,101.17,100.96,100.98,101.06,101.16,101.79,SIDEWAYS,SIDEWAYS,SIDEWAYS,49.9514,-0.062,0.0058,LOW,-13.0389,24.359,-75.0,28298.0,21577.33,17991.5,2862996.0,2182686.67,1819639.95,White Marubozu,Bullish Harami,Three White Soldiers,0.0306,0.0,0.0,0.0,0.0,0.0,0.0,305987.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-03
2,195,100.1,-0.9,-0.0089,102.0,100.1,102.0,0.0,104.0,96.0,99.05,96.55,103.0,106.8,101.07,101.08,101.16,101.02,101.05,101.12,101.2,101.84,SIDEWAYS,SIDEWAYS,SIDEWAYS,38.7529,-0.0022,0.0059,LOW,-115.94200000000001,2.1505,-100.0,25564.0,19454.0,16834.5,2588037.7,1968858.4,1703312.35,Black Marubozu,None,Three Black Crows,0.0214,-0.0089,-0.0089,0.0,0.0,0.0,-149488.0,305987.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-20
3,197,101.0,0.9,0.009000000000000001,101.0,101.0,101.0,0.0,104.0,96.0,100.1,97.0,101.5,105.0,100.92,101.01,101.15,100.94,100.84,100.99,101.12,101.74,SIDEWAYS,SIDEWAYS,SIDEWAYS,50.9482,-0.1011,0.0066,LOW,4.2017,17.5,-75.0,8244.0,20336.67,17238.5,831090.5,2056905.47,1743314.6,White Marubozu,Bullish Harami,None,0.0306,0.0,0.009000000000000001,0.0,0.0,0.0,0.0,305987.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-09
4,191,101.3,0.0,0.0,101.3,101.3,101.3,0.0,104.5,96.0,101.1,97.85,102.0,106.8,101.52,101.34,101.18,101.72,101.42,101.34,101.39,102.25,SIDEWAYS,SIDEWAYS,SIDEWAYS,49.2423,0.0433,0.0094,LOW,-6.0025,80.303,-19.697,716.0,7388.67,5943.5,72379.8,740405.47,595551.0,White Marubozu,Bullish Harami,Three White Soldiers,0.0337,0.002,0.002,0.0,-139258.0,-64881.0,-79631.0,-1299013.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-06
5,191,100.3,0.1,0.001,100.3,100.3,100.3,0.0,103.0,96.0,100.2,97.0,101.5,105.0,101.01,101.22,101.18,101.3,101.01,101.15,101.26,102.06,SIDEWAYS,SIDEWAYS,SIDEWAYS,45.2506,-0.0854,0.0077,LOW,-112.4935,0.0,-94.1176,3344.0,3586.0,2835.5,338244.1,361935.0,286220.45,White Marubozu,Bullish Harami,None,0.0235,-0.0118,0.0,0.0,0.0,-110614.0,-79631.0,-1299013.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-03
6,197,101.0,0.0,0.0,100.1,100.0,101.0,0.0,104.0,96.0,100.05,97.0,101.5,105.0,101.01,101.05,101.16,100.97,100.97,101.07,101.17,101.79,SIDEWAYS,SIDEWAYS,SIDEWAYS,49.9514,-0.0604,0.0062,LOW,-97.1609,23.7179,-75.0,28418.0,21593.33,17713.0,2875116.0,2184258.0,1791511.45,White Long Day,None,Three White Soldiers,0.0306,0.0,0.0,0.0,0.0,0.0,-66625.0,305987.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-02
7,195,100.1,-0.9,-0.0089,102.0,100.1,102.0,0.0,104.0,96.0,99.05,96.55,103.0,106.8,101.07,101.08,101.16,101.02,101.05,101.12,101.2,101.84,SIDEWAYS,SIDEWAYS,SIDEWAYS,38.7529,-0.0022,0.0059,LOW,-115.94200000000001,2.1505,-100.0,25564.0,19454.0,16834.5,2588037.7,1968858.4,1703312.35,Black Marubozu,None,Three Black Crows,0.0214,-0.0089,-0.0089,0.0,0.0,0.0,-149488.0,305987.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-21
8,197,101.0,0.0,0.0,101.0,101.0,101.0,50500.0,104.0,96.0,98.02,96.55,103.0,106.8,100.52,100.87,101.07,100.92,100.47,100.76,100.98,101.62,SIDEWAYS,SIDEWAYS,SIDEWAYS,52.8404,-0.2412,0.0075,LOW,48.2061,88.8889,0.0,12224.0,12999.33,13368.5,1206891.7,1293494.2,1338564.25,White Marubozu,Bullish Harami,Three White Soldiers,0.0306,0.0,0.0,50500.0,50500.0,50500.0,50500.0,356487.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-23
9,191,101.5,0.5,0.005,101.5,101.5,101.5,0.0,104.5,96.0,100.3,97.0,101.9,105.0,101.16,101.29,101.2,101.44,101.18,101.23,101.31,102.13,SIDEWAYS,SIDEWAYS,SIDEWAYS,51.8632,-0.0943,0.0083,LOW,73.5043,66.6667,-23.5294,4228.0,2984.0,2472.0,427097.9,301460.07,249738.85,White Marubozu,None,Three White Soldiers,0.0357,0.004,0.0,0.0,0.0,-165856.0,-79631.0,-1299013.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-24
