,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,195,3.91,0.13,0.0344,3.75,3.75,3.92,18812330.0,5.1,1.89,3.76,2.45,4.06,4.24,3.99,3.73,3.03,2.77,3.97,3.71,3.31,2.99,DOWNTREND,UPTREND,UPTREND,49.1586,0.0628,0.0489,NEUTRAL,-79.5746,24.9143,-64.9123,7211300.0,7620800.0,8131850.0,28586629.0,30406794.0,32523073.0,White Long Day,None,None,0.7773,-0.0126,0.0156,15622880.0,875790.0,62514890.0,652788890.0,587829650.8,0.05,-0.7727,78.2,0.0,1.82,0.0,2019-10-22
1,199,2.99,0.09,0.031,2.92,2.9,3.06,-22702580.0,5.1,2.06,2.85,2.45,3.55,4.01,3.42,3.77,3.43,2.93,3.39,3.56,3.41,3.14,DOWNTREND,DOWNTREND,UPTREND,34.5701,-0.1648,0.0648,HIGH,-138.4659,15.3378,-76.25,9436600.0,8433533.33,10224150.0,29568377.0,26981184.67,34831739.0,None,None,None,0.3591,-0.0324,-0.0324,-101821290.0,-130179450.0,-217446100.0,-178901300.0,419265590.2,0.14,-0.3636,21.36,0.0,1.33,0.0,2019-12-03
2,197,3.41,0.14,0.0428,3.33,3.31,3.45,-1907260.0,5.1,1.89,3.11,2.45,3.58,4.22,3.76,3.96,3.34,2.9,3.66,3.71,3.45,3.13,DOWNTREND,DOWNTREND,UPTREND,38.9034,-0.1011,0.0552,HIGH,-97.8795,0.0,-71.4286,9753400.0,10091466.67,10298700.0,34810626.0,37666945.33,39445886.0,None,None,None,0.55,-0.1496,0.0271,-8703570.0,-70963380.0,-113790870.0,529119450.0,525935377.0,0.14,-0.3636,24.36,0.0,1.52,0.0,2019-11-20
3,199,2.99,0.01,0.0034,3.0,2.94,3.05,-7516970.0,5.1,2.06,2.86,2.45,3.02,3.64,3.24,3.67,3.46,2.94,3.25,3.47,3.38,3.13,DOWNTREND,DOWNTREND,UPTREND,36.8355,-0.1966,0.059000000000000004,HIGH,-87.7416,21.7778,-74.6667,10282700.0,8833866.67,8758850.0,31108481.0,27311944.67,27856853.0,None,None,None,0.3591,-0.0324,0.0034,-53187240.0,-158319730.0,-263496470.0,-170052610.0,350277846.6,0.14,-0.3636,21.36,0.0,1.33,0.0,2019-12-09
4,193,4.32,-0.18,-0.04,4.4,4.26,4.69,-3719280.0,5.1,1.89,3.54,2.4,5.0,5.0,3.03,2.65,2.47,2.47,3.3,2.83,2.63,2.58,UPTREND,UPTREND,UPTREND,71.7515,0.2845,0.0731,HIGH,135.5079,80.422,-29.1045,73285400.0,49681400.0,38501350.0,313095048.0,210827432.67,161276651.0,None,None,None,0.9636,0.5766,0.5766,591880350.0,594022770.0,618930220.0,557530970.0,439744309.8,0.05,-0.7727,86.4,0.0,2.01,0.0,2019-09-06
5,193,3.75,-0.05,-0.0132,3.78,3.71,3.8,1262140.0,5.1,1.89,3.72,2.68,4.12,4.54,4.17,3.36,2.8,2.65,3.96,3.52,3.11,2.85,DOWNTREND,UPTREND,UPTREND,46.2514,0.2465,0.0569,HIGH,-190.9101,9.4697,-93.0556,9034800.0,10222800.0,11721700.0,36983686.0,42343638.0,49538265.5,None,None,None,0.7045,-0.053,-0.0741,-17552540.0,77975680.0,631947980.0,647470690.0,534352967.8,0.05,-0.7727,75.0,0.0,1.74,0.0,2019-10-03
6,199,2.9,-0.19,-0.0615,3.0,2.8,3.15,-54119660.0,5.1,2.06,2.85,2.45,3.55,4.07,3.47,3.8,3.43,2.93,3.43,3.59,3.42,3.14,DOWNTREND,DOWNTREND,UPTREND,30.8745,-0.1556,0.0677,HIGH,-156.016,15.6263,-88.5057,8914500.0,8787600.0,9978900.0,28156061.0,28601233.33,34423854.5,None,None,None,0.3182,-0.0615,-0.0615,-79757660.0,-104468690.0,-198480620.0,-164169360.0,443018326.2,0.14,-0.3636,20.71,0.0,1.29,0.0,2019-12-02
7,197,3.26,-0.15,-0.044000000000000004,3.41,3.22,3.41,-10553660.0,5.1,1.92,3.11,2.57,3.48,4.22,3.73,3.93,3.35,2.91,3.62,3.69,3.45,3.13,DOWNTREND,DOWNTREND,UPTREND,35.065,-0.1163,0.0578,HIGH,-105.9444,19.3651,-85.7143,9742000.0,9783466.67,10494550.0,34253460.0,35981979.33,39958590.5,Black Long Day,Bearish Engulfing,None,0.4818,-0.187,-0.0181,-20084700.0,-71091160.0,-122373400.0,518884680.0,518284991.0,0.14,-0.3636,23.29,0.0,1.45,0.0,2019-11-21
8,199,3.2,0.24,0.0811,3.01,3.01,3.28,9363830.0,5.1,2.09,2.88,2.45,3.24,3.55,3.04,3.46,3.5,2.95,3.08,3.31,3.3,3.11,DOWNTREND,DOWNTREND,SIDEWAYS,52.4501,-0.1685,0.0488,NEUTRAL,59.0137,58.7879,-18.1818,4503900.0,5893466.67,7393300.0,13566202.0,17585372.0,22337341.5,White Long Day,None,None,0.4545,0.0356,0.0811,10655050.0,-47935250.0,-152403940.0,-269519650.0,327205180.6,0.14,-0.3636,22.86,0.0,1.42,0.0,2019-12-23
9,193,4.29,0.01,0.0023,4.28,4.18,4.33,2890260.0,5.1,1.89,4.08,2.45,4.34,5.0,4.07,3.14,2.69,2.59,3.98,3.38,2.98,2.77,UPTREND,UPTREND,UPTREND,64.2163,0.4103,0.0567,HIGH,29.6616,34.287,-61.4458,11533400.0,21086266.67,43890000.0,49140489.0,93709189.33,187940514.5,None,None,None,0.95,0.5657,-0.0069,58955680.0,198842060.0,601872470.0,619853050.0,493175825.4,0.05,-0.7727,85.8,0.0,2.0,0.0,2019-09-24
