,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,196,3.07,-0.03,-0.0097,3.11,3.04,3.15,928690.0,5.62,1.85,2.98,2.63,3.12,3.49,2.91,2.95,2.73,2.8,3.01,2.93,2.87,3.22,UPTREND,SIDEWAYS,UPTREND,53.391999999999996,0.0028,0.0578,HIGH,89.8976,85.119,-17.8571,3353100.0,3144133.33,4081800.0,10125034.0,9252415.33,11936291.5,None,None,None,-0.1076,0.1328,-0.0065,1247640.0,1514970.0,-8344150.0,-21602980.0,23625758.0,0.0,0.0,0.0,0.0,3.34,0.0,2019-10-22
1,200,2.8,0.02,0.0072,2.75,2.75,2.82,-136970.0,4.78,1.96,2.73,2.63,3.05,3.6,3.09,3.08,2.93,2.73,3.02,3.06,2.99,3.21,DOWNTREND,SIDEWAYS,UPTREND,37.3337,-0.0676,0.0592,HIGH,-104.6667,19.0946,-81.5385,2120800.0,2195466.67,3500750.0,6115084.0,6560859.33,11203060.0,White Long Day,None,None,-0.18600000000000003,-0.0141,-0.0141,138980.0,-716670.0,1925530.0,-6905790.0,25046611.0,0.0,0.0,0.0,0.0,3.04,0.0,2019-12-03
2,198,3.08,-0.04,-0.0128,3.12,3.06,3.19,-367280.0,4.78,1.96,3.06,2.84,3.28,3.67,3.33,3.17,2.9,2.76,3.24,3.14,3.02,3.24,DOWNTREND,UPTREND,UPTREND,42.4436,0.0502,0.055,HIGH,-112.5749,10.4478,-92.5373,4457600.0,5944333.33,6657800.0,14769533.0,20426408.67,22611210.5,None,None,None,-0.1047,-0.1275,-0.0065,-1057570.0,1684130.0,2060460.0,-12636420.0,25922805.0,0.0,0.0,0.0,0.0,3.35,0.0,2019-11-20
3,200,2.92,-0.03,-0.0102,3.01,2.92,3.08,-449670.0,4.78,1.96,2.75,2.63,3.02,3.3,2.97,3.07,2.94,2.73,2.97,3.03,2.98,3.2,DOWNTREND,DOWNTREND,UPTREND,45.5982,-0.0885,0.0535,HIGH,-3.3123,39.8693,-52.9412,3934300.0,3383600.0,3381800.0,11339303.0,9795874.67,10043461.0,None,None,None,-0.1512,0.0282,-0.0102,-860510.0,-933380.0,381420.0,-9622530.0,24577599.0,0.0,0.0,0.0,0.0,3.17,0.0,2019-12-09
4,194,3.1,-0.06,-0.019,3.19,3.09,3.25,-218020.0,8.2,1.85,3.06,2.08,3.43,4.09,2.68,2.59,2.45,2.84,2.84,2.64,2.69,3.28,UPTREND,UPTREND,UPTREND,61.6437,0.1558,0.0945,HIGH,54.0652,40.1339,-62.6866,35474300.0,24053533.33,18300700.0,132834964.0,89421046.67,67663597.0,None,None,None,-0.0988,-0.0402,-0.0402,940520.0,-8376340.0,-10731140.0,-8710660.0,16809676.0,0.0,0.0,0.0,0.0,3.37,0.0,2019-09-06
5,194,2.77,0.11,0.0414,2.68,2.61,2.88,-112430.0,8.15,1.85,2.63,2.11,2.92,3.88,3.16,2.82,2.61,2.83,2.98,2.89,2.83,3.25,DOWNTREND,UPTREND,UPTREND,43.2033,0.0379,0.0815,HIGH,-111.0345,0.0,-82.9787,4949300.0,4436466.67,9072200.0,14550666.0,13553610.0,31514437.5,None,None,None,-0.1948,0.0221,-0.0348,-14298190.0,-11004340.0,-20939480.0,-22341330.0,6296413.0,0.0,0.0,0.0,0.0,3.01,0.0,2019-10-03
6,200,2.78,-0.06,-0.0211,2.84,2.68,2.86,307080.0,4.78,1.96,2.73,2.63,3.05,3.63,3.13,3.09,2.93,2.74,3.04,3.07,3.0,3.21,DOWNTREND,SIDEWAYS,UPTREND,36.1436,-0.057999999999999996,0.0623,HIGH,-116.5633,18.9236,-84.6154,2166700.0,2569933.33,3842950.0,6277712.0,7780548.0,12461303.0,None,None,None,-0.1919,-0.0211,-0.0211,429620.0,-146000.0,2401860.0,-9872820.0,23404354.0,0.0,0.0,0.0,0.0,3.02,0.0,2019-12-02
7,198,2.82,-0.26,-0.0844,3.08,2.8,3.08,247970.0,4.78,1.96,2.81,2.66,3.21,3.67,3.31,3.16,2.9,2.75,3.2,3.13,3.01,3.24,DOWNTREND,UPTREND,UPTREND,33.278,0.033,0.0628,HIGH,-181.4382,7.7059,-97.7778,4467000.0,5584400.0,6314700.0,14395474.0,18896156.0,21372953.0,Black Long Day,None,None,-0.1802,-0.2011,-0.0903,-803030.0,1948370.0,1856560.0,-7732000.0,24905984.0,0.0,0.0,0.0,0.0,3.07,0.0,2019-11-21
8,200,2.34,0.0,0.0,2.34,2.33,2.37,158440.0,4.78,1.96,2.12,1.99,2.5,3.05,2.67,3.01,2.93,2.7,2.64,2.85,2.89,3.13,DOWNTREND,DOWNTREND,SIDEWAYS,30.0947,-0.1576,0.0655,HIGH,-116.7904,3.1719999999999997,-98.6667,2631300.0,3693333.33,3282800.0,6676219.0,10061546.0,9007761.0,Doji,Tweezer Bottoms,None,-0.3198,-0.1761,0.0,1620210.0,570360.0,424360.0,-11089640.0,30061135.0,0.0,0.0,0.0,0.0,2.54,0.0,2019-12-23
9,194,3.14,-0.06,-0.0188,3.21,3.13,3.27,-15730.0,8.15,1.85,3.1,2.11,3.49,4.24,3.33,2.79,2.57,2.86,3.19,2.92,2.84,3.29,UPTREND,UPTREND,UPTREND,50.8177,0.2037,0.0816,HIGH,-104.5184,12.7148,-94.8454,3834800.0,10196466.67,20684200.0,13023071.0,36924761.33,79843811.0,None,None,None,-0.0872,-0.0279,-0.0485,1026900.0,466120.0,-7311440.0,-8488930.0,23984279.0,0.0,0.0,0.0,0.0,3.41,0.0,2019-09-24
10,200,2.84,-0.1,-0.034,2.95,2.69,2.95,63350.0,4.78,1.96,2.76,2.63,3.05,3.67,3.17,3.1,2.92,2.74,3.07,3.08,3.0,3.22,DOWNTREND,SIDEWAYS,UPTREND,38.1626,-0.0476,0.0608,HIGH,-109.4633,22.1287,-76.5625,2127500.0,3434533.33,4295650.0,6228445.0,10731912.67,14195957.5,None,None,None,-0.1744,-0.1955,-0.0373,116440.0,-1429020.0,2475950.0,-10397920.0,25291771.0,0.0,0.0,0.0,0.0,3.09,0.0,2019-11-29
11,194,3.45,-0.05,-0.0143,3.5,3.43,3.5,345000.0,8.15,1.85,3.36,2.11,3.62,4.24,3.04,2.7,2.51,2.86,3.14,2.83,2.78,3.29,UPTREND,UPTREND,UPTREND,61.9391,0.2383,0.0854,HIGH,52.2127,40.9035,-76.0,14058100.0,31371733.33,23792150.0,51255777.0,117478686.67,88672911.5,Black Long Day,None,None,0.0029,0.0681,-0.0143,2338200.0,-8927720.0,-9673670.0,-10467070.0,3897473.0,0.0,0.0,0.0,0.0,3.75,0.0,2019-09-16
