,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,197,0.89,-0.02,-0.022000000000000002,0.91,0.89,0.91,0.0,1.37,0.73,0.88,0.76,0.91,0.95,0.91,0.94,0.98,0.99,0.91,0.94,0.96,0.97,DOWNTREND,DOWNTREND,SIDEWAYS,43.6153,-0.0151,0.0265,LOW,-68.9103,43.3333,-80.0,74300.0,221000.0,185850.0,66392.0,198696.0,167662.0,Black Marubozu,Bearish Engulfing,None,-0.022000000000000002,-0.0326,-0.022000000000000002,0.0,-1082520.0,-1314940.0,-3287430.0,-9773600.0,0.16,1.6667,5.56,0.0,0.36,0.0,2019-10-22
1,201,0.82,-0.01,-0.012,0.82,0.82,0.82,0.0,1.37,0.74,0.76,0.74,0.85,0.9,0.86,0.89,0.94,0.97,0.86,0.89,0.92,0.95,DOWNTREND,SIDEWAYS,DOWNTREND,34.4426,-0.013000000000000001,0.0189,LOW,-191.1111,0.0,-100.0,34800.0,51333.33,74300.0,29356.0,43739.33,64291.0,White Marubozu,None,Three White Soldiers,-0.0989,-0.0353,-0.0353,-2550.0,-194270.0,-828300.0,-2143240.0,-10474340.0,0.12,1.4,6.83,0.0,0.33,0.0,2019-12-03
2,199,0.89,0.02,0.023,0.89,0.89,0.89,0.0,1.37,0.73,0.85,0.76,0.9,0.94,0.88,0.91,0.95,0.98,0.88,0.91,0.93,0.96,DOWNTREND,SIDEWAYS,DOWNTREND,50.8416,-0.0118,0.0208,LOW,29.724,37.7778,-20.0,100700.0,187200.0,202750.0,87699.0,164506.0,179429.5,White Marubozu,None,None,-0.022000000000000002,0.0,0.0471,-38700.0,-168940.0,-582700.0,-2422020.0,-10648490.0,0.12,1.4,7.42,0.0,0.36,0.0,2019-11-20
3,201,0.84,0.04,0.05,0.81,0.81,0.84,0.0,1.37,0.8,0.8,0.76,0.85,0.89,0.85,0.88,0.94,0.96,0.85,0.88,0.91,0.94,DOWNTREND,DOWNTREND,DOWNTREND,45.8519,-0.0171,0.0185,LOW,-60.8599,0.0,-55.5556,102900.0,83066.67,90300.0,82941.0,67636.0,74882.5,White Marubozu,None,Three White Soldiers,-0.0769,-0.0118,0.05,-68590.0,-224160.0,-519690.0,-2209950.0,-9602480.0,0.12,1.4,7.0,0.0,0.34,0.0,2019-12-09
4,195,0.94,-0.01,-0.0105,0.95,0.93,0.95,-45830.0,1.37,0.73,0.92,0.88,0.97,1.04,0.96,1.0,0.98,0.98,0.96,0.98,0.99,0.99,DOWNTREND,DOWNTREND,SIDEWAYS,42.4072,-0.0236,0.0383,NEUTRAL,-49.7512,31.3889,-62.5,234000.0,333466.67,421050.0,217925.0,316025.33,405801.5,None,Bearish Engulfing,None,0.033,0.0,0.0,-47690.0,-1159190.0,-1934340.0,-2083080.0,-4860040.0,0.16,1.6667,5.88,0.0,0.38,0.0,2019-09-06
5,195,0.89,-0.02,-0.022000000000000002,0.93,0.89,0.93,-680300.0,1.37,0.73,0.88,0.79,0.95,0.99,0.94,0.98,0.98,0.99,0.94,0.96,0.98,0.98,DOWNTREND,DOWNTREND,SIDEWAYS,32.1887,-0.0125,0.0281,LOW,-173.6264,0.0,-100.0,291800.0,238266.67,227550.0,264548.0,217384.67,209708.0,Black Marubozu,None,Three Black Crows,-0.022000000000000002,-0.0326,-0.0632,-1168530.0,-1399070.0,-2593800.0,-3450100.0,-12065280.0,0.16,1.6667,5.56,0.0,0.36,0.0,2019-10-03
6,201,0.83,-0.02,-0.0235,0.83,0.83,0.83,0.0,1.37,0.74,0.82,0.76,0.85,0.9,0.87,0.89,0.94,0.97,0.86,0.89,0.92,0.95,DOWNTREND,SIDEWAYS,DOWNTREND,36.6582,-0.0122,0.0192,LOW,-174.2972,0.0,-100.0,29500.0,57000.0,74850.0,25103.0,48942.67,65028.0,White Marubozu,None,Three White Soldiers,-0.0879,-0.0235,-0.0235,-18700.0,-194270.0,-828300.0,-2189070.0,-10486980.0,0.12,1.4,6.92,0.0,0.33,0.0,2019-12-02
7,199,0.88,-0.01,-0.0112,0.87,0.87,0.88,-870.0,1.37,0.73,0.85,0.76,0.89,0.94,0.88,0.91,0.95,0.98,0.88,0.9,0.93,0.96,DOWNTREND,SIDEWAYS,DOWNTREND,47.8001,-0.0114,0.0212,LOW,-31.746,54.0741,-40.0,94900.0,175933.33,203200.0,82528.0,154330.0,179819.5,White Marubozu,None,None,-0.033,-0.0112,0.0353,-39570.0,-169810.0,-584470.0,-2192150.0,-10834500.0,0.12,1.4,7.33,0.0,0.35,0.0,2019-11-21
8,201,0.82,0.05,0.0649,0.78,0.78,0.82,0.0,1.37,0.77,0.77,0.74,0.83,0.87,0.82,0.86,0.91,0.95,0.82,0.86,0.89,0.93,DOWNTREND,DOWNTREND,DOWNTREND,47.43899999999999,-0.0187,0.0325,NEUTRAL,-35.8891,0.0,-28.5714,45700.0,94200.0,81600.0,35820.0,75067.33,65609.0,White Marubozu,None,Three White Soldiers,-0.0989,-0.0353,0.0649,-30810.0,-99400.0,-306870.0,-2010220.0,-9615320.0,0.12,1.4,6.83,0.0,0.33,0.0,2019-12-23
9,195,0.93,0.0,0.0,0.93,0.93,0.93,0.0,1.37,0.73,0.92,0.88,0.96,0.99,0.95,1.0,0.98,0.98,0.95,0.97,0.98,0.99,UPTREND,DOWNTREND,SIDEWAYS,40.2645,-0.0117,0.0286,LOW,-74.4501,14.2857,-85.7143,141200.0,155000.0,181400.0,133964.0,146830.67,170319.0,White Marubozu,Tweezer Bottoms,None,0.022000000000000002,-0.0106,0.0,-111920.0,-160510.0,-1624910.0,-2284290.0,-8711750.0,0.16,1.6667,5.81,0.0,0.38,0.0,2019-09-24
10,201,0.85,0.0,0.0,0.85,0.85,0.85,0.0,1.37,0.74,0.79,0.76,0.87,0.9,0.87,0.89,0.95,0.97,0.87,0.89,0.92,0.95,DOWNTREND,SIDEWAYS,DOWNTREND,41.6318,-0.0117,0.0184,LOW,-97.4359,0.0,-100.0,32500.0,57666.67,89050.0,27743.0,49596.0,77617.0,White Marubozu,Bullish Harami,Three White Soldiers,-0.0659,-0.0449,0.0,-154700.0,-207470.0,-828300.0,-2189070.0,-10498690.0,0.12,1.4,7.08,0.0,0.34,0.0,2019-11-29
11,195,0.97,-0.01,-0.0102,0.97,0.97,0.97,0.0,1.37,0.73,0.94,0.88,0.99,1.04,0.95,1.0,0.99,0.98,0.97,0.98,0.99,0.99,UPTREND,DOWNTREND,SIDEWAYS,49.911,-0.0154,0.0311,NEUTRAL,70.9736,83.3333,-25.0,163700.0,196000.0,258600.0,156220.0,184408.0,244485.0,White Marubozu,Bullish Harami,None,0.0659,0.0319,-0.0102,-900.0,-435250.0,-1678800.0,-2111140.0,-6348970.0,0.16,1.6667,6.06,0.0,0.39,0.0,2019-09-16
12,197,0.91,0.02,0.0225,0.91,0.91,0.91,0.0,1.37,0.73,0.89,0.76,0.92,0.95,0.92,0.95,0.98,0.99,0.92,0.94,0.96,0.98,DOWNTREND,DOWNTREND,SIDEWAYS,46.4874,-0.0161,0.0265,LOW,-38.2979,0.0,-66.6667,264200.0,229533.33,191550.0,236970.0,206982.0,173308.0,White Marubozu,None,None,0.0,-0.0109,0.0,89130.0,-1082520.0,-1362630.0,-3318900.0,-9464170.0,0.16,1.6667,5.69,0.0,0.37,0.0,2019-10-16
13,195,0.93,0.01,0.0109,0.91,0.91,0.93,-155920.0,1.37,0.73,0.92,0.88,0.98,1.16,1.01,1.01,0.98,0.97,0.99,1.0,1.0,1.0,DOWNTREND,SIDEWAYS,SIDEWAYS,36.9237,-0.0149,0.043,NEUTRAL,-121.189,14.2857,-85.7143,572800.0,577400.0,888350.0,547524.0,560392.0,918179.5,White Marubozu,None,None,0.022000000000000002,-0.1308,-0.0106,-1145160.0,-1636370.0,-1952960.0,-2142920.0,-820680.0,0.16,1.6667,5.81,0.0,0.38,0.0,2019-08-28
14,195,0.92,-0.03,-0.0316,0.93,0.92,0.93,0.0,1.37,0.73,0.88,0.76,0.95,0.99,0.95,0.99,0.98,0.99,0.95,0.97,0.98,0.99,DOWNTREND,DOWNTREND,SIDEWAYS,39.0195,-0.011000000000000001,0.0257,LOW,-127.4238,28.5714,-100.0,105800.0,121933.33,139350.0,98668.0,115219.33,131622.5,Black Marubozu,None,None,0.011000000000000001,-0.0213,-0.0316,-119600.0,-232420.0,-1391610.0,-2291370.0,-10706780.0,0.16,1.6667,5.75,0.0,0.37,0.0,2019-09-30
15,201,0.82,-0.02,-0.0238,0.82,0.82,0.82,0.0,1.37,0.8,0.8,0.76,0.84,0.89,0.85,0.88,0.93,0.96,0.84,0.88,0.91,0.94,DOWNTREND,DOWNTREND,DOWNTREND,40.9429,-0.0175,0.0194,LOW,-81.4577,0.0,-75.0,100200.0,82600.0,83050.0,80610.0,67191.33,68520.0,White Marubozu,Bullish Harami,Three White Soldiers,-0.0989,-0.0353,0.025,-68590.0,-224160.0,-393100.0,-2210930.0,-9552600.0,0.12,1.4,6.83,0.0,0.33,0.0,2019-12-10
16,195,0.93,0.0,0.0,0.95,0.93,0.95,0.0,1.37,0.73,0.92,0.88,0.96,1.16,0.99,1.01,0.98,0.97,0.98,1.0,1.0,1.0,DOWNTREND,SIDEWAYS,SIDEWAYS,36.9237,-0.0173,0.0414,NEUTRAL,-99.2344,11.9048,-85.7143,519600.0,543933.33,829900.0,495594.0,526748.0,851600.5,Black Marubozu,None,None,0.022000000000000002,-0.1308,-0.0106,-1063680.0,-1465370.0,-1920760.0,-2142920.0,-1072330.0,0.16,1.6667,5.81,0.0,0.38,0.0,2019-08-29
17,198,0.88,0.0,0.0,0.88,0.88,0.88,-65120.0,1.37,0.73,0.87,0.76,0.92,0.95,0.9,0.92,0.97,0.99,0.9,0.92,0.95,0.97,DOWNTREND,SIDEWAYS,DOWNTREND,43.9259,-0.0114,0.0277,LOW,-128.655,0.0,-100.0,304800.0,213466.67,189550.0,271160.0,189963.33,168776.0,White Marubozu,Tweezer Bottoms,None,-0.033,-0.0112,-0.0112,-59840.0,-563630.0,-1765750.0,-3390660.0,-10437450.0,0.16,1.6667,5.5,0.0,0.36,0.0,2019-11-06
18,201,0.83,-0.01,-0.0119,0.84,0.78,0.84,0.0,1.37,0.77,0.78,0.74,0.84,0.89,0.84,0.87,0.93,0.96,0.84,0.87,0.91,0.94,DOWNTREND,DOWNTREND,DOWNTREND,44.5673,-0.0171,0.0273,LOW,-71.8563,49.5455,-40.0,113400.0,91600.0,79050.0,90980.0,74258.0,64547.5,Hanging Man,Tweezer Tops,None,-0.0879,-0.0235,0.0375,-16800.0,-223290.0,-393100.0,-2210930.0,-9332990.0,0.12,1.4,6.92,0.0,0.33,0.0,2019-12-12
19,195,0.93,0.0,0.0,0.92,0.92,0.96,-1860.0,1.37,0.73,0.92,0.88,0.96,1.04,0.97,1.0,0.98,0.98,0.96,0.99,0.99,0.99,DOWNTREND,DOWNTREND,SIDEWAYS,38.9937,-0.0232,0.0414,NEUTRAL,-67.3477,13.8889,-83.3333,362800.0,441066.67,477450.0,340261.0,420703.33,462059.5,Inverted Hammer,None,None,0.022000000000000002,-0.0106,-0.0106,-1860.0,-1309360.0,-1918570.0,-2057250.0,-2044200.0,0.16,1.6667,5.81,0.0,0.38,0.0,2019-09-04
20,195,0.94,0.0,0.0,0.93,0.93,0.94,0.0,1.37,0.73,0.92,0.88,0.97,1.04,0.96,1.0,0.98,0.98,0.96,0.98,0.99,0.99,DOWNTREND,DOWNTREND,SIDEWAYS,42.4072,-0.0233,0.0363,NEUTRAL,-52.8256,38.3333,-62.5,221600.0,296533.33,405900.0,206674.0,279354.67,390684.5,White Marubozu,Tweezer Bottoms,None,0.033,0.0,0.0,-47690.0,-1159190.0,-1972490.0,-2083080.0,-5002410.0,0.16,1.6667,5.88,0.0,0.38,0.0,2019-09-09
21,197,0.91,0.03,0.0341,0.88,0.88,0.91,0.0,1.37,0.73,0.88,0.84,0.92,0.95,0.91,0.94,0.98,0.99,0.91,0.94,0.96,0.98,DOWNTREND,DOWNTREND,SIDEWAYS,47.7585,-0.016,0.0274,LOW,-61.9308,0.0,-50.0,87400.0,223400.0,184050.0,78021.0,200974.67,166087.5,White Marubozu,Bullish Engulfing,None,0.0,-0.0109,0.0,7120.0,-1082520.0,-1360770.0,-3246040.0,-9752490.0,0.16,1.6667,5.69,0.0,0.37,0.0,2019-10-18
