,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,198,0.5,0.025,0.0526,0.475,0.475,0.5,0.0,1.06,0.45,0.47,0.46,0.54,0.56,0.5,0.5,0.54,0.58,0.49,0.51,0.53,0.56,DOWNTREND,SIDEWAYS,DOWNTREND,50.9356,-0.0032,0.0411,NEUTRAL,-41.6667,0.0,-57.1429,188500.0,155466.67,162450.0,92218.0,76474.0,81467.0,White Marubozu,Bullish Engulfing,None,-0.1667,0.0,0.0526,0.0,-3780.0,-22980.0,160940.0,657220.0,0.0,1.0,0.0,0.0,0.75,0.0,2019-10-22
1,202,0.485,-0.005,-0.0102,0.485,0.44,0.485,0.0,1.06,0.44,0.4625,0.4475,0.55,0.62,0.516,0.5022,0.5277,0.5757,0.5181,0.5156,0.5309,0.5515,UPTREND,SIDEWAYS,DOWNTREND,42.9997,0.009000000000000001,0.0805,HIGH,-99.4996,17.3445,-79.5455,577700.0,869866.6667,685050.0,327093.5,460237.0,360707.75,Dragonfly Doji,None,None,-0.1917,-0.0102,-0.0102,0.0,102840.0,103270.0,84610.0,716160.0003,0.0,1.0,0.0,0.0,0.72,0.0,2019-12-03
2,200,0.57,0.03,0.0556,0.54,0.54,0.57,0.0,1.06,0.45,0.49,0.47,0.58,0.6,0.5,0.5,0.53,0.58,0.51,0.51,0.53,0.55,UPTREND,SIDEWAYS,DOWNTREND,63.6718,0.0011,0.0427,NEUTRAL,224.8062,88.8889,0.0,764300.0,559533.33,485900.0,381400.0,278100.0,241574.0,White Marubozu,None,Three White Soldiers,-0.05,0.2,0.0755,0.0,4750.0,970.0,-3110.0,657170.0,0.0,1.0,0.0,0.0,0.85,0.0,2019-11-20
3,202,0.47,-0.005,-0.0105,0.47,0.47,0.47,0.0,1.06,0.44,0.46,0.43,0.52,0.62,0.52,0.5,0.53,0.57,0.51,0.51,0.53,0.55,UPTREND,SIDEWAYS,DOWNTREND,40.211999999999996,0.0048,0.0752,HIGH,-96.1829,16.6667,-86.3636,575800.0,868200.0,670050.0,325750.5,459337.0,353575.25,White Marubozu,Bullish Harami,None,-0.2167,-0.0408,-0.0408,0.0,102840.0,103270.0,84610.0,716160.0,0.0,1.0,0.0,0.0,0.7,0.0,2019-12-09
4,196,0.48,-0.01,-0.0204,0.48,0.48,0.48,-19200.0,1.06,0.45,0.46,0.43,0.52,0.55,0.49,0.53,0.57,0.6,0.49,0.52,0.55,0.57,DOWNTREND,DOWNTREND,DOWNTREND,45.9126,-0.0201,0.0589,HIGH,-29.654,33.3333,-70.0,236000.0,192333.33,186550.0,117110.0,95121.33,93355.5,White Marubozu,None,Three White Soldiers,-0.2,0.0,0.0,-19200.0,-19200.0,7120.0,166880.0,661000.0,0.0,1.0,0.0,0.0,0.72,0.0,2019-09-06
5,196,0.52,-0.02,-0.037000000000000005,0.51,0.51,0.54,0.0,1.06,0.45,0.5,0.47,0.54,0.56,0.5,0.51,0.55,0.59,0.51,0.52,0.54,0.56,UPTREND,SIDEWAYS,DOWNTREND,53.714,0.0009,0.0444,NEUTRAL,85.0551,56.044,-46.1538,83400.0,114266.67,172200.0,42245.0,58926.67,87890.0,Inverted Hammer,Bullish Harami,None,-0.1333,0.04,0.04,-4320.0,-3780.0,-22980.0,163100.0,657220.0,0.0,1.0,0.0,0.0,0.78,0.0,2019-10-03
6,202,0.485,-0.005,-0.0102,0.485,0.44,0.485,0.0,1.06,0.44,0.4625,0.4475,0.55,0.62,0.516,0.5022,0.5277,0.5757,0.5181,0.5156,0.5309,0.5515,UPTREND,SIDEWAYS,DOWNTREND,42.9997,0.009000000000000001,0.0805,HIGH,-99.4996,17.3445,-79.5455,577700.0,869866.6667,685050.0,327093.5,460237.0,360707.75,Dragonfly Doji,None,None,-0.1917,-0.0102,-0.0102,0.0,102840.0,103270.0,84610.0,716160.0003,0.0,1.0,0.0,0.0,0.72,0.0,2019-12-02
7,200,0.58,0.01,0.0175,0.57,0.54,0.66,102840.0,1.06,0.45,0.5,0.47,0.62,0.64,0.51,0.5,0.53,0.58,0.52,0.51,0.53,0.55,UPTREND,SIDEWAYS,DOWNTREND,65.1688,0.0037,0.0537,HIGH,252.4501,85.9649,-42.1053,1185400.0,826266.67,686950.0,632752.0,438964.67,362485.0,None,None,None,-0.0333,0.2211,0.0943,102840.0,107590.0,103810.0,88930.0,760010.0,0.0,1.0,0.0,0.0,0.87,0.0,2019-11-21
8,202,0.42,0.0,0.0,0.43,0.42,0.43,0.0,1.06,0.42,0.41,0.41,0.47,0.62,0.5,0.5,0.52,0.57,0.48,0.5,0.52,0.54,DOWNTREND,SIDEWAYS,SIDEWAYS,32.091,-0.0089,0.0691,HIGH,-132.2022,0.0,-100.0,285000.0,501866.67,739650.0,128081.5,268877.0,383285.25,Black Marubozu,Bearish Harami,Three Black Crows,-0.3,-0.1429,-0.0455,0.0,102840.0,107590.0,84610.0,716160.0,0.0,1.0,0.0,0.0,0.63,0.0,2019-12-23
9,196,0.5,-0.04,-0.0741,0.54,0.5,0.54,540.0,1.06,0.45,0.48,0.45,0.54,0.56,0.49,0.52,0.55,0.6,0.5,0.52,0.55,0.57,UPTREND,DOWNTREND,DOWNTREND,48.7394,-0.004,0.0522,HIGH,83.8323,71.9542,-62.5,123900.0,197266.67,179950.0,64268.0,100772.0,90689.0,Black Marubozu,Bearish Engulfing,None,-0.1667,0.0417,-0.0741,540.0,-18660.0,-18660.0,167420.0,661540.0,0.0,1.0,0.0,0.0,0.75,0.0,2019-09-24
10,202,0.49,-0.02,-0.0392,0.5,0.49,0.52,0.0,1.06,0.45,0.47,0.46,0.58,0.62,0.52,0.5,0.53,0.58,0.52,0.52,0.53,0.55,UPTREND,SIDEWAYS,DOWNTREND,43.9185,0.0105,0.0779,HIGH,-31.5421,15.7895,-89.4737,497000.0,825866.67,647550.0,290043.5,440187.0,343537.75,Shooting Star,None,None,-0.1833,0.0316,-0.1552,0.0,107590.0,103810.0,84610.0,716160.0,0.0,1.0,0.0,0.0,0.73,0.0,2019-11-29
11,196,0.485,0.0,0.0,0.485,0.485,0.485,0.0,1.06,0.45,0.48,0.4525,0.52,0.55,0.478,0.5224,0.5607,0.6011,0.4876,0.517,0.5489999999999999,0.5683,SIDEWAYS,DOWNTREND,DOWNTREND,47.2465,-0.0162,0.044000000000000004,NEUTRAL,30.303,33.3333,-65.0,202000.0,173133.3333,155900.0,100950.0,85504.6667,77101.5,White Marubozu,Bullish Harami,Three White Soldiers,-0.1917,0.0104,0.0,-19200.0,-19200.0,-14880.0,166880.0,661000.0003,0.0,1.0,0.0,0.0,0.72,0.0,2019-09-16
