,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,199,0.012,0.0,0.0,0.011000000000000001,0.011000000000000001,0.012,0.0,0.013999999999999999,0.011000000000000001,0.0115,0.011000000000000001,0.013000000000000001,0.0135,0.0117,0.0117,0.0117,0.0121,0.0118,0.0117,0.0118,0.012,UPTREND,SIDEWAYS,SIDEWAYS,52.1059,0.0,0.0675,HIGH,15.5039,100.0,0.0,8030000.0,8073333.3333,7360000.0,93880.0,94026.6667,85155.0,White Marubozu,None,None,-0.0769,0.0909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-22
1,203,0.012,0.0,0.0,0.011000000000000001,0.011000000000000001,0.012,0.0,0.013999999999999999,0.011000000000000001,0.0115,0.011000000000000001,0.0125,0.013000000000000001,0.0119,0.0118,0.0118,0.012,0.0119,0.0119,0.0119,0.012,SIDEWAYS,SIDEWAYS,SIDEWAYS,51.9171,0.0,0.0738,HIGH,-14.4928,100.0,0.0,18520000.0,20293333.3333,31230000.0,215510.0,237186.6667,368950.0,White Marubozu,Bullish Harami,Three White Soldiers,-0.0769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-03
2,201,0.012,0.0,0.0,0.011000000000000001,0.011000000000000001,0.012,0.0,0.013999999999999999,0.011000000000000001,0.0115,0.011000000000000001,0.0125,0.013000000000000001,0.0119,0.0118,0.0118,0.012,0.0119,0.0118,0.0119,0.012,SIDEWAYS,SIDEWAYS,SIDEWAYS,51.9621,0.0,0.07400000000000001,HIGH,-22.9885,50.0,-50.0,43410000.0,34406666.6667,27415000.0,516220.0,406506.6667,323585.0,White Marubozu,Bullish Harami,Three White Soldiers,-0.0769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-20
3,203,0.012,0.0,0.0,0.011000000000000001,0.011000000000000001,0.012,0.0,0.013999999999999999,0.011000000000000001,0.0115,0.011000000000000001,0.0125,0.013000000000000001,0.0119,0.0119,0.0118,0.012,0.0119,0.0119,0.0119,0.012,UPTREND,SIDEWAYS,SIDEWAYS,51.9171,0.0,0.0762,HIGH,0.0,100.0,0.0,30310000.0,23873333.3333,24505000.0,348060.0,275240.0,283700.0,White Marubozu,None,None,-0.0769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-09
4,197,0.012,0.0,0.0,0.012,0.012,0.012,0.0,0.013999999999999999,0.011000000000000001,0.011000000000000001,0.011000000000000001,0.013000000000000001,0.0135,0.0116,0.0119,0.0119,0.0123,0.0117,0.0118,0.0119,0.0121,SIDEWAYS,SIDEWAYS,SIDEWAYS,52.4512,-0.0001,0.0582,HIGH,72.6073,100.0,0.0,15540000.0,14880000.0,14045000.0,183400.0,175206.6667,164955.0,White Marubozu,Bullish Harami,None,-0.0769,0.0909,0.0909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-06
5,197,0.012,0.001,0.0909,0.011000000000000001,0.011000000000000001,0.012,0.0,0.013999999999999999,0.011000000000000001,0.011000000000000001,0.011000000000000001,0.013000000000000001,0.0135,0.0117,0.0117,0.0117,0.0122,0.0116,0.0117,0.0118,0.012,DOWNTREND,SIDEWAYS,SIDEWAYS,52.2871,0.0,0.0674,HIGH,-2.886,0.0,-50.0,7270000.0,14660000.0,12145000.0,83340.0,173420.0,143715.0,White Marubozu,Bullish Engulfing,None,-0.0769,0.0909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-03
6,203,0.012,0.0,0.0,0.011000000000000001,0.011000000000000001,0.012,0.0,0.013999999999999999,0.011000000000000001,0.0115,0.011000000000000001,0.0125,0.013000000000000001,0.0119,0.0118,0.0118,0.012,0.0119,0.0119,0.0119,0.012,SIDEWAYS,SIDEWAYS,SIDEWAYS,51.9171,0.0,0.073,HIGH,-14.4928,83.3333,0.0,18470000.0,21113333.3333,31030000.0,215360.0,246600.0,366750.0,White Marubozu,Bullish Harami,Three White Soldiers,-0.0769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-02
7,201,0.011000000000000001,-0.001,-0.0833,0.011000000000000001,0.011000000000000001,0.011000000000000001,0.0,0.013999999999999999,0.011000000000000001,0.011000000000000001,0.011000000000000001,0.012,0.0125,0.0119,0.0118,0.0118,0.012,0.0118,0.0118,0.0118,0.012,DOWNTREND,SIDEWAYS,SIDEWAYS,39.0245,0.0,0.0814,HIGH,-252.8736,33.3333,-100.0,42200000.0,34086666.6667,27050000.0,501700.0,402653.3333,319570.0,White Marubozu,Bullish Harami,Three White Soldiers,-0.1538,-0.0833,-0.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-21
8,203,0.011000000000000001,0.0,0.0,0.011000000000000001,0.011000000000000001,0.011000000000000001,0.0,0.013999999999999999,0.011000000000000001,0.011000000000000001,0.011000000000000001,0.012,0.0125,0.0118,0.0118,0.0118,0.0119,0.0117,0.0118,0.0118,0.0119,DOWNTREND,SIDEWAYS,SIDEWAYS,38.9258,-0.0001,0.0647,HIGH,-192.7083,0.0,-100.0,53730000.0,43140000.0,37015000.0,601890.0,486353.3333,419345.0,White Marubozu,Bullish Harami,Three White Soldiers,-0.1538,-0.0833,-0.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-23
9,197,0.011000000000000001,-0.001,-0.0833,0.012,0.011000000000000001,0.012,0.0,0.013999999999999999,0.011000000000000001,0.011000000000000001,0.011000000000000001,0.013000000000000001,0.0135,0.0117,0.0119,0.0118,0.0122,0.0117,0.0118,0.0119,0.0121,UPTREND,SIDEWAYS,SIDEWAYS,44.7115,0.0,0.0693,HIGH,-66.0661,33.3333,-100.0,16630000.0,14120000.0,15545000.0,199580.0,169033.3333,184870.0,Black Marubozu,Bearish Engulfing,None,-0.1538,0.0,-0.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-24
