,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,201,0.84,0.0,0.0,0.84,0.84,0.84,0.0,1.15,0.81,0.82,0.82,0.87,0.92,0.88,0.87,0.87,0.91,0.87,0.88,0.88,0.91,DOWNTREND,SIDEWAYS,SIDEWAYS,39.5373,-0.0037,0.0308,NEUTRAL,-137.6229,0.0,-100.0,188600.0,148200.0,161500.0,160767.0,127055.33,140608.0,White Marubozu,Bullish Harami,None,-0.1064,-0.0667,-0.0118,14450.0,28900.0,68060.0,96080.0,17480.0,-0.15,-1.9375,-5.6,0.0,0.37,0.0,2019-10-22
1,205,0.81,0.0,0.0,0.81,0.81,0.81,0.0,1.15,0.75,0.78,0.78,0.82,0.9,0.82,0.86,0.86,0.89,0.82,0.84,0.86,0.89,DOWNTREND,DOWNTREND,SIDEWAYS,39.5796,-0.0128,0.0268,LOW,-57.553999999999995,67.2222,-25.0,113700.0,157066.67,154150.0,90508.0,126355.33,124903.0,White Marubozu,Bullish Harami,None,-0.1383,-0.0122,-0.0122,0.0,-3240.0,5890.0,73950.0,44080.0,-0.16,-6.3333,-5.06,0.0,0.35,0.0,2019-12-03
2,203,0.82,0.0,0.0,0.81,0.81,0.82,0.0,1.15,0.81,0.82,0.82,0.83,0.9,0.84,0.87,0.87,0.9,0.84,0.86,0.87,0.9,DOWNTREND,DOWNTREND,SIDEWAYS,39.0623,-0.0118,0.027000000000000003,LOW,-98.1387,11.1111,-88.8889,179700.0,198133.33,172650.0,146693.0,164258.67,144143.0,White Marubozu,Bullish Harami,Three White Soldiers,-0.1277,-0.0787,-0.012,0.0,9130.0,38030.0,96800.0,23850.0,-0.16,-6.3333,-5.13,0.0,0.35,0.0,2019-11-20
3,205,0.76,-0.05,-0.0617,0.74,0.74,0.8,0.0,1.15,0.74,0.75,0.75,0.82,0.9,0.82,0.85,0.86,0.89,0.82,0.84,0.86,0.89,DOWNTREND,DOWNTREND,SIDEWAYS,25.566999999999997,-0.0132,0.0364,NEUTRAL,-279.8982,58.3333,-75.0,84500.0,101000.0,148950.0,66168.0,80052.67,119827.5,Inverted Hammer,None,None,-0.1915,-0.0732,-0.0617,0.0,-3240.0,5890.0,73950.0,44080.0,-0.16,-6.3333,-4.75,0.0,0.33,0.0,2019-12-09
4,199,0.87,-0.01,-0.0114,0.87,0.87,0.89,0.0,1.43,0.81,0.82,0.82,0.94,1.0,0.85,0.86,0.88,0.91,0.86,0.86,0.88,0.91,UPTREND,SIDEWAYS,SIDEWAYS,52.394,0.0015,0.0416,NEUTRAL,61.0561,48.8889,-60.0,3138900.0,2191933.33,1701050.0,2847967.0,1979841.33,1533550.5,Gravestone Doji,None,None,-0.0745,0.0357,0.0357,-55400.0,19610.0,28020.0,127090.0,18330.0,-0.15,-1.9375,-5.8,0.0,0.38,0.0,2019-09-06
5,199,0.89,0.0,0.0,0.88,0.86,0.9,0.0,1.16,0.81,0.88,0.84,0.9,0.94,0.9,0.87,0.87,0.91,0.89,0.88,0.89,0.91,UPTREND,SIDEWAYS,SIDEWAYS,50.2735,0.0109,0.0334,NEUTRAL,-34.6667,48.1481,-55.5556,188300.0,402733.33,468100.0,170221.0,363712.0,415827.5,None,None,None,-0.0532,-0.0111,-0.0111,0.0,32440.0,58770.0,106830.0,16440.0,-0.15,-1.9375,-5.93,0.0,0.39,0.0,2019-10-03
6,205,0.81,-0.01,-0.0122,0.79,0.75,0.81,0.0,1.15,0.75,0.78,0.78,0.82,0.9,0.82,0.86,0.86,0.89,0.83,0.85,0.86,0.89,DOWNTREND,DOWNTREND,SIDEWAYS,39.5796,-0.013000000000000001,0.0289,LOW,-194.3987,50.5556,-33.3333,116200.0,157800.0,177050.0,92534.0,126958.67,144140.5,Hammer,None,None,-0.1383,-0.0122,-0.0122,0.0,-3240.0,5890.0,73950.0,44080.0,-0.16,-6.3333,-5.06,0.0,0.35,0.0,2019-12-02
7,203,0.81,-0.01,-0.0122,0.82,0.8,0.82,0.0,1.15,0.8,0.8,0.8,0.83,0.9,0.84,0.87,0.87,0.9,0.84,0.86,0.87,0.9,DOWNTREND,DOWNTREND,SIDEWAYS,36.104,-0.0123,0.0271,LOW,-111.5336,11.1111,-88.8889,213400.0,216133.33,191850.0,173487.0,178031.33,159470.5,None,Bearish Engulfing,None,-0.1383,-0.0899,-0.0241,0.0,9130.0,38030.0,96800.0,23850.0,-0.16,-6.3333,-5.06,0.0,0.35,0.0,2019-11-21
8,205,0.75,0.0,0.0,0.73,0.7,0.76,-1860.0,1.15,0.7,0.72,0.72,0.78,0.82,0.79,0.83,0.85,0.88,0.79,0.82,0.84,0.88,DOWNTREND,DOWNTREND,SIDEWAYS,31.4642,-0.0198,0.0388,NEUTRAL,-131.3264,33.8889,-58.3333,120800.0,115533.33,118500.0,89701.0,87358.67,91117.5,None,None,None,-0.2021,-0.0854,0.0,-2610.0,6390.0,12280.0,65500.0,49550.0,-0.16,-6.3333,-4.69,0.0,0.32,0.0,2019-12-23
9,199,0.91,-0.01,-0.0109,0.92,0.91,0.92,920.0,1.18,0.81,0.9,0.82,0.94,1.0,0.89,0.87,0.88,0.92,0.89,0.88,0.88,0.91,UPTREND,SIDEWAYS,SIDEWAYS,57.5363,0.0131,0.0363,NEUTRAL,66.3176,72.2222,-30.0,750500.0,731533.33,1951650.0,669255.0,650530.0,1765970.0,Black Marubozu,Tweezer Tops,None,-0.0319,0.0833,-0.0109,-25760.0,15760.0,35370.0,134180.0,-6960.0,-0.15,-1.9375,-6.07,0.0,0.4,0.0,2019-09-24
