,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,203,0.038,0.0,0.0,0.038,0.038,0.039,0.0,0.057999999999999996,0.03,0.0375,0.036000000000000004,0.0385,0.0415,0.0384,0.0385,0.0388,0.0391,0.0383,0.0385,0.0387,0.039,DOWNTREND,SIDEWAYS,SIDEWAYS,46.2663,-0.0001,0.0183,LOW,-18.018,0.0,-100.0,2990000.0,4313333.3333,4075000.0,113790.0,164686.6667,155960.0,Gravestone Doji,None,None,0.027000000000000003,-0.0256,0.0,0.0,67900.0,52300.0,373900.0,1343319.9998,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-22
1,207,0.038,0.001,0.027000000000000003,0.036000000000000004,0.036000000000000004,0.038,0.0,0.057999999999999996,0.036000000000000004,0.0365,0.035,0.0455,0.0485,0.0374,0.038,0.0384,0.0391,0.0377,0.0379,0.0382,0.0386,UPTREND,SIDEWAYS,SIDEWAYS,50.9794,-0.0001,0.0436,NEUTRAL,-4.0404,12.1212,-81.8182,111420000.0,80286666.6667,60535000.0,4634290.0,3309000.0,2493675.0,White Marubozu,None,None,0.027000000000000003,0.027000000000000003,0.027000000000000003,255500.0,255500.0,210100.0,262400.0,1790619.9998,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-03
2,205,0.036000000000000004,-0.001,-0.027000000000000003,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.0,0.057999999999999996,0.033,0.033,0.0315,0.037000000000000005,0.039,0.0375,0.038,0.0386,0.0391,0.0372,0.0378,0.0383,0.0387,DOWNTREND,SIDEWAYS,SIDEWAYS,36.7882,-0.0004,0.015,LOW,-133.3333,0.0,-100.0,9730000.0,7406666.6667,6780000.0,355660.0,271633.3333,250455.0,White Marubozu,Bullish Harami,Three White Soldiers,-0.027000000000000003,-0.0526,0.0,0.0,0.0,42000.0,374100.0,1535119.9998,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-20
3,207,5.68,-0.52,-0.0839,6.22,5.62,6.22,306500.0,11.6,5.62,5.65,5.65,7.74,9.1,7.23,7.47,7.62,7.78,7.11,7.38,7.54,7.67,DOWNTREND,DOWNTREND,SIDEWAYS,10.0522,-0.1137,0.0342,NEUTRAL,-264.3914,0.0,-98.4127,622410.0,418406.67,335405.0,474462.5,316433.3,238115.23,Black Long Day,None,None,-0.2324,-0.2324,-0.0839,745000.0,746277.5,746050.5,746312.0,754119.6,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-09
4,201,0.039,0.0,0.0,0.039,0.039,0.039,0.0,0.057999999999999996,0.03,0.038,0.036000000000000004,0.0415,0.043,0.0387,0.0391,0.0391,0.0387,0.0388,0.0389,0.039,0.0392,UPTREND,SIDEWAYS,SIDEWAYS,51.1669,-0.0001,0.0233,LOW,37.037,20.0,-80.0,18230000.0,13726666.6667,10585000.0,727270.0,544860.0,419835.0,White Marubozu,Bullish Harami,None,0.0541,0.0,0.0,22800.0,340600.0,321600.0,350800.0,1127329.9998,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-06
5,201,0.038,-0.001,-0.0256,0.039,0.038,0.039,0.0,0.057999999999999996,0.03,0.0375,0.036000000000000004,0.0395,0.0415,0.0386,0.0387,0.039,0.0391,0.0386,0.0387,0.0389,0.0391,UPTREND,SIDEWAYS,SIDEWAYS,44.4638,0.0,0.0238,LOW,-73.2984,0.0,-100.0,5190000.0,5793333.3333,5350000.0,199510.0,222653.3333,205860.0,Black Marubozu,Bearish Engulfing,None,0.027000000000000003,-0.0256,-0.0256,-19500.0,-35100.0,297900.0,146100.0,1294919.9998,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-03
6,207,0.037000000000000005,0.0,0.0,0.036000000000000004,0.036000000000000004,0.038,214600.0,0.057999999999999996,0.036000000000000004,0.036000000000000004,0.0345,0.0455,0.0545,0.0374,0.038,0.0384,0.0391,0.0376,0.0379,0.0382,0.0386,SIDEWAYS,SIDEWAYS,SIDEWAYS,47.9325,-0.0001,0.044000000000000004,NEUTRAL,-25.3411,15.1515,-90.9091,109030000.0,78446666.6667,59175000.0,4543290.0,3239593.3333,2442485.0,None,None,None,0.0,0.0,0.0,255500.0,255500.0,210100.0,262400.0,1790619.9998,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-02
7,205,0.037000000000000005,0.001,0.0278,0.036000000000000004,0.036000000000000004,0.037000000000000005,0.0,0.057999999999999996,0.033,0.036000000000000004,0.033,0.039,0.0415,0.0374,0.038,0.0385,0.0391,0.0372,0.0378,0.0382,0.0387,DOWNTREND,SIDEWAYS,SIDEWAYS,46.7634,-0.0004,0.0155,LOW,-63.7382,0.0,-66.6667,9530000.0,6966666.6667,6595000.0,348250.0,255340.0,243215.0,White Marubozu,None,Three White Soldiers,0.0,-0.0263,0.0278,0.0,0.0,42000.0,374100.0,1535119.9998,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-21
8,207,4.4,0.1,0.0233,4.22,4.22,4.4,0.0,11.6,4.0,4.0,4.0,4.44,9.1,5.8,6.83,7.28,7.58,5.39,6.41,6.98,7.36,DOWNTREND,DOWNTREND,DOWNTREND,28.7888,-0.7383,0.0713,HIGH,-74.3532,0.0,-89.6907,60960.0,95613.33,341685.0,290399.8,494888.87,382431.15,White Marubozu,None,None,-0.4054,-0.4054,0.0233,4000.0,753840.0,755117.5,755230.0,761534.6,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-23
9,201,0.039,0.0,0.0,0.038,0.038,0.039,3900.0,0.057999999999999996,0.03,0.038,0.036000000000000004,0.0395,0.0415,0.0387,0.0388,0.039,0.039,0.0386,0.0388,0.0389,0.0391,DOWNTREND,SIDEWAYS,SIDEWAYS,53.2366,-0.0001,0.0234,LOW,-19.1257,66.6667,-50.0,5170000.0,5500000.0,11740000.0,199230.0,212053.3333,464720.0,White Marubozu,None,None,0.0541,0.0,0.0,3900.0,26700.0,325500.0,278700.0,1386319.9998,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-24
