,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,204,8.2,0.1,0.0123,8.0,8.0,8.2,0.0,17.8,7.55,8.05,7.7,8.29,8.8,8.18,8.22,8.72,9.62,8.21,8.34,8.68,9.06,UPTREND,SIDEWAYS,DOWNTREND,49.2555,-0.0206,0.0241,LOW,-5.7471,74.0567,-21.2766,5450.0,5753.33,8025.0,44648.7,46771.67,64764.05,White Marubozu,None,None,-0.0156,-0.0049,-0.0036,0.0,8100.0,230206.0,176442.0,-228905.0,-0.54,0.1148,-15.19,0.0,6.41,0.0,2019-10-22
1,208,7.79,-0.01,-0.0013,7.79,7.79,7.79,0.0,17.8,7.5,7.58,7.5,8.0,9.69,7.98,8.09,8.33,9.24,7.94,8.09,8.38,8.8,DOWNTREND,SIDEWAYS,SIDEWAYS,43.8613,-0.0791,0.0304,NEUTRAL,-86.8165,30.2724,-57.971000000000004,9280.0,11026.67,72590.0,71962.4,86569.87,648902.55,White Marubozu,Bullish Harami,None,-0.0648,0.0183,0.0183,0.0,7880.0,11805.0,242861.0,249223.0,-0.77,-0.2833,-10.12,0.0,9.99,0.0,2019-12-03
2,206,7.9,0.0,0.0,8.0,7.9,8.0,3950.0,17.8,7.55,7.88,7.58,8.19,9.69,8.1,8.15,8.45,9.48,8.07,8.2,8.48,8.89,DOWNTREND,SIDEWAYS,SIDEWAYS,45.1323,-0.0465,0.0439,NEUTRAL,-90.8891,3.7037,-96.2963,53320.0,93473.33,71030.0,433607.3,840127.93,637538.65,Black Marubozu,Bearish Engulfing,None,-0.0516,-0.0424,-0.0354,3950.0,11075.0,7875.0,243827.0,-301320.0,-0.77,-0.2833,-10.26,0.0,10.13,0.0,2019-11-20
3,208,7.62,-0.01,-0.0013,7.62,7.6,7.62,0.0,17.8,7.5,7.56,7.5,7.79,8.22,7.87,8.05,8.26,9.14,7.85,8.03,8.33,8.75,DOWNTREND,SIDEWAYS,SIDEWAYS,38.9363,-0.0955,0.0299,LOW,-129.2049,28.4314,-76.0,9980.0,8220.0,13055.0,76804.9,63606.73,102733.25,Dragonfly Doji,None,None,-0.0852,-0.0039,-0.0013,1554.0,9434.0,13359.0,236859.0,601043.0,-0.77,-0.2833,-9.9,0.0,9.77,0.0,2019-12-09
4,202,8.45,0.03,0.0036,8.45,8.45,8.45,0.0,17.8,7.5,8.0,7.58,8.48,8.8,8.25,8.78,9.28,9.58,8.35,8.71,9.11,9.39,DOWNTREND,DOWNTREND,DOWNTREND,50.5146,-0.205,0.0249,LOW,75.1366,84.9673,-9.8039,30740.0,27513.33,27405.0,249856.1,223760.47,224877.95,White Marubozu,None,None,0.0144,0.0458,0.0458,846.0,52896.0,-54614.0,110666.0,-387149.0,-0.54,0.1148,-15.65,0.0,6.6,0.0,2019-09-06
5,202,8.0,-0.1,-0.0123,8.1,7.85,8.1,8100.0,17.8,7.5,7.85,7.58,8.3,8.8,8.21,8.37,8.93,9.61,8.16,8.42,8.81,9.18,DOWNTREND,SIDEWAYS,DOWNTREND,44.6783,-0.0972,0.0255,LOW,-103.5881,30.0483,-66.6667,10380.0,8960.0,8275.0,83074.3,72144.4,67156.5,None,Tweezer Tops,None,-0.0396,-0.0291,0.0,207500.0,226842.0,283952.0,214816.0,-186235.0,-0.54,0.1148,-14.81,0.0,6.25,0.0,2019-10-03
6,208,7.8,0.15,0.0196,7.65,7.5,7.8,0.0,17.8,7.5,7.58,7.5,8.0,9.69,7.99,8.09,8.34,9.26,7.95,8.11,8.39,8.81,DOWNTREND,SIDEWAYS,SIDEWAYS,44.1297,-0.0749,0.0326,NEUTRAL,-129.4592,17.1174,-58.9041,9440.0,15480.0,73615.0,73276.6,122222.0,656985.75,None,Bullish Engulfing,None,-0.0636,0.0196,0.0196,0.0,7880.0,11805.0,242861.0,243604.0,-0.77,-0.2833,-10.13,0.0,10.0,0.0,2019-12-02
7,206,7.95,0.05,0.0063,7.95,7.9,8.0,0.0,17.8,7.55,7.88,7.58,8.19,9.69,8.09,8.14,8.44,9.45,8.06,8.19,8.47,8.88,DOWNTREND,SIDEWAYS,SIDEWAYS,46.4591,-0.0515,0.0414,NEUTRAL,-75.8466,4.321000000000001,-94.4444,34420.0,93093.33,71125.0,276211.6,837008.73,638261.9,Doji,Tweezer Bottoms,None,-0.0456,-0.0364,-0.0293,3950.0,17545.0,7875.0,239777.0,-307194.0,-0.77,-0.2833,-10.32,0.0,10.19,0.0,2019-11-21
8,208,7.5,0.2,0.0274,7.2,7.2,7.5,0.0,17.8,7.1,7.2,7.2,7.74,8.0,7.66,7.93,8.1,8.95,7.65,7.87,8.19,8.64,DOWNTREND,DOWNTREND,SIDEWAYS,44.8613,-0.1234,0.0406,NEUTRAL,-108.1967,31.746,-55.5556,12680.0,10380.0,11330.0,94107.7,77494.13,85456.3,White Marubozu,None,None,-0.0996,-0.0196,0.0274,51800.0,52604.0,60484.0,127909.0,664230.0,-0.77,-0.2833,-9.74,0.0,9.62,0.0,2019-12-23
9,202,8.0,-0.12,-0.0148,8.0,8.0,8.09,0.0,17.8,7.5,7.7,7.5,8.22,8.52,8.25,8.54,9.05,9.61,8.25,8.53,8.92,9.26,DOWNTREND,DOWNTREND,DOWNTREND,38.8407,-0.0973,0.0193,LOW,-105.8005,8.7542,-100.0,6740.0,8466.67,15065.0,55316.9,70357.93,123137.75,Gravestone Doji,None,None,-0.0396,-0.0099,-0.0148,0.0,8402.0,54062.0,23632.0,-399735.0,-0.54,0.1148,-14.81,0.0,6.25,0.0,2019-09-24
