,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,205,2.77,-0.21,-0.0705,2.77,2.77,2.77,0.0,3.75,2.76,2.76,2.73,3.0,3.3,2.93,3.03,3.23,3.33,2.91,3.02,3.14,3.19,DOWNTREND,DOWNTREND,DOWNTREND,44.2517,-0.0517,0.0453,NEUTRAL,-126.6549,28.5714,-96.4286,30300.0,21333.33,17900.0,86418.0,60917.33,51254.5,White Marubozu,Bullish Harami,Three White Soldiers,-0.1477,-0.0767,0.0,-18910.0,-32690.0,-281170.0,-435640.0,-1487220.0,0.02,1.0,138.5,0.0,1.54,0.0,2019-10-22
1,209,2.78,-0.12,-0.0414,2.78,2.78,2.78,-13899.9999,3.75,2.65,2.65,2.65,2.9,3.02,2.83,2.94,3.18,3.3,2.84,2.95,3.08,3.16,DOWNTREND,DOWNTREND,DOWNTREND,46.8944,-0.0561,0.0427,NEUTRAL,-34.8892,52.381,-62.8571,11300.0,8666.67,20800.0,31044.0,23888.67,58731.0,White Marubozu,None,Three White Soldiers,-0.1446,-0.0479,-0.0314,-16550.0,-118220.0,-128510.0,-468160.0,-3116560.0,0.03,2.0,92.67,0.0,1.55,0.0,2019-12-03
2,207,2.87,0.22,0.083,2.87,2.87,2.87,0.0,3.75,2.65,2.65,2.65,2.98,3.07,2.85,2.97,3.19,3.3,2.84,2.96,3.09,3.17,DOWNTREND,DOWNTREND,DOWNTREND,49.9979,-0.0611,0.0397,NEUTRAL,15.3898,0.0,-37.1429,10600.0,8733.33,20400.0,29136.0,24113.33,57705.5,White Marubozu,None,None,-0.1169,-0.0171,0.083,-88330.0,-118100.0,-289940.0,-519010.0,-3096380.0,0.03,2.0,95.67,0.0,1.6,0.0,2019-11-20
3,209,2.78,-0.12,-0.0414,2.78,2.78,2.78,-13899.9999,3.75,2.65,2.65,2.65,2.9,3.02,2.83,2.94,3.18,3.3,2.84,2.95,3.08,3.16,DOWNTREND,DOWNTREND,DOWNTREND,46.8944,-0.0561,0.0427,NEUTRAL,-34.8892,52.381,-62.8571,11300.0,8666.67,20800.0,31044.0,23888.67,58731.0,White Marubozu,None,Three White Soldiers,-0.1446,-0.0479,-0.0314,-16550.0,-118220.0,-128510.0,-468160.0,-3116560.0,0.03,2.0,92.67,0.0,1.55,0.0,2019-12-09
4,203,2.8,-0.22,-0.0728,2.8,2.8,2.8,0.0,3.75,2.8,2.74,2.66,3.02,3.22,2.96,3.08,3.26,3.34,2.96,3.07,3.18,3.22,DOWNTREND,DOWNTREND,DOWNTREND,41.3406,-0.0475,0.0366,NEUTRAL,-176.6953,47.8261,-100.0,30300.0,22800.0,37000.0,86653.0,65404.0,107055.5,White Marubozu,None,Three White Soldiers,-0.1385,-0.0728,-0.0728,3020.0,6510.0,-315660.0,-449140.0,-1400750.0,0.02,1.0,140.0,0.0,1.56,0.0,2019-09-06
5,203,2.77,-0.23,-0.0767,2.77,2.77,2.77,-13850.0,3.75,2.76,2.76,2.73,3.0,3.22,2.94,3.04,3.24,3.33,2.92,3.04,3.15,3.2,DOWNTREND,DOWNTREND,DOWNTREND,42.9092,-0.0528,0.0401,NEUTRAL,-138.2749,0.0,-96.4286,30200.0,21466.67,33700.0,86205.0,61360.0,97187.5,White Marubozu,None,Three White Soldiers,-0.1477,-0.0767,-0.0767,-27650.0,-24630.0,-346310.0,-424350.0,-1476080.0,0.02,1.0,138.5,0.0,1.54,0.0,2019-10-03
6,209,2.78,-0.12,-0.0414,2.78,2.78,2.78,-13899.9999,3.75,2.65,2.65,2.65,2.9,3.02,2.83,2.94,3.18,3.3,2.84,2.95,3.08,3.16,DOWNTREND,DOWNTREND,DOWNTREND,46.8944,-0.0561,0.0427,NEUTRAL,-34.8892,52.381,-62.8571,11300.0,8666.67,20800.0,31044.0,23888.67,58731.0,White Marubozu,None,Three White Soldiers,-0.1446,-0.0479,-0.0314,-16550.0,-118220.0,-128510.0,-468160.0,-3116560.0,0.03,2.0,92.67,0.0,1.55,0.0,2019-12-02
7,207,2.87,0.22,0.083,2.87,2.87,2.87,0.0,3.75,2.65,2.65,2.65,2.98,3.07,2.85,2.97,3.19,3.3,2.84,2.96,3.09,3.17,DOWNTREND,DOWNTREND,DOWNTREND,49.9979,-0.0611,0.0397,NEUTRAL,15.3898,0.0,-37.1429,10600.0,8733.33,20400.0,29136.0,24113.33,57705.5,White Marubozu,None,None,-0.1169,-0.0171,0.083,-88330.0,-118100.0,-289940.0,-519010.0,-3096380.0,0.03,2.0,95.67,0.0,1.6,0.0,2019-11-21
8,209,2.69,-0.09,-0.0324,2.69,2.69,2.69,-2690.0,3.75,2.65,2.67,2.65,2.9,3.02,2.83,2.93,3.17,3.29,2.82,2.94,3.07,3.15,DOWNTREND,DOWNTREND,DOWNTREND,43.9195,-0.0555,0.0433,NEUTRAL,-89.0023,40.2309,-87.8788,11300.0,8600.0,7700.0,31019.0,23700.0,21291.5,White Marubozu,None,Three White Soldiers,-0.1723,-0.0324,-0.0324,-16590.0,-120910.0,-131620.0,-470850.0,-3122450.0,0.03,2.0,89.67,0.0,1.5,0.0,2019-12-23
9,203,3.0,0.24,0.087,3.0,3.0,3.0,3000.0,3.75,2.76,2.76,2.66,3.02,3.24,2.94,3.05,3.25,3.33,2.94,3.05,3.16,3.21,DOWNTREND,DOWNTREND,DOWNTREND,51.6174,-0.0516,0.034,NEUTRAL,65.3563,0.0,-20.0,30200.0,22466.67,35850.0,86275.0,64314.0,103541.5,White Marubozu,None,Three White Soldiers,-0.0769,-0.0066,0.087,-10780.0,-10780.0,-332460.0,-400840.0,-1447330.0,0.02,1.0,150.0,0.0,1.67,0.0,2019-09-24
10,209,2.78,-0.12,-0.0414,2.78,2.78,2.78,-13899.9999,3.75,2.65,2.65,2.65,2.9,3.02,2.83,2.94,3.18,3.3,2.84,2.95,3.08,3.16,DOWNTREND,DOWNTREND,DOWNTREND,46.8944,-0.0561,0.0427,NEUTRAL,-34.8892,52.381,-62.8571,11300.0,8666.67,20800.0,31044.0,23888.67,58731.0,White Marubozu,None,Three White Soldiers,-0.1446,-0.0479,-0.0314,-16550.0,-118220.0,-128510.0,-468160.0,-3116560.0,0.03,2.0,92.67,0.0,1.55,0.0,2019-11-29
11,203,2.8,0.0,0.0,2.8,2.8,2.8,-16800.0,3.75,2.8,2.74,2.66,3.02,3.3,2.95,3.07,3.26,3.34,2.95,3.06,3.17,3.21,DOWNTREND,DOWNTREND,DOWNTREND,41.3406,-0.049,0.034,NEUTRAL,-155.4348,0.0,-100.0,30300.0,22733.33,36550.0,86587.0,65146.67,105625.0,White Marubozu,Bullish Harami,Three White Soldiers,-0.1385,-0.0728,0.0,-13780.0,-10290.0,-332460.0,-436140.0,-1447350.0,0.02,1.0,140.0,0.0,1.56,0.0,2019-09-16
12,205,2.77,-0.21,-0.0705,2.77,2.77,2.77,0.0,3.75,2.76,2.76,2.73,3.0,3.3,2.93,3.03,3.23,3.33,2.91,3.02,3.14,3.19,DOWNTREND,DOWNTREND,DOWNTREND,44.2517,-0.0517,0.0453,NEUTRAL,-126.6549,28.5714,-96.4286,30300.0,21333.33,17900.0,86418.0,60917.33,51254.5,White Marubozu,Bullish Harami,Three White Soldiers,-0.1477,-0.0767,0.0,-18910.0,-32690.0,-281170.0,-435640.0,-1487220.0,0.02,1.0,138.5,0.0,1.54,0.0,2019-10-16
13,203,2.99,0.15,0.0528,2.99,2.99,2.99,0.0,3.75,2.84,2.84,2.74,3.04,3.24,2.97,3.09,3.27,3.34,2.98,3.08,3.19,3.22,DOWNTREND,DOWNTREND,DOWNTREND,49.36,-0.0502,0.0329,NEUTRAL,39.5365,0.0,-34.7826,31200.0,46133.33,36850.0,89437.0,133366.0,106735.0,White Marubozu,None,None,-0.08,0.0275,0.0528,0.0,-171840.0,-334180.0,-452070.0,-1385890.0,0.02,1.0,149.5,0.0,1.66,0.0,2019-08-28
14,203,3.0,0.24,0.087,3.0,3.0,3.0,3000.0,3.75,2.76,2.76,2.66,3.02,3.24,2.94,3.05,3.25,3.33,2.94,3.05,3.16,3.21,DOWNTREND,DOWNTREND,DOWNTREND,51.6174,-0.0516,0.034,NEUTRAL,65.3563,0.0,-20.0,30200.0,22466.67,35850.0,86275.0,64314.0,103541.5,White Marubozu,None,Three White Soldiers,-0.0769,-0.0066,0.087,-10780.0,-10780.0,-332460.0,-400840.0,-1447330.0,0.02,1.0,150.0,0.0,1.67,0.0,2019-09-30
15,209,2.78,-0.12,-0.0414,2.78,2.78,2.78,-13899.9999,3.75,2.65,2.65,2.65,2.9,3.02,2.83,2.94,3.18,3.3,2.84,2.95,3.08,3.16,DOWNTREND,DOWNTREND,DOWNTREND,46.8944,-0.0561,0.0427,NEUTRAL,-34.8892,52.381,-62.8571,11300.0,8666.67,20800.0,31044.0,23888.67,58731.0,White Marubozu,None,Three White Soldiers,-0.1446,-0.0479,-0.0314,-16550.0,-118220.0,-128510.0,-468160.0,-3116560.0,0.03,2.0,92.67,0.0,1.55,0.0,2019-12-10
16,203,2.99,0.15,0.0528,2.99,2.99,2.99,0.0,3.75,2.84,2.84,2.74,3.04,3.24,2.97,3.09,3.27,3.34,2.98,3.08,3.19,3.22,DOWNTREND,DOWNTREND,DOWNTREND,49.36,-0.0502,0.0329,NEUTRAL,39.5365,0.0,-34.7826,31200.0,46133.33,36850.0,89437.0,133366.0,106735.0,White Marubozu,None,None,-0.08,0.0275,0.0528,0.0,-171840.0,-334180.0,-452070.0,-1385890.0,0.02,1.0,149.5,0.0,1.66,0.0,2019-08-29
17,206,2.65,-0.01,-0.0038,2.66,2.65,2.66,0.0,3.75,2.65,2.65,2.65,2.94,3.04,2.87,2.99,3.21,3.31,2.86,2.98,3.11,3.17,DOWNTREND,DOWNTREND,DOWNTREND,41.3407,-0.0548,0.043,NEUTRAL,-150.9889,0.0,-100.0,10000.0,25733.33,20150.0,27559.0,72792.0,57073.0,Black Marubozu,Bearish Engulfing,None,-0.1846,-0.0925,-0.0925,-82760.0,-115450.0,-322330.0,-509510.0,-1486050.0,0.02,1.0,132.5,0.0,1.47,0.0,2019-11-06
18,209,2.78,-0.12,-0.0414,2.78,2.78,2.78,-13899.9999,3.75,2.65,2.65,2.65,2.9,3.02,2.83,2.94,3.18,3.3,2.84,2.95,3.08,3.16,DOWNTREND,DOWNTREND,DOWNTREND,46.8944,-0.0561,0.0427,NEUTRAL,-34.8892,52.381,-62.8571,11300.0,8666.67,20800.0,31044.0,23888.67,58731.0,White Marubozu,None,Three White Soldiers,-0.1446,-0.0479,-0.0314,-16550.0,-118220.0,-128510.0,-468160.0,-3116560.0,0.03,2.0,92.67,0.0,1.55,0.0,2019-12-12
19,203,2.8,-0.22,-0.0728,2.8,2.8,2.8,0.0,3.75,2.8,2.74,2.66,3.02,3.22,2.96,3.08,3.26,3.34,2.96,3.07,3.18,3.22,DOWNTREND,DOWNTREND,DOWNTREND,41.3406,-0.0475,0.0366,NEUTRAL,-176.6953,47.8261,-100.0,30300.0,22800.0,37000.0,86653.0,65404.0,107055.5,White Marubozu,None,Three White Soldiers,-0.1385,-0.0728,-0.0728,3020.0,6510.0,-315660.0,-449140.0,-1400750.0,0.02,1.0,140.0,0.0,1.56,0.0,2019-09-04
