,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,206,12.8,-0.18,-0.0139,12.8,12.8,12.8,0.0,15.0,10.5,12.4,12.02,12.98,13.82,12.86,13.01,13.17,13.01,12.87,12.99,13.08,12.99,SIDEWAYS,SIDEWAYS,SIDEWAYS,42.4064,-0.069,0.006,LOW,-36.9852,0.0,-100.0,19310.0,18266.67,54420.0,247176.6,233891.07,694387.6,White Marubozu,None,None,0.0684,-0.0154,0.0,0.0,0.0,0.0,-126720.0,-12355554.0,2.05,1.0098,6.24,0.0,0.72,0.0,2019-10-22
1,210,12.7,0.0,0.0,12.7,12.7,12.7,0.0,15.0,11.0,12.35,11.98,12.98,13.48,12.87,12.89,13.05,13.22,12.8,12.9,12.99,12.96,DOWNTREND,SIDEWAYS,SIDEWAYS,44.0763,-0.0426,0.0081,LOW,-70.1377,0.0,-100.0,19920.0,14573.33,18185.0,254046.2,186323.73,234202.1,White Marubozu,Bullish Harami,Three White Soldiers,0.0601,0.0,0.0,0.0,0.0,-13970.0,-13970.0,-16230466.0,1.98,0.5714,6.41,0.0,0.68,0.0,2019-12-03
2,208,12.7,-0.1,-0.0078,12.7,12.7,12.7,0.0,15.0,10.5,12.35,11.98,13.18,13.98,12.91,12.94,13.11,13.16,12.91,12.96,13.04,12.98,UPTREND,SIDEWAYS,SIDEWAYS,44.0763,0.0061,0.0136,LOW,-102.98100000000001,0.0,-100.0,14150.0,18660.0,17860.0,181842.6,241324.13,230469.4,White Marubozu,None,None,0.0601,0.0,-0.0364,0.0,-13970.0,-13970.0,-13970.0,-16501056.0,1.98,0.5714,6.41,0.0,0.68,0.0,2019-11-20
3,210,12.7,-0.3,-0.0231,13.0,12.7,13.0,0.0,15.0,11.1,12.35,11.98,13.0,13.48,12.86,12.88,13.02,13.22,12.82,12.9,12.99,12.96,DOWNTREND,SIDEWAYS,SIDEWAYS,45.0032,-0.0372,0.0096,LOW,-25.1545,38.8889,-100.0,18210.0,20506.67,16180.0,231446.0,261650.53,206644.3,Black Marubozu,Bearish Engulfing,None,0.0601,0.0,-0.0231,0.0,0.0,-13970.0,-13970.0,-16044846.0,1.98,0.5714,6.41,0.0,0.68,0.0,2019-12-09
4,204,13.04,0.0,0.0,13.04,13.04,13.04,0.0,15.0,10.5,12.95,12.05,13.2,13.83,13.13,13.21,13.41,12.82,13.13,13.21,13.21,13.02,SIDEWAYS,SIDEWAYS,SIDEWAYS,40.4235,-0.0366,0.0048,LOW,-173.308,0.0,-100.0,22220.0,28206.67,43405.0,291106.2,370204.4,571033.8,White Marubozu,Tweezer Bottoms,None,0.0885,-0.0046,-0.0046,0.0,0.0,-3960.0,-121416.0,-10140556.0,2.05,1.0098,6.36,0.0,0.73,0.0,2019-09-06
5,204,12.8,-0.2,-0.0154,12.8,12.8,12.8,0.0,15.0,10.5,12.4,12.02,13.0,13.48,13.03,13.12,13.29,12.92,13.02,13.11,13.16,13.01,DOWNTREND,SIDEWAYS,SIDEWAYS,37.336,-0.0478,0.0102,LOW,-158.1536,77.7778,-33.3333,93720.0,64793.33,56970.0,1197746.4,828628.27,731223.7,White Marubozu,None,Three White Soldiers,0.0684,-0.0154,-0.0154,0.0,0.0,0.0,-121416.0,-12354314.0,2.05,1.0098,6.24,0.0,0.72,0.0,2019-10-03
6,210,12.7,0.0,0.0,12.7,12.7,12.7,0.0,15.0,11.0,12.35,11.98,13.18,13.88,12.87,12.89,13.06,13.21,12.82,12.91,13.0,12.96,DOWNTREND,SIDEWAYS,SIDEWAYS,44.0763,-0.0375,0.0087,LOW,-70.1377,0.0,-100.0,19900.0,14853.33,18255.0,253797.0,189973.07,235091.1,White Marubozu,Bullish Harami,Three White Soldiers,0.0601,0.0,0.0,0.0,0.0,-13970.0,-13970.0,-16230466.0,1.98,0.5714,6.41,0.0,0.68,0.0,2019-12-02
7,208,12.7,0.0,0.0,12.7,12.7,12.7,0.0,15.0,10.5,12.35,11.98,13.18,13.88,12.9,12.93,13.11,13.17,12.89,12.95,13.03,12.98,SIDEWAYS,SIDEWAYS,SIDEWAYS,44.0763,-0.0009,0.0126,LOW,-97.3008,0.0,-100.0,14480.0,19140.0,18215.0,185899.6,247414.8,234973.4,White Marubozu,Bullish Harami,Three White Soldiers,0.0601,0.0,-0.0364,0.0,-13970.0,-13970.0,-13970.0,-16373652.0,1.98,0.5714,6.41,0.0,0.68,0.0,2019-11-21
8,210,12.7,0.0,0.0,12.7,12.7,12.7,0.0,15.0,11.84,12.36,11.98,13.0,13.48,12.73,12.83,12.99,13.24,12.76,12.85,12.95,12.94,SIDEWAYS,SIDEWAYS,SIDEWAYS,45.0032,-0.044000000000000004,0.0086,LOW,-29.5567,69.3878,-30.6122,55810.0,39400.0,37865.0,708658.2,500294.13,481352.2,White Marubozu,Bullish Harami,Three White Soldiers,0.0601,0.0,0.0,-2890068.0,-5431338.0,-5431338.0,-5445308.0,-21292554.0,1.98,0.5714,6.41,0.0,0.68,0.0,2019-12-23
9,204,13.0,-0.1,-0.0076,13.0,12.0,13.0,0.0,15.0,10.5,12.5,12.02,13.2,13.98,13.09,13.15,13.34,12.88,13.08,13.16,13.18,13.02,SIDEWAYS,SIDEWAYS,SIDEWAYS,43.4171,-0.0361,0.0115,LOW,-422.9692,0.0,-16.6667,52040.0,46366.67,38695.0,657613.0,591402.8,494917.6,Dragonfly Doji,None,None,0.0851,-0.0076,-0.0076,0.0,0.0,0.0,-121416.0,-10140556.0,2.05,1.0098,6.34,0.0,0.73,0.0,2019-09-24
