,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,207,20.7,-1.85,-0.08199999999999999,20.8,20.7,20.8,0.0,23.95,16.9,20.5,19.05,22.55,23.48,21.24,21.38,21.1,21.8,21.3,21.32,21.39,21.91,SIDEWAYS,SIDEWAYS,SIDEWAYS,47.5006,-0.0245,0.0481,NEUTRAL,-53.188,38.6789,-86.0465,2880.0,2106.67,2340.0,59836.0,43875.33,48707.25,Black Marubozu,None,None,0.0248,-0.0048,-0.08199999999999999,0.0,0.0,2310.0,-10620.0,447304.0,1.89,1.3625,10.95,0.0,0.91,0.0,2019-10-22
1,211,22.15,1.6,0.0779,20.5,20.5,22.15,0.0,23.95,18.0,20.52,19.05,22.55,23.48,21.08,21.25,21.24,21.66,21.14,21.23,21.33,21.84,SIDEWAYS,SIDEWAYS,SIDEWAYS,54.922,-0.0929,0.0375,NEUTRAL,78.2109,36.9068,-19.5122,1250.0,2500.0,2000.0,25842.5,51854.67,41513.5,White Marubozu,Bullish Engulfing,None,0.0965,0.0752,0.0598,0.0,0.0,0.0,-10620.0,-108766.0,1.76,1.2,12.59,0.0,0.96,0.0,2019-12-03
2,209,20.6,0.0,0.0,20.65,20.6,20.65,0.0,23.95,18.0,20.5,19.05,21.75,22.68,21.23,21.3,21.16,21.73,21.15,21.25,21.35,21.87,SIDEWAYS,SIDEWAYS,SIDEWAYS,47.2434,-0.0511,0.0438,NEUTRAL,-66.6225,9.3023,-90.6977,2300.0,2173.33,1745.0,47952.5,45149.0,36322.25,Black Marubozu,Bearish Harami,Three Black Crows,0.0198,0.0,0.0,0.0,0.0,0.0,-10620.0,-108766.0,1.76,1.2,11.7,0.0,0.89,0.0,2019-11-20
3,211,20.5,-1.65,-0.0745,20.5,20.5,20.5,0.0,23.95,18.0,20.45,19.05,22.15,22.9,21.06,21.23,21.24,21.64,21.08,21.2,21.32,21.83,DOWNTREND,SIDEWAYS,SIDEWAYS,47.131,-0.0946,0.0433,NEUTRAL,-75.6693,29.1548,-100.0,1290.0,1973.33,1960.0,26642.0,41034.0,40661.0,White Marubozu,Bullish Harami,None,0.0149,-0.0745,-0.0745,0.0,0.0,0.0,-10620.0,-108766.0,1.76,1.2,11.65,0.0,0.89,0.0,2019-12-09
4,205,22.45,0.45,0.0205,22.45,22.45,22.45,0.0,24.7,16.9,20.7,20.05,22.62,23.48,21.33,21.44,21.19,22.02,21.5,21.4,21.46,22.01,UPTREND,SIDEWAYS,SIDEWAYS,55.8373,0.0151,0.0342,NEUTRAL,101.7766,70.0,-18.0,1660.0,3153.33,2695.0,34682.5,65778.67,56133.5,White Marubozu,None,None,0.1114,0.0205,0.0205,0.0,0.0,105.0,-117170.0,447304.0,1.89,1.3625,11.88,0.0,0.99,0.0,2019-09-06
5,205,20.9,0.1,0.0048,20.9,20.9,20.9,0.0,24.7,16.9,20.8,20.05,21.0,22.9,21.33,21.39,21.15,21.93,21.28,21.32,21.41,21.96,UPTREND,SIDEWAYS,SIDEWAYS,47.181000000000004,-0.01,0.03,LOW,-39.7987,20.2778,-79.1667,590.0,1273.33,2490.0,12800.0,26618.33,51956.5,White Marubozu,None,Three White Soldiers,0.0347,0.0048,0.0048,0.0,0.0,105.0,-117170.0,447304.0,1.89,1.3625,11.06,0.0,0.92,0.0,2019-10-03
6,211,22.15,1.6,0.0779,20.5,20.5,22.15,0.0,23.95,18.0,20.52,19.05,22.55,23.48,21.08,21.25,21.24,21.66,21.14,21.23,21.33,21.84,SIDEWAYS,SIDEWAYS,SIDEWAYS,54.922,-0.0929,0.0375,NEUTRAL,78.2109,36.9068,-19.5122,1250.0,2500.0,2000.0,25842.5,51854.67,41513.5,White Marubozu,Bullish Engulfing,None,0.0965,0.0752,0.0598,0.0,0.0,0.0,-10620.0,-108766.0,1.76,1.2,12.59,0.0,0.96,0.0,2019-12-02
7,209,20.65,0.05,0.0024,20.65,20.65,20.65,0.0,23.95,18.0,20.6,19.05,21.75,22.68,21.22,21.28,21.16,21.71,21.1,21.23,21.34,21.86,DOWNTREND,SIDEWAYS,SIDEWAYS,47.4887,-0.0704,0.0407,NEUTRAL,-62.653999999999996,10.0775,-88.3721,1940.0,2160.0,1760.0,39970.5,44857.33,36631.5,White Marubozu,Bullish Harami,None,0.0223,0.0024,0.0024,0.0,0.0,0.0,-10620.0,-108766.0,1.76,1.2,11.73,0.0,0.89,0.0,2019-11-21
8,211,20.5,0.0,0.0,20.45,20.45,20.5,0.0,23.95,18.02,20.48,19.05,22.15,22.9,20.88,21.1,21.31,21.48,20.82,21.05,21.22,21.75,DOWNTREND,SIDEWAYS,SIDEWAYS,47.131,-0.16,0.027999999999999997,LOW,-58.1587,0.0,-97.0588,51800.0,34773.33,26870.0,1061946.0,712930.67,550958.25,White Marubozu,None,Three White Soldiers,0.0149,-0.0745,0.0,-2050.0,-2050.0,-2050.0,-1945.0,-110816.0,1.76,1.2,11.65,0.0,0.89,0.0,2019-12-23
9,205,20.8,-0.2,-0.0095,20.8,20.8,20.8,0.0,24.7,16.9,20.4,19.05,22.45,23.45,21.31,21.4,21.16,21.95,21.32,21.34,21.42,21.97,SIDEWAYS,SIDEWAYS,SIDEWAYS,46.4806,0.0068,0.0321,NEUTRAL,-46.4542,21.3333,-84.0,1720.0,1533.33,2500.0,35942.0,32439.0,52160.25,White Marubozu,None,Three White Soldiers,0.0297,-0.0545,-0.0095,0.0,0.0,105.0,-117170.0,447304.0,1.89,1.3625,11.01,0.0,0.91,0.0,2019-09-24
10,211,22.15,1.6,0.0779,20.5,20.5,22.15,0.0,23.95,18.0,20.52,19.05,22.55,23.48,21.08,21.25,21.24,21.66,21.14,21.23,21.33,21.84,SIDEWAYS,SIDEWAYS,SIDEWAYS,54.922,-0.0929,0.0375,NEUTRAL,78.2109,36.9068,-19.5122,1250.0,2500.0,2000.0,25842.5,51854.67,41513.5,White Marubozu,Bullish Engulfing,None,0.0965,0.0752,0.0598,0.0,0.0,0.0,-10620.0,-108766.0,1.76,1.2,12.59,0.0,0.96,0.0,2019-11-29
11,205,21.0,0.0,0.0,21.0,21.0,21.0,0.0,24.7,16.9,20.4,19.05,22.62,23.48,21.31,21.41,21.18,21.99,21.41,21.37,21.44,21.99,SIDEWAYS,SIDEWAYS,SIDEWAYS,47.6541,0.027999999999999997,0.0361,NEUTRAL,-27.4074,43.3333,-76.0,1800.0,2246.67,2780.0,37578.5,47257.33,57916.25,White Marubozu,Bullish Harami,Three White Soldiers,0.0396,-0.0455,-0.0646,0.0,0.0,105.0,-117170.0,447304.0,1.89,1.3625,11.11,0.0,0.92,0.0,2019-09-16
12,207,20.7,-1.2,-0.0548,20.75,20.5,20.75,0.0,23.95,16.9,20.45,19.05,22.25,22.92,21.3,21.37,21.11,21.83,21.23,21.29,21.38,21.92,DOWNTREND,SIDEWAYS,SIDEWAYS,47.2567,-0.0455,0.0416,NEUTRAL,-65.6787,26.3889,-87.5,2750.0,2060.0,2205.0,57184.5,43159.67,45933.5,Hanging Man,None,None,0.0248,-0.0048,0.0098,0.0,0.0,2310.0,-52620.0,447304.0,1.89,1.3625,10.95,0.0,0.91,0.0,2019-10-16
