,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,208,5.05,-0.04,-0.0079,5.1,5.05,5.1,-124489.0,8.51,4.97,5.04,4.98,5.1,5.5,5.04,5.11,5.46,6.13,5.07,5.18,5.48,6.11,SIDEWAYS,SIDEWAYS,DOWNTREND,46.0915,-0.0318,0.0151,LOW,49.3097,40.7407,-66.6667,611150.0,886206.67,1263235.0,3104825.0,4474743.93,6348593.05,Black Marubozu,Bearish Engulfing,None,-0.345,0.01,0.0,127667.0,-1290438.0,-33334617.0,-73186574.0,-664215583.0,-0.37,-1.3333,-13.65,0.0,0.7,0.0,2019-10-22
1,212,4.42,-0.06,-0.0134,4.5,4.41,4.5,-1616320.0,8.51,4.41,4.42,4.42,4.68,5.04,4.75,4.93,5.14,5.72,4.7,4.9,5.18,5.79,DOWNTREND,DOWNTREND,DOWNTREND,28.7814,-0.1194,0.0226,LOW,-112.0345,5.8739,-98.5075,1339300.0,1258046.67,1219500.0,6093610.0,5839017.27,5760224.4,Black Long Day,None,None,-0.4267,-0.0264,-0.0264,-5226080.0,-18171092.0,-27840920.0,-60417762.0,-716785624.0,-0.5,-1.495,-8.84,0.0,0.62,0.0,2019-12-03
2,210,4.7,0.0,0.0,4.73,4.65,4.73,-2704460.0,8.51,4.65,4.68,4.68,5.0,5.24,4.97,5.04,5.26,5.85,4.94,5.05,5.31,5.91,DOWNTREND,SIDEWAYS,DOWNTREND,19.7212,-0.0455,0.0156,LOW,-250.3614,5.6965,-88.6364,1200010.0,1015906.67,973565.0,5870756.5,5000966.8,4820422.7,Hanging Man,None,None,-0.3904,-0.0619,-0.0428,-10074010.0,-20481995.0,-21211839.0,-70917846.0,-743299487.0,-0.5,-1.495,-9.4,0.0,0.66,0.0,2019-11-20
3,212,4.27,0.07,0.0167,4.2,4.2,4.35,-1151030.0,8.37,4.2,4.2,4.2,4.46,5.04,4.6,4.87,5.08,5.67,4.56,4.81,5.11,5.73,DOWNTREND,DOWNTREND,DOWNTREND,28.1275,-0.1495,0.0251,LOW,-122.43700000000001,0.0,-86.7925,1308200.0,1266800.0,1289825.0,5806247.0,5698418.67,5950419.2,None,Bullish Engulfing,None,-0.4462,-0.0595,0.0167,-8704480.0,-16421210.0,-34619425.0,-70461352.0,-723250419.0,-0.5,-1.495,-8.54,0.0,0.6,0.0,2019-12-09
4,206,5.1,0.01,0.002,5.09,5.09,5.16,-3082671.0,9.15,5.01,5.02,5.02,5.14,5.4,5.16,5.5,5.81,6.62,5.2,5.45,5.82,6.5,DOWNTREND,DOWNTREND,DOWNTREND,39.8593,-0.1325,0.0203,LOW,-45.2311,22.6709,-79.4872,1300160.0,1315066.67,1484270.0,6635627.8,6774654.47,7685519.5,Inverted Hammer,None,None,-0.3385,0.002,0.002,-11042186.0,-14642402.0,-48441398.0,-122383694.0,-720925740.0,-0.37,-1.3333,-13.78,0.0,0.71,0.0,2019-09-06
5,206,5.1,0.09,0.018000000000000002,5.05,5.0,5.1,-3494.0,8.7,4.97,4.99,4.98,5.19,5.5,5.12,5.23,5.57,6.33,5.1,5.26,5.6,6.26,DOWNTREND,SIDEWAYS,DOWNTREND,47.5504,-0.0638,0.0185,LOW,-47.1966,10.7843,-80.8824,2049190.0,2694220.0,2323955.0,10321213.4,14017680.0,12080742.85,None,Tweezer Bottoms,None,-0.3385,0.02,0.02,-10895861.0,-34032220.0,-50500644.0,-131860201.0,-616840953.0,-0.37,-1.3333,-13.78,0.0,0.71,0.0,2019-10-03
6,212,4.48,-0.06,-0.0132,4.5,4.46,4.57,-159940.0,8.51,4.46,4.46,4.46,4.72,5.06,4.78,4.94,5.15,5.73,4.73,4.92,5.2,5.8,DOWNTREND,DOWNTREND,DOWNTREND,30.9489,-0.113,0.0225,LOW,-102.5913,0.0,-96.7742,1125000.0,1202966.67,1092465.0,5181327.0,5689691.6,5222398.25,None,None,None,-0.4189,-0.0132,-0.0132,-704940.0,-21494631.0,-26239782.0,-58774349.0,-714310825.0,-0.5,-1.495,-8.96,0.0,0.63,0.0,2019-12-02
7,210,4.56,-0.14,-0.0298,4.65,4.51,4.7,-778950.0,8.51,4.51,4.54,4.54,4.93,5.11,4.95,5.03,5.24,5.84,4.9,5.03,5.29,5.89,DOWNTREND,SIDEWAYS,DOWNTREND,14.957,-0.055999999999999994,0.0179,LOW,-237.2517,7.4948,-91.3793,1247340.0,1060613.33,1004290.0,6055219.7,5189858.93,4947054.45,None,None,None,-0.4086,-0.0898,-0.0713,-7557010.0,-20724426.0,-22140129.0,-71153577.0,-712767453.0,-0.5,-1.495,-9.12,0.0,0.64,0.0,2019-11-21
8,212,3.85,-0.02,-0.0052,3.86,3.84,3.96,-830110.0,8.0,3.84,3.84,3.84,4.17,4.72,4.27,4.68,4.92,5.54,4.23,4.56,4.92,5.57,DOWNTREND,DOWNTREND,DOWNTREND,28.7682,-0.1971,0.0343,NEUTRAL,-140.2093,8.0362,-98.4127,2195700.0,1980600.0,1751950.0,9094580.0,8307254.0,7450413.5,None,None,None,-0.5006,-0.152,-0.0052,325240.0,-10126440.0,-31621071.0,-40899460.0,-704925021.0,-0.5,-1.495,-7.7,0.0,0.54,0.0,2019-12-23
9,206,5.05,-0.06,-0.0117,5.12,5.05,5.13,-1735363.0,9.13,5.01,5.02,5.02,5.24,5.5,5.15,5.33,5.66,6.45,5.18,5.34,5.69,6.35,UPTREND,DOWNTREND,DOWNTREND,40.3704,-0.0541,0.0237,LOW,-82.8402,9.1741,-100.0,2843280.0,2200386.67,1973225.0,15092154.2,11619642.33,10354377.3,Black Long Day,None,None,-0.345,-0.0079,-0.0175,-12835605.0,-13999319.0,-35615058.0,-106395363.0,-598367542.0,-0.37,-1.3333,-13.65,0.0,0.7,0.0,2019-09-24
