,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,209,4.24,-0.05,-0.0117,4.07,4.07,4.24,0.0,4.95,3.5,4.08,3.8,4.38,4.52,4.34,4.48,4.57,4.28,4.32,4.42,4.45,4.41,DOWNTREND,DOWNTREND,SIDEWAYS,44.5898,-0.0608,0.0398,NEUTRAL,-94.6115,45.7364,-48.8372,92600.0,66933.33,55650.0,380037.0,275605.33,230601.0,White Marubozu,Bullish Harami,None,0.2114,-0.0093,0.0291,0.0,0.0,4500.0,22670.0,-7584780.0,0.8,1.7586,5.3,0.0,0.5,0.0,2019-10-22
1,213,4.1,0.1,0.025,3.9,3.9,4.19,0.0,4.95,3.5,3.9,3.71,4.26,4.45,4.21,4.3,4.49,4.31,4.2,4.3,4.37,4.37,DOWNTREND,SIDEWAYS,DOWNTREND,44.0826,-0.0459,0.0442,NEUTRAL,-100.0,35.8316,-45.283,25300.0,19866.67,52600.0,101011.0,79823.33,214254.5,White Long Day,Bullish Engulfing,None,0.1714,0.0,0.0,0.0,0.0,217100.0,234980.0,-5439460.0,0.65,0.9697,6.31,0.0,0.48,0.0,2019-12-03
2,211,4.26,-0.02,-0.0047,4.1,4.07,4.26,0.0,4.95,3.5,4.08,3.94,4.29,4.45,4.24,4.32,4.51,4.3,4.25,4.34,4.4,4.39,SIDEWAYS,SIDEWAYS,DOWNTREND,49.3886,-0.0438,0.0376,NEUTRAL,-9.8808,57.4074,-40.625,9400.0,56533.33,50500.0,38999.0,231848.67,207899.0,White Long Day,None,Three White Soldiers,0.2171,-0.0207,0.0143,0.0,217100.0,217100.0,239770.0,-5951770.0,0.65,0.9697,6.55,0.0,0.5,0.0,2019-11-20
3,213,3.92,-0.18,-0.0439,3.95,3.92,3.95,0.0,4.95,3.5,3.91,3.74,4.14,4.38,4.18,4.27,4.47,4.32,4.15,4.27,4.35,4.36,DOWNTREND,SIDEWAYS,DOWNTREND,36.674,-0.0559,0.0408,NEUTRAL,-161.1009,46.2585,-77.551,1080700.0,722800.0,549150.0,4227414.0,2827980.67,2150719.0,Black Marubozu,None,Evening Star,0.12,-0.0439,-0.0439,0.0,0.0,217100.0,221600.0,-5494390.0,0.65,0.9697,6.03,0.0,0.46,0.0,2019-12-09
4,207,4.5,0.05,0.0112,4.45,4.42,4.5,0.0,4.95,3.5,4.3,4.08,4.79,5.05,4.53,4.67,4.61,4.23,4.5,4.58,4.52,4.43,DOWNTREND,SIDEWAYS,SIDEWAYS,47.9408,-0.096,0.0287,LOW,-19.2158,43.4028,-41.6667,75900.0,76400.0,66850.0,325157.0,333484.0,295080.5,None,None,None,0.2857,0.0588,0.0588,0.0,13380.0,18170.0,58430.0,-5447226.0,0.8,1.7586,5.63,0.0,0.53,0.0,2019-09-06
5,207,4.45,0.17,0.0397,4.45,4.45,4.45,0.0,4.95,3.5,4.24,4.07,4.5,4.79,4.38,4.59,4.6,4.26,4.41,4.5,4.49,4.42,UPTREND,DOWNTREND,SIDEWAYS,50.4894,-0.06,0.0351,NEUTRAL,74.2774,62.0155,-11.6279,18700.0,27733.33,50050.0,81165.0,119582.0,214206.0,White Marubozu,None,None,0.2714,0.0397,0.0495,0.0,4500.0,17880.0,27230.0,-6396968.0,0.8,1.7586,5.56,0.0,0.52,0.0,2019-10-03
6,213,4.0,-0.1,-0.0244,4.01,3.81,4.01,0.0,4.95,3.5,3.9,3.74,4.26,4.45,4.22,4.3,4.49,4.31,4.21,4.31,4.38,4.38,DOWNTREND,SIDEWAYS,DOWNTREND,38.7528,-0.0432,0.0433,NEUTRAL,-235.8521,30.7239,-66.6667,24900.0,26000.0,52500.0,99478.0,105963.33,213881.5,Hanging Man,None,None,0.1429,-0.0244,-0.0244,0.0,217100.0,217100.0,239770.0,-5439460.0,0.65,0.9697,6.15,0.0,0.47,0.0,2019-12-02
7,211,4.26,-0.02,-0.0047,4.1,4.07,4.26,0.0,4.95,3.5,4.08,3.94,4.29,4.45,4.24,4.32,4.51,4.3,4.25,4.34,4.4,4.39,SIDEWAYS,SIDEWAYS,DOWNTREND,49.3886,-0.0438,0.0376,NEUTRAL,-9.8808,57.4074,-40.625,9400.0,56533.33,50500.0,38999.0,231848.67,207899.0,White Long Day,None,Three White Soldiers,0.2171,-0.0207,0.0143,0.0,217100.0,217100.0,239770.0,-5951770.0,0.65,0.9697,6.55,0.0,0.5,0.0,2019-11-21
8,213,4.09,0.29,0.0763,3.9,3.9,4.09,0.0,4.95,3.5,3.79,3.65,4.1,4.29,4.06,4.2,4.42,4.33,4.05,4.18,4.29,4.33,DOWNTREND,DOWNTREND,DOWNTREND,50.2997,-0.079,0.0456,NEUTRAL,-8.5934,52.8455,-24.3902,12200.0,724133.33,545450.0,48188.0,2832269.33,2133899.5,White Marubozu,None,None,0.1686,-0.0024,0.0763,-3900.0,-43100.0,174000.0,178500.0,-4776100.0,0.65,0.9697,6.29,0.0,0.48,0.0,2019-12-23
9,207,4.45,-0.02,-0.0045,4.22,4.21,4.45,0.0,4.95,3.5,4.33,4.07,4.5,4.79,4.39,4.63,4.61,4.26,4.46,4.54,4.51,4.43,UPTREND,DOWNTREND,SIDEWAYS,48.3769,-0.0679,0.0372,NEUTRAL,-11.988,92.2481,-11.6279,33800.0,61533.33,55350.0,146002.0,263360.67,237852.5,White Long Day,Bullish Harami,None,0.2714,0.0471,-0.0067,4500.0,4500.0,22670.0,27230.0,-5749975.0,0.8,1.7586,5.56,0.0,0.52,0.0,2019-09-24
