,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,210,41.0,0.0,0.0,40.05,40.05,41.1,-10793204.9996,50.3,36.3,39.75,37.15,41.3,42.58,39.9,42.14,43.57,45.1,40.58,41.73,42.99,44.13,UPTREND,DOWNTREND,SIDEWAYS,51.5828,-0.6199,0.0207,LOW,58.4094,94.1578,-8.9552,1229320.0,1517566.67,1405965.0,49759460.0,60011329.0,55406720.25,White Long Day,None,None,-0.0465,0.0499,-0.0073,5400270.0,46112715.0,-41515585.0,-222155540.0,-2028590070.0,2.24,-0.0218,18.3,0.0,1.96,0.0,2019-10-22
1,214,39.7,-0.35,-0.0087,40.1,39.6,40.1,-7752675.0,50.3,36.3,39.58,38.35,40.32,41.98,39.7,39.89,42.15,44.13,39.9,40.44,41.61,43.05,UPTREND,SIDEWAYS,DOWNTREND,46.0512,-0.1196,0.0182,LOW,13.1924,73.064,-44.4444,930420.0,808253.33,1192820.0,37198846.5,32186475.33,47475722.5,Black Long Day,None,None,-0.0767,-0.0112,-0.0112,-15766175.0,63406675.0,26738245.0,-256955.0,-1961018350.0,2.33,0.013000000000000001,17.04,0.0,1.85,0.0,2019-12-03
2,212,39.9,-0.05,-0.0013,39.9,39.65,40.0,17112545.0,50.3,36.3,38.92,37.15,40.0,41.3,39.81,40.33,42.56,44.44,39.8,40.64,41.93,43.34,DOWNTREND,SIDEWAYS,DOWNTREND,49.427,-0.3436,0.0245,LOW,-7.6336,54.9383,-40.7407,1339110.0,1197453.33,1052440.0,53059110.5,47634437.0,41893043.5,Doji,None,None,-0.0721,-0.0233,-0.0025,-4668395.0,-30088505.0,39624775.0,-129574960.0,-1931108200.0,2.33,0.013000000000000001,17.12,0.0,1.86,0.0,2019-11-20
3,214,39.6,0.7,0.018000000000000002,39.0,38.9,39.6,-4099680.0006,50.3,36.3,38.7,37.15,40.0,41.3,39.64,39.8,41.9,43.97,39.72,40.28,41.44,42.91,SIDEWAYS,SIDEWAYS,DOWNTREND,47.4064,-0.1307,0.0185,LOW,-53.4591,30.8824,-45.0,610690.0,884346.67,775260.0,24124806.0,35149844.33,30733011.0,White Long Day,None,None,-0.0791,-0.0137,0.018000000000000002,-15208785.0,92664480.0,42479680.0,-24013695.0,-1960546270.0,2.33,0.013000000000000001,17.0,0.0,1.84,0.0,2019-12-09
4,208,44.0,0.2,0.0046,44.0,43.8,44.1,-11673525.0,50.3,39.6,43.65,41.9,44.48,46.25,44.38,44.8,44.93,45.37,44.31,44.7,45.03,45.39,DOWNTREND,SIDEWAYS,SIDEWAYS,45.5244,-0.2625,0.0181,LOW,-73.8037,21.3768,-75.0,970840.0,1009020.0,893160.0,42654232.5,44524406.33,39432728.25,Doji,None,None,0.0233,0.0023,0.0023,-41825900.0,-121845835.0,-155241845.0,-176486210.0,-2163381663.5,2.24,-0.0218,19.64,0.0,2.11,0.0,2019-09-06
5,208,38.0,-0.2,-0.0052,38.2,37.95,38.8,-14720554.9996,50.3,36.3,37.15,37.15,41.52,44.12,41.46,43.42,44.23,45.25,40.95,42.69,43.8,44.67,DOWNTREND,DOWNTREND,SIDEWAYS,20.7227,-1.1135,0.027000000000000003,LOW,-144.116,26.1696,-74.0458,1584470.0,1327233.33,1228825.0,61997050.5,52892253.33,49748401.75,Shooting Star,Tweezer Tops,None,-0.1163,-0.0269,-0.0594,-96154600.0,-144068835.0,-218783440.0,-263658625.0,-2399036109.0,2.24,-0.0218,16.96,0.0,1.82,0.0,2019-10-03
6,214,40.05,-0.1,-0.0025,40.15,39.9,40.15,2768600.0,50.3,36.3,39.7,38.35,40.32,42.08,39.72,39.93,42.21,44.17,39.92,40.47,41.65,43.09,UPTREND,SIDEWAYS,DOWNTREND,50.9449,-0.1355,0.0185,LOW,52.0546,79.5455,-20.4545,960510.0,789673.33,1216745.0,38407437.5,31432462.0,48466090.75,Spinning Top,None,None,-0.0686,-0.0025,-0.0025,8627130.0,68083455.0,33901640.0,-4036405.0,-1933180850.0,2.33,0.013000000000000001,17.19,0.0,1.87,0.0,2019-12-02
7,212,40.0,0.1,0.0025,39.9,39.5,40.0,899955.0,50.3,36.3,39.2,37.98,40.2,41.98,39.8,40.28,42.51,44.41,39.82,40.61,41.9,43.31,DOWNTREND,SIDEWAYS,DOWNTREND,50.4081,-0.3199,0.0236,LOW,-4.742,61.1111,-37.037,1234540.0,1174626.67,1096535.0,48913374.0,46715223.67,43648506.5,Hammer,None,None,-0.0698,-0.0208,0.0,18427820.0,-29521930.0,-22869570.0,-122901635.0,-1921336705.0,2.33,0.013000000000000001,17.17,0.0,1.86,0.0,2019-11-21
8,214,39.95,0.0,0.0,39.5,39.0,39.95,-7747865.0003,50.3,36.3,39.1,37.15,40.42,42.08,39.8,39.93,41.31,43.58,39.86,40.15,41.16,42.62,SIDEWAYS,SIDEWAYS,SIDEWAYS,50.8022,-0.0256,0.0219,LOW,-15.9774,80.0,-27.5,1189160.0,1036780.0,899925.0,47039461.0,40904526.67,35582133.5,None,Tweezer Bottoms,None,-0.0709,-0.005,0.0,-20896465.0,-51972235.0,16111220.0,-13997675.0,-1819107300.0,2.33,0.013000000000000001,17.15,0.0,1.86,0.0,2019-12-23
9,208,40.4,-1.1,-0.0265,41.5,40.4,41.5,-16496640.0,50.3,39.6,40.15,39.9,42.52,44.95,43.12,44.3,44.53,45.38,42.86,43.83,44.48,45.06,DOWNTREND,SIDEWAYS,SIDEWAYS,22.2211,-0.5932,0.0168,LOW,-192.9545,4.0033,-100.0,1098860.0,924486.67,914130.0,46550347.0,39458353.0,39292386.5,Black Marubozu,None,None,-0.0605,-0.0797,-0.0381,-40699035.0,-61131470.0,-137851825.0,-182556820.0,-2288564816.5,2.24,-0.0218,18.04,0.0,1.94,0.0,2019-09-24
10,214,40.15,0.2,0.005,40.5,40.1,40.5,22485.0,50.3,36.3,39.7,38.35,40.32,41.98,39.76,39.97,42.26,44.22,39.91,40.49,41.68,43.12,UPTREND,SIDEWAYS,DOWNTREND,52.4229,-0.1592,0.0194,LOW,82.7479,79.5455,-15.9091,986880.0,881020.0,1211845.0,39438534.0,35047104.33,48272452.25,Black Long Day,None,None,-0.0663,-0.0171,0.005,50135835.0,82085535.0,82198570.0,-18478530.0,-1888043480.0,2.33,0.013000000000000001,17.23,0.0,1.87,0.0,2019-11-29
11,208,42.7,-0.1,-0.0023,42.8,42.45,42.85,13191435.0,50.3,39.6,42.58,40.42,44.12,45.7,43.91,44.63,44.67,45.4,43.77,44.37,44.82,45.26,DOWNTREND,SIDEWAYS,SIDEWAYS,36.6294,-0.3744,0.0166,LOW,-191.028,14.2177,-90.0,1049040.0,1011066.67,1040165.0,45368050.5,43950708.67,45468356.5,Hanging Man,None,None,-0.006999999999999999,-0.0273,-0.0023,29492065.0,-32449235.0,-119068945.0,-182988590.0,-2257144819.0,2.24,-0.0218,19.06,0.0,2.05,0.0,2019-09-16
12,210,39.9,-0.65,-0.016,40.55,39.6,40.8,-26202244.9999,50.3,36.3,39.75,37.15,40.95,42.48,40.05,42.41,43.76,45.14,40.44,41.89,43.17,44.26,DOWNTREND,DOWNTREND,SIDEWAYS,41.5109,-0.9179,0.0221,LOW,-3.793,63.5171,-43.3071,1466100.0,1490353.33,1320620.0,57743421.5,58265157.0,52116127.5,None,Bearish Engulfing,None,-0.0721,0.0218,-0.0172,-13523575.0,-44031580.0,-106232535.0,-256146895.0,-2132184570.0,2.24,-0.0218,17.81,0.0,1.91,0.0,2019-10-16
13,208,44.95,0.95,0.0216,44.0,43.95,44.95,-5773370.0,50.3,39.6,43.75,41.9,45.35,46.75,44.76,44.93,45.22,45.29,44.76,44.97,45.21,45.5,SIDEWAYS,SIDEWAYS,SIDEWAYS,51.0328,-0.1374,0.0212,LOW,-15.873,39.8551,-32.6087,1050030.0,877700.0,775680.0,46506261.5,38850187.67,34465431.25,White Long Day,None,None,0.0453,-0.0121,0.0216,-49585285.0,-105858985.0,-103328290.0,-112632930.0,-1835343807.0,2.24,-0.0218,20.07,0.0,2.15,0.0,2019-08-28
14,208,39.05,-1.35,-0.0334,40.4,38.95,40.4,-43520370.0,50.3,38.95,39.0,39.0,41.8,44.12,42.33,43.87,44.43,45.32,41.95,43.28,44.15,44.87,DOWNTREND,DOWNTREND,SIDEWAYS,22.2926,-0.8375,0.0233,LOW,-187.7292,8.4479,-98.1132,739960.0,931500.0,894500.0,30353263.0,39019354.0,37860656.75,Black Long Day,None,None,-0.0919,-0.1105,-0.0334,-73176935.0,-73999210.0,-188019825.0,-225574140.0,-2315252360.0,2.24,-0.0218,17.43,0.0,1.87,0.0,2019-09-30
