,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,211,0.54,0.02,0.0385,0.52,0.52,0.55,-1980240.0,1.77,0.3,0.52,0.5,0.57,0.62,0.53,0.55,0.68,0.84,0.54,0.58,0.66,0.69,DOWNTREND,DOWNTREND,DOWNTREND,48.9499,-0.0176,0.0479,NEUTRAL,36.8643,53.5354,-18.1818,9381300.0,8894866.67,11608600.0,4951496.0,4671543.0,6234541.25,White Long Day,None,None,0.6615,-0.0182,0.0385,-2939780.0,-2801640.0,-4980950.0,5049350.0,-27400360.0,-0.2,-21.0,-2.7,0.0,4.5,0.0,2019-10-22
1,215,0.475,0.005,0.0106,0.47,0.465,0.48,100100.0,1.77,0.31,0.465,0.4075,0.52,0.54,0.4628,0.4983,0.5779,0.7973,0.4719,0.5049,0.5756,0.6373,SIDEWAYS,DOWNTREND,DOWNTREND,49.3502,-0.0131,0.0557,HIGH,32.7792,65.2778,-37.5,17354900.0,13569933.3333,11716950.0,8131081.5,6302307.6667,5462400.75,None,Tweezer Bottoms,None,0.4615,-0.0306,-0.0306,7160.0,-2632990.0,-5166285.0,-8863194.9998,-30182305.0003,-0.26,-3.3333,-1.83,0.0,3.65,0.0,2019-12-03
2,213,0.435,0.02,0.0482,0.415,0.415,0.45,-783500.0,1.77,0.305,0.4125,0.38,0.4675,0.53,0.4768,0.5187,0.6151,0.8412,0.4723,0.5205,0.5969,0.6533,DOWNTREND,DOWNTREND,DOWNTREND,31.8441,-0.0211,0.0487,NEUTRAL,-141.8845,13.1944,-72.2222,6484000.0,6462666.6667,7812650.0,2924820.0,2990936.6667,3743396.75,None,Bullish Engulfing,None,0.3385,-0.1031,-0.0333,-2091700.0,-3230405.0,-6018815.0,-6935304.9998,-29749715.0003,-0.26,-3.3333,-1.67,0.0,3.35,0.0,2019-11-20
3,215,0.435,-0.005,-0.0114,0.435,0.435,0.445,17350.0,1.77,0.31,0.4325,0.4075,0.4775,0.52,0.457,0.49,0.5616,0.7775,0.4646,0.4968,0.5660000000000001,0.63,UPTREND,DOWNTREND,DOWNTREND,39.0925,-0.0098,0.0555,HIGH,-52.3355,36.1111,-70.8333,15130900.0,13106600.0,11442450.0,7227081.5,6099367.6667,5306903.25,Gravestone Doji,Tweezer Bottoms,None,0.3385,-0.1122,-0.0114,279850.0,-1198090.0,-3082795.0,-6562784.9998,-30744405.0003,-0.26,-3.3333,-1.67,0.0,3.35,0.0,2019-12-09
4,209,0.6,-0.03,-0.0476,0.63,0.59,0.64,249620.0,1.77,0.3,0.58,0.47,0.64,0.69,0.57,0.72,0.81,0.8,0.6,0.68,0.76,0.75,UPTREND,DOWNTREND,DOWNTREND,47.5422,-0.0509,0.0866,HIGH,63.0262,77.193,-26.3158,54840300.0,44928066.67,52529100.0,32342365.5,26041736.67,29896154.5,None,Tweezer Tops,None,0.8462,0.0345,0.0345,-941340.0,6120360.0,11164580.0,19567200.0,-20843310.0,-0.2,-21.0,-3.0,0.0,5.0,0.0,2019-09-06
5,209,0.53,0.0,0.0,0.53,0.51,0.53,459310.0,1.77,0.3,0.52,0.47,0.57,0.63,0.57,0.61,0.73,0.82,0.56,0.62,0.7,0.72,DOWNTREND,DOWNTREND,DOWNTREND,39.6915,-0.0194,0.0624,HIGH,-146.7662,29.2256,-77.7778,13439900.0,14923600.0,16175800.0,7398486.0,8335701.33,9310740.5,Dragonfly Doji,None,None,0.6308,-0.0364,-0.0364,925440.0,-831380.0,-142600.0,18615820.0,-24095110.0,-0.2,-21.0,-2.65,0.0,4.42,0.0,2019-10-03
6,215,0.47,-0.02,-0.0408,0.49,0.465,0.49,161500.0,1.77,0.31,0.45,0.41,0.52,0.54,0.46,0.5,0.58,0.8,0.47,0.51,0.58,0.64,DOWNTREND,DOWNTREND,DOWNTREND,47.9466,-0.0149,0.0582,HIGH,36.1938,72.2222,-41.6667,17408900.0,13755933.33,11894950.0,8120161.5,6389944.33,5548865.75,Black Long Day,None,None,0.4462,-0.0408,-0.0408,-439990.0,-3572790.0,-5238305.0,-9347895.0,-30282405.0,-0.26,-3.3333,-1.81,0.0,3.62,0.0,2019-12-02
7,213,0.42,-0.015,-0.0345,0.44,0.41,0.45,-41700.0,1.77,0.305,0.41,0.33,0.46,0.52,0.47,0.51,0.61,0.84,0.47,0.52,0.59,0.65,DOWNTREND,DOWNTREND,DOWNTREND,28.6352,-0.0222,0.0536,HIGH,-141.9271,14.8148,-88.8889,7356000.0,6728666.67,7664050.0,3289100.0,3078140.0,3615528.75,None,Tweezer Tops,None,0.2923,-0.134,-0.0667,-2390150.0,-3206555.0,-6061605.0,-7696805.0,-29902415.0,-0.26,-3.3333,-1.62,0.0,3.23,0.0,2019-11-21
8,215,0.33,0.01,0.0312,0.32,0.31,0.335,64400.0,1.77,0.3,0.31,0.31,0.36,0.52,0.42,0.46,0.52,0.73,0.4,0.46,0.53,0.61,DOWNTREND,DOWNTREND,DOWNTREND,27.0394,-0.027000000000000003,0.0837,HIGH,-124.9867,13.6452,-83.3333,7933000.0,6789333.33,11531950.0,2726945.0,2503890.0,4977013.25,None,None,None,0.0154,-0.3265,0.0312,225500.0,615850.0,-2956940.0,-5231775.0,-30477855.0,-0.26,-3.3333,-1.27,0.0,2.54,0.0,2019-12-23
9,209,0.57,0.0,0.0,0.57,0.56,0.57,-117920.0001,1.77,0.3,0.55,0.48,0.58,0.64,0.59,0.65,0.76,0.82,0.59,0.65,0.72,0.73,DOWNTREND,DOWNTREND,DOWNTREND,44.7143,-0.0209,0.0631,HIGH,-61.828,26.6667,-70.0,12525000.0,18334133.33,34431350.0,7227431.0,10952670.0,20435678.0,Dragonfly Doji,None,None,0.7538,-0.0172,0.0179,-397220.0,-3409780.0,2995500.0,17253560.0,-25577640.0,-0.2,-21.0,-2.85,0.0,4.75,0.0,2019-09-24
