,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,213,0.415,-0.025,-0.0568,0.41,0.4,0.415,0.0,0.57,0.395,0.4025,0.39,0.44,0.455,0.4245,0.4414,0.4607,0.4674,0.4262,0.4407,0.4529,0.4567,DOWNTREND,DOWNTREND,DOWNTREND,44.5391,-0.0086,0.0355,NEUTRAL,-84.6154,0.0,-62.5,911000.0,657333.3333,559500.0,378320.0,273373.3333,234090.0,Hammer,None,None,-0.11699999999999999,0.0,0.0247,-1981400.0,-2048600.0,-3630200.0,-4849820.0,-6595299.9997,0.01,0.0,41.5,0.0,0.55,0.0,2019-10-22
1,216,0.42,0.02,0.05,0.4,0.395,0.42,-8400.0,0.57,0.39,0.4,0.36,0.43,0.44,0.41,0.42,0.45,0.46,0.41,0.42,0.44,0.45,DOWNTREND,DOWNTREND,DOWNTREND,54.0562,-0.0076,0.031,NEUTRAL,55.6701,45.0,0.0,613000.0,868666.67,668000.0,242320.0,348710.0,268460.0,White Long Day,None,Three White Soldiers,-0.1064,0.0633,0.0633,-8400.0,-2341650.0,-4415450.0,-6107050.0,-9370750.0,0.0,-1.0,0.0,0.0,0.55,0.0,2019-12-03
2,214,0.415,0.015,0.0375,0.395,0.395,0.415,0.0,0.57,0.39,0.39,0.375,0.4275,0.45,0.4115,0.4298,0.4519,0.4636,0.4113,0.4271,0.4427,0.4509,DOWNTREND,DOWNTREND,DOWNTREND,49.9138,-0.0086,0.0373,NEUTRAL,-23.4506,30.0,-50.0,1123000.0,1313333.3333,1018500.0,452045.0,535190.0,415792.5,White Marubozu,None,None,-0.11699999999999999,0.0122,0.0375,-1186000.0,-4272650.0,-4381850.0,-6169100.0,-8937099.9997,0.0,-1.0,0.0,0.0,0.55,0.0,2019-11-20
3,216,0.42,0.0,0.0,0.42,0.42,0.42,0.0,0.57,0.39,0.4,0.38,0.43,0.45,0.41,0.42,0.45,0.46,0.41,0.42,0.44,0.45,SIDEWAYS,DOWNTREND,DOWNTREND,53.7333,-0.0048,0.0294,LOW,123.8095,94.4444,0.0,634000.0,734666.67,878500.0,252205.0,291310.0,352125.0,White Marubozu,Bullish Harami,Three White Soldiers,-0.1064,0.0633,0.0,-803400.0,-1989400.0,-5168450.0,-6776050.0,-10032250.0,0.0,-1.0,0.0,0.0,0.55,0.0,2019-12-09
4,211,0.465,0.005,0.0109,0.47,0.465,0.49,0.0,0.57,0.395,0.46,0.435,0.48,0.52,0.45299999999999996,0.4699,0.4787,0.4667,0.4584,0.4655,0.4695,0.4648,UPTREND,DOWNTREND,SIDEWAYS,51.9188,-0.0051,0.0396,NEUTRAL,147.6716,55.2189,-45.4545,1105000.0,780666.6667,673500.0,510315.0,360003.3333,309240.0,Shooting Star,None,None,-0.0106,-0.0106,-0.0106,0.0,-9200.0,-131800.0,-1423970.0,-3614349.9997,0.01,0.0,46.5,0.0,0.61,0.0,2019-09-06
5,211,0.41,-0.01,-0.0238,0.41,0.41,0.41,0.0,0.57,0.395,0.41,0.4,0.43,0.48,0.44,0.45,0.47,0.47,0.43,0.45,0.46,0.46,DOWNTREND,DOWNTREND,SIDEWAYS,31.2571,-0.0086,0.0264,LOW,-138.45,11.6667,-100.0,118000.0,276000.0,483500.0,50460.0,121390.0,220602.5,White Marubozu,Bullish Harami,Three White Soldiers,-0.1277,-0.012,-0.0238,-16800.0,-875350.0,-1607600.0,-3022370.0,-4272150.0,0.01,0.0,41.0,0.0,0.54,0.0,2019-10-03
6,216,0.4,0.005,0.0127,0.395,0.395,0.4,0.0,0.57,0.39,0.4,0.38,0.42,0.44,0.41,0.43,0.45,0.46,0.41,0.42,0.44,0.45,DOWNTREND,DOWNTREND,DOWNTREND,45.8217,-0.0082,0.0303,NEUTRAL,-54.1667,15.0,-75.0,556000.0,807333.33,1029000.0,219630.0,324610.0,418827.5,White Marubozu,None,Three White Soldiers,-0.1489,0.0127,0.0127,0.0,-2333250.0,-4381850.0,-6098650.0,-8806150.0,0.0,-1.0,0.0,0.0,0.53,0.0,2019-12-02
7,214,0.395,-0.02,-0.0482,0.395,0.395,0.395,0.0,0.57,0.39,0.3925,0.36,0.415,0.44,0.4108,0.4289,0.4511,0.4632,0.4098,0.4258,0.4417,0.4503,DOWNTREND,DOWNTREND,DOWNTREND,43.4697,-0.0084,0.0401,NEUTRAL,-117.2023,26.6667,-90.0,1143000.0,784000.0,1033500.0,459660.0,315676.6667,421710.0,White Marubozu,Bullish Harami,None,-0.1596,-0.0366,-0.0482,-1186000.0,-2333250.0,-4381850.0,-6103100.0,-8937099.9997,0.0,-1.0,0.0,0.0,0.52,0.0,2019-11-21
8,216,0.425,-0.005,-0.0116,0.425,0.425,0.425,0.0,0.57,0.39,0.3975,0.37,0.44,0.46,0.4148,0.4157,0.4415,0.4585,0.4187,0.4217,0.4342,0.4447,UPTREND,SIDEWAYS,DOWNTREND,51.5976,0.0021,0.0548,HIGH,75.8621,40.4762,-50.0,475000.0,697333.3333,555500.0,206020.0,288860.0,229502.5,White Marubozu,Bullish Harami,None,-0.0957,0.0759,-0.0116,-160100.0,-281950.0,-2615200.0,-6245400.0,-9543449.9997,0.0,-1.0,0.0,0.0,0.56,0.0,2019-12-23
9,211,0.43,-0.01,-0.0227,0.435,0.43,0.435,0.0,0.57,0.395,0.42,0.4,0.45,0.48,0.45,0.46,0.47,0.47,0.45,0.46,0.46,0.46,DOWNTREND,SIDEWAYS,SIDEWAYS,37.3535,-0.0046,0.026000000000000002,LOW,-146.1988,6.0606,-100.0,397000.0,598000.0,740500.0,176595.0,274573.33,340247.5,Black Marubozu,None,None,-0.0851,-0.0851,-0.0227,-350050.0,-1581600.0,-1716800.0,-3005570.0,-4390900.0,0.01,0.0,43.0,0.0,0.57,0.0,2019-09-24
10,216,0.395,0.0,0.0,0.395,0.395,0.395,0.0,0.57,0.39,0.39,0.37,0.415,0.44,0.406,0.4258,0.4487,0.4622,0.4059,0.4223,0.439,0.4487,DOWNTREND,DOWNTREND,DOWNTREND,43.4697,-0.0083,0.0321,NEUTRAL,-87.6656,10.0,-90.0,840000.0,790000.0,1019500.0,334985.0,317700.0,415115.0,White Marubozu,Bullish Harami,Three White Soldiers,-0.1596,-0.0366,0.0,0.0,-2333250.0,-4381850.0,-6098650.0,-8937099.9997,0.0,-1.0,0.0,0.0,0.52,0.0,2019-11-29
11,211,0.45,0.0,0.0,0.45,0.45,0.45,-22500.0,0.57,0.395,0.45,0.42,0.46,0.48,0.45,0.47,0.48,0.47,0.46,0.46,0.47,0.46,UPTREND,DOWNTREND,SIDEWAYS,46.5218,-0.0036,0.0316,NEUTRAL,-32.5815,21.8182,-80.0,826000.0,990666.67,776000.0,382710.0,455330.0,356342.5,White Marubozu,Bullish Harami,None,-0.0426,-0.0426,0.0,-1231550.0,-1240750.0,-1437200.0,-2655520.0,-4666850.0,0.01,0.0,45.0,0.0,0.59,0.0,2019-09-16
12,213,0.42,0.0,0.0,0.41,0.41,0.42,0.0,0.57,0.395,0.41,0.4,0.44,0.48,0.43,0.44,0.46,0.47,0.43,0.44,0.45,0.46,DOWNTREND,DOWNTREND,DOWNTREND,43.0938,-0.0095,0.0257,LOW,-60.6061,50.7937,-66.6667,104000.0,122666.67,214500.0,44300.0,52496.67,93805.0,White Marubozu,None,Three White Soldiers,-0.1064,0.012,-0.0455,-92400.0,-109200.0,-1690800.0,-2885670.0,-4655900.0,0.01,0.0,42.0,0.0,0.55,0.0,2019-10-16
13,211,0.45,0.01,0.0227,0.44,0.44,0.45,0.0,0.6,0.395,0.44,0.4,0.47,0.49,0.45,0.47,0.48,0.47,0.46,0.47,0.47,0.47,DOWNTREND,DOWNTREND,SIDEWAYS,46.9501,-0.0088,0.0461,NEUTRAL,-35.5459,37.037,-66.6667,849000.0,614666.67,734000.0,385070.0,278190.0,332587.5,White Marubozu,Tweezer Bottoms,None,-0.0426,-0.011000000000000001,-0.0323,-9200.0,-139650.0,-1219620.0,-1423970.0,-3517950.0,0.01,0.0,45.0,0.0,0.59,0.0,2019-08-28
14,211,0.415,-0.005,-0.0119,0.41,0.41,0.415,0.0,0.57,0.395,0.4125,0.395,0.4325,0.48,0.445,0.4584,0.4691,0.4684,0.4389,0.4525,0.4612,0.4611,DOWNTREND,DOWNTREND,SIDEWAYS,31.1619,-0.0073,0.0264,LOW,-161.3169,0.0,-90.0,213000.0,396000.0,519500.0,92370.0,176700.0,237540.0,White Marubozu,Tweezer Bottoms,None,-0.11699999999999999,-0.11699999999999999,-0.0119,25200.0,-1556400.0,-1565600.0,-2980370.0,-4215899.9997,0.01,0.0,41.5,0.0,0.55,0.0,2019-09-30
15,216,0.395,-0.025,-0.0595,0.395,0.395,0.395,0.0,0.57,0.39,0.3925,0.36,0.42,0.44,0.4045,0.4194,0.4446,0.4602,0.4083,0.4195,0.4353,0.4461,SIDEWAYS,DOWNTREND,DOWNTREND,44.0908,-0.0043,0.0336,NEUTRAL,-73.5977,72.2222,-83.3333,606000.0,706000.0,874500.0,241145.0,280040.0,350402.5,White Marubozu,None,Three White Soldiers,-0.1596,0.0,-0.0595,-795000.0,-1989400.0,-5168450.0,-6776050.0,-10032249.9997,0.0,-1.0,0.0,0.0,0.52,0.0,2019-12-10
16,211,0.45,0.0,0.0,0.45,0.45,0.45,0.0,0.57,0.395,0.44,0.42,0.47,0.52,0.45,0.47,0.48,0.47,0.46,0.47,0.47,0.46,DOWNTREND,DOWNTREND,SIDEWAYS,46.9501,-0.0086,0.0428,NEUTRAL,-3.7879,25.9259,-66.6667,726000.0,601333.33,554500.0,329975.0,272300.0,250437.5,White Marubozu,Bullish Harami,None,-0.0426,-0.011000000000000001,-0.0323,-9200.0,-135200.0,-1219620.0,-1423970.0,-3517950.0,0.01,0.0,45.0,0.0,0.59,0.0,2019-08-29
