,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,214,9.4,-0.1,-0.0105,9.31,9.31,9.4,0.0,13.74,7.8,9.36,9.05,9.5,10.65,9.76,9.5,9.33,9.13,9.58,9.53,9.38,9.18,DOWNTREND,SIDEWAYS,SIDEWAYS,44.6749,-0.0157,0.0294,LOW,-74.5048,19.0511,-84.3373,50090.0,46746.67,44175.0,473365.4,446717.27,428815.65,White Marubozu,None,Three White Soldiers,0.0341,-0.0979,-0.0011,0.0,0.0,108636.0,-109252099.0,-163275882.0,-0.05,0.7917,-188.0,0.0,0.4,0.0,2019-10-22
1,217,10.0,-0.04,-0.004,10.0,9.5,10.0,-9960.0,13.74,8.02,9.55,9.25,10.07,10.72,9.6,9.64,9.43,9.26,9.65,9.57,9.46,9.27,UPTREND,SIDEWAYS,SIDEWAYS,65.5066,0.0366,0.021,LOW,147.3948,92.381,-14.2857,29800.0,36526.67,33235.0,290787.2,351355.47,319449.7,Dragonfly Doji,None,None,0.1001,0.0,0.0,-39460.0,-77930.0,-68445.0,40191.0,-161131386.0,0.26,0.04,38.46,0.0,0.41,0.0,2019-12-03
2,215,9.69,0.19,0.02,9.4,9.4,9.69,-9600.0,13.74,7.8,9.45,9.16,9.74,10.14,9.48,9.64,9.38,9.23,9.53,9.51,9.41,9.23,UPTREND,SIDEWAYS,SIDEWAYS,57.5931,-0.0127,0.0189,LOW,120.1698,65.7005,-15.942,36220.0,26320.0,23025.0,343944.9,249762.53,217988.25,White Marubozu,None,None,0.066,0.0211,0.0094,-28790.0,-19305.0,-19305.0,-27517684.0,-162031306.0,0.26,0.04,37.27,0.0,0.4,0.0,2019-11-20
3,217,9.6,0.0,0.0,9.6,9.6,9.97,-1994.0,13.74,8.03,9.55,9.24,10.0,10.46,9.64,9.59,9.45,9.28,9.66,9.59,9.48,9.29,UPTREND,SIDEWAYS,SIDEWAYS,48.4158,0.0616,0.0247,LOW,44.3286,28.5714,-71.4286,53200.0,42726.67,47290.0,517349.0,413629.93,455007.75,Gravestone Doji,None,None,0.0561,-0.04,0.0,-21934.0,-70714.0,-80419.0,28217.0,-160179620.0,0.26,0.04,36.92,0.0,0.4,0.0,2019-12-09
4,212,9.1,0.0,0.0,9.1,9.1,9.1,0.0,9.98,7.8,9.0,8.23,9.2,9.48,9.13,9.12,9.13,9.01,9.12,9.12,9.09,8.98,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.948,0.0017,0.0194,LOW,2.2627,77.5699,-19.403,389910.0,491286.67,543935.0,3549116.8,4459744.6,4959093.3,White Marubozu,Bullish Harami,Three White Soldiers,0.0011,-0.013000000000000001,-0.013000000000000001,-207015.0,-50251235.0,-109360735.0,-155267615.0,-163237023.0,-0.05,0.7917,-182.0,0.0,0.38,0.0,2019-09-06
5,212,10.0,-0.14,-0.0138,10.0,9.88,10.0,0.0,13.74,7.8,9.82,9.05,10.65,12.87,9.82,9.39,9.28,9.1,9.93,9.57,9.35,9.14,UPTREND,UPTREND,SIDEWAYS,53.1087,0.294,0.0461,NEUTRAL,13.0124,22.1103,-80.6034,153900.0,106540.0,80445.0,1778596.8,1221852.07,921304.8,Dragonfly Doji,None,None,0.1001,-0.0403,-0.0476,-10420.0,108636.0,-27498379.0,-155158979.0,-164074685.0,-0.05,0.7917,-200.0,0.0,0.42,0.0,2019-10-03
6,217,10.04,0.04,0.004,10.0,10.0,10.1,-10000.0,13.74,8.02,9.55,9.24,10.07,10.46,9.57,9.66,9.42,9.26,9.61,9.55,9.45,9.26,UPTREND,SIDEWAYS,SIDEWAYS,67.563,0.0212,0.0184,LOW,316.061,74.9206,-8.5714,22240.0,35153.33,28555.0,216059.1,337086.47,273570.1,Spinning Top,None,None,0.1045,0.004,0.004,-29500.0,-67970.0,-58485.0,50151.0,-161574796.0,0.26,0.04,38.62,0.0,0.41,0.0,2019-12-02
7,215,9.41,-0.28,-0.0289,9.71,9.4,10.0,0.0,13.74,7.8,9.4,9.06,9.84,10.65,9.47,9.64,9.38,9.23,9.52,9.5,9.41,9.23,UPTREND,SIDEWAYS,SIDEWAYS,45.7145,-0.01,0.0226,LOW,115.8921,47.4155,-98.3333,40180.0,28620.0,23980.0,381536.6,271656.87,227192.0,None,None,None,0.0352,-0.0084,-0.0198,-9600.0,-19305.0,-19305.0,-13867684.0,-162031306.0,0.26,0.04,36.19,0.0,0.39,0.0,2019-11-21
8,217,10.0,0.03,0.003,9.98,9.97,10.0,-49890000.0,13.74,8.23,9.65,9.24,10.05,10.46,9.83,9.61,9.53,9.32,9.82,9.69,9.55,9.35,UPTREND,SIDEWAYS,SIDEWAYS,56.9938,0.0821,0.023,LOW,93.7126,65.0,-16.6667,555280.0,398086.67,304240.0,5535988.9,3960249.8,3026668.95,White Long Day,None,None,0.1001,0.0,0.003,-49895005.0,-49948999.0,-50016969.0,-50017904.0,-209607393.0,0.26,0.04,38.46,0.0,0.41,0.0,2019-12-23
9,212,10.48,-0.12,-0.0113,10.16,10.1,10.94,-168922.0,13.74,7.8,9.14,8.79,12.87,12.87,9.42,9.23,9.2,9.05,9.62,9.34,9.21,9.05,UPTREND,SIDEWAYS,SIDEWAYS,61.7203,0.1502,0.0519,HIGH,135.0193,42.7567,-68.7764,130330.0,89500.0,259765.0,1533335.2,1045843.8,2538192.15,None,None,None,0.1529,0.1367,-0.1267,121694.0,-88997.0,-82333217.0,-155149597.0,-163501819.0,-0.05,0.7917,-209.6,0.0,0.44,0.0,2019-09-24
10,217,10.0,0.4,0.0417,9.9,9.9,10.0,-9910.0,13.74,8.02,9.45,9.16,10.05,10.65,9.54,9.7,9.41,9.26,9.57,9.53,9.43,9.26,SIDEWAYS,SIDEWAYS,SIDEWAYS,66.5891,0.0071,0.0191,LOW,382.8006,55.5556,0.0,30200.0,32220.0,25960.0,287938.3,307247.67,247416.85,White Marubozu,None,None,0.1001,0.0537,0.0638,-19500.0,-57970.0,-48485.0,60151.0,-161563970.0,0.26,0.04,38.46,0.0,0.41,0.0,2019-11-29
11,212,9.1,-0.09,-0.0098,9.2,9.1,9.2,0.0,9.98,7.8,9.05,8.78,9.2,9.48,9.13,9.13,9.14,9.02,9.13,9.13,9.09,8.99,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.0329,0.0042,0.0157,LOW,65.4045,90.1975,-18.75,8720.0,262666.67,245850.0,79456.1,2391383.13,2235478.9,Black Marubozu,Bearish Engulfing,None,0.0011,-0.013000000000000001,-0.0098,-3676.0,-27610691.0,-109454911.0,-155271291.0,-162977607.0,-0.05,0.7917,-182.0,0.0,0.38,0.0,2019-09-16
12,214,9.41,0.0,0.0,9.5,9.41,9.5,0.0,13.74,7.8,9.3,8.79,9.6,12.87,9.98,9.47,9.32,9.12,9.66,9.54,9.37,9.17,DOWNTREND,UPTREND,SIDEWAYS,44.5864,0.0601,0.0362,NEUTRAL,-72.9971,7.1895,-90.8497,59120.0,52133.33,105250.0,562230.2,504080.67,1157736.2,Black Marubozu,Bearish Harami,None,0.0352,-0.0969,-0.0032,0.0,-10420.0,-98379.0,-136552099.0,-164046801.0,-0.05,0.7917,-188.2,0.0,0.4,0.0,2019-10-16
13,212,9.1,0.0,0.0,9.1,9.0,9.22,-4550000.0,9.98,7.65,8.8,8.23,9.23,9.65,9.1,9.12,9.12,8.99,9.11,9.12,9.08,8.97,SIDEWAYS,SIDEWAYS,SIDEWAYS,49.2364,-0.0042,0.0197,LOW,34.2777,81.0185,-25.0,549630.0,800653.33,669940.0,4983787.0,7277365.4,6084939.5,Doji,None,None,0.0011,0.0111,-0.0141,-18200000.0,-100044220.0,-145850000.0,-145860600.0,-155505466.0,-0.05,0.7917,-182.0,0.0,0.38,0.0,2019-08-28
14,212,10.42,-0.08,-0.0076,10.5,10.38,10.5,-10420.0,13.74,7.8,10.17,9.0,10.72,12.87,9.67,9.34,9.26,9.08,9.88,9.5,9.3,9.11,UPTREND,UPTREND,SIDEWAYS,60.0383,0.2775,0.0463,NEUTRAL,68.1105,29.9578,-70.0422,141790.0,97633.33,116365.0,1656298.1,1132691.2,1237838.65,Black Long Day,Bearish Harami,None,0.1463,0.1302,-0.0076,-178304.0,108636.0,-50142599.0,-155158979.0,-163837496.0,-0.05,0.7917,-208.4,0.0,0.44,0.0,2019-09-30
15,217,9.8,0.2,0.0208,9.6,9.6,9.8,0.0,13.74,8.03,9.55,9.25,10.0,10.72,9.65,9.57,9.46,9.28,9.68,9.59,9.48,9.29,UPTREND,SIDEWAYS,SIDEWAYS,55.6429,0.0617,0.0239,LOW,44.1667,38.0952,-42.8571,55940.0,43566.67,45170.0,544274.5,422284.53,434836.4,White Marubozu,None,None,0.0781,-0.02,0.0208,-11974.0,-70714.0,-80419.0,31893.0,-160179620.0,0.26,0.04,37.69,0.0,0.4,0.0,2019-12-10
16,212,9.2,0.1,0.011000000000000001,9.2,9.0,9.2,-4600000.0,9.98,7.65,8.83,8.23,9.23,9.74,9.11,9.11,9.12,9.0,9.12,9.12,9.08,8.97,SIDEWAYS,SIDEWAYS,SIDEWAYS,53.8151,-0.0021,0.0197,LOW,55.1571,79.6296,-11.1111,600130.0,634353.33,649115.0,5448314.9,5787368.13,5900702.9,Dragonfly Doji,None,None,0.0121,0.0222,-0.0033,-22800000.0,-77644220.0,-150453720.0,-150460600.0,-159651218.0,-0.05,0.7917,-184.0,0.0,0.39,0.0,2019-08-29
17,214,9.5,0.1,0.0106,9.4,9.4,9.5,0.0,13.74,7.8,9.25,8.79,9.62,10.14,9.42,9.55,9.34,9.17,9.48,9.49,9.38,9.2,SIDEWAYS,SIDEWAYS,SIDEWAYS,50.0309,-0.0655,0.0213,LOW,53.9648,80.5686,0.0,9830.0,32593.33,29960.0,92031.6,306677.73,282698.5,White Marubozu,Bullish Engulfing,None,0.0451,0.0011,0.0011,9485.0,9485.0,103.0,-82333114.0,-163007656.0,-0.05,0.7917,-190.0,0.0,0.4,0.0,2019-11-06
