,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,215,5.16,-0.01,-0.0019,4.86,4.85,5.16,46075.0,7.93,3.9,4.85,4.66,5.18,5.46,4.95,4.98,5.03,5.15,4.99,4.99,5.01,5.08,UPTREND,SIDEWAYS,SIDEWAYS,57.402,-0.0006,0.0456,NEUTRAL,83.1629,58.0421,-7.3171,19710.0,15340.0,15040.0,98402.5,76424.33,74535.95,White Long Day,None,None,-0.0532,0.0705,-0.0019,-19873.0,-49503.0,-48999.0,3412754.0,9030879.0,-0.12,0.7857,-43.0,0.0,51.6,0.0,2019-10-22
1,218,4.94,0.34,0.0739,4.94,4.94,4.94,0.0,7.93,3.9,4.6,4.46,5.09,5.47,4.93,4.94,5.07,5.09,4.86,4.93,4.97,5.05,DOWNTREND,SIDEWAYS,SIDEWAYS,51.9682,-0.0531,0.033,NEUTRAL,8.6957,0.0,-42.3729,12500.0,10473.33,11200.0,59690.0,50395.07,54745.4,White Marubozu,None,Three White Soldiers,-0.0936,-0.0482,0.0693,-36960.0,162460.0,97809.0,1005933.0,8755984.0,-0.1,0.8485,-49.4,0.0,61.75,0.0,2019-12-03
2,216,4.63,0.0,0.0,4.63,4.63,4.63,0.0,7.93,3.9,4.62,4.46,5.09,5.47,4.98,4.95,5.07,5.1,4.9,4.96,4.99,5.06,DOWNTREND,SIDEWAYS,SIDEWAYS,39.5236,-0.0256,0.0369,NEUTRAL,-135.0385,0.0,-100.0,13710.0,10413.33,14115.0,66173.0,50639.67,69524.0,White Marubozu,Bullish Harami,Three White Soldiers,-0.1505,-0.1079,-0.0211,-13910.0,189672.0,140169.0,1042893.0,8468760.0,-0.1,0.8485,-46.3,0.0,57.88,0.0,2019-11-20
3,218,5.08,0.08,0.016,5.08,5.08,5.08,0.0,7.93,3.9,4.52,4.32,5.09,5.47,4.91,4.93,5.07,5.07,4.89,4.94,4.97,5.05,DOWNTREND,SIDEWAYS,SIDEWAYS,56.1107,-0.0473,0.0402,NEUTRAL,74.214,79.3162,-1.5385,11100.0,14673.33,11960.0,52643.0,70206.67,57560.75,White Marubozu,None,Three White Soldiers,-0.0679,0.0283,0.016,0.0,162460.0,97809.0,1005933.0,6358165.0,-0.1,0.8485,-50.8,0.0,63.5,0.0,2019-12-09
4,213,5.12,0.12,0.024,5.12,5.12,5.12,0.0,7.93,3.9,4.66,4.46,5.15,5.44,5.01,5.2,4.89,5.11,5.03,5.07,5.06,5.13,DOWNTREND,DOWNTREND,UPTREND,52.3873,-0.0739,0.0605,HIGH,60.8994,79.1826,-6.8966,34370.0,31746.67,30155.0,172987.0,157620.07,149740.35,White Marubozu,None,Three White Soldiers,-0.0606,0.024,0.024,0.0,902220.0,3451373.0,8541827.0,9273209.0,-0.12,0.7857,-42.67,0.0,51.2,0.0,2019-09-06
5,213,4.79,-0.01,-0.0021,4.79,4.79,4.79,0.0,7.93,3.9,4.75,4.52,5.38,5.6,4.94,5.05,4.95,5.15,4.93,4.99,5.02,5.1,DOWNTREND,SIDEWAYS,SIDEWAYS,44.9817,-0.0392,0.0614,HIGH,-81.8331,8.3333,-92.3077,9230.0,9380.0,8375.0,45203.2,45455.6,40370.3,White Marubozu,None,None,-0.1211,-0.0062,-0.042,5400.0,5904.0,908124.0,4643757.0,9296182.0,-0.12,0.7857,-39.92,0.0,47.9,0.0,2019-10-03
6,218,4.94,0.34,0.0739,4.94,4.94,4.94,0.0,7.93,3.9,4.6,4.46,5.09,5.47,4.93,4.94,5.07,5.09,4.86,4.93,4.97,5.05,DOWNTREND,SIDEWAYS,SIDEWAYS,51.9682,-0.0531,0.033,NEUTRAL,8.6957,0.0,-42.3729,12500.0,10473.33,11200.0,59690.0,50395.07,54745.4,White Marubozu,None,Three White Soldiers,-0.0936,-0.0482,0.0693,-36960.0,162460.0,97809.0,1005933.0,8755984.0,-0.1,0.8485,-49.4,0.0,61.75,0.0,2019-12-02
7,216,4.63,0.0,0.0,4.63,4.63,4.63,0.0,7.93,3.9,4.62,4.46,5.09,5.47,4.98,4.95,5.07,5.1,4.9,4.96,4.99,5.06,DOWNTREND,SIDEWAYS,SIDEWAYS,39.5236,-0.0256,0.0369,NEUTRAL,-135.0385,0.0,-100.0,13710.0,10413.33,14115.0,66173.0,50639.67,69524.0,White Marubozu,Bullish Harami,Three White Soldiers,-0.1505,-0.1079,-0.0211,-13910.0,189672.0,140169.0,1042893.0,8468760.0,-0.1,0.8485,-46.3,0.0,57.88,0.0,2019-11-21
8,218,5.0,0.0,0.0,5.0,5.0,5.0,0.0,7.93,3.9,4.4,4.13,5.08,5.6,4.87,4.94,5.04,4.99,4.93,4.94,4.97,5.04,UPTREND,SIDEWAYS,SIDEWAYS,51.2122,-0.003,0.0679,HIGH,49.1803,44.5786,-55.1471,5220.0,9280.0,9160.0,25378.4,44401.6,43739.7,White Marubozu,Bullish Harami,Three White Soldiers,-0.0826,0.0121,0.0,-500.0,-37460.0,152212.0,103213.0,4875839.0,-0.1,0.8485,-50.0,0.0,62.5,0.0,2019-12-23
9,213,5.14,0.39,0.0821,5.1,5.1,5.14,0.0,7.93,3.9,4.73,4.46,5.16,5.46,4.92,5.14,4.91,5.14,4.98,5.03,5.04,5.11,UPTREND,DOWNTREND,UPTREND,53.1339,-0.0488,0.0604,HIGH,122.9404,76.2452,-4.5977,6180.0,23560.0,20540.0,29550.7,118723.67,102585.15,White Marubozu,None,Three White Soldiers,-0.0569,0.027999999999999997,0.0219,504.0,902724.0,902724.0,8542331.0,9298603.0,-0.12,0.7857,-42.83,0.0,51.4,0.0,2019-09-24
