,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,216,1.78,-0.07,-0.0378,1.82,1.75,1.84,141000.0,2.22,1.13,1.72,1.6,1.86,2.0,1.75,1.87,1.74,1.55,1.8,1.81,1.75,1.71,UPTREND,DOWNTREND,UPTREND,47.3969,-0.0427,0.0468,NEUTRAL,34.6629,87.6543,-29.6296,3676600.0,4134400.0,7678650.0,6599042.0,7188190.67,13748460.5,None,None,None,0.3284,0.0533,-0.0378,18192560.0,21913700.0,45497920.0,-33985860.0,-196003130.0,0.08,7.0,22.25,0.0,0.7,0.0,2019-10-22
1,219,1.33,-0.04,-0.0292,1.4,1.33,1.4,-144850.0,2.22,1.13,1.32,1.27,1.4,1.81,1.49,1.65,1.76,1.57,1.47,1.61,1.66,1.67,DOWNTREND,DOWNTREND,DOWNTREND,34.4338,-0.0974,0.0657,HIGH,-71.4314,12.7747,-88.4615,3088800.0,5888000.0,5193100.0,4201452.0,8827004.67,7944946.0,Black Marubozu,None,None,-0.0075,0.0076,0.0076,4005580.0,-99630.0,6310230.0,53011150.0,-181913830.0,0.19,4.8,7.0,0.0,0.52,0.0,2019-12-03
2,217,1.45,0.0,0.0,1.45,1.42,1.49,-406390.0,2.22,1.13,1.42,1.28,1.66,1.81,1.66,1.78,1.8,1.57,1.63,1.72,1.71,1.7,DOWNTREND,DOWNTREND,SIDEWAYS,29.0614,-0.0539,0.0624,HIGH,-161.3217,13.6364,-86.3636,7166700.0,5308733.33,4517250.0,11417237.0,8519067.33,7314057.5,Doji,None,None,0.0821,-0.1471,0.0,-3866430.0,2116220.0,22390210.0,35124880.0,-186359160.0,0.19,4.8,7.63,0.0,0.57,0.0,2019-11-20
3,219,1.38,0.03,0.0222,1.36,1.35,1.4,38070.0,2.22,1.13,1.29,1.24,1.39,1.81,1.42,1.6,1.74,1.57,1.43,1.57,1.63,1.66,DOWNTREND,DOWNTREND,DOWNTREND,41.726000000000006,-0.096,0.0594,HIGH,-38.2764,36.4198,-50.0,3384300.0,3629266.67,5544200.0,4568008.0,4965462.0,8232647.5,None,None,None,0.0299,0.0455,0.0222,905040.0,1355350.0,6922270.0,37401830.0,-180878030.0,0.19,4.8,7.26,0.0,0.54,0.0,2019-12-09
4,214,2.11,-0.01,-0.0047,2.12,2.08,2.22,1042120.0,2.22,1.13,1.88,1.66,2.17,2.24,1.87,1.81,1.55,1.47,1.9,1.77,1.65,1.65,UPTREND,SIDEWAYS,UPTREND,66.6681,0.0498,0.0556,HIGH,199.733,84.2073,-21.5686,21317100.0,23420866.67,19375600.0,42348601.0,45273759.33,37132660.0,None,None,None,0.5746,0.1105,0.1105,-7820090.0,-52010620.0,-82703520.0,-109941330.0,-232088540.0,0.08,7.0,26.38,0.0,0.83,0.0,2019-09-06
5,214,1.6,-0.12,-0.0698,1.7,1.59,1.7,-194320.0,2.22,1.13,1.42,1.32,1.84,2.18,1.97,1.88,1.67,1.52,1.88,1.86,1.75,1.7,DOWNTREND,UPTREND,UPTREND,29.7641,-0.0028,0.0665,HIGH,-169.4888,10.0188,-98.2456,11405200.0,9943000.0,10733000.0,20829801.0,18750486.67,20899386.5,Black Long Day,None,None,0.19399999999999998,-0.0533,-0.0698,-32550.0,14691230.0,10518980.0,-78780570.0,-220359700.0,0.08,7.0,20.0,0.0,0.63,0.0,2019-10-03
6,219,1.37,0.05,0.0379,1.32,1.31,1.37,282540.0,2.22,1.13,1.3,1.24,1.4,1.81,1.51,1.66,1.77,1.57,1.48,1.62,1.66,1.67,DOWNTREND,DOWNTREND,DOWNTREND,36.7602,-0.0959,0.0648,HIGH,-77.9261,15.4762,-82.1429,3650900.0,6196933.33,5265250.0,5033917.0,9367346.0,8073989.5,White Long Day,None,None,0.0224,0.0379,0.0379,7022100.0,2375780.0,13235690.0,54443750.0,-181803570.0,0.19,4.8,7.21,0.0,0.54,0.0,2019-12-02
7,217,1.4,-0.05,-0.0345,1.43,1.37,1.48,-282240.0,2.22,1.13,1.38,1.3,1.5,1.81,1.64,1.77,1.8,1.57,1.61,1.7,1.71,1.69,DOWNTREND,DOWNTREND,SIDEWAYS,26.4345,-0.0608,0.0656,HIGH,-151.4546,11.2648,-93.4783,7179900.0,5460466.67,4537250.0,11344154.0,8715370.67,7294833.5,None,None,None,0.0448,-0.1765,-0.0345,-3967050.0,1531110.0,21789880.0,34170240.0,-185810480.0,0.19,4.8,7.37,0.0,0.55,0.0,2019-11-21
8,219,1.91,0.0,0.0,1.91,1.91,1.92,-920620.0,2.22,1.13,1.9,1.27,1.92,2.09,1.57,1.63,1.75,1.59,1.69,1.66,1.67,1.67,UPTREND,DOWNTREND,DOWNTREND,71.6879,0.0458,0.0373,NEUTRAL,84.9001,98.4127,-1.5873,13921600.0,10269866.67,8792900.0,25723890.0,18470240.67,15321008.0,Gravestone Doji,None,None,0.4254,0.447,0.0,-8445210.0,-46583170.0,-44060280.0,-18565240.0,-228096400.0,0.19,4.8,10.05,0.0,0.75,0.0,2019-12-23
9,214,2.05,0.02,0.0099,2.03,2.03,2.08,209059.9997,2.22,1.13,2.02,1.72,2.11,2.18,2.03,1.88,1.64,1.51,2.02,1.89,1.74,1.7,UPTREND,UPTREND,UPTREND,55.5757,0.0735,0.0461,NEUTRAL,22.6322,44.5787,-68.0,5990100.0,14329266.67,13959600.0,12469295.0,29848450.67,28368977.5,None,None,None,0.5299,0.0789,-0.0144,3383260.0,29268830.0,-35197240.0,-69341640.0,-215480910.0,0.08,7.0,25.63,0.0,0.8,0.0,2019-09-24
10,219,1.32,-0.06,-0.0435,1.37,1.32,1.39,582990.0,2.22,1.13,1.27,1.22,1.42,1.81,1.53,1.68,1.77,1.57,1.49,1.63,1.67,1.67,DOWNTREND,DOWNTREND,DOWNTREND,31.379,-0.0939,0.0689,HIGH,-87.6795,16.6667,-91.0714,3935300.0,6147400.0,5257050.0,5458991.0,9320376.0,8088780.5,Black Long Day,None,None,-0.0149,-0.2235,-0.0638,4708690.0,2522890.0,20878010.0,55203330.0,-182088180.0,0.19,4.8,6.95,0.0,0.52,0.0,2019-11-29
11,214,2.05,-0.1,-0.0465,2.15,2.02,2.16,5263980.0,2.22,1.13,2.04,1.72,2.16,2.24,1.96,1.85,1.59,1.49,1.99,1.84,1.7,1.68,UPTREND,UPTREND,UPTREND,57.6215,0.0788,0.0533,HIGH,64.1711,79.3333,-34.0,20058900.0,17642266.67,20091350.0,41653114.0,35608835.33,39403488.0,Black Long Day,None,Evening Star,0.5299,0.0789,-0.0465,21923190.0,7098520.0,-54464810.0,-72326690.0,-217279950.0,0.08,7.0,25.63,0.0,0.8,0.0,2019-09-16
12,216,1.73,-0.02,-0.0114,1.76,1.71,1.76,545720.0,2.22,1.13,1.66,1.6,1.78,2.1,1.8,1.87,1.72,1.54,1.78,1.81,1.74,1.7,DOWNTREND,DOWNTREND,UPTREND,43.4491,-0.0584,0.0498,NEUTRAL,-34.1902,41.253,-61.1111,3575800.0,6633600.0,7114850.0,6011252.0,11537697.33,12878427.5,None,None,None,0.29100000000000004,0.0237,0.0176,1668460.0,4449800.0,41387420.0,-54443010.0,-208987740.0,0.08,7.0,21.63,0.0,0.68,0.0,2019-10-16
