,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,217,11.28,-0.2,-0.0174,11.5,11.26,11.5,-274286.0,14.9,9.8,11.16,10.28,11.51,11.92,11.34,11.86,12.9,12.75,11.4,11.9,12.35,12.57,DOWNTREND,DOWNTREND,DOWNTREND,40.7437,-0.2401,0.0189,LOW,-4.9837,40.7115,-68.1818,261490.0,297593.33,336005.0,2932735.0,3350010.27,3809967.3,Black Long Day,Bearish Engulfing,None,-0.0521,-0.0342,0.0071,-5381438.0,-15589802.0,-54497112.0,-53837796.0,-139633378.0,0.56,0.098,20.14,0.0,3.57,0.0,2019-10-22
1,220,10.6,0.1,0.0095,10.5,10.5,10.86,-331518.0,14.9,10.28,10.44,10.13,11.08,12.1,11.41,11.36,12.17,12.61,11.2,11.49,11.91,12.26,DOWNTREND,SIDEWAYS,DOWNTREND,28.4926,-0.1029,0.0235,LOW,-146.1473,11.4529,-84.9315,361550.0,351286.67,359260.0,3955203.0,3937030.27,4084145.1,Inverted Hammer,None,None,-0.1092,-0.0167,-0.0167,-6271600.0,-7863228.0,-7121584.0,-60998930.0,-113365770.0,0.59,0.1346,17.97,0.0,3.24,0.0,2019-12-03
2,218,11.7,0.22,0.0192,11.52,11.42,11.8,-10706.0,14.9,9.94,11.45,10.9,11.82,12.21,11.52,11.52,12.43,12.67,11.57,11.71,12.09,12.38,UPTREND,SIDEWAYS,DOWNTREND,55.218999999999994,0.0367,0.0178,LOW,33.1256,33.9506,-53.7037,334950.0,243766.67,235010.0,3960023.6,2874452.13,2740698.8,None,None,None,-0.0168,0.0192,0.0156,-417260.0,5014484.0,-8574016.0,-63694034.0,-103943938.0,0.59,0.1346,19.83,0.0,3.58,0.0,2019-11-20
3,220,10.3,-0.06,-0.0058,10.36,10.26,10.48,-88148.0,14.9,10.24,10.27,9.96,10.74,11.85,11.11,11.26,12.01,12.56,10.91,11.32,11.79,12.19,DOWNTREND,SIDEWAYS,DOWNTREND,26.438000000000002,-0.2176,0.0259,LOW,-110.8862,7.265,-96.1538,325300.0,256280.0,295210.0,3511478.2,2797408.4,3312944.6,None,None,None,-0.1345,-0.0445,-0.0058,-1695196.0,-8981654.0,-7338386.0,-54997548.0,-97232252.0,0.59,0.1346,17.46,0.0,3.15,0.0,2019-12-09
4,215,12.02,0.08,0.0067,11.84,11.84,12.2,-17532.0,14.9,9.8,11.49,10.34,12.69,13.47,12.5,13.42,13.38,12.57,12.54,13.05,13.12,12.96,DOWNTREND,DOWNTREND,SIDEWAYS,32.8704,-0.3846,0.0319,NEUTRAL,-119.1259,44.5614,-51.5789,190590.0,240200.0,291060.0,2295972.2,2939494.8,3606285.1,None,None,None,0.0101,-0.0291,-0.0291,-10722378.0,-9353274.0,-1015244.0,-91855538.0,-98637284.0,0.56,0.098,21.46,0.0,3.8,0.0,2019-09-06
5,215,11.28,-0.04,-0.0035,11.38,11.26,11.38,-906662.0,14.9,9.8,11.27,10.28,11.74,12.21,11.76,12.49,13.14,12.72,11.76,12.33,12.68,12.75,DOWNTREND,DOWNTREND,DOWNTREND,25.4758,-0.3042,0.0226,LOW,-149.5427,2.0703,-98.0,486750.0,641093.33,560470.0,5641842.0,7559046.8,6627755.2,Black Long Day,None,None,-0.0521,-0.0342,-0.0293,326208.0,-37522278.0,-48136004.0,-15088260.0,-125613788.0,0.56,0.098,20.14,0.0,3.57,0.0,2019-10-03
6,220,10.5,-0.28,-0.026000000000000002,10.78,10.38,10.88,-1386278.0,14.9,10.28,10.44,10.01,11.22,12.1,11.45,11.39,12.21,12.62,11.26,11.53,11.94,12.28,DOWNTREND,SIDEWAYS,DOWNTREND,23.9844,-0.07400000000000001,0.0229,LOW,-191.7187,6.9857,-92.0,357880.0,375920.0,357960.0,3917011.4,4231192.0,4071116.2,None,None,None,-0.1176,-0.026000000000000002,-0.026000000000000002,-7230654.0,-7047802.0,-7010734.0,-60537428.0,-112221878.0,0.59,0.1346,17.8,0.0,3.21,0.0,2019-12-02
7,218,11.6,-0.1,-0.0085,11.7,11.5,11.7,96280.0,14.9,9.97,11.45,11.08,11.75,12.21,11.54,11.51,12.41,12.67,11.58,11.71,12.08,12.37,UPTREND,SIDEWAYS,DOWNTREND,51.1179,0.0376,0.0179,LOW,15.9687,34.7407,-68.0,299220.0,246366.67,233420.0,3540598.8,2905238.53,2723972.4,None,None,None,-0.0252,0.0105,0.0069,155404.0,5110764.0,-8681032.0,-63571494.0,-104631542.0,0.59,0.1346,19.66,0.0,3.55,0.0,2019-11-21
8,220,10.0,0.1,0.0101,9.85,9.85,10.06,-3324389.0,14.9,9.8,9.85,9.8,10.49,11.22,10.33,11.0,11.59,12.43,10.37,10.9,11.47,11.98,DOWNTREND,DOWNTREND,DOWNTREND,37.4736,-0.3327,0.0302,NEUTRAL,-88.7841,29.0123,-81.4815,547450.0,382660.0,436375.0,5462200.5,3827534.47,4486839.35,White Long Day,None,None,-0.1597,-0.0724,0.0101,-5988888.0,-12185925.0,-19233727.0,-33348175.0,-178301019.0,0.59,0.1346,16.95,0.0,3.06,0.0,2019-12-23
9,215,11.64,-0.16,-0.0136,11.8,11.64,11.8,-1554770.0,14.9,9.8,11.57,10.9,11.92,12.69,12.04,12.93,13.26,12.69,12.07,12.61,12.86,12.84,DOWNTREND,DOWNTREND,SIDEWAYS,27.7376,-0.3184,0.0268,LOW,-120.6371,40.3647,-82.9268,776850.0,620006.67,483950.0,9286172.6,7403000.4,5786659.0,Black Marubozu,None,None,-0.0218,-0.0598,-0.0169,-8388304.0,-47463496.0,-51471514.0,-22524502.0,-125446762.0,0.56,0.098,20.79,0.0,3.68,0.0,2019-09-24
