,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,218,0.68,0.0,0.0,0.68,0.67,0.69,-58900.0,1.04,0.62,0.67,0.65,0.7,0.74,0.7,0.7,0.73,0.79,0.7,0.71,0.73,0.78,DOWNTREND,SIDEWAYS,DOWNTREND,41.4894,-0.0065,0.0306,NEUTRAL,-108.9661,20.0,-80.0,1270200.0,1273066.67,1569850.0,867863.0,874795.33,1099606.5,Doji,Tweezer Bottoms,None,-0.15,-0.0286,0.0,-72440.0,139120.0,-1925130.0,-2368940.0,-73700330.0,0.07,0.1667,9.71,0.0,1.26,0.0,2019-10-22
1,221,0.62,0.0,0.0,0.62,0.62,0.62,-267840.0,1.04,0.62,0.62,0.62,0.64,0.68,0.65,0.68,0.69,0.76,0.64,0.67,0.7,0.75,DOWNTREND,DOWNTREND,SIDEWAYS,33.277,-0.0157,0.0266,LOW,-97.9892,0.0,-100.0,1496400.0,1559733.33,1499950.0,945750.0,1000771.33,972957.0,White Marubozu,Tweezer Bottoms,None,-0.225,0.0,0.0,-724710.0,-7086780.0,-8452140.0,-10420980.0,-82080100.0,0.07,0.1667,8.86,0.0,1.13,0.0,2019-12-03
2,219,0.65,0.0,0.0,0.65,0.65,0.66,-1628100.0,1.04,0.64,0.64,0.62,0.66,0.69,0.67,0.69,0.71,0.77,0.67,0.69,0.71,0.76,DOWNTREND,DOWNTREND,SIDEWAYS,30.6302,-0.0092,0.026000000000000002,LOW,-150.289,0.0,-100.0,1693300.0,1798333.33,1570400.0,1121504.0,1196962.0,1048053.0,Gravestone Doji,None,None,-0.1875,-0.0299,0.0,-4373410.0,-6913990.0,-6175590.0,-8550180.0,-81690690.0,0.07,0.1667,9.29,0.0,1.18,0.0,2019-11-20
3,221,0.59,-0.01,-0.0167,0.59,0.59,0.6,-1893900.0,1.04,0.59,0.59,0.59,0.62,0.68,0.63,0.67,0.69,0.75,0.63,0.66,0.69,0.74,DOWNTREND,DOWNTREND,SIDEWAYS,24.3119,-0.0179,0.0292,LOW,-141.8064,8.9286,-100.0,1654100.0,1861933.33,1848300.0,1002393.0,1151496.0,1162281.0,Gravestone Doji,None,None,-0.2625,-0.0484,-0.0167,-5419030.0,-9295090.0,-13500290.0,-15109930.0,-80113400.0,0.07,0.1667,8.43,0.0,1.07,0.0,2019-12-09
4,216,0.73,0.02,0.0282,0.72,0.72,0.74,349470.0,1.04,0.62,0.68,0.66,0.74,0.78,0.69,0.72,0.74,0.8,0.7,0.72,0.75,0.8,SIDEWAYS,DOWNTREND,SIDEWAYS,60.2303,-0.0103,0.0307,NEUTRAL,287.1795,82.5,-12.5,2702100.0,2109933.33,1931800.0,1888776.0,1470714.67,1345907.0,None,None,None,-0.0875,0.0429,0.0429,25980.0,-2398940.0,544900.0,-13692080.0,-92390010.0,0.07,0.1667,10.43,0.0,1.35,0.0,2019-09-06
5,216,0.69,-0.02,-0.0282,0.7,0.69,0.71,122710.0,1.04,0.62,0.68,0.66,0.73,0.77,0.72,0.71,0.73,0.8,0.71,0.72,0.74,0.79,SIDEWAYS,SIDEWAYS,SIDEWAYS,41.1874,0.0026,0.0299,LOW,-227.1386,16.6667,-100.0,2926500.0,2396200.0,2577900.0,2129485.0,1739850.67,1870551.5,None,None,None,-0.1375,-0.0143,-0.0282,99230.0,-1728870.0,-4390240.0,-11329870.0,-77117730.0,0.07,0.1667,9.86,0.0,1.28,0.0,2019-10-03
6,221,0.62,0.0,0.0,0.63,0.62,0.63,-155620.0,1.04,0.62,0.62,0.62,0.64,0.68,0.65,0.68,0.69,0.76,0.64,0.67,0.7,0.75,DOWNTREND,DOWNTREND,SIDEWAYS,33.277,-0.0154,0.0286,LOW,-99.4152,0.0,-100.0,1481500.0,1590133.33,1545550.0,939287.0,1024403.33,1006836.0,Black Marubozu,Bearish Harami,None,-0.225,0.0,0.0,-904800.0,-6982050.0,-8197840.0,-10123750.0,-82474260.0,0.07,0.1667,8.86,0.0,1.13,0.0,2019-12-02
7,219,0.62,-0.03,-0.0462,0.64,0.62,0.66,-482950.0,1.04,0.62,0.62,0.62,0.66,0.69,0.67,0.69,0.7,0.77,0.66,0.68,0.71,0.76,DOWNTREND,DOWNTREND,SIDEWAYS,20.778000000000002,-0.0102,0.0299,LOW,-234.6072,0.0,-100.0,2217300.0,2196066.67,1879750.0,1447245.0,1446354.67,1242605.0,None,Tweezer Tops,None,-0.225,-0.0746,-0.0462,-2984600.0,-7388780.0,-6658540.0,-8985760.0,-82171640.0,0.07,0.1667,8.86,0.0,1.13,0.0,2019-11-21
8,221,0.57,0.0,0.0,0.56,0.56,0.58,-197170.0,1.04,0.56,0.56,0.56,0.58,0.64,0.59,0.64,0.67,0.73,0.59,0.63,0.67,0.72,DOWNTREND,DOWNTREND,DOWNTREND,36.3853,-0.0224,0.0382,NEUTRAL,-85.7538,0.0,-85.7143,1746400.0,2038533.33,1700250.0,1004806.0,1195175.33,1003599.5,None,None,None,-0.2875,-0.0806,0.0,-843550.0,-7695850.0,-14677900.0,-15705610.0,-77321600.0,0.07,0.1667,8.14,0.0,1.04,0.0,2019-12-23
9,216,0.74,0.01,0.0137,0.73,0.73,0.76,-14810.0,1.04,0.62,0.72,0.67,0.75,0.78,0.71,0.71,0.74,0.8,0.72,0.72,0.74,0.79,UPTREND,SIDEWAYS,SIDEWAYS,60.6259,0.0034,0.026000000000000002,LOW,129.5488,70.4762,-28.5714,2333100.0,2607466.67,2306950.0,1710278.0,1897786.67,1664599.5,Inverted Hammer,None,None,-0.075,0.0571,0.0278,-506270.0,-1882490.0,-3609750.0,-15715290.0,-79107600.0,0.07,0.1667,10.57,0.0,1.37,0.0,2019-09-24
