,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,219,5.11,-0.35,-0.0641,5.11,5.11,5.11,0.0,7.8,5.02,5.04,5.02,5.48,5.78,5.3,5.44,5.7,5.85,5.33,5.44,5.62,5.95,SIDEWAYS,SIDEWAYS,DOWNTREND,42.2389,-0.0442,0.0337,NEUTRAL,-162.819,68.75,-81.25,4390.0,3800.0,7885.0,23775.1,20585.13,41772.1,White Marubozu,None,Three White Soldiers,-0.1265,-0.0173,-0.0675,0.0,0.0,0.0,0.0,0.0,0.35,-0.4355,14.6,0.0,0.48,0.0,2019-10-22
1,222,5.59,-0.09,-0.0158,5.23,5.22,5.6,0.0,7.8,5.02,5.24,5.03,5.69,5.87,5.35,5.35,5.53,5.78,5.4,5.41,5.54,5.86,UPTREND,SIDEWAYS,SIDEWAYS,54.0995,0.0227,0.054000000000000006,HIGH,71.5915,61.7737,-20.0,3280.0,3346.67,4760.0,17574.2,17730.07,25380.35,White Long Day,None,None,-0.0444,0.0648,0.0648,0.0,0.0,0.0,0.0,0.0,0.5,11.5,11.18,0.0,0.52,0.0,2019-12-03
2,220,5.3,0.0,0.0,5.3,5.3,5.3,0.0,7.8,5.02,5.15,5.02,5.44,5.64,5.28,5.36,5.59,5.81,5.27,5.38,5.56,5.89,DOWNTREND,SIDEWAYS,DOWNTREND,50.393,-0.049,0.0371,NEUTRAL,-0.2283,28.9474,-64.4737,6230.0,4293.33,4195.0,33129.9,22843.4,22359.75,White Marubozu,Bullish Harami,None,-0.094,0.0352,0.0,0.0,0.0,0.0,0.0,0.0,0.5,11.5,10.6,0.0,0.49,0.0,2019-11-20
3,222,5.12,-0.38,-0.0691,5.54,5.12,5.54,0.0,7.8,5.02,5.1,5.02,5.6,5.78,5.35,5.34,5.51,5.76,5.39,5.4,5.53,5.84,UPTREND,SIDEWAYS,SIDEWAYS,45.3471,0.0335,0.0596,HIGH,-53.875,48.0274,-100.0,5580.0,4500.0,4365.0,29442.5,23746.73,22907.75,Black Marubozu,Bearish Engulfing,None,-0.1248,-0.0248,-0.0691,0.0,0.0,0.0,0.0,0.0,0.5,11.5,10.24,0.0,0.47,0.0,2019-12-09
4,217,5.25,-0.04,-0.0076,5.25,5.25,5.25,0.0,7.8,5.02,5.12,5.12,5.3,5.6,5.43,5.62,5.83,5.97,5.42,5.59,5.76,6.08,DOWNTREND,DOWNTREND,SIDEWAYS,33.9716,-0.0956,0.0153,LOW,-119.6264,8.046,-100.0,3810.0,6213.33,20505.0,20184.3,33399.53,112503.85,White Marubozu,None,Three White Soldiers,-0.1026,-0.0076,-0.0076,0.0,0.0,0.0,0.0,0.0,0.35,-0.4355,15.0,0.0,0.49,0.0,2019-09-06
5,217,5.45,-0.03,-0.0055,5.4,5.02,5.45,0.0,7.8,5.02,5.11,5.11,5.5,5.78,5.33,5.54,5.76,5.89,5.37,5.5,5.67,6.0,SIDEWAYS,DOWNTREND,DOWNTREND,52.476000000000006,-0.0694,0.0239,LOW,-12.6202,0.0,-10.4167,11850.0,8280.0,7830.0,62225.9,43491.4,41203.2,Hammer,None,None,-0.0684,0.0481,0.0481,0.0,0.0,0.0,0.0,0.0,0.35,-0.4355,15.57,0.0,0.51,0.0,2019-10-03
6,222,5.68,0.43,0.0819,5.23,5.23,5.69,0.0,7.8,5.02,5.22,5.02,5.69,5.87,5.35,5.34,5.53,5.78,5.38,5.4,5.54,5.86,UPTREND,SIDEWAYS,SIDEWAYS,55.9958,0.0127,0.051,HIGH,106.9683,62.6433,-16.4179,3020.0,3333.33,4295.0,16074.8,17513.47,22899.95,White Long Day,Bullish Engulfing,None,-0.0291,0.0819,0.0819,0.0,0.0,0.0,0.0,0.0,0.5,11.5,11.36,0.0,0.53,0.0,2019-12-02
7,220,5.3,0.0,0.0,5.3,5.3,5.3,0.0,7.8,5.02,5.15,5.02,5.44,5.64,5.27,5.35,5.58,5.81,5.27,5.37,5.55,5.89,DOWNTREND,SIDEWAYS,DOWNTREND,50.393,-0.0461,0.0344,NEUTRAL,4.3259,35.2398,-65.3333,2940.0,4286.67,4190.0,15164.9,22807.4,22332.3,White Marubozu,Bullish Harami,Three White Soldiers,-0.094,0.0352,0.0,0.0,0.0,0.0,0.0,0.0,0.5,11.5,10.6,0.0,0.49,0.0,2019-11-21
8,222,5.49,0.49,0.098,5.6,5.49,5.6,0.0,7.8,4.68,4.84,4.84,5.6,5.78,5.39,5.32,5.48,5.75,5.34,5.38,5.5,5.81,DOWNTREND,SIDEWAYS,SIDEWAYS,52.3577,0.0022,0.0582,HIGH,64.4659,0.0,-19.802,16770.0,13026.67,10025.0,83567.8,65587.4,50571.0,Black Marubozu,None,None,-0.0615,0.0457,0.0871,0.0,0.0,0.0,0.0,0.0,0.5,11.5,10.98,0.0,0.51,0.0,2019-12-23
9,217,5.3,0.0,0.0,5.3,5.3,5.3,0.0,7.8,5.02,5.2,5.11,5.49,5.76,5.35,5.58,5.78,5.91,5.35,5.51,5.69,6.03,DOWNTREND,DOWNTREND,SIDEWAYS,42.1644,-0.0947,0.0125,LOW,-31.7152,56.3218,0.0,10600.0,9173.33,8590.0,55473.2,48144.4,45321.15,White Marubozu,Bullish Harami,Three White Soldiers,-0.094,0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.35,-0.4355,15.14,0.0,0.49,0.0,2019-09-24
10,222,5.25,-0.42,-0.0741,5.65,5.25,5.65,0.0,7.8,5.02,5.21,5.04,5.7,5.9,5.31,5.34,5.54,5.78,5.35,5.39,5.54,5.86,UPTREND,SIDEWAYS,SIDEWAYS,47.8928,0.0025,0.0526,HIGH,34.2446,62.3188,-78.2609,2580.0,2633.33,3670.0,13609.2,13766.47,19575.85,Black Marubozu,None,None,-0.1026,0.0254,0.0096,0.0,0.0,0.0,0.0,0.0,0.5,11.5,10.5,0.0,0.49,0.0,2019-11-29
