,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,220,45.0,1.0,0.0227,44.0,43.95,45.05,-815335.0,62.65,38.95,42.95,40.6,45.02,47.0,43.63,45.21,48.94,50.36,44.0,45.54,47.56,48.86,SIDEWAYS,DOWNTREND,DOWNTREND,56.3969,-0.7227,0.0154,LOW,158.0,66.6835,-2.2222,136300.0,121846.67,134525.0,5966525.5,5326129.67,5895572.5,White Long Day,None,Three White Soldiers,0.0526,0.0321,0.0262,-33745.0,-7074925.0,-35447535.0,-167896861.5,-121769814.0,6.47,-0.1442,6.96,0.0,0.42,0.0,2019-10-22
1,223,37.6,0.9,0.0245,36.8,36.8,37.9,-20030810.0,62.65,36.0,36.35,36.35,39.42,45.42,41.63,43.02,45.67,50.04,40.7,42.91,45.17,47.21,DOWNTREND,DOWNTREND,DOWNTREND,22.9189,-1.2834,0.0261,LOW,-122.3348,0.0,-81.1765,800230.0,616266.67,469370.0,31011070.5,24206723.33,18476543.25,White Long Day,None,None,-0.1205,0.0027,0.0027,-81802650.0,-110546040.0,-116847315.0,-152518345.0,-77311984.0,5.53,0.2022,6.8,0.0,0.38,0.0,2019-12-03
2,221,41.75,-0.25,-0.006,42.6,41.55,42.6,-2642030.0,62.65,39.6,41.65,39.62,44.2,45.78,44.15,44.31,46.96,50.35,43.78,44.7,46.41,48.0,DOWNTREND,SIDEWAYS,DOWNTREND,28.2076,-0.17300000000000001,0.0185,LOW,-207.6503,0.0,-95.4023,167760.0,144993.33,127700.0,7152724.0,6247832.0,5525643.75,Black Long Day,None,Three Black Crows,-0.0234,-0.0702,-0.0347,-11196020.0,-9992615.0,-21173915.0,-66826655.0,-15882684.0,5.53,0.2022,7.55,0.0,0.43,0.0,2019-11-20
3,223,35.55,-0.25,-0.006999999999999999,35.8,35.05,36.0,-101365.0004,62.65,35.05,35.3,35.3,38.2,44.9,39.91,42.37,44.95,49.79,39.22,41.93,44.49,46.79,DOWNTREND,DOWNTREND,DOWNTREND,17.2722,-1.6984,0.027999999999999997,LOW,-122.0369,0.0,-93.3775,917130.0,725306.67,573395.0,34783849.0,27917466.0,22214151.75,None,None,None,-0.1684,-0.052000000000000005,-0.006999999999999999,-40417625.0,-127975720.0,-132829185.0,-170995345.0,-97679219.0,5.53,0.2022,6.43,0.0,0.36,0.0,2019-12-09
4,218,46.45,0.45,0.0098,46.5,46.0,46.8,-347325.0,62.65,38.95,45.78,44.42,47.3,49.9,46.68,49.74,52.15,49.84,46.9,49.05,50.43,50.52,DOWNTREND,DOWNTREND,DOWNTREND,42.6092,-1.2886,0.0236,LOW,-16.9802,45.8734,-43.1034,121970.0,292933.33,322890.0,5545820.5,13455663.67,15118948.0,None,None,None,0.0865,-0.0096,-0.0096,-2322620.0,-90942540.0,-92498055.5,80112459.5,-109780551.0,6.47,-0.1442,7.18,0.0,0.44,0.0,2019-09-06
5,218,43.35,-0.25,-0.0057,43.5,43.3,43.5,-1227585.0,62.65,38.95,43.32,41.98,44.62,47.02,45.33,46.79,50.55,50.31,44.99,46.9,48.76,49.6,DOWNTREND,DOWNTREND,DOWNTREND,27.1009,-0.8622,0.0159,LOW,-124.6049,2.2292,-98.6111,139760.0,129513.33,116000.0,6201602.5,5816484.33,5241070.25,Black Long Day,None,None,0.013999999999999999,-0.0057,-0.0236,-4335550.0,-29326495.0,-64425485.0,-11018615.0,-136731587.0,6.47,-0.1442,6.7,0.0,0.41,0.0,2019-10-03
6,223,36.7,-0.8,-0.0213,37.7,36.0,38.45,-18968830.0,62.65,36.0,36.35,36.35,39.88,45.72,42.03,43.17,45.84,50.1,41.02,43.13,45.32,47.31,DOWNTREND,SIDEWAYS,DOWNTREND,12.4632,-1.1543,0.0262,LOW,-149.9661,0.0,-92.4731,791680.0,567006.67,433490.0,31008387.0,22373661.0,17152527.0,None,None,None,-0.1415,-0.0213,-0.0213,-63593580.0,-90474140.0,-96816505.0,-134143290.0,-59490494.0,5.53,0.2022,6.64,0.0,0.38,0.0,2019-12-02
7,221,41.2,-0.55,-0.0132,41.75,41.2,41.8,-3612540.0,62.65,39.6,40.6,38.98,43.58,45.78,43.98,44.21,46.88,50.34,43.54,44.56,46.31,47.93,DOWNTREND,SIDEWAYS,DOWNTREND,25.4531,-0.2636,0.0184,LOW,-208.3496,0.0,-100.0,183720.0,151360.0,133280.0,7812373.5,6500491.67,5747566.75,Black Long Day,None,Three Black Crows,-0.0363,-0.0824,-0.0474,-14167600.0,-13047070.0,-23015955.0,-61250840.0,-16400475.5,5.53,0.2022,7.45,0.0,0.42,0.0,2019-11-21
8,223,34.1,-0.4,-0.0116,34.6,34.1,34.7,-5396290.0,62.65,34.1,34.1,34.1,36.1,39.88,36.43,40.78,43.36,49.12,36.72,39.77,42.84,45.71,DOWNTREND,DOWNTREND,DOWNTREND,27.6418,-1.8341,0.0302,NEUTRAL,-131.0734,0.0,-100.0,199790.0,330713.33,558460.0,7076783.5,11963063.67,20930316.25,Black Long Day,None,None,-0.2023,-0.0907,-0.0116,-11986495.0,-58944580.0,-149418720.0,-163733215.0,-89927409.0,5.53,0.2022,6.17,0.0,0.35,0.0,2019-12-23
9,218,44.9,-0.15,-0.0033,45.5,44.9,45.5,-2240130.0,62.65,38.95,44.85,43.3,46.08,49.8,46.13,48.14,51.22,50.23,46.2,47.9,49.5,50.01,SIDEWAYS,DOWNTREND,DOWNTREND,31.6546,-0.6749,0.0177,LOW,-136.9626,9.058,-100.0,111100.0,98473.33,102005.0,5108286.0,4534249.0,4686577.5,Black Marubozu,None,None,0.0503,-0.0426,-0.0197,-18259805.0,-23866700.0,-129000375.0,33985815.0,-124711085.0,6.47,-0.1442,6.94,0.0,0.42,0.0,2019-09-24
10,223,37.5,-0.7,-0.0183,38.3,37.5,38.35,-10832194.9996,62.65,37.5,37.5,37.5,40.58,45.78,42.47,43.35,46.0,50.16,41.48,43.39,45.5,47.42,DOWNTREND,SIDEWAYS,DOWNTREND,14.0345,-1.0055,0.0226,LOW,-150.5577,1.765,-100.0,707550.0,491820.0,378930.0,28116036.5,19626735.67,15175830.0,Black Long Day,None,None,-0.1228,-0.1648,-0.0764,-48981700.0,-72269240.0,-77378495.0,-115521785.0,-40504802.0,5.53,0.2022,6.78,0.0,0.38,0.0,2019-11-29
11,218,46.55,-0.2,-0.0043,46.8,46.55,46.8,-1588100.0,62.65,38.95,46.45,44.82,47.02,49.9,46.11,49.22,51.62,50.06,46.76,48.53,50.0,50.29,UPTREND,DOWNTREND,DOWNTREND,44.0836,-0.8611,0.0198,LOW,57.8125,64.3678,-39.6552,84100.0,96013.33,213080.0,3908283.5,4421368.0,9775292.25,Black Marubozu,Bearish Engulfing,None,0.0889,-0.0075,-0.0043,-3497915.0,-18423230.0,-125784815.0,59604685.5,-108088795.0,6.47,-0.1442,7.19,0.0,0.44,0.0,2019-09-16
12,220,43.0,0.0,0.0,43.5,42.9,43.5,90360.0,62.65,38.95,42.82,40.6,43.5,46.0,43.89,45.58,49.52,50.33,43.93,45.79,47.85,49.05,DOWNTREND,DOWNTREND,DOWNTREND,36.3287,-0.8989,0.0165,LOW,-76.6318,15.1515,-90.9091,108620.0,116653.33,126430.0,4694141.5,5071672.67,5556550.0,Black Long Day,None,None,0.0058,-0.0138,0.0035,-3696945.0,-9039410.0,-37925415.0,-50122388.0,-129150462.5,6.47,-0.1442,6.65,0.0,0.4,0.0,2019-10-16
13,218,45.2,0.2,0.0044,45.0,44.8,45.25,-9188355.0,62.65,38.95,44.82,42.62,46.0,50.2,47.63,50.31,52.93,49.62,47.48,49.93,51.05,50.82,DOWNTREND,DOWNTREND,DOWNTREND,28.7891,-1.5532,0.0236,LOW,-113.8018,0.0,-92.4528,485350.0,439400.0,432685.0,22471886.5,20649507.33,20585962.0,None,None,None,0.0573,-0.0896,0.0078,-37822725.0,-112818790.0,17211291.0,109779757.5,-103996052.5,6.47,-0.1442,6.99,0.0,0.42,0.0,2019-08-28
14,218,43.6,-0.8,-0.018000000000000002,44.4,43.6,44.4,-238525.0,62.65,38.95,42.62,40.3,45.2,47.02,45.71,47.32,50.86,50.29,45.5,47.33,49.08,49.78,DOWNTREND,DOWNTREND,DOWNTREND,28.5435,-0.7663,0.0182,LOW,-167.1702,12.380999999999998,-100.0,146650.0,128413.33,115375.0,6582687.5,5820277.0,5245485.5,Black Marubozu,Bearish Engulfing,None,0.0199,-0.0704,-0.018000000000000002,-7908575.0,-27937425.0,-104227000.0,8184091.0,-130122083.0,6.47,-0.1442,6.74,0.0,0.41,0.0,2019-09-30
15,223,35.65,0.1,0.0028,35.5,35.5,35.95,358775.0,62.65,35.05,35.3,35.3,37.9,44.8,39.47,42.21,44.76,49.73,38.88,41.68,44.31,46.67,DOWNTREND,DOWNTREND,DOWNTREND,18.4536,-1.7792,0.0268,LOW,-107.0081,0.0,-91.1111,915530.0,687293.33,577555.0,34669100.5,26262588.67,22346448.75,Inverted Hammer,None,None,-0.1661,-0.0493,-0.0042,-20028040.0,-123119685.0,-132171660.0,-169048470.0,-96451049.0,5.53,0.2022,6.45,0.0,0.36,0.0,2019-12-10
16,218,45.5,0.3,0.0066,45.65,45.05,45.7,-825960.0,62.65,38.95,44.82,42.62,45.82,50.08,47.41,50.14,52.81,49.64,47.29,49.76,50.94,50.77,DOWNTREND,DOWNTREND,DOWNTREND,31.6483,-1.5775,0.0228,LOW,-88.6241,7.8706,-86.7925,402050.0,426886.67,429300.0,18464243.0,20023515.67,20401895.0,Hanging Man,None,None,0.0643,-0.0836,0.0145,-28560785.0,-109364095.0,16011748.0,103590416.0,-105404264.5,6.47,-0.1442,7.03,0.0,0.43,0.0,2019-08-29
