,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,221,11.0,0.0,0.0,11.0,10.84,11.0,0.0,12.32,10.02,10.91,10.44,11.09,11.98,11.01,10.99,11.53,11.6,11.0,11.12,11.34,11.48,SIDEWAYS,SIDEWAYS,DOWNTREND,48.3814,-0.0175,0.0204,LOW,-14.6905,60.8696,-39.1304,25950.0,31193.33,48170.0,284377.8,342405.73,527648.4,Dragonfly Doji,None,None,0.0242,-0.0072,0.0,0.0,-166044.0,-1870532.0,-1904052.0,-449154382.0,1.7,0.7895,6.47,0.0,1.26,0.0,2019-10-22
1,224,11.0,0.0,0.0,10.96,10.94,11.0,-1427228.0,12.32,10.02,10.93,10.42,11.08,11.59,11.06,11.03,11.21,11.62,11.05,11.07,11.21,11.37,SIDEWAYS,SIDEWAYS,SIDEWAYS,44.235,0.0094,0.0146,LOW,-42.1456,67.7778,-33.3333,24140.0,21773.33,42080.0,264772.0,239284.4,462577.0,White Long Day,Bullish Harami,Three White Soldiers,0.0242,-0.0072,-0.0072,-1427228.0,-1441462.0,-1515536.0,-3386068.0,-442942132.0,1.36,0.3204,8.09,0.0,1.26,0.0,2019-12-03
2,222,11.1,0.02,0.0018,11.08,11.08,11.1,0.0,12.32,10.02,10.99,10.62,11.19,11.98,11.04,10.99,11.3,11.61,11.06,11.08,11.24,11.4,UPTREND,SIDEWAYS,SIDEWAYS,58.1506,0.0179,0.0149,LOW,107.3384,76.3889,-20.8333,60420.0,46813.33,45720.0,664902.4,514807.07,502259.4,White Marubozu,None,Three White Soldiers,0.0335,0.0091,0.0018,0.0,-53348.0,-74074.0,-1957258.0,-448783192.0,1.36,0.3204,8.16,0.0,1.27,0.0,2019-11-20
3,224,11.24,-0.04,-0.0035,10.92,10.92,11.24,0.0,12.32,10.02,10.85,10.42,11.28,11.72,11.08,11.04,11.17,11.61,11.08,11.08,11.2,11.36,SIDEWAYS,SIDEWAYS,SIDEWAYS,65.2262,0.0106,0.0188,LOW,122.0974,89.3678,-6.8966,40750.0,31233.33,29855.0,450062.8,344826.13,329802.5,White Marubozu,None,None,0.0466,0.0144,-0.0035,-1427228.0,-1441462.0,-1515536.0,-3426812.0,-277597804.0,1.36,0.3204,8.26,0.0,1.29,0.0,2019-12-09
4,219,10.98,0.0,0.0,10.98,10.82,10.98,21960.0,12.32,10.02,10.83,10.36,11.1,11.72,11.14,11.67,11.87,11.59,11.21,11.53,11.68,11.68,DOWNTREND,DOWNTREND,SIDEWAYS,37.5172,-0.2084,0.0292,LOW,-53.0839,68.1022,-34.8837,89130.0,70993.33,89435.0,981424.2,781625.6,999133.2,Dragonfly Doji,Bullish Harami,None,0.0223,-0.0196,-0.0196,21960.0,-64918.0,-34570.0,-85236736.0,-447397756.0,1.7,0.7895,6.46,0.0,1.26,0.0,2019-09-06
5,219,11.0,-0.1,-0.009000000000000001,11.0,11.0,11.0,0.0,12.32,10.02,10.89,10.42,11.1,11.94,10.9,11.23,11.66,11.59,11.0,11.21,11.44,11.54,UPTREND,DOWNTREND,SIDEWAYS,48.3814,-0.0734,0.0246,LOW,81.1834,92.8131,-17.8571,181390.0,134260.0,118560.0,1951005.0,1445628.0,1273344.1,White Marubozu,Bullish Harami,None,0.0242,-0.0072,0.0,-637088.0,-1911276.0,-1919644.0,-2911044.0,-449198464.0,1.7,0.7895,6.47,0.0,1.26,0.0,2019-10-03
6,224,11.0,-0.08,-0.0072,10.86,10.86,11.0,0.0,12.32,10.02,10.91,10.42,11.08,11.72,11.06,11.03,11.22,11.62,11.05,11.07,11.21,11.37,SIDEWAYS,SIDEWAYS,SIDEWAYS,44.235,0.0115,0.0153,LOW,-66.6667,67.2222,-33.3333,11920.0,16520.0,36820.0,131154.0,182346.53,405033.2,White Marubozu,None,None,0.0242,-0.0072,-0.0072,0.0,-14234.0,-88308.0,-1957790.0,-441539824.0,1.36,0.3204,8.09,0.0,1.26,0.0,2019-12-02
7,222,11.0,-0.1,-0.009000000000000001,10.94,10.86,11.0,-14234.0,12.32,10.02,10.93,10.42,11.1,11.97,11.04,11.0,11.29,11.61,11.05,11.08,11.24,11.39,UPTREND,SIDEWAYS,SIDEWAYS,44.1087,0.0176,0.0155,LOW,-46.0022,70.8333,-41.6667,47050.0,46606.67,44355.0,519408.6,512620.4,487373.4,Spinning Top,None,None,0.0242,0.0,-0.0072,-14234.0,-67582.0,-88308.0,-1971492.0,-448542130.0,1.36,0.3204,8.09,0.0,1.26,0.0,2019-11-21
8,224,11.8,0.3,0.0261,11.48,11.48,11.8,-1113730.0,12.32,10.02,11.25,10.85,11.98,12.5,11.26,11.12,11.12,11.6,11.34,11.21,11.25,11.37,UPTREND,SIDEWAYS,SIDEWAYS,82.5339,0.0978,0.0228,LOW,195.9894,99.1667,0.0,89550.0,82986.67,65150.0,1019992.6,937385.2,735027.7,White Marubozu,None,None,0.0987,0.065,0.0261,-1175830.0,-2731408.0,-2745642.0,-3456804.0,-278557450.0,1.36,0.3204,8.68,0.0,1.35,0.0,2019-12-23
9,219,11.0,0.0,0.0,11.0,10.7,11.0,-52900.0,12.32,10.02,10.62,10.23,11.24,11.98,10.9,11.36,11.73,11.59,10.96,11.26,11.5,11.58,DOWNTREND,DOWNTREND,SIDEWAYS,48.8459,-0.1667,0.0278,LOW,19.2459,100.0,0.0,142270.0,134433.33,122055.0,1520368.6,1438811.6,1312053.5,Dragonfly Doji,None,None,0.0242,-0.0179,0.0,-91636.0,-93760.0,-179558.0,-1219510.0,-447687658.0,1.7,0.7895,6.47,0.0,1.26,0.0,2019-09-24
