,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,222,100.4,-1.1,-0.0108,100.4,100.4,100.4,0.0,104.0,98.75,100.3,98.75,102.0,105.5,101.05,100.82,100.49,101.38,101.07,100.86,100.87,101.5,SIDEWAYS,SIDEWAYS,SIDEWAYS,46.0087,0.1183,0.0067,LOW,-77.2411,65.0,-80.0,1567.0,2909.33,2816.0,159333.5,293645.2,283861.15,White Marubozu,None,Three White Soldiers,0.004,0.004,-0.0108,0.0,0.0,-101900.0,-31910.0,2789.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-22
1,225,100.5,0.0,0.0,100.5,100.5,100.5,0.0,104.0,98.75,100.35,98.75,101.9,105.0,101.47,101.08,100.69,101.19,101.25,101.11,101.03,101.5,SIDEWAYS,SIDEWAYS,SIDEWAYS,43.4617,0.1021,0.0051,LOW,-112.6341,16.6667,-83.3333,4203.0,3304.67,3233.5,427674.2,335688.53,328557.65,White Marubozu,Bullish Harami,Three White Soldiers,0.005,0.0,0.0,0.0,0.0,0.0,-91990.0,2789.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-03
2,223,101.9,-0.1,-0.001,101.9,101.9,101.9,0.0,104.0,98.75,100.35,98.75,102.0,105.45,101.48,101.05,100.68,101.24,101.57,101.2,101.06,101.53,SIDEWAYS,SIDEWAYS,SIDEWAYS,53.5349,0.222,0.0057,LOW,54.1614,96.2963,-5.5556,4403.0,3964.0,3004.0,447780.8,403162.87,305495.15,White Marubozu,None,None,0.019,0.001,0.0,0.0,0.0,0.0,-91990.0,2789.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-20
3,225,100.0,-0.5,-0.005,100.0,100.0,100.0,0.0,104.0,98.75,99.75,98.75,101.0,104.4,101.42,101.08,100.68,101.16,101.13,101.07,101.0,101.48,SIDEWAYS,SIDEWAYS,SIDEWAYS,39.9474,0.0496,0.0051,LOW,-150.0403,11.1111,-100.0,4180.0,3273.33,3226.5,425328.6,332491.2,327850.15,White Marubozu,None,Three White Soldiers,0.0,-0.005,-0.005,0.0,0.0,0.0,-91990.0,2789.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-09
4,220,101.5,1.3,0.013000000000000001,101.5,101.5,101.5,0.0,104.0,98.75,100.0,98.75,102.0,105.5,100.82,100.57,100.46,101.58,100.97,100.71,100.82,101.58,UPTREND,SIDEWAYS,SIDEWAYS,53.8551,0.2356,0.0067,LOW,56.2092,0.0,-25.0,2460.0,3794.0,5524.0,248595.2,381772.13,554202.85,White Marubozu,None,None,0.015,0.015,0.015,0.0,-101900.0,-91990.0,-31910.0,216049.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-06
5,220,102.0,0.0,0.0,102.0,102.0,102.0,0.0,104.0,98.75,100.0,98.75,104.0,107.5,101.11,100.69,100.47,101.49,100.99,100.76,100.83,101.54,SIDEWAYS,SIDEWAYS,SIDEWAYS,56.7612,0.1308,0.0076,LOW,81.6944,0.0,0.0,3881.0,3491.33,4169.0,389620.8,351799.0,419406.25,White Marubozu,Bullish Harami,None,0.02,0.02,0.02,0.0,-101900.0,-101900.0,-31910.0,216049.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-03
6,225,100.5,0.0,0.0,100.5,100.5,100.5,0.0,104.0,98.75,100.3,98.75,102.0,105.5,101.49,101.06,100.68,101.21,101.33,101.14,101.04,101.51,SIDEWAYS,SIDEWAYS,SIDEWAYS,43.4617,0.1456,0.0055,LOW,-122.1662,25.9259,-83.3333,4653.0,3404.67,3218.0,472908.2,345725.2,327004.65,White Marubozu,Bullish Harami,Three White Soldiers,0.005,-0.0128,0.0,0.0,0.0,0.0,-91990.0,2789.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-02
7,223,101.0,-0.9,-0.0088,101.0,101.0,101.0,0.0,104.0,98.75,100.5,98.75,102.0,105.4,101.48,101.08,100.68,101.24,101.52,101.19,101.06,101.53,SIDEWAYS,SIDEWAYS,SIDEWAYS,46.7548,0.2123,0.006,LOW,-58.762,79.6296,-55.5556,4219.0,3901.33,3006.5,429312.7,396766.87,305747.65,White Marubozu,None,Three White Soldiers,0.01,-0.0079,-0.0088,0.0,0.0,0.0,-91990.0,2789.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-21
8,225,102.3,0.0,0.0,102.3,102.3,102.3,51150.0,104.0,98.75,100.0,98.75,104.0,107.9,101.5,101.23,100.73,101.16,101.4,101.19,101.07,101.5,SIDEWAYS,SIDEWAYS,SIDEWAYS,57.8085,0.0236,0.0051,LOW,88.7964,100.0,0.0,1877.0,3556.0,3044.0,189243.0,361070.13,308731.9,White Marubozu,Bullish Harami,Three White Soldiers,0.023,0.0179,0.0,51150.0,51150.0,51150.0,-50750.0,53939.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-23
9,220,100.0,0.0,0.0,101.1,100.0,101.1,0.0,104.0,98.75,99.5,98.75,101.65,104.8,100.91,100.62,100.48,101.52,100.77,100.66,100.79,101.53,SIDEWAYS,SIDEWAYS,SIDEWAYS,44.8703,0.1371,0.0075,LOW,-61.0214,0.0,-100.0,4938.0,4138.0,4339.0,497266.2,417034.33,436376.25,Black Marubozu,None,Three Black Crows,0.0,0.0,0.0,0.0,-101900.0,-91990.0,-31910.0,216049.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-24
