,Unnamed: 0,Last,Change,%Change,Open,Low,High,Previous Close,Volume,Value,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,227,1026.0,1.0,0.001,1025.0,1025.0,1029.0,1025.0,240.0,246170.0,0.0,1036.0,1021.0,1024.0,1022.0,1029.5,1036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,94.2506,0.0,0.0045,LOW,0.0,44.2113,-54.5455,3036.5,2980.33,0.0,3122064.5,3063634.67,0.0,Inverted Hammer,Tweezer Bottoms,None,0.0,-0.0019,-0.0019,-5125.0,-578445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-03
1,225,1030.0,0.0,0.0,1025.0,1025.0,1030.0,1030.0,3210.0,3299300.0,51500.0,1036.0,1021.0,1022.0,1022.0,1031.0,1036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,98.1646,0.0,0.0,LOW,0.0,0.0,0.0,5456.5,0.0,0.0,5627889.5,0.0,0.0,White Marubozu,Bullish Harami,None,0.0,0.0,0.0059,-552680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-20
2,227,1020.0,-8.0,-0.0078,1026.0,1020.0,1026.0,1028.0,2890.0,2954240.0,0.0,1036.0,1020.0,1020.0,1020.0,1028.5,1033.0,1026.75,0.0,0.0,0.0,1027.23,0.0,0.0,0.0,SIDEWAYS,NONE,NONE,90.8233,0.0,0.0044,LOW,-182.1527,42.8571,-100.0,2911.0,2346.33,2630.25,2991855.5,2411118.33,2703223.5,Black Marubozu,None,None,0.0,-0.0078,-0.0078,0.0,25775.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-09
3,227,1025.0,-3.0,-0.0029,1028.0,1025.0,1028.0,1028.0,330.0,338340.0,0.0,1036.0,1021.0,1024.0,1022.0,1029.5,1036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,94.2316,0.0,0.0045,LOW,0.0,36.7521,-66.6667,3021.5,3175.0,0.0,3106682.5,3264301.33,0.0,Black Marubozu,Tweezer Tops,None,0.0,-0.0029,-0.0029,-5125.0,-887445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-02
4,225,1025.0,-5.0,-0.0049,1030.0,1025.0,1030.0,1030.0,2020.0,2070600.0,0.0,1036.0,1021.0,1022.0,1022.0,1030.0,1036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,97.2111,0.0,0.0,LOW,0.0,0.0,0.0,3635.0,0.0,0.0,3745724.5,0.0,0.0,Black Marubozu,Bearish Engulfing,None,0.0,0.0,0.001,-552680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-21
5,227,1031.0,1.0,0.001,1028.0,1028.0,1031.0,1030.0,4530.0,4668360.0,0.0,1036.0,1014.0,1024.5,1014.0,1033.0,1033.0,1026.35,0.0,0.0,0.0,1027.45,0.0,0.0,0.0,SIDEWAYS,NONE,NONE,85.3703,0.0,0.0055,LOW,115.1272,94.1176,0.0,2067.0,1539.33,2367.25,2121360.0,1579843.33,2432295.25,White Marubozu,None,Three White Soldiers,0.0,0.0029,0.001,262650.0,2138590.0,1137535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-23
6,227,1028.0,4.0,0.0039,1026.0,1024.0,1028.0,1024.0,110.0,112700.0,0.0,1036.0,1021.0,1024.0,1022.0,1029.5,1036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,95.1056,0.0,0.0046,LOW,0.0,43.4188,-46.1538,3168.5,3265.67,0.0,3257140.5,3357998.0,0.0,None,Tweezer Bottoms,None,0.0,0.0,0.0019,-5125.0,-1001055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-29
7,227,1020.0,-8.0,-0.0078,1026.0,1020.0,1026.0,1028.0,2890.0,2954240.0,0.0,1036.0,1020.0,1020.0,1020.0,1028.5,1033.0,1026.75,0.0,0.0,0.0,1027.23,0.0,0.0,0.0,SIDEWAYS,NONE,NONE,90.8233,0.0,0.0044,LOW,-182.1527,42.8571,-100.0,2911.0,2346.33,2630.25,2991855.5,2411118.33,2703223.5,Black Marubozu,None,None,0.0,-0.0078,-0.0078,0.0,25775.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-10
8,227,1025.0,-3.0,-0.0029,1020.0,1020.0,1028.0,1028.0,285.0,291870.0,20400.0,1036.0,1020.0,1020.0,1020.0,1028.0,1031.0,1026.25,0.0,0.0,0.0,1027.09,0.0,0.0,0.0,SIDEWAYS,NONE,NONE,89.8743,0.0,0.0048,LOW,-92.2619,0.0,-50.0,836.5,2269.0,2300.0,857417.0,2331595.67,2362375.75,None,None,None,0.0,-0.0029,-0.0029,1875940.0,1870815.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-12
9,224,1031.0,-1.0,-0.001,1031.0,1030.0,1033.0,1032.0,5585.0,5759595.0,-20640.0,1036.0,1025.0,1028.0,1028.0,1036.0,1036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,99.316,0.0,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Doji,None,None,0.0,0.0,-0.0048,-4601170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-13
10,225,1024.0,-4.0,-0.0039,1027.0,1024.0,1029.0,1028.0,1355.0,1389005.0,0.0,1036.0,1021.0,1022.0,1022.0,1030.0,1036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,96.3009,0.0,0.0046,LOW,0.0,0.0,-80.0,2169.0,0.0,0.0,2227875.0,0.0,0.0,Spinning Top,None,None,0.0,0.0,-0.0019,51500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-26
11,227,1031.0,17.0,0.0168,1027.0,1027.0,1031.0,1014.0,3860.0,3976985.0,0.0,1036.0,1014.0,1014.0,1014.0,1033.0,1033.0,1025.9,0.0,0.0,0.0,1026.17,0.0,0.0,0.0,SIDEWAYS,NONE,NONE,86.137,0.0,0.0061,LOW,135.2201,0.0,0.0,1714.0,2751.33,2367.75,1757132.0,2825995.0,2431907.25,White Marubozu,None,None,0.0,0.0029,0.0059,1875940.0,1870815.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-17
12,225,1026.0,1.0,0.001,1028.0,1025.0,1028.0,1025.0,310.0,317980.0,0.0,1036.0,1021.0,1023.0,1022.0,1030.0,1036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,97.21700000000001,0.0,0.0,LOW,0.0,0.0,0.0,2473.0,0.0,0.0,2542171.5,0.0,0.0,Black Long Day,Bearish Harami,None,0.0,0.0,0.002,-501580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-22
13,224,1024.0,-6.0,-0.0058,1029.0,1021.0,1029.0,1030.0,5720.0,5859460.0,-51100.0,1036.0,1021.0,1022.5,1022.5,1033.0,1036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,98.2988,0.0,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,None,None,0.0,0.0,-0.0116,-494350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-15
