,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,224,5.4,0.0,0.0,5.4,5.4,5.4,0.0,7.38,4.62,5.3,5.08,5.42,6.91,5.34,5.25,5.12,5.38,5.35,5.27,5.25,5.36,UPTREND,SIDEWAYS,SIDEWAYS,57.0873,0.0488,0.0171,LOW,65.8867,42.7056,-61.5385,195630.0,145900.0,164070.0,1054241.5,784957.0,877799.15,White Marubozu,Bullish Harami,None,-0.069,0.0189,0.0,0.0,654231.0,1694243.0,-7336680.0,-51510064.0,0.72,0.1613,7.5,0.0,1.25,0.0,2019-10-22
1,228,5.0,0.04,0.0081,5.0,5.0,5.0,-10000000.0,7.38,4.62,4.96,4.8,5.14,5.45,5.12,5.26,5.2,5.31,5.09,5.18,5.22,5.32,DOWNTREND,SIDEWAYS,SIDEWAYS,36.2124,-0.0904,0.016,LOW,-56.8748,18.7719,-73.6842,564130.0,397980.0,329450.0,2819324.7,1992970.53,1661069.55,White Marubozu,None,None,-0.1379,0.0081,0.0081,-17560000.0,-23064534.0,-25255514.0,-23500031.0,-77118804.0,0.68,0.0625,7.35,0.0,1.12,0.0,2019-12-03
2,226,5.03,0.0,0.0,5.03,5.03,5.03,0.0,7.38,4.62,5.02,4.85,5.25,5.52,5.32,5.3,5.21,5.35,5.27,5.28,5.27,5.35,DOWNTREND,SIDEWAYS,SIDEWAYS,30.1044,-0.0179,0.0173,LOW,-181.5332,0.0,-100.0,79720.0,103106.67,98220.0,421405.5,551017.53,525778.55,White Marubozu,Tweezer Bottoms,None,-0.1328,-0.0685,-0.0419,139020.0,-2054840.0,-1643024.0,-65987.0,-54009590.0,0.68,0.0625,7.4,0.0,1.13,0.0,2019-11-20
3,228,4.98,0.01,0.002,5.18,4.98,5.18,0.0,7.38,4.62,4.97,4.82,5.09,5.28,5.04,5.24,5.2,5.29,5.05,5.16,5.2,5.31,DOWNTREND,DOWNTREND,SIDEWAYS,35.3092,-0.0881,0.0156,LOW,-3.2268,21.9298,-78.9474,771090.0,622146.67,484550.0,3855215.1,3109995.2,2426025.95,Black Marubozu,None,None,-0.1414,0.004,0.002,-27499980.0,-40609194.0,-42664034.0,-41061251.0,-94618784.0,0.68,0.0625,7.32,0.0,1.12,0.0,2019-12-09
4,222,5.24,-0.09,-0.0169,5.21,5.2,5.34,-73360.0,7.38,4.62,5.04,4.82,5.46,6.91,5.19,5.11,5.09,5.41,5.19,5.15,5.2,5.39,DOWNTREND,SIDEWAYS,SIDEWAYS,51.2355,0.0295,0.0709,HIGH,11.3907,15.457,-86.2903,1488340.0,1293480.0,977240.0,9075809.5,7999653.0,6035961.6,Inverted Hammer,Tweezer Bottoms,None,-0.0966,0.0175,0.0175,-61430.0,-9278142.0,-9082588.0,-8099088.0,-79694966.0,0.72,0.1613,7.28,0.0,1.22,0.0,2019-09-06
5,222,5.32,0.02,0.0038,5.3,5.3,5.32,0.0,7.38,4.62,5.25,5.08,5.38,6.91,5.22,5.21,5.06,5.36,5.24,5.19,5.21,5.36,UPTREND,SIDEWAYS,SIDEWAYS,54.6821,0.027000000000000003,0.0323,NEUTRAL,96.9154,57.7236,-39.0244,165440.0,124933.33,112130.0,876086.1,659494.47,590034.3,White Marubozu,None,None,-0.0828,0.0038,-0.0037,0.0,1040012.0,-8177390.0,-8117626.0,-51194188.0,0.72,0.1613,7.39,0.0,1.23,0.0,2019-10-03
6,228,4.96,0.0,0.0,4.97,4.96,4.97,0.0,7.38,4.62,4.95,4.79,5.12,5.52,5.14,5.27,5.2,5.31,5.1,5.19,5.22,5.32,DOWNTREND,SIDEWAYS,SIDEWAYS,30.6829,-0.0881,0.0168,LOW,-77.8574,14.6667,-85.0,370030.0,270606.67,232115.0,1849089.7,1357432.53,1175720.55,Black Marubozu,Bearish Harami,None,-0.1448,0.0,0.0,-7560000.0,-13064534.0,-15255514.0,-13573391.0,-67118804.0,0.68,0.0625,7.29,0.0,1.11,0.0,2019-12-02
7,226,5.0,-0.03,-0.006,5.05,5.0,5.05,-4933650.0,7.38,4.62,4.94,4.77,5.25,5.52,5.3,5.29,5.21,5.35,5.24,5.27,5.26,5.35,DOWNTREND,SIDEWAYS,SIDEWAYS,28.7504,-0.0287,0.0169,LOW,-155.9465,0.0,-100.0,171720.0,165293.33,147740.0,876756.3,859170.33,772441.15,Black Marubozu,Bearish Engulfing,None,-0.1379,-0.0741,-0.0476,-4908510.0,-6988490.0,-6576674.0,-5301737.0,-58943240.0,0.68,0.0625,7.35,0.0,1.12,0.0,2019-11-21
8,228,5.0,0.0,0.0,5.0,5.0,5.08,-4350000.0,7.38,4.62,4.98,4.82,5.04,5.28,4.99,5.18,5.2,5.24,5.02,5.1,5.16,5.28,SIDEWAYS,DOWNTREND,SIDEWAYS,40.2696,-0.0541,0.0131,LOW,70.1275,40.0,-60.0,1160080.0,1148846.67,965585.0,5800292.2,5744130.2,4827753.65,Gravestone Doji,None,None,-0.1379,0.0081,0.0,-29063846.0,-67004177.0,-80068711.0,-81605460.0,-135223111.0,0.68,0.0625,7.35,0.0,1.12,0.0,2019-12-23
9,222,5.2,-0.1,-0.0189,5.21,5.17,5.25,525.0,7.38,4.62,5.16,4.94,5.39,6.91,5.18,5.16,5.05,5.37,5.19,5.16,5.2,5.36,SIDEWAYS,SIDEWAYS,SIDEWAYS,50.6742,0.0088,0.0462,NEUTRAL,15.6532,35.769,-68.2927,84350.0,98820.0,136565.0,442745.9,519917.33,708115.75,Spinning Top,None,None,-0.1034,0.0097,0.0,985712.0,980560.0,-8163254.0,-7648220.0,-50839302.0,0.72,0.1613,7.22,0.0,1.21,0.0,2019-09-24
