,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,226,8.67,-0.02,-0.0023,8.67,8.67,8.67,0.0,9.5,7.0,8.58,7.9,8.7,9.49,8.74,8.58,8.61,8.67,8.65,8.62,8.61,8.7,DOWNTREND,SIDEWAYS,SIDEWAYS,50.1896,-0.0061,0.0606,HIGH,-13.9938,50.2348,-48.6667,2580.0,2486.67,33460.0,21627.7,21007.73,276637.75,White Marubozu,Bullish Harami,Three White Soldiers,-0.0854,-0.0023,-0.0023,869.0,869.0,-5171881.0,-5171881.0,-60135663.0,0.33,-0.7402,26.27,0.0,1.22,0.0,2019-10-22
1,229,9.1,-0.04,-0.0044,9.1,9.1,9.1,0.0,9.5,7.0,7.5,7.11,9.14,9.49,8.66,8.6,8.6,8.66,8.65,8.62,8.61,8.7,DOWNTREND,SIDEWAYS,SIDEWAYS,53.3186,-0.0239,0.0664,HIGH,68.9456,0.0,-8.5714,1370.0,1826.67,33250.0,11690.1,15385.87,274700.95,White Marubozu,Bullish Harami,Three White Soldiers,-0.0401,-0.0044,-0.0044,0.0,869.0,-5171881.0,-5171881.0,-60135663.0,1.09,8.9091,8.35,0.0,1.28,0.0,2019-12-03
2,227,9.14,1.64,0.2187,8.6,8.6,9.14,0.0,9.5,7.0,7.5,7.11,9.2,9.49,8.66,8.6,8.6,8.66,8.6,8.6,8.6,8.69,DOWNTREND,SIDEWAYS,SIDEWAYS,53.6077,-0.0302,0.0708,HIGH,48.13399999999999,0.0,-12.2995,1370.0,2500.0,33280.0,11691.1,21117.2,274970.45,White Marubozu,None,Three White Soldiers,-0.0359,0.0518,0.0542,0.0,869.0,-5171881.0,-5171881.0,-60135663.0,1.09,8.9091,8.39,0.0,1.29,0.0,2019-11-20
3,229,9.1,-0.04,-0.0044,9.1,9.1,9.1,0.0,9.5,7.0,7.5,7.11,9.14,9.49,8.66,8.6,8.6,8.66,8.65,8.62,8.61,8.7,DOWNTREND,SIDEWAYS,SIDEWAYS,53.3186,-0.0239,0.0664,HIGH,68.9456,0.0,-8.5714,1370.0,1826.67,33250.0,11690.1,15385.87,274700.95,White Marubozu,Bullish Harami,Three White Soldiers,-0.0401,-0.0044,-0.0044,0.0,869.0,-5171881.0,-5171881.0,-60135663.0,1.09,8.9091,8.35,0.0,1.28,0.0,2019-12-09
4,224,9.2,1.0,0.122,9.2,9.2,9.2,0.0,9.5,7.0,8.2,7.11,9.37,9.74,8.82,8.58,8.61,8.7,8.78,8.66,8.63,8.72,SIDEWAYS,SIDEWAYS,SIDEWAYS,53.1704,0.099,0.0696,HIGH,60.1857,0.0,-22.4806,65130.0,46426.67,35880.0,537711.8,383458.4,296736.65,White Marubozu,None,None,-0.0295,-0.0181,0.122,0.0,-5172750.0,-5172750.0,-5172750.0,-118191032.0,0.33,-0.7402,27.88,0.0,1.3,0.0,2019-09-06
5,224,8.69,-0.01,-0.0011,8.69,8.69,8.69,869.0,9.5,7.0,7.9,7.11,9.2,9.49,8.77,8.55,8.61,8.68,8.64,8.61,8.6,8.7,DOWNTREND,SIDEWAYS,SIDEWAYS,50.3559,0.0115,0.0735,HIGH,-13.3224,34.1719,-50.3145,3430.0,44160.0,35555.0,28909.0,364782.73,293942.7,White Marubozu,None,None,-0.0833,-0.0554,-0.0554,869.0,-5171881.0,-5171881.0,-5171881.0,-118190163.0,0.33,-0.7402,26.33,0.0,1.23,0.0,2019-10-03
6,229,9.1,-0.04,-0.0044,9.1,9.1,9.1,0.0,9.5,7.0,7.5,7.11,9.14,9.49,8.66,8.6,8.6,8.66,8.65,8.62,8.61,8.7,DOWNTREND,SIDEWAYS,SIDEWAYS,53.3186,-0.0239,0.0664,HIGH,68.9456,0.0,-8.5714,1370.0,1826.67,33250.0,11690.1,15385.87,274700.95,White Marubozu,Bullish Harami,Three White Soldiers,-0.0401,-0.0044,-0.0044,0.0,869.0,-5171881.0,-5171881.0,-60135663.0,1.09,8.9091,8.35,0.0,1.28,0.0,2019-12-02
7,227,9.14,1.64,0.2187,8.6,8.6,9.14,0.0,9.5,7.0,7.5,7.11,9.2,9.49,8.66,8.6,8.6,8.66,8.6,8.6,8.6,8.69,DOWNTREND,SIDEWAYS,SIDEWAYS,53.6077,-0.0302,0.0708,HIGH,48.13399999999999,0.0,-12.2995,1370.0,2500.0,33280.0,11691.1,21117.2,274970.45,White Marubozu,None,Three White Soldiers,-0.0359,0.0518,0.0542,0.0,869.0,-5171881.0,-5171881.0,-60135663.0,1.09,8.9091,8.39,0.0,1.29,0.0,2019-11-21
8,229,8.99,1.39,0.1829,8.7,8.7,8.99,0.0,9.5,7.0,7.6,7.11,9.1,9.38,8.48,8.48,8.56,8.63,8.44,8.53,8.56,8.67,DOWNTREND,SIDEWAYS,SIDEWAYS,53.3503,-0.0883,0.0709,HIGH,53.0122,35.7747,-9.1463,5150.0,4133.33,4290.0,39817.3,32494.4,34363.15,White Marubozu,None,None,-0.0517,-0.0164,0.1829,-766.0,103.0,-5172647.0,-5172647.0,-60136429.0,1.09,8.9091,8.25,0.0,1.27,0.0,2019-12-23
9,224,8.69,-0.01,-0.0011,8.69,8.69,8.69,869.0,9.5,7.0,7.9,7.11,9.2,9.49,8.77,8.55,8.61,8.68,8.64,8.61,8.6,8.7,DOWNTREND,SIDEWAYS,SIDEWAYS,50.3559,0.0115,0.0735,HIGH,-13.3224,34.1719,-50.3145,3430.0,44160.0,35555.0,28909.0,364782.73,293942.7,White Marubozu,None,None,-0.0833,-0.0554,-0.0554,869.0,-5171881.0,-5171881.0,-5171881.0,-118190163.0,0.33,-0.7402,26.33,0.0,1.23,0.0,2019-09-24
