,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,229,1025.0,-30.0,-0.0284,1025.0,1025.0,1025.0,0.0,1060.0,985.5,1024.0,1000.0,1055.0,1060.0,1044.25,1037.14,0.0,0.0,1041.97,1034.47,0.0,0.0,SIDEWAYS,SIDEWAYS,NONE,41.6676,1.8836,0.0127,LOW,-122.4208,67.0833,-68.75,2289.0,3097.33,2744.0,2391252.5,3238698.33,2874200.5,White Marubozu,None,Three White Soldiers,0.0,-0.0294,-0.0284,0.0,5089000.0,5015400.0,9442570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-22
1,232,1028.0,-2.0,-0.0019,1030.0,1028.0,1030.0,0.0,1060.0,985.5,1023.0,1000.0,1050.0,1060.0,1045.55,1045.3,0.0,0.0,1042.81,1040.7,0.0,0.0,DOWNTREND,SIDEWAYS,NONE,42.3774,-0.2536,0.0087,LOW,-180.6283,46.9136,-81.4815,2321.0,2120.67,3225.25,2424180.0,2218120.0,3380209.0,Black Marubozu,Bearish Engulfing,None,0.0,-0.0019,-0.0019,0.0,0.0,5089000.0,4963400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-03
2,230,1049.0,19.0,0.0184,1049.0,1049.0,1049.0,0.0,1060.0,985.5,1030.0,996.0,1050.0,1060.0,1048.05,1044.16,0.0,0.0,1046.65,1041.08,0.0,0.0,SIDEWAYS,SIDEWAYS,NONE,52.0748,1.8619999999999999,0.0072,LOW,15.127,0.0,-13.6364,1128.0,3371.0,3214.0,1182352.0,3538242.67,3372985.75,White Marubozu,None,Three White Soldiers,0.0,-0.0019,-0.001,0.0,0.0,5089000.0,7096110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-20
3,232,1025.0,-5.0,-0.0049,1025.0,1025.0,1025.0,0.0,1060.0,985.5,1016.0,1000.0,1030.0,1060.0,1040.25,1043.22,1032.2,0.0,1036.74,1038.28,1031.39,0.0,DOWNTREND,SIDEWAYS,SIDEWAYS,43.2203,-2.8799,0.0086,LOW,-97.2739,25.7143,-71.4286,3225.5,2257.67,2136.25,3347283.5,2342741.67,2222193.75,White Marubozu,None,None,0.0,-0.0049,-0.0049,0.0,0.0,0.0,5015400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-09
4,227,1050.0,0.0,0.0,1050.0,1003.0,1055.0,0.0,1055.0,985.5,1016.5,1000.0,1052.5,1052.5,1034.0,1018.96,0.0,0.0,1032.92,1018.96,0.0,0.0,SIDEWAYS,SIDEWAYS,NONE,71.6573,6.0212,0.0083,LOW,55.0964,0.0,-9.6154,4278.5,3643.67,3588.5,4442158.0,3781542.0,3711706.75,Doji,None,None,0.0,0.0145,0.0145,-20850.0,-72850.0,4406320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-06
5,227,1013.0,-32.0,-0.0306,1045.0,1010.0,1045.0,0.0,1060.0,985.5,1011.5,1000.0,1059.0,1060.0,1045.25,1030.86,0.0,0.0,1043.74,1031.41,0.0,0.0,UPTREND,SIDEWAYS,NONE,35.5614,6.7053,0.013000000000000001,LOW,-138.5066,57.5556,-94.0,3298.5,2918.33,2646.25,3462743.5,3055931.33,2767023.5,Black Long Day,None,None,0.0,-0.0407,-0.0425,0.0,-52750.0,-125600.0,4399065.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-03
6,232,1030.0,-19.0,-0.0181,1028.0,1028.0,1030.0,0.0,1060.0,985.5,1023.0,1000.0,1050.0,1060.0,1046.6,1045.34,0.0,0.0,1044.37,1041.22,0.0,0.0,SIDEWAYS,SIDEWAYS,NONE,43.1808,0.2325,0.0092,LOW,-237.1816,70.6258,-74.0741,2340.5,2151.0,3275.25,2444763.0,2250025.33,3432760.5,White Marubozu,None,None,0.0,-0.02,-0.019,0.0,0.0,5089000.0,4963400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-02
7,230,1049.0,19.0,0.0184,1049.0,1049.0,1049.0,0.0,1060.0,985.5,1030.0,996.0,1050.0,1060.0,1048.05,1044.16,0.0,0.0,1046.65,1041.08,0.0,0.0,SIDEWAYS,SIDEWAYS,NONE,52.0748,1.8619999999999999,0.0072,LOW,15.127,0.0,-13.6364,1128.0,3371.0,3214.0,1182352.0,3538242.67,3372985.75,White Marubozu,None,Three White Soldiers,0.0,-0.0019,-0.001,0.0,0.0,5089000.0,7096110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-21
8,232,1050.0,0.0,0.0,1048.0,1048.0,1050.0,0.0,1060.0,985.5,1027.5,1000.0,1058.0,1060.0,1036.2,1040.86,1035.39,0.0,1040.0,1039.06,1032.99,0.0,SIDEWAYS,SIDEWAYS,SIDEWAYS,54.2835,-1.265,0.0101,LOW,94.5946,81.3953,-18.6047,2564.0,2406.67,2894.75,2660964.5,2486876.0,3004124.0,White Marubozu,None,Three White Soldiers,0.0,0.0194,0.0,3090000.0,3090000.0,3090000.0,8126250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-23
9,227,1056.0,1.0,0.0009,1056.0,1056.0,1056.0,0.0,1056.0,985.5,1040.0,1009.0,1056.0,1056.0,1041.35,1026.16,0.0,0.0,1041.94,1027.07,0.0,0.0,UPTREND,SIDEWAYS,NONE,60.6822,6.7923,0.0106,LOW,130.9333,99.359,0.0,2109.0,1734.33,2812.25,2200333.5,1805437.33,2922654.0,White Marubozu,None,Three White Soldiers,0.0,0.0203,0.0019,0.0,-20850.0,2252900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-24
