,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,233,4165.6,21.01,0.0051,4140.01,4139.66,4174.92,54252703.9997,4521.41,3331.89,4127.66,3885.11,4185.98,4324.0,4087.96,4052.66,4193.57,4119.87,4105.16,4103.8,4121.37,4072.56,UPTREND,SIDEWAYS,SIDEWAYS,56.955,15.9671,0.013000000000000001,LOW,91.6851,92.4982,-6.5058,89776174.4,102239893.27,131021079.75,764714530.41,910710105.82,1002760944.59,White Long Day,None,None,0.1482,0.0157,-0.0028,433157389.0,184620448.0,-553190548.5,-7646219198.0,-6233143410.49,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-22
1,236,4152.64,20.26,0.0049,4097.35,4074.87,4152.64,190869550.0001,4521.41,3586.23,3996.16,3877.64,4223.92,4401.11,4088.52,4107.58,4132.95,4147.34,4087.35,4104.41,4117.6,4083.77,DOWNTREND,SIDEWAYS,SIDEWAYS,55.9553,-20.7939,0.0152,LOW,56.4357,81.7539,0.0,107614943.3,109332844.53,111419493.45,1363757165.98,1203282924.43,1153704366.21,White Long Day,None,Three White Soldiers,0.1446,0.027000000000000003,0.027000000000000003,447045008.0,-1855120820.0,-1341137822.0,-1992618249.5,-7688010446.49,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-03
2,234,4091.78,16.15,0.004,4071.28,4048.35,4091.78,-220764717.9999,4521.41,3433.87,4060.78,3885.11,4138.43,4275.08,4155.28,4106.58,4159.54,4144.36,4130.92,4127.74,4131.25,4087.2,DOWNTREND,SIDEWAYS,SIDEWAYS,45.409,6.4634,0.0128,LOW,-137.9078,14.1633,-80.808,107712586.7,122740775.13,183183579.7,881659143.97,1017978066.87,1006954446.46,None,None,None,0.1278,-0.0193,-0.0068,-653564397.0,-1477278026.0,494941578.0,-2359929425.5,-8526193947.49,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-20
3,236,4071.53,-28.35,-0.0069,4109.09,4071.53,4136.51,-78903033.0,4521.41,3586.23,4057.66,3885.11,4152.64,4328.95,4075.47,4106.24,4118.17,4148.8,4085.25,4100.95,4114.79,4083.66,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.0796,-15.0492,0.0156,LOW,41.3195,64.6379,-39.3661,115264345.7,109671046.07,112659329.15,1464953008.85,1353694877.08,1231421116.26,None,None,None,0.1223,0.0069,-0.0069,-46116925.0,-1551073553.0,-2632614562.0,-2370320267.5,-6800745385.49,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-09
4,231,4050.97,61.55,0.0154,4024.61,4024.61,4065.19,-141392473.0,4521.41,3331.89,3937.22,3747.97,4058.08,4196.2,4032.49,4222.58,4231.23,4040.0,4051.79,4150.42,4159.4,4071.37,DOWNTREND,DOWNTREND,SIDEWAYS,46.7806,-77.4262,0.0163,LOW,19.2979,38.5994,-32.7266,186358911.6,192169788.67,201655620.0,1915538531.75,1939601101.56,1942719874.8,None,None,None,0.1166,0.0132,0.0132,-615938017.0,-3091395185.0,-7101540516.0,-8338476848.0,-9045422081.99,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-06
5,231,3897.5,-87.12,-0.0219,3958.95,3872.72,3958.95,-611357537.9995,4521.41,3331.89,3885.11,3674.72,4114.79,4354.66,4047.25,4098.03,4200.0,4090.36,4040.75,4093.99,4123.5,4067.07,SIDEWAYS,SIDEWAYS,SIDEWAYS,36.3564,-13.7003,0.0165,LOW,-319.1629,20.2297,-90.3048,180983141.0,145157799.53,137195353.85,1716448729.61,1459681790.42,1485496164.76,Black Long Day,None,Three Black Crows,0.0743,-0.0497,-0.0421,-1115587630.0,-1858930147.5,-4190457611.5,-7821154771.5,-8703433692.49,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-03
6,236,4132.38,88.78,0.022000000000000002,4040.96,4030.22,4132.38,306574087.0,4521.41,3586.23,3946.6,3830.78,4143.47,4275.08,4094.6,4105.18,4134.86,4146.57,4080.48,4102.44,4116.89,4083.07,DOWNTREND,SIDEWAYS,SIDEWAYS,54.2227,-22.4128,0.015,LOW,9.3079,60.7494,-4.0095,109910251.3,113814893.67,124015751.15,1357786816.62,1193391155.68,1200895799.85,White Long Day,None,None,0.139,0.022000000000000002,0.022000000000000002,-439193313.0,-2105907047.0,-1594935698.0,-2242153350.5,-8987751044.49,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-02
7,234,4035.26,-56.52,-0.0138,4085.53,3984.41,4085.53,-326658831.0004,4521.41,3468.88,4009.84,3885.11,4128.94,4275.08,4148.0,4106.06,4157.15,4144.51,4121.81,4124.12,4129.35,4086.69,DOWNTREND,SIDEWAYS,SIDEWAYS,40.0297,2.319,0.013999999999999999,LOW,-176.2641,16.2463,-82.5605,113108008.6,126821739.6,145712128.7,945878532.23,1065500925.98,1026368528.52,None,None,None,0.1123,-0.0328,-0.0205,-920118406.0,-1838432949.0,209954855.0,-2434266190.5,-8929804281.49,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-21
8,236,4207.91,68.37,0.0165,4095.44,4095.44,4207.91,143973462.0003,4521.41,3586.23,4019.12,3885.11,4218.86,4401.61,4095.91,4124.17,4092.24,4154.86,4112.52,4109.14,4116.65,4087.56,UPTREND,SIDEWAYS,SIDEWAYS,58.5442,2.3333,0.0199,LOW,158.2821,62.897,-7.8424,115155935.1,113168168.6,115210140.4,1289691595.61,1308298063.06,1377322302.23,White Marubozu,None,None,0.1598,0.0406,0.0165,-427679492.0,-67309284.0,-2173216331.0,-1487728082.0,-6663626958.49,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-23
9,231,4097.93,64.96,0.0161,4026.22,4017.31,4097.93,-21208631.0001,4521.41,3331.89,3983.31,3830.78,4107.97,4324.0,4023.75,4151.52,4214.57,4076.46,4048.19,4110.92,4135.41,4068.62,UPTREND,DOWNTREND,SIDEWAYS,53.3,-30.9576,0.0148,LOW,125.6351,69.4224,0.0,105181825.8,115988981.67,128392041.3,1584800706.46,1574476200.41,1611515315.38,White Long Day,None,None,0.1295,0.025,0.0281,-581672860.0,-1231755856.0,-5858892506.0,-7450136385.0,-7840159429.99,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-24
