,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,234,58.3,0.15,0.0026,58.35,58.3,58.35,0.0,78.4,56.05,57.82,56.52,58.4,60.7,57.95,57.85,57.99,58.48,57.93,57.94,58.4,61.48,SIDEWAYS,SIDEWAYS,SIDEWAYS,53.4548,0.0097,0.0106,LOW,57.2917,63.8952,-15.3846,1992.0,1642.0,2673.5,121242.85,98852.73,158391.93,Black Marubozu,Bearish Harami,None,-0.0642,-0.0395,0.0017,-83123.0,-491929.5,-1398709.5,-6222787.5,-10298792.0,7.27,-0.3439,8.02,0.0,0.64,0.0,2019-10-22
1,237,57.5,-0.75,-0.0129,58.7,57.5,58.7,-56454.0,74.7,56.05,57.35,56.52,58.75,63.5,58.49,58.13,58.17,58.18,58.33,58.23,58.38,60.71,SIDEWAYS,SIDEWAYS,SIDEWAYS,45.5639,0.1232,0.0168,LOW,-50.8607,9.9657,-95.2381,1156.0,1613.33,2133.0,66941.75,95205.9,124422.15,Black Marubozu,Bearish Engulfing,None,-0.077,-0.0017,-0.0017,-60510.5,-76473.5,-452214.0,-2585187.5,-9876180.0,7.55,-0.3124,7.62,0.0,0.63,0.0,2019-12-03
2,235,58.95,-0.4,-0.0067,59.25,58.95,59.25,0.0,76.85,56.05,57.58,56.52,63.5,67.45,58.33,58.0,58.13,58.24,58.52,58.21,58.4,60.94,UPTREND,SIDEWAYS,SIDEWAYS,52.1647,0.2228,0.0219,LOW,78.9727,26.615,-70.5426,3012.0,2831.33,2600.5,176262.35,165540.67,151914.98,Black Marubozu,None,None,-0.0538,0.0234,-0.0717,-15963.0,-220040.5,-800510.0,-5289756.0,-10640415.5,7.55,-0.3124,7.81,0.0,0.64,0.0,2019-11-20
3,237,58.1,0.05,0.0009,58.05,58.05,58.1,0.0,74.0,56.05,57.5,56.52,58.75,63.5,58.57,58.21,58.17,58.16,58.29,58.23,58.37,60.62,DOWNTREND,SIDEWAYS,SIDEWAYS,48.8644,0.0286,0.0149,LOW,-42.7499,32.74,-56.0976,1222.0,1015.33,1501.5,70740.8,58880.3,88316.15,White Marubozu,None,Three White Soldiers,-0.0674,0.0087,0.0009,-56454.0,-60510.5,-280551.0,-1571444.5,-9876180.0,7.55,-0.3124,7.7,0.0,0.63,0.0,2019-12-09
4,232,58.0,0.05,0.0009,57.9,57.7,58.0,-763366.0,87.9,56.05,56.98,56.52,58.55,60.88,57.95,58.26,58.03,60.95,58.08,58.17,58.92,62.87,SIDEWAYS,SIDEWAYS,SIDEWAYS,47.891000000000005,-0.1067,0.0093,LOW,-26.0328,71.6981,-26.4151,36942.0,26586.67,21145.0,2137366.2,1538473.47,1223920.98,Hammer,None,None,-0.069,0.0017,0.0017,-1475645.5,-3665642.0,-4217675.0,-6487584.5,-8269570.5,7.27,-0.3439,7.98,0.0,0.64,0.0,2019-09-06
5,232,58.5,1.5,0.0263,58.0,58.0,58.5,0.0,79.9,56.05,57.0,56.52,60.7,64.68,57.77,58.14,57.98,59.39,57.93,57.98,58.56,61.99,SIDEWAYS,SIDEWAYS,SIDEWAYS,53.0794,-0.0232,0.0163,LOW,88.1378,31.746,-52.381,3401.0,3273.33,4683.0,198112.9,189986.0,271206.03,White Marubozu,Bullish Harami,None,-0.061,-0.0362,0.0,0.0,-710424.0,-5302959.0,-7129920.5,-9750442.5,7.27,-0.3439,8.05,0.0,0.64,0.0,2019-10-03
6,237,58.25,0.65,0.0113,57.6,57.5,58.25,0.0,74.7,56.05,57.55,56.52,58.75,63.5,58.51,58.14,58.17,58.19,58.42,58.26,58.4,60.75,SIDEWAYS,SIDEWAYS,SIDEWAYS,49.3072,0.1652,0.0162,LOW,-40.5405,12.2544,-82.6772,1063.0,1695.33,2109.5,61552.65,99909.67,123031.0,White Long Day,None,None,-0.065,0.0113,0.0113,-4056.5,-20019.5,-395760.0,-3292099.5,-9819726.0,7.55,-0.3124,7.72,0.0,0.63,0.0,2019-12-02
7,235,58.95,0.0,0.0,58.95,58.95,58.95,0.0,74.9,56.05,57.62,56.52,63.5,66.72,58.36,58.02,58.14,58.24,58.56,58.24,58.41,60.92,UPTREND,SIDEWAYS,SIDEWAYS,52.1647,0.2493,0.0203,LOW,60.8667,31.5245,-70.5426,2900.0,2870.67,2593.0,169907.8,167869.03,151498.35,White Marubozu,Tweezer Bottoms,None,-0.0538,0.0234,-0.0717,-15963.0,-220040.5,-800510.0,-5289756.0,-10640415.5,7.55,-0.3124,7.81,0.0,0.64,0.0,2019-11-21
8,237,57.4,0.35,0.0061,57.4,57.4,57.4,-33866.0,63.5,56.05,57.02,56.52,58.4,63.5,58.06,58.2,58.08,58.11,58.01,58.13,58.29,60.37,SIDEWAYS,SIDEWAYS,SIDEWAYS,45.6314,-0.0992,0.0153,LOW,-104.3285,14.2857,-77.1429,5583.0,4028.67,3402.5,320887.8,231770.4,195814.3,White Marubozu,None,None,-0.0787,-0.0035,0.0061,-346151.0,-403176.5,-423196.0,-1207743.0,-10228296.5,7.55,-0.3124,7.6,0.0,0.62,0.0,2019-12-23
9,232,57.4,0.4,0.006999999999999999,57.4,57.0,57.4,0.0,86.9,56.05,57.0,56.52,57.9,59.82,57.73,58.16,58.01,59.91,57.68,57.92,58.63,62.26,DOWNTREND,SIDEWAYS,SIDEWAYS,44.5101,-0.1718,0.0076,LOW,-126.6759,0.0,-60.0,2772.0,5368.0,20660.0,159448.75,309983.77,1194838.88,Dragonfly Doji,Tweezer Bottoms,None,-0.0787,-0.0086,-0.0069,-6936.0,-3199812.5,-5389809.0,-7450253.0,-9662842.5,7.27,-0.3439,7.9,0.0,0.63,0.0,2019-09-24
