,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,235,177.3,1.1,0.0062,177.5,177.0,177.5,0.0,200.0,169.0,176.2,169.0,178.9,187.0,177.96,182.36,185.37,184.87,178.29,181.24,183.47,186.46,DOWNTREND,SIDEWAYS,SIDEWAYS,43.8187,-1.6732,0.0092,LOW,-51.623999999999995,30.9821,-48.5714,744.0,613.33,1396.0,131922.3,108830.4,248954.75,Spinning Top,None,None,-0.015,-0.0128,0.004,357600.0,368670.0,129189.0,21270623.0,28975614.0,9.6,-0.0062,18.47,0.0,2.9,0.0,2019-10-22
1,238,178.8,0.8,0.0045,178.8,178.8,178.8,-3576.0,200.0,171.2,173.0,169.0,178.9,187.0,174.69,176.56,182.38,184.09,175.38,177.21,180.07,183.88,SIDEWAYS,SIDEWAYS,SIDEWAYS,61.3375,-0.7512,0.0108,LOW,340.9712,100.0,0.0,696.0,751.33,803.0,121435.1,131101.53,140229.2,White Marubozu,None,Three White Soldiers,-0.0067,0.0148,0.0148,-126028.0,-377379.0,-130597.0,-332968.0,29329461.0,9.91,0.5557,18.04,0.0,2.84,0.0,2019-12-03
2,236,174.0,-2.0,-0.0114,176.0,173.9,176.0,-19347.0,200.0,169.0,173.1,169.0,176.0,182.1,174.79,177.64,183.46,184.36,175.05,177.78,180.77,184.5,SIDEWAYS,SIDEWAYS,SIDEWAYS,44.2246,-1.274,0.0093,LOW,-33.6001,43.8441,-67.7419,870.0,837.33,989.5,151942.8,146275.73,173206.85,Black Long Day,Tweezer Tops,None,-0.0333,-0.0057,0.0052,-179939.0,-269196.0,51474.0,-589552.0,29866337.0,9.91,0.5557,17.56,0.0,2.76,0.0,2019-11-20
3,238,178.6,5.0,0.0288,174.0,174.0,178.6,0.0,200.0,172.8,173.2,169.0,178.8,185.0,174.91,176.21,181.8,183.89,175.47,176.97,179.72,183.56,SIDEWAYS,SIDEWAYS,SIDEWAYS,57.7774,-0.3722,0.0125,LOW,157.2372,48.8889,-3.3333,1204.0,1020.0,984.5,210171.2,177977.2,171851.1,White Marubozu,None,None,-0.0078,0.0136,0.0288,86304.0,-140910.0,-398317.0,-269128.0,29357337.0,9.91,0.5557,18.02,0.0,2.84,0.0,2019-12-09
4,233,185.0,-0.1,-0.0005,185.0,184.8,185.0,37000.0,200.0,169.0,184.5,174.75,187.0,194.95,187.74,189.16,186.43,184.69,187.21,187.87,187.44,189.17,DOWNTREND,SIDEWAYS,SIDEWAYS,42.937,-0.7344,0.0141,LOW,-134.8359,17.2222,-83.3333,9793.0,6884.67,10782.0,1816566.6,1277875.8,2026024.4,Dragonfly Doji,None,None,0.0278,-0.008,-0.008,7440.0,-437147.0,21635434.0,26424048.0,15259227.0,9.6,-0.0062,19.27,0.0,3.03,0.0,2019-09-06
5,233,178.9,2.4,0.0136,178.9,178.9,178.9,0.0,200.0,169.0,176.25,169.0,179.8,186.05,181.02,185.5,186.13,185.01,181.01,183.95,185.31,187.74,DOWNTREND,SIDEWAYS,SIDEWAYS,39.1518,-2.0567,0.0097,LOW,-72.9726,29.7658,-59.7222,2998.0,2600.67,6121.5,536905.9,466759.67,1121423.5,White Marubozu,None,None,-0.0061,-0.0039,-0.0006,-232098.0,-239481.0,-632951.0,24470709.0,31339128.0,9.6,-0.0062,18.64,0.0,2.93,0.0,2019-10-03
6,238,178.0,1.8,0.0102,172.9,172.9,178.0,-17700.0,200.0,171.2,173.0,169.0,178.9,185.0,174.45,176.58,182.51,184.11,175.02,177.15,180.09,183.93,SIDEWAYS,SIDEWAYS,SIDEWAYS,59.1641,-0.9207,0.0113,LOW,195.5235,67.7778,0.0,841.0,853.33,817.5,146705.6,148961.33,142743.3,White Marubozu,None,None,-0.0111,0.0102,0.0102,-162472.0,-449096.0,-127021.0,-347992.0,29333037.0,9.91,0.5557,17.96,0.0,2.83,0.0,2019-12-02
7,236,173.8,-0.2,-0.0011,173.1,173.0,174.4,-15678.0,200.0,169.0,173.05,169.0,176.0,185.0,174.67,177.42,183.29,184.33,174.93,177.62,180.63,184.39,SIDEWAYS,SIDEWAYS,SIDEWAYS,43.6178,-1.2266,0.0092,LOW,-101.8315,51.6129,-74.1935,765.0,746.67,945.0,133531.0,130383.73,165308.85,Spinning Top,None,None,-0.0344,-0.0069,0.004,-64742.0,-284874.0,9046.0,-578672.0,29442659.0,9.91,0.5557,17.54,0.0,2.76,0.0,2019-11-21
8,238,172.1,-0.9,-0.0052,173.0,172.1,173.0,36330.0,200.0,172.0,172.05,169.0,175.0,180.9,174.82,175.23,180.15,183.32,174.47,175.99,178.69,182.65,DOWNTREND,SIDEWAYS,SIDEWAYS,43.7089,-0.3577,0.0134,LOW,-121.9709,10.2941,-98.5294,2999.0,2458.67,2101.5,519304.2,426376.27,364737.7,Black Marubozu,Tweezer Tops,None,-0.0439,-0.0233,-0.0052,155602.0,207273.0,-241823.0,-166004.0,28392903.0,9.91,0.5557,17.37,0.0,2.73,0.0,2019-12-23
9,233,180.9,0.9,0.005,180.1,180.1,180.9,0.0,200.0,169.0,179.2,173.35,184.0,189.65,183.27,187.03,186.3,184.84,182.83,185.33,186.13,188.29,DOWNTREND,SIDEWAYS,SIDEWAYS,37.8813,-1.9522,0.0085,LOW,-72.77,17.284000000000002,-75.3086,2098.0,7598.0,6352.0,378258.1,1400076.4,1171913.85,White Marubozu,None,None,0.005,-0.03,0.005,0.0,43885.0,18252150.0,25108436.0,31538888.0,9.6,-0.0062,18.84,0.0,2.96,0.0,2019-09-24
10,238,176.2,3.1,0.0179,173.0,173.0,176.2,-83914.0,200.0,171.1,173.05,169.0,177.5,185.0,174.26,176.64,182.65,184.14,174.7,177.11,180.13,183.99,SIDEWAYS,SIDEWAYS,SIDEWAYS,53.7299,-1.0473,0.0101,LOW,86.9565,40.0,0.0,897.0,906.0,872.5,156361.6,158107.47,152316.0,White Marubozu,Bullish Engulfing,None,-0.0211,0.0069,0.0138,-160450.0,-431396.0,-118126.0,-356400.0,29350737.0,9.91,0.5557,17.78,0.0,2.8,0.0,2019-11-29
