,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,236,7955.24,64.11,0.0081,7884.99,7884.02,7955.24,156504210.01,8419.59,6820.22,7849.85,7529.8,7996.9,8292.05,7801.5,7855.31,7960.42,7911.93,7847.12,7872.39,7892.77,7862.12,UPTREND,SIDEWAYS,SIDEWAYS,57.8596,-12.5514,0.0097,LOW,100.208,92.7134,0.0,613167101.5,620518439.27,740846607.0,5823546864.01,6035898312.01,6315601977.44,White Long Day,None,None,0.0655,0.0226,0.0089,1831845261.98,1572450897.06,-4737380803.94,-18586116676.09,-8419684507.19,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-22
1,239,7855.18,-22.01,-0.0028,7858.96,7829.35,7888.46,-155937805.48,8419.59,7348.21,7725.68,7475.16,7882.82,8145.36,7894.61,7876.69,7935.8,7912.91,7864.46,7892.45,7902.53,7877.07,DOWNTREND,SIDEWAYS,SIDEWAYS,48.5396,-27.8741,0.011000000000000001,LOW,-25.1556,44.0936,-38.2365,1114699386.7,1032536353.2,928226915.35,7103069296.14,6481999766.29,6259604074.77,None,None,None,0.0521,0.015,0.015,-2016974097.66,-12742594645.07,-10064405859.84,-14348514885.54,-3454853569.1,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-03
2,237,7898.06,-14.08,-0.0018,7896.56,7851.85,7898.06,-655080561.97,8419.59,7171.8,7866.4,7529.8,7940.06,8216.8,7985.55,7900.68,7959.65,7924.59,7952.63,7931.9,7922.62,7884.3,SIDEWAYS,SIDEWAYS,SIDEWAYS,45.9469,26.0084,0.0092,LOW,-109.1959,11.2049,-87.3422,855284423.0,878185520.0,922693648.25,5240274215.17,5877640571.77,5875323740.46,Hammer,None,None,0.0579,-0.0099,-0.0044,-2483450964.53,-2582399278.18,3836563885.29,-7726571919.83,-328385647.6,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-20
3,239,7779.8,-21.92,-0.0028,7825.13,7779.8,7838.49,-308319341.68,8419.59,7348.21,7770.28,7529.8,7871.82,8216.8,7845.29,7870.34,7918.43,7908.93,7841.84,7878.28,7894.41,7873.93,DOWNTREND,SIDEWAYS,SIDEWAYS,43.8341,-32.3984,0.0102,LOW,-45.6334,40.6788,-62.157,941461410.6,978300054.33,909019328.5,7651543118.75,6849931087.22,6373077227.87,Black Long Day,None,None,0.042,0.0053,-0.0028,-222837524.18,-11287583297.24,-11612523152.68,-15177631793.37,1677034486.88,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-09
4,234,7933.47,35.28,0.0045,7915.62,7915.62,7969.34,-29110059.2,8419.59,6790.58,7799.64,7475.16,7951.4,8272.18,7869.22,8022.25,7948.34,7830.64,7904.81,7953.58,7936.03,7867.76,SIDEWAYS,SIDEWAYS,SIDEWAYS,50.5784,-47.8048,0.0137,LOW,117.7563,71.7973,-20.1243,2020261063.5,1696361406.2,1632649306.85,8162228436.02,8299586001.0,7934329980.58,Inverted Hammer,None,None,0.0626,-0.0058,-0.0058,-2005435254.97,-7112763539.04,-14533314323.3,-17952829092.17,-27479061133.1,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-06
5,234,7545.55,-65.13,-0.0086,7587.69,7514.05,7587.69,-1263420925.58,8419.59,6790.58,7529.8,7234.2,7863.8,8163.53,7870.16,7919.86,7943.14,7889.94,7822.85,7895.31,7910.63,7866.64,DOWNTREND,SIDEWAYS,SIDEWAYS,25.6929,-34.5482,0.0106,LOW,-273.9413,0.0,-93.4762,1347621213.9,1544052305.2,1414658225.75,7473604375.41,6686305650.59,6711552906.72,None,None,None,0.0107,-0.03,-0.035,-4986384108.58,-8083125172.85,-12933115553.3,-16833925399.99,-18531746011.53,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-03
6,239,7877.19,138.23,0.0179,7769.26,7753.76,7877.19,359267666.56,8419.59,7348.21,7707.8,7475.16,7912.14,8216.8,7912.69,7876.94,7938.03,7913.99,7865.44,7893.97,7903.49,7877.29,DOWNTREND,SIDEWAYS,SIDEWAYS,49.9537,-26.0013,0.0112,LOW,-46.4402,29.2726,-39.7146,1199058180.1,1033097837.07,936743916.3,7218732339.03,6459993442.63,6483760319.81,White Long Day,None,None,0.0551,0.0179,0.0179,-6660541926.63,-12978699183.44,-9911438455.84,-14535323131.36,-5523819687.13,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-02
7,237,7818.89,-79.17,-0.01,7882.04,7744.18,7882.04,-1003929881.71,8419.59,7202.94,7781.54,7529.8,7939.69,8216.8,7979.8,7897.7,7957.84,7923.41,7939.89,7927.47,7920.57,7883.65,DOWNTREND,SIDEWAYS,SIDEWAYS,40.5064,19.5071,0.01,LOW,-166.4777,14.4329,-84.1964,885941779.5,855090939.6,903481112.0,5300377482.79,5859571579.63,5927637272.91,None,None,None,0.0473,-0.0198,-0.0144,-2990814360.88,-4205856865.67,4700227454.52,-8172666930.59,-1028467812.91,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-21
8,239,7872.6,99.48,0.0128,7745.96,7745.26,7872.6,-1219944170.6,8419.59,7378.88,7561.68,7248.36,7884.96,8216.8,7778.99,7880.16,7872.33,7903.42,7792.01,7839.74,7870.22,7863.17,SIDEWAYS,SIDEWAYS,SIDEWAYS,53.9145,-37.2794,0.0136,LOW,86.0176,60.1151,-4.6562,934004482.1,801597589.0,937732946.35,8135581969.43,7461164174.15,7893562544.09,White Long Day,None,None,0.0545,0.0173,0.0128,-6131152661.32,-8450888511.91,-21429587695.35,-19704294893.0,-3769033352.6,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-23
9,234,7893.94,26.43,0.0034,7865.38,7850.27,7893.94,111091094.43,8419.59,6790.58,7845.32,7475.16,7923.99,8211.99,7914.91,7989.7,7955.46,7880.65,7916.34,7943.72,7934.71,7874.89,SIDEWAYS,SIDEWAYS,SIDEWAYS,47.348,-10.5208,0.0095,LOW,-45.49,38.2074,-59.2507,1804300237.6,1585362359.13,1809764132.25,6347245589.58,6514818273.94,6817852394.21,None,Bullish Engulfing,None,0.0573,-0.0107,0.0029,-2371081025.55,-3480597298.99,-12894222025.14,-18117147297.42,-14578768842.16,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-24
