,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,237,130.0,13.4,0.1149,132.0,130.0,132.0,0.0,145.2,102.0,112.65,108.6,135.0,140.0,122.78,117.43,116.78,112.54,122.5,119.28,116.67,114.94,UPTREND,UPTREND,SIDEWAYS,55.1966,2.2828,0.0752,HIGH,64.6776,35.906,-33.556999999999995,799.0,882.67,705.5,95582.6,110498.6,87940.65,Black Marubozu,Bearish Harami,None,-0.1047,0.0078,0.1197,0.0,-1340.0,6920.0,6920.0,700427.0,0.31,-0.8144,419.35,0.0,5.29,0.0,2019-10-22
1,240,112.1,1.7,0.0154,112.1,112.1,112.1,0.0,145.2,106.0,110.4,104.55,116.55,131.5,119.37,119.64,117.01,113.45,118.49,118.98,117.32,115.58,DOWNTREND,SIDEWAYS,SIDEWAYS,44.3214,-0.9171,0.0519,HIGH,-94.1883,0.0,-91.5423,124.0,224.67,442.5,14385.7,27965.87,52868.5,White Marubozu,Bullish Harami,None,-0.228,-0.0451,0.0154,0.0,0.0,-1340.0,6920.0,4427.0,0.32,-0.8095,350.31,0.0,4.36,0.0,2019-12-03
2,238,110.4,-5.9,-0.0507,116.0,110.4,116.0,0.0,145.2,104.1,110.2,104.55,116.85,135.0,120.51,119.69,117.34,113.43,119.16,119.26,117.43,115.61,DOWNTREND,SIDEWAYS,SIDEWAYS,42.8503,-0.6,0.0555,HIGH,-95.7304,0.0,-100.0,117.0,216.0,453.5,13638.1,27006.93,54513.8,Black Marubozu,None,None,-0.2397,-0.0596,-0.0507,0.0,0.0,-1340.0,6920.0,4427.0,0.32,-0.8095,345.0,0.0,4.29,0.0,2019-11-20
3,240,112.1,0.0,0.0,112.1,112.1,112.1,0.0,145.2,106.0,110.4,104.65,116.45,131.5,119.31,119.66,117.05,113.46,117.88,118.71,117.22,115.54,DOWNTREND,SIDEWAYS,SIDEWAYS,44.3214,-1.214,0.0482,NEUTRAL,-93.3137,0.0,-91.3265,128.0,228.0,441.5,14823.5,28336.47,52753.1,White Marubozu,Bullish Harami,None,-0.228,0.0,0.0,0.0,0.0,-1340.0,6920.0,4427.0,0.32,-0.8095,350.31,0.0,4.36,0.0,2019-12-09
4,235,118.0,0.0,0.0,118.0,118.0,118.0,0.0,145.2,100.2,113.0,109.5,120.95,145.2,114.65,113.41,113.43,111.5,115.01,114.14,113.37,113.08,UPTREND,SIDEWAYS,SIDEWAYS,56.1822,0.639,0.0275,LOW,111.4616,72.8291,-32.7731,556.0,551.33,453.5,62865.4,62326.0,51278.5,White Marubozu,Bullish Harami,Three White Soldiers,-0.1873,0.0172,0.0172,8260.0,8260.0,8260.0,9400.0,354956.0,0.31,-0.8144,380.65,0.0,4.8,0.0,2019-09-06
5,235,129.0,0.0,0.0,129.0,129.0,129.0,0.0,145.2,100.2,116.95,110.65,132.5,145.2,117.98,114.5,114.85,112.07,119.14,116.36,114.7,113.8,UPTREND,UPTREND,SIDEWAYS,67.4013,1.6782,0.0317,NEUTRAL,217.6871,82.0513,-26.9231,283.0,448.67,384.0,33995.7,51795.33,44274.3,White Marubozu,Tweezer Bottoms,None,-0.1116,0.1121,0.0,0.0,8260.0,8260.0,8260.0,504947.0,0.31,-0.8144,416.13,0.0,5.25,0.0,2019-10-03
6,240,112.1,1.7,0.0154,112.1,112.1,112.1,0.0,145.2,106.0,110.4,104.55,116.55,131.5,119.37,119.64,117.01,113.45,118.49,118.98,117.32,115.58,DOWNTREND,SIDEWAYS,SIDEWAYS,44.3214,-0.9171,0.0519,HIGH,-94.1883,0.0,-91.5423,124.0,224.67,442.5,14385.7,27965.87,52868.5,White Marubozu,Bullish Harami,None,-0.228,-0.0451,0.0154,0.0,0.0,-1340.0,6920.0,4427.0,0.32,-0.8095,350.31,0.0,4.36,0.0,2019-12-02
7,238,110.4,-5.9,-0.0507,116.0,110.4,116.0,0.0,145.2,104.1,110.2,104.55,116.85,135.0,120.51,119.69,117.34,113.43,119.16,119.26,117.43,115.61,DOWNTREND,SIDEWAYS,SIDEWAYS,42.8503,-0.6,0.0555,HIGH,-95.7304,0.0,-100.0,117.0,216.0,453.5,13638.1,27006.93,54513.8,Black Marubozu,None,None,-0.2397,-0.0596,-0.0507,0.0,0.0,-1340.0,6920.0,4427.0,0.32,-0.8095,345.0,0.0,4.29,0.0,2019-11-21
8,240,115.0,1.0,0.0088,115.0,115.0,115.0,0.0,145.2,108.6,112.1,108.6,116.3,130.0,116.16,119.69,116.73,113.67,115.71,117.48,116.73,115.39,DOWNTREND,DOWNTREND,SIDEWAYS,47.9791,-2.1507,0.0318,NEUTRAL,-28.3381,44.9424,-29.2308,98.0,120.67,198.5,10974.6,13778.0,24303.7,White Marubozu,None,Three White Soldiers,-0.20800000000000002,0.0259,0.0088,-1121.0,-1121.0,-1121.0,5799.0,3306.0,0.32,-0.8095,359.38,0.0,4.47,0.0,2019-12-23
9,235,119.9,5.9,0.0518,114.0,114.0,119.9,0.0,145.2,100.2,113.5,110.0,119.95,145.2,115.51,113.62,113.91,111.76,115.84,114.75,113.79,113.32,UPTREND,SIDEWAYS,SIDEWAYS,56.9778,0.8969,0.03,LOW,78.1405,61.3445,-16.8067,442.0,362.0,410.5,49621.7,40914.2,46504.2,White Marubozu,Tweezer Bottoms,None,-0.1742,0.0336,0.0161,0.0,8260.0,8260.0,8260.0,330706.0,0.31,-0.8144,386.77,0.0,4.88,0.0,2019-09-24
10,240,112.1,1.7,0.0154,112.1,112.1,112.1,0.0,145.2,106.0,110.4,104.55,116.55,131.5,119.37,119.64,117.01,113.45,118.49,118.98,117.32,115.58,DOWNTREND,SIDEWAYS,SIDEWAYS,44.3214,-0.9171,0.0519,HIGH,-94.1883,0.0,-91.5423,124.0,224.67,442.5,14385.7,27965.87,52868.5,White Marubozu,Bullish Harami,None,-0.228,-0.0451,0.0154,0.0,0.0,-1340.0,6920.0,4427.0,0.32,-0.8095,350.31,0.0,4.36,0.0,2019-11-29
11,235,115.0,-2.9,-0.0246,115.0,115.0,115.0,0.0,145.2,100.2,112.5,108.6,118.0,121.85,115.24,113.45,113.77,111.54,115.49,114.46,113.57,113.2,UPTREND,SIDEWAYS,SIDEWAYS,49.8429,0.9398,0.0282,LOW,1.8178,58.5434,-57.9832,440.0,472.0,449.0,49471.9,53256.67,50786.0,White Marubozu,None,None,-0.20800000000000002,-0.0086,-0.0254,8260.0,8260.0,8260.0,8260.0,354956.0,0.31,-0.8144,370.97,0.0,4.68,0.0,2019-09-16
12,237,113.2,-21.8,-0.1615,112.1,112.1,113.2,0.0,145.2,102.0,111.1,107.3,137.95,145.2,122.34,116.8,116.29,112.37,122.9,119.05,116.4,114.76,UPTREND,UPTREND,SIDEWAYS,44.8711,2.9569,0.0822,HIGH,-77.62899999999999,59.9553,-89.9329,611.0,578.0,459.5,81854.8,75036.0,59226.75,White Marubozu,None,Three White Soldiers,-0.2204,-0.1225,-0.1615,0.0,-1340.0,6920.0,6920.0,694837.0,0.31,-0.8144,365.16,0.0,4.61,0.0,2019-10-16
