,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,238,3.68,0.03,0.0082,3.63,3.61,3.68,418970.0,4.46,2.5,3.6,3.4,3.71,3.89,3.65,3.8,3.65,3.65,3.68,3.72,3.68,3.73,SIDEWAYS,DOWNTREND,UPTREND,48.2979,-0.0576,0.0239,LOW,4.0269,63.7821,-25.0,395900.0,490400.0,621050.0,1442015.0,1760308.0,2275283.0,White Long Day,None,None,0.1909,-0.0239,0.011000000000000001,2543760.0,1659110.0,1220620.0,-11123550.0,-127228492.0,0.09,-0.7,40.89,0.0,0.75,0.0,2019-10-22
1,241,3.2,0.02,0.0063,3.17,3.17,3.38,-195080.0,4.46,2.5,3.18,2.89,3.46,3.59,3.34,3.51,3.67,3.57,3.35,3.48,3.55,3.65,DOWNTREND,DOWNTREND,DOWNTREND,33.747,-0.0772,0.028999999999999998,LOW,-105.8803,13.9216,-91.1765,271700.0,321066.67,331200.0,909643.0,1078431.33,1117755.0,Inverted Hammer,Tweezer Bottoms,None,0.0356,-0.0303,-0.0303,-670050.0,-247310.0,1675650.0,2398600.0,-111065730.0,0.1,-0.5455,32.0,0.0,0.66,0.0,2019-12-03
2,239,3.3,0.02,0.0061,3.28,3.26,3.3,65600.0,4.46,2.5,3.27,3.02,3.44,3.68,3.46,3.64,3.69,3.61,3.44,3.56,3.6,3.68,DOWNTREND,DOWNTREND,SIDEWAYS,30.3432,-0.0791,0.0189,LOW,-134.7253,0.0,-86.2069,392400.0,316933.33,316100.0,1329038.0,1078791.33,1092176.5,None,Bullish Engulfing,None,0.068,-0.0652,-0.0208,463000.0,335940.0,3689790.0,-6439640.0,-112523795.0,0.1,-0.5455,33.0,0.0,0.68,0.0,2019-11-20
3,241,3.06,-0.04,-0.0129,3.1,3.04,3.1,-113190.0,4.46,2.59,3.05,2.89,3.29,3.48,3.28,3.46,3.65,3.55,3.27,3.43,3.52,3.63,DOWNTREND,DOWNTREND,DOWNTREND,26.4873,-0.0879,0.028999999999999998,LOW,-194.22799999999998,3.113,-95.7447,334600.0,259200.0,340200.0,1096303.0,850932.0,1131346.5,Black Long Day,None,None,-0.0097,-0.0727,-0.0129,-559570.0,-1009200.0,-406510.0,1394230.0,-110611330.0,0.1,-0.5455,30.6,0.0,0.63,0.0,2019-12-09
4,236,3.96,-0.1,-0.0246,4.03,3.93,4.05,-87150.0,4.46,2.5,3.9,3.68,4.14,4.34,3.89,3.73,3.43,3.49,3.87,3.73,3.62,3.73,SIDEWAYS,UPTREND,UPTREND,55.8235,0.0645,0.0397,NEUTRAL,42.1525,67.9245,-45.283,2040500.0,1985133.33,2097050.0,8060795.0,7754312.67,8269571.0,None,None,None,0.2816,0.0366,0.0366,-8326020.0,-7916140.0,-12254610.0,-21610180.0,-160690834.0,0.09,-0.7,44.0,0.0,0.81,0.0,2019-09-06
5,236,3.52,-0.03,-0.0085,3.55,3.51,3.6,0.0,4.46,2.5,3.41,3.07,3.84,4.1,3.86,3.83,3.56,3.59,3.8,3.78,3.69,3.75,DOWNTREND,SIDEWAYS,UPTREND,30.0779,-0.0147,0.0311,NEUTRAL,-194.02700000000002,0.0,-98.4127,817300.0,642333.33,760800.0,3069375.0,2437342.0,2938896.0,None,None,None,0.1392,-0.0663,-0.0688,95140.0,-1132830.0,-9583780.0,-13516320.0,-158273291.0,0.09,-0.7,39.11,0.0,0.72,0.0,2019-10-03
6,241,3.18,-0.12,-0.0364,3.38,3.17,3.39,-311760.0,4.46,2.5,3.14,2.89,3.46,3.62,3.36,3.53,3.67,3.58,3.37,3.49,3.56,3.66,DOWNTREND,DOWNTREND,DOWNTREND,31.5628,-0.0763,0.0264,LOW,-121.4168,18.7582,-97.0588,256700.0,365533.33,335750.0,862305.0,1232400.0,1136333.0,Black Long Day,Bearish Engulfing,None,0.0291,-0.0364,-0.0364,-508670.0,53070.0,3272720.0,2609200.0,-112647942.0,0.1,-0.5455,31.8,0.0,0.65,0.0,2019-12-02
7,239,3.25,-0.05,-0.0152,3.28,3.21,3.28,0.0,4.46,2.5,3.23,3.04,3.41,3.68,3.45,3.62,3.69,3.6,3.43,3.55,3.6,3.68,DOWNTREND,DOWNTREND,SIDEWAYS,27.412,-0.0822,0.0198,LOW,-148.8315,0.0,-88.2353,372400.0,313000.0,307750.0,1259061.0,1063583.33,1060779.0,None,None,None,0.0518,-0.0793,-0.0356,463000.0,335940.0,3685250.0,-6499610.0,-112037271.0,0.1,-0.5455,32.5,0.0,0.67,0.0,2019-11-21
8,241,2.7,0.05,0.0189,2.69,2.69,2.75,2710.0,4.46,2.65,2.65,2.5,2.92,3.46,3.02,3.3,3.57,3.48,2.97,3.22,3.39,3.55,DOWNTREND,DOWNTREND,DOWNTREND,21.8448,-0.1559,0.0397,NEUTRAL,-112.8422,0.0,-92.3077,491800.0,415933.33,413200.0,1391611.0,1203802.67,1243957.0,Inverted Hammer,Bullish Harami,None,-0.1262,-0.1818,0.0189,-3767240.0,-4758750.0,-4705680.0,-1647880.0,-114821430.0,0.1,-0.5455,27.0,0.0,0.55,0.0,2019-12-23
9,236,3.83,0.02,0.0052,3.82,3.81,3.85,0.0,4.46,2.5,3.81,3.68,4.01,4.14,3.94,3.83,3.52,3.56,3.92,3.81,3.69,3.75,UPTREND,SIDEWAYS,UPTREND,45.8459,0.049,0.0318,NEUTRAL,-93.5928,0.0,-94.2857,561900.0,739133.33,1255700.0,2236380.0,2942484.67,4989953.0,Spinning Top,Tweezer Bottoms,None,0.2395,0.0026,-0.0179,-821160.0,-747800.0,-9275120.0,-14118960.0,-165301068.0,0.09,-0.7,42.56,0.0,0.78,0.0,2019-09-24
