,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,239,12.2,0.1,0.0083,12.1,12.1,12.38,-220596.0,19.7,6.54,12.05,11.27,12.5,13.04,11.96,12.07,10.26,11.25,12.07,11.64,11.16,11.33,UPTREND,SIDEWAYS,UPTREND,53.5437,0.1321,0.0402,NEUTRAL,52.1794,60.7143,-40.4762,750120.0,709186.67,736120.0,9265645.6,8610981.6,8848700.9,Inverted Hammer,Bullish Harami,None,-0.1974,0.0287,-0.0129,-862214.0,5490854.0,282522.0,29600872.0,116431467.0,-0.03,0.0,-406.67,0.0,8.91,0.0,2019-10-22
1,242,10.38,-0.14,-0.0133,10.52,10.3,10.52,-47250.0,16.46,6.54,10.34,8.27,10.94,12.54,11.59,11.96,11.46,10.79,11.37,11.68,11.46,11.47,DOWNTREND,DOWNTREND,UPTREND,30.1853,-0.3237,0.0394,NEUTRAL,-133.0179,0.0,-96.2963,478090.0,508926.67,618510.0,5263006.4,5865506.67,7258306.1,None,Bearish Engulfing,None,-0.3171,-0.0095,-0.0095,-1457316.0,-4347364.0,-18194284.0,-18091916.0,92568173.0,-0.03,0.25,-346.0,0.0,7.52,0.0,2019-12-03
2,240,11.92,-0.18,-0.0149,12.1,11.92,12.3,837800.0,19.66,6.54,11.72,11.3,12.38,13.65,12.46,12.24,11.17,10.95,12.28,12.06,11.58,11.53,DOWNTREND,SIDEWAYS,UPTREND,44.0827,0.0345,0.0375,NEUTRAL,-88.2757,21.7277,-82.5397,656050.0,1020706.67,1478000.0,7991453.4,12745238.4,18902855.1,None,None,None,-0.2158,-0.0688,-0.023,1422636.0,-7486360.0,-9329684.0,2239684.0,101054525.0,-0.03,0.25,-397.33,0.0,8.64,0.0,2019-11-20
3,242,9.1,-0.15,-0.0162,9.25,9.1,9.26,-641451.0,16.46,6.54,9.03,8.23,10.45,12.54,11.03,11.77,11.52,10.7,10.7,11.34,11.3,11.39,DOWNTREND,DOWNTREND,SIDEWAYS,23.6245,-0.5306,0.049,NEUTRAL,-144.2698,3.2355,-97.561,674000.0,580840.0,595990.0,6821714.3,6097066.2,6554474.05,Black Long Day,Bearish Engulfing,None,-0.4013,-0.1317,-0.0162,-1435048.0,-3250082.0,-16950478.0,-11383356.0,90720697.0,-0.03,0.25,-303.33,0.0,6.59,0.0,2019-12-09
4,237,10.46,-0.3,-0.0279,10.8,10.4,10.8,270024.0,19.7,6.54,10.26,9.44,11.89,13.76,12.1,9.97,8.98,11.88,11.46,10.58,10.38,11.07,DOWNTREND,UPTREND,UPTREND,43.0575,0.6234,0.0753,HIGH,-121.1416,11.828,-93.0108,4119790.0,3947113.33,4085700.0,50093249.0,48942687.73,50169888.0,Black Long Day,Bearish Engulfing,None,-0.3118,-0.0983,-0.0983,1425190.0,19352978.0,31396779.0,39099685.0,196276529.0,-0.03,0.0,-348.67,0.0,7.64,0.0,2019-09-06
5,237,11.4,-0.1,-0.0087,11.78,11.4,11.78,-8106.0,19.7,6.54,11.33,10.37,12.08,13.04,11.86,11.49,9.73,11.46,11.79,11.29,10.87,11.22,DOWNTREND,UPTREND,UPTREND,45.8811,0.1492,0.0503,HIGH,-44.7342,8.3315,-92.2222,773380.0,1023920.0,1810545.0,9122910.4,12536131.47,22125796.4,Black Marubozu,None,None,-0.25,-0.0388,-0.0388,-934372.0,3768354.0,17235276.0,31406958.0,123629247.0,-0.03,0.0,-380.0,0.0,8.32,0.0,2019-10-03
6,242,10.52,0.04,0.0038,10.48,10.48,10.68,-128496.0,16.46,6.54,10.48,9.44,11.06,12.6,11.69,12.0,11.44,10.81,11.48,11.73,11.48,11.48,DOWNTREND,SIDEWAYS,UPTREND,31.5838,-0.2831,0.0402,NEUTRAL,-135.7515,0.0,-98.1818,474010.0,529820.0,687585.0,5294622.2,6171980.67,8166445.1,Inverted Hammer,Tweezer Bottoms,None,-0.3079,0.0038,0.0038,-2089166.0,-6474024.0,-19250372.0,-17998070.0,92478923.0,-0.03,0.25,-350.67,0.0,7.62,0.0,2019-12-02
7,240,11.42,-0.5,-0.0419,11.9,11.42,11.9,108830.0,18.3,6.54,11.3,10.37,12.36,13.65,12.42,12.23,11.21,10.94,12.2,12.03,11.58,11.53,DOWNTREND,SIDEWAYS,UPTREND,37.6857,0.0072,0.0394,NEUTRAL,-162.1486,12.4868,-100.0,672990.0,828213.33,1507430.0,8158055.8,10184059.2,19240494.4,Black Marubozu,None,None,-0.2487,-0.1078,-0.0639,1177730.0,-6093136.0,-9316994.0,90054.0,101656955.0,-0.03,0.25,-380.67,0.0,8.28,0.0,2019-11-21
8,242,8.4,0.26,0.0319,8.13,8.13,8.64,156503.0,16.46,6.54,8.14,7.64,8.84,11.06,9.38,11.14,11.51,10.4,9.36,10.44,10.82,11.13,DOWNTREND,DOWNTREND,SIDEWAYS,24.9727,-0.8073,0.0451,NEUTRAL,-87.6509,0.0,-88.6076,524350.0,614400.0,599175.0,4571570.1,5615031.47,5696642.2,None,Bullish Engulfing,None,-0.4474,-0.1985,0.0319,566803.0,-663239.0,-7137263.0,-11471829.0,91257828.0,-0.03,0.25,-280.0,0.0,6.09,0.0,2019-12-23
9,237,11.96,-0.22,-0.0181,12.1,11.96,12.2,-524762.0,19.7,6.54,11.63,10.26,12.65,13.71,11.86,11.05,9.49,11.57,11.98,11.18,10.76,11.19,UPTREND,UPTREND,UPTREND,51.981,0.337,0.0528,HIGH,10.306,60.7327,-46.1039,2821920.0,2371333.33,3053690.0,35208360.2,28731042.27,36837082.1,None,None,None,-0.2132,0.031,-0.0276,145788.0,-3744096.0,25583936.0,28719826.0,233018519.0,-0.03,0.0,-398.67,0.0,8.73,0.0,2019-09-24
10,242,10.48,-0.2,-0.0187,10.6,10.48,10.8,2100.0,16.46,6.54,10.37,8.95,11.46,12.9,11.8,12.03,11.41,10.83,11.58,11.78,11.5,11.49,DOWNTREND,SIDEWAYS,UPTREND,30.7324,-0.2394,0.042,NEUTRAL,-156.2731,0.0,-100.0,450640.0,609333.33,691765.0,5100932.6,7165019.33,8281766.2,Shooting Star,None,None,-0.3105,-0.1812,-0.0919,-2629248.0,-8834694.0,-19391238.0,-17599550.0,88965673.0,-0.03,0.25,-349.33,0.0,7.59,0.0,2019-11-29
11,237,12.7,0.26,0.0209,13.0,12.56,13.06,634606.0,19.7,6.54,10.76,10.26,13.04,13.76,12.09,10.49,9.24,11.69,11.71,10.87,10.56,11.12,DOWNTREND,UPTREND,UPTREND,60.9071,0.3236,0.0641,HIGH,43.2811,61.2903,-32.7957,3660340.0,4148166.67,3835225.0,43324559.8,50562008.93,47393074.2,None,None,None,-0.1645,0.0948,0.0209,-7461752.0,9763118.0,24511182.0,31700597.0,245172305.0,-0.03,0.0,-423.33,0.0,9.27,0.0,2019-09-16
12,239,12.3,0.0,0.0,12.3,12.3,12.64,751652.0,19.7,6.54,12.1,11.27,12.66,13.04,11.96,12.0,10.09,11.3,12.01,11.54,11.08,11.29,UPTREND,SIDEWAYS,UPTREND,56.1427,0.1144,0.0429,NEUTRAL,92.1792,65.4762,-34.5238,763280.0,723633.33,782780.0,9285649.8,8700367.73,9413064.6,Gravestone Doji,None,None,-0.1908,0.0371,0.0,7465566.0,6419316.0,3360574.0,34417488.0,120844389.0,-0.03,0.0,-410.0,0.0,8.98,0.0,2019-10-16
13,237,13.5,0.0,0.0,13.48,12.98,13.6,2258460.0,19.7,6.54,12.6,8.81,13.71,14.27,11.79,9.5,8.92,12.12,11.89,10.41,10.27,11.06,UPTREND,UPTREND,UPTREND,71.6272,1.1113,0.0538,HIGH,90.3364,84.2336,-9.6386,4281320.0,4799000.0,5450805.0,55261552.4,58870547.6,62515288.2,None,None,None,-0.1118,0.3314,0.0597,6009028.0,17135526.0,20948594.0,25677850.0,166798415.0,-0.03,0.0,-450.0,0.0,9.85,0.0,2019-08-28
14,237,11.86,0.0,0.0,11.7,11.58,11.98,832480.0,19.7,6.54,11.33,10.26,12.17,13.04,11.73,11.34,9.63,11.51,11.91,11.27,10.84,11.21,UPTREND,UPTREND,UPTREND,50.7675,0.2428,0.0525,HIGH,2.8894,44.0217,-73.0769,825550.0,2177726.67,2242945.0,10026622.4,26885482.4,26675591.1,None,None,None,-0.2197,0.0224,0.0,323506.0,-6403596.0,10149748.0,30068192.0,207094159.0,-0.03,0.0,-395.33,0.0,8.66,0.0,2019-09-30
15,242,9.1,0.0,0.0,9.1,9.04,9.2,15486.9999,16.46,6.54,9.03,8.27,10.26,12.54,10.87,11.71,11.53,10.67,10.55,11.25,11.25,11.37,DOWNTREND,DOWNTREND,SIDEWAYS,23.6245,-0.5809,0.0468,NEUTRAL,-131.1337,3.9676,-97.2222,611770.0,575240.0,574080.0,6074754.0,5959841.6,6237508.0,Doji,None,None,-0.4013,-0.1317,-0.0162,-1372311.0,-3230675.0,-14945535.0,-12002475.0,90972192.0,-0.03,0.25,-303.33,0.0,6.59,0.0,2019-12-10
16,237,12.9,-0.6,-0.0444,13.54,12.9,13.92,2313204.0,19.7,6.54,12.6,8.95,13.76,14.19,11.98,9.61,8.93,12.1,11.99,10.5,10.32,11.08,UPTREND,UPTREND,UPTREND,63.8503,1.1127,0.0579,HIGH,77.2757,81.8502,-35.1724,4127920.0,4446013.33,5476305.0,54047254.6,55552891.6,63763657.3,None,Bearish Engulfing,None,-0.1513,0.2722,0.0126,9396916.0,21709674.0,24646446.0,27531486.0,163027639.0,-0.03,0.0,-430.0,0.0,9.42,0.0,2019-08-29
17,239,12.28,-0.1,-0.0081,12.4,12.04,12.5,-757188.0,19.7,6.54,12.16,11.3,13.27,13.75,12.5,12.08,10.72,11.11,12.48,12.0,11.45,11.46,UPTREND,UPTREND,UPTREND,48.5475,0.2326,0.0415,NEUTRAL,-58.3324,29.0698,-83.7209,2299950.0,1738366.67,1525035.0,29814256.8,22390372.8,19539951.2,None,None,None,-0.1921,-0.0406,-0.0406,-986492.0,-9639870.0,-1644020.0,23939916.0,96283427.0,-0.03,0.0,-409.33,0.0,8.96,0.0,2019-11-06
18,242,8.95,-0.13,-0.0143,9.08,8.8,9.08,-91152.9999,16.46,6.54,8.88,8.23,9.42,12.36,10.53,11.61,11.53,10.62,10.27,11.08,11.16,11.32,DOWNTREND,DOWNTREND,SIDEWAYS,22.5325,-0.6625,0.044000000000000004,NEUTRAL,-117.5161,3.7295,-94.6429,719420.0,642766.67,580585.0,6874747.8,6369095.6,5955642.9,None,Bearish Engulfing,None,-0.4112,-0.146,-0.0324,-1281041.0,-4199151.0,-10292287.0,-12060715.0,90622302.0,-0.03,0.25,-298.33,0.0,6.49,0.0,2019-12-12
19,237,10.7,0.38,0.0368,10.3,10.2,11.0,1642832.0002,19.7,6.54,10.26,8.81,13.41,14.27,12.17,9.86,8.96,11.96,11.66,10.58,10.38,11.08,UPTREND,UPTREND,UPTREND,44.7411,0.8349,0.0783,HIGH,-125.4497,8.7682,-86.5591,4442800.0,4559193.33,4877985.0,54953752.4,56717881.73,59060545.8,None,None,None,-0.2961,-0.0776,-0.0776,13512040.0,30719030.0,31056914.0,37760961.0,156158485.0,-0.03,0.0,-356.67,0.0,7.81,0.0,2019-09-04
20,237,10.44,-0.02,-0.0019,10.46,10.3,10.6,46596.0,19.7,6.54,10.26,8.27,11.14,13.76,12.05,10.03,9.0,11.84,11.37,10.58,10.39,11.06,DOWNTREND,UPTREND,UPTREND,42.907,0.5182,0.0721,HIGH,-118.579,9.4982,-93.5484,3781210.0,3486273.33,3885870.0,45541412.2,42989698.13,47821174.4,Spinning Top,None,None,-0.3132,-0.1,-0.0019,414626.0,16553344.0,30344909.0,40201368.0,194065101.0,-0.03,0.0,-348.0,0.0,7.62,0.0,2019-09-09
21,239,12.36,0.2,0.0164,12.22,12.0,12.38,-269362.0,19.7,6.54,12.08,11.27,12.52,13.04,11.95,12.04,10.18,11.28,12.06,11.6,11.12,11.31,UPTREND,SIDEWAYS,UPTREND,56.6135,0.1284,0.0407,NEUTRAL,61.2171,63.8889,-30.9524,757300.0,692660.0,755090.0,9285834.2,8348283.2,9066111.1,Hammer,None,None,-0.1868,0.0422,0.0049,2674458.0,8441782.0,1252302.0,32649081.0,116390261.0,-0.03,0.0,-412.0,0.0,9.02,0.0,2019-10-18
