,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,240,26.15,-0.1,-0.0038,26.5,26.1,26.5,-705830.0,32.0,25.3,25.92,24.85,26.82,27.72,26.42,27.19,27.63,27.14,26.49,27.01,27.27,28.02,DOWNTREND,SIDEWAYS,SIDEWAYS,43.6984,-0.3391,0.0199,LOW,-53.0351,47.8261,-73.913,445140.0,301906.67,228665.0,11639497.0,7895123.33,5981084.25,Black Long Day,Bearish Engulfing,None,-0.0825,-0.0132,-0.0243,-1599190.0,-2962150.0,-4271470.0,1383090.0,-317170550.0,2.49,-0.1559,10.5,0.0,0.61,0.0,2019-10-22
1,243,24.7,0.2,0.0082,24.4,24.4,25.0,-5315390.0,32.0,24.4,24.45,24.45,24.95,26.05,25.34,25.91,27.04,26.86,25.23,25.88,26.47,27.38,DOWNTREND,SIDEWAYS,DOWNTREND,33.5695,-0.3431,0.0129,LOW,-100.6686,0.0,-80.0,74920.0,85506.67,101365.0,1863887.0,2155080.33,2586680.75,None,None,None,-0.1333,-0.002,-0.002,-5906740.0,-21996160.0,-25293905.0,-28947020.0,-316539030.0,2.91,0.0699,8.49,0.0,0.56,0.0,2019-12-03
2,241,25.45,-0.45,-0.0174,25.45,25.45,25.85,-277915.0,32.0,25.3,25.38,24.85,25.9,26.82,25.82,26.37,27.25,26.93,25.85,26.34,26.79,27.62,SIDEWAYS,SIDEWAYS,SIDEWAYS,39.4098,-0.2254,0.0136,LOW,-137.1981,0.0,-100.0,77400.0,96020.0,76395.0,1991980.5,2486103.0,1978443.0,Gravestone Doji,Bullish Harami,None,-0.107,-0.0097,-0.0097,-13222535.0,-15006135.0,-18608885.0,-19977455.0,-317646710.0,2.91,0.0699,8.75,0.0,0.58,0.0,2019-11-20
3,243,24.25,-0.05,-0.0021,24.55,24.25,24.55,-740025.0,32.0,24.25,24.25,24.25,24.85,25.9,25.04,25.71,26.93,26.82,24.94,25.66,26.31,27.26,DOWNTREND,SIDEWAYS,DOWNTREND,27.2702,-0.3865,0.0124,LOW,-103.225,0.0,-100.0,94610.0,76093.33,84445.0,2331044.0,1882600.0,2114530.0,Black Marubozu,None,Three Black Crows,-0.1491,-0.0202,-0.0021,-13829850.0,-17560840.0,-32325180.0,-37214890.0,-311338275.0,2.91,0.0699,8.33,0.0,0.55,0.0,2019-12-09
4,238,28.0,0.2,0.0072,27.8,27.5,28.0,-137200.0,32.0,24.85,27.4,26.28,28.25,30.8,28.17,28.16,27.43,27.39,28.06,28.06,27.79,28.51,DOWNTREND,SIDEWAYS,SIDEWAYS,48.5517,-0.19399999999999998,0.0224,LOW,-32.4472,73.8656,-9.0909,115000.0,93646.67,88040.0,3164232.0,2579466.67,2454840.5,None,Bullish Engulfing,None,-0.0175,0.0145,0.0145,239095.0,568320.0,5910545.0,-20928300.0,-339400800.0,2.49,-0.1559,11.24,0.0,0.65,0.0,2019-09-06
5,238,26.75,0.25,0.0094,26.85,26.3,26.85,-7890.0,32.0,25.2,26.25,25.42,26.98,28.0,27.15,28.07,27.65,27.27,27.08,27.51,27.56,28.26,DOWNTREND,DOWNTREND,SIDEWAYS,41.583,-0.3358,0.0186,LOW,-99.2282,0.0,-65.625,16050.0,20466.67,19450.0,431462.0,556018.0,530520.0,Hanging Man,None,None,-0.0614,0.0094,-0.0074,-63600.0,-1314445.0,-1065385.0,-3087275.0,-343482305.0,2.49,-0.1559,10.74,0.0,0.62,0.0,2019-10-03
6,243,24.5,-0.25,-0.0101,24.75,24.5,24.75,-39365.0,32.0,24.5,24.5,24.5,24.95,26.08,25.4,25.95,27.05,26.87,25.28,25.93,26.5,27.41,DOWNTREND,SIDEWAYS,DOWNTREND,27.2493,-0.3307,0.0121,LOW,-132.4852,0.0,-100.0,53000.0,71833.33,93270.0,1322417.0,1818384.67,2390217.0,Black Marubozu,None,None,-0.1404,-0.0101,-0.0101,-1682785.0,-16698795.0,-20036265.0,-23637130.0,-313980995.0,2.91,0.0699,8.42,0.0,0.56,0.0,2019-12-02
7,241,25.4,-0.05,-0.002,25.45,25.2,25.55,-1285835.0,32.0,25.2,25.3,24.85,25.9,26.82,25.79,26.32,27.22,26.93,25.81,26.3,26.76,27.6,DOWNTREND,SIDEWAYS,SIDEWAYS,38.6203,-0.2251,0.0136,LOW,-212.4975,0.0,-80.0,73980.0,104460.0,81735.0,1894780.5,2699667.33,2112667.25,None,Bearish Engulfing,None,-0.1088,-0.0117,-0.0117,-14508370.0,-16250705.0,-19892105.0,-21260540.0,-318797505.0,2.91,0.0699,8.73,0.0,0.58,0.0,2019-11-21
8,243,22.6,0.0,0.0,22.6,22.6,22.6,22600.0,32.0,22.05,22.08,22.08,24.08,24.95,24.04,25.15,26.49,26.68,23.88,24.93,25.81,26.92,DOWNTREND,DOWNTREND,DOWNTREND,25.0944,-0.5869,0.0232,LOW,-162.5885,17.4294,-81.3559,45740.0,72786.67,69600.0,1061685.5,1747024.67,1682997.0,White Marubozu,Bullish Harami,None,-0.207,-0.0869,-0.0642,-987005.0,-14868365.0,-31543290.0,-37119545.0,-290446645.0,2.91,0.0699,7.77,0.0,0.52,0.0,2019-12-23
9,238,26.9,0.0,0.0,27.2,26.8,27.2,0.0,32.0,24.85,26.85,26.0,27.45,29.95,27.49,28.18,27.6,27.34,27.53,27.78,27.7,28.37,DOWNTREND,SIDEWAYS,SIDEWAYS,37.8354,-0.2511,0.0176,LOW,-184.6419,0.0,-91.6667,23550.0,23626.67,69705.0,643320.5,648098.67,1915387.0,Black Long Day,None,None,-0.0561,-0.0254,-0.011000000000000001,-429525.0,-937195.0,-415990.0,-6168515.0,-339600930.0,2.49,-0.1559,10.8,0.0,0.62,0.0,2019-09-24
